sequence	scope	working_directory	command	exit_code	classification	log	first_result
052	C-comparator	riemann-formal-c/formal	lake build Challenge.OperatorPositiveSchurRescue	1	COMPARATOR_FAILURE	raw/C/052_lake_build_bare_Challenge_OperatorPositiveSchurRescue.log	Lake resolves duplicate ChallengeDeps target into missing Zeta23 comparator path
053	C-comparator	riemann-formal-c/formal	lake build Solution.OperatorPositiveSchurRescue	1	COMPARATOR_FAILURE	raw/C/053_lake_build_bare_Solution_OperatorPositiveSchurRescue.log	Package collision plus unsolved FiniteMatrix algebra proofs
054	C-comparator	riemann-formal-c/formal	lake build Challenge.XiPickOrderThreeConditional	1	COMPARATOR_FAILURE	raw/C/054_lake_build_bare_Challenge_XiPickOrderThreeConditional.log	Package collision plus local noncomputable and BigOperators/parser errors
055	C-comparator	riemann-formal-c/formal	lake build Solution.XiPickOrderThreeConditional	1	COMPARATOR_FAILURE	raw/C/055_lake_build_bare_Solution_XiPickOrderThreeConditional.log	Package collision plus unsafe Real Repr, noncomputable definitions, and unsolved proof goals
056	C-declarations	riemann-formal-c/formal	python3 scripts/verify_declaration_map.py	1	LEAN_COMPILE_FAILURE	raw/C/056_verify_declaration_map.log	Static map checks reached Lean environment audit, which cannot import missing RiemannFormal.olean
057	C-source-lock	riemann-formal-c/formal	python3 scripts/check_statement_sources.py	1	SOURCE_LOCK_FAILURE	raw/C/057_check_statement_sources.log	CRLF worktree bytes hash 17de622f... rather than locked normalized LF hash 2eb547a3...
060	C-axioms	riemann-formal-c/formal	lake env lean comparator/PrintAxioms/XiPickThreeNode.lean	1	AXIOM_AUDIT_FAILURE	raw/C/060_lake_env_lean_comparator_PrintAxioms_XiPickThreeNode_lean.log	Solution module prefix unavailable because comparator build produced no object
061	C-axioms	riemann-formal-c/formal	lake env lean comparator/PrintAxioms/OperatorPositiveSchurRescue.lean	1	AXIOM_AUDIT_FAILURE	raw/C/061_lake_env_lean_comparator_PrintAxioms_OperatorPositiveSchurRescue_lean.log	Solution module prefix unavailable because comparator build produced no object
062	C-axioms	riemann-formal-c/formal	lake env lean comparator/PrintAxioms/XiPickOrderThreeConditional.lean	1	AXIOM_AUDIT_FAILURE	raw/C/062_lake_env_lean_comparator_PrintAxioms_XiPickOrderThreeConditional_lean.log	Solution module prefix unavailable because comparator build produced no object
063	C-axioms	riemann-formal-c/formal	lake env lean RiemannFormal/AxiomAudit.lean	1	AXIOM_AUDIT_FAILURE	raw/C/063_lake_env_lean_RiemannFormal_AxiomAudit_lean.log	Trusted aggregate object RiemannFormal.olean does not exist
064	diagnostic	riemann-formal-c/formal	lake build @/+Challenge.XiPickOrderThreeConditional	1	COMPARATOR_FAILURE	raw/C/064_lake_build_root_qualified_Challenge_XiPickOrderThreeConditional.log	Root-qualified target still inherits duplicate ChallengeDeps resolution and independently exposes local source errors
065	diagnostic	riemann-formal-c/formal	lake env lean comparator/ChallengeDeps/XiPickOrderThreeConditional.lean	1	LEAN_COMPILE_FAILURE	raw/C/065_lake_env_lean_direct_ChallengeDeps_XiPickOrderThreeConditional.log	Direct local check first fails at line 131 on noncomputable real division; BigOperators parser errors follow
070	static	riemann-formal-c/formal	python3 scripts/check_external_input_usage.py	0	PASS	raw/C/029_check_external_input_usage_static.log	Headline dependency closure uses all required concrete C fields
071	static	riemann-formal-c/formal	trusted token and C-owned Challenge placeholder scan	0	PASS	raw/C/066_final_static_trust_scan.log	Exactly 3 C-owned Challenge placeholders; zero sorry/admit, axiom/opaque/unsafe declarations, or unresolved suggestions in trusted trees
072	static	riemann-formal-c/formal	inspect order-three ChallengeStatement and repeated-node branches	0	PASS	raw/C/023_static_order_three_evidence.log	Explicit repeated 12, 13, and 23 cases; conclusion is PSD through three only
073	static	riemann-formal-c/formal	textual presence scan for C.tsv and C_API.tsv declarations	0	PASS	raw/C/069_static_declaration_presence.log	All 18 registry/API rows have source text, but Lean environment verification remains failed
074	diagnostic	riemann-formal-c/formal	SHA-256 external normalized statement worktree bytes versus lock	1	SOURCE_LOCK_FAILURE	raw/C/034_line_ending_source_lock_diagnosis.log	Committed LF blob hash is correct; checkout has 11 CRLF sequences under system core.autocrlf=true and no .gitattributes
080	final	riemann-formal-c	git status --porcelain=v1 --untracked-files=all; git diff --stat; git diff -- formal/lake-manifest.json formal/lean-toolchain	0	PASS	raw/C/067_final_git_status.log	Final exact-head worktree clean; no lock or toolchain diff
