sequence	scope	working_directory	command	exit_code	classification	log	first_result
103	exact-head	riemann-formal-b/formal	python3 scripts/validate_registry.py	0	PASS	raw/B/13_validate_registry.log	claims=139 stated=1 proved=3 conditional=0
104	exact-head	riemann-formal-b/formal	python3 scripts/verify_source_locks.py	0	PASS	raw/B/14_verify_source_locks.log	mathlib=51e6992e zeta23=cec57f91
105	exact-head	riemann-formal-b/formal	python3 scripts/validate_blueprint.py	0	PASS	raw/B/15_validate_blueprint.log	fragments=3
106	exact-head	riemann-formal-b/formal	bash scripts/check_no_sorry.sh	0	PASS	raw/B/16_check_no_sorry.log	PASS_FORMAL_NO_SORRY_OR_CUSTOM_AXIOM
107	exact-head	riemann-formal-b/formal	bash scripts/check_axioms.sh	1	AXIOM_AUDIT_FAILURE	raw/B/17_check_axioms.log	Cascades from missing RiemannFormal.olean after failed trusted build
200	exact-head	riemann-formal-b/formal	lake build Challenge.ArithmeticRows23	1	COMPARATOR_FAILURE	raw/B/20_build_Challenge_ArithmeticRows23.log	Bare target collides with locked Zeta23 ChallengeDeps library and attempts absent dependency file
201	exact-head	riemann-formal-b/formal	lake build Solution.ArithmeticRows23	1	COMPARATOR_FAILURE	raw/B/21_build_Solution_ArithmeticRows23.log	Bare target collision plus FixedRows compile failure
202	exact-head	riemann-formal-b/formal	lake build Challenge.FixedDetectorFiveThree	1	COMPARATOR_FAILURE	raw/B/22_build_Challenge_FixedDetectorFiveThree.log	Bare target collides with locked Zeta23 ChallengeDeps library and attempts absent dependency file
203	exact-head	riemann-formal-b/formal	lake build Solution.FixedDetectorFiveThree	1	COMPARATOR_FAILURE	raw/B/23_build_Solution_FixedDetectorFiveThree.log	Bare target collision plus FixedRows compile failure
204	exact-head	riemann-formal-b/formal	lake env lean RiemannFormal/Arithmetic/AxiomAudit.lean	1	AXIOM_AUDIT_FAILURE	raw/B/24_lean_RiemannFormal_Arithmetic_AxiomAudit.log	Missing FixedRows.olean after trusted compile failure
205	exact-head	riemann-formal-b/formal	lake env lean comparator/PrintAxioms/ArithmeticFixedRows.lean	1	AXIOM_AUDIT_FAILURE	raw/B/25_lean_comparator_PrintAxioms_ArithmeticFixedRows.log	Unknown Solution prefix because comparator solutions did not build
300	static-exact-source	riemann-formal-b/formal	verify every nonempty B.tsv declaration and trusted import closure	0	PASS	raw/B/30_static_B_declarations_and_closure.log	11 declarations present; zero RH code tokens across all 17 B-owned Lean files; zero Solution modules in trusted closure
301	static-exact-source	riemann-formal-b/formal	inspect duplicate comparator library roots and topic files	0	PASS	raw/B/31_comparator_library_collision.log	Confirms local/Zeta23 root collision causing bare-target failures
302	advisory-patch	riemann-formal-b	git apply --check audit-local-20260825/patches/B_check_axioms.patch	0	PASS	raw/B/32_check_axioms_patch_apply_check.log	Coverage patch applies cleanly without changing B
303	exact-head	riemann-formal-b	git status --porcelain=v1 --branch	0	PASS	raw/B/33_final_exact_head_git_status.log	Detached clean status after full exact-head suite
304	exact-head	riemann-formal-b	verify final HEAD tree and lock hashes	0	PASS	raw/B/34_final_exact_head_integrity.log	All frozen identifiers unchanged
305	static-exact-source	riemann-formal-b/formal	count actual comparator placeholders and verify B Solution import direction	0	PASS	raw/B/35_B_sorry_import_direction_static.log	Two B Challenge placeholders; none in trusted/Solution scopes; no Solution import of Challenge
400	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build RiemannFormal.Arithmetic.FixedRows	1	TOOLCHAIN_FAILURE	raw/B/40_diagnostic_build_FixedRows.log	Diagnostic junction run hit Windows Invalid argument reading a cached private artifact under low-memory concurrent load; not an exact-head source verdict
401	advisory-patch	riemann-formal-b	git apply --check audit-local-20260825/patches/B_compile_fixes.patch	0	PASS	raw/B/41_compile_patch_apply_check.log	Initial statement-preserving draft applied cleanly; later refined and rechecked
402	disposable-diagnostic	riemann root	Copy exact-head local build artifacts into isolated diagnostic build directory	0	PASS	raw/B/42_diagnostic_seed_build_artifacts.log	147 artifacts copied; dependency package junction remained read-only/shared
403	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build -j 1 RiemannFormal.Arithmetic.FixedRows	1	TOOLCHAIN_FAILURE	raw/B/43_diagnostic_build_FixedRows.log	Lake 5 rejects unknown short option -j
404	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake -j 1 build RiemannFormal.Arithmetic.FixedRows	1	TOOLCHAIN_FAILURE	raw/B/44_diagnostic_build_FixedRows.log	Lake 5 rejects unknown short option -j
405	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build RiemannFormal.Arithmetic.FixedRows	0	PASS	raw/B/45_diagnostic_build_FixedRows.log	Patched trusted module builds
406	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build RiemannFormal.Arithmetic.SourceIdentities	0	PASS	raw/B/46_diagnostic_build_SourceIdentities.log	Patched trusted module builds with existing linter warnings
407	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build RiemannFormal.Arithmetic.HalfDivisor	1	LEAN_COMPILE_FAILURE	raw/B/47_diagnostic_build_HalfDivisor.log	First draft left cast normalization and eta coercion elaboration errors
408	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build RiemannFormal.Arithmetic.HalfDivisor	0	PASS	raw/B/48_diagnostic_build_HalfDivisor_refined.log	Focused statement-preserving refinement builds with linter warnings only
409	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build	0	PASS	raw/B/49_diagnostic_full_lake_build.log	Refined trusted library builds completely; B AxiomAudit compiles
410	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build @/+Challenge.ArithmeticRows23	1	COMPARATOR_FAILURE	raw/B/50_diagnostic_build_qualified_Challenge_ArithmeticRows23.log	Top-level qualification does not disambiguate imported ChallengeDeps topic from Zeta23
411	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build @/+Solution.ArithmeticRows23	1	COMPARATOR_FAILURE	raw/B/51_diagnostic_build_qualified_Solution_ArithmeticRows23.log	Imported ChallengeDeps collision persists
412	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build @/+Challenge.FixedDetectorFiveThree	1	COMPARATOR_FAILURE	raw/B/52_diagnostic_build_qualified_Challenge_FixedDetectorFiveThree.log	Imported ChallengeDeps collision persists
413	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake build @/+Solution.FixedDetectorFiveThree	1	COMPARATOR_FAILURE	raw/B/53_diagnostic_build_qualified_Solution_FixedDetectorFiveThree.log	Imported ChallengeDeps collision persists
414	disposable-diagnostic	riemann-formal-b-diagnostic/formal	lake env lean RiemannFormal/Arithmetic/AxiomAudit.lean	0	PASS	raw/B/54_diagnostic_lean_RiemannFormal_Arithmetic_AxiomAudit.log	All 26 B print declarations emitted output
415	disposable-diagnostic	riemann-formal-b-diagnostic/formal	check Solution object prerequisites for comparator print module and patched authoritative runner	1	AXIOM_AUDIT_FAILURE	raw/B/55_diagnostic_axiom_prerequisites.log	Three required Solution oleans absent after comparator collision; commands not run
416	advisory-patch	riemann-formal-b	git apply --check audit-local-20260825/patches/B_compile_fixes.patch	0	PASS	raw/B/56_final_compile_patch_apply_check.log	Final refined three-file trusted-source patch applies cleanly
417	disposable-diagnostic	audit-local-20260825	validate multiline B axiom output against allowed axioms	0	PASS	raw/B/57_diagnostic_validate_B_axiom_output.log	26 declarations; only propext Classical.choice Quot.sound; no sorryAx
