semantic_id	lean_declaration	source_object	cross_verdict	evidence	scope_or_defect	integration_recommendation
OPERATOR.XI.CRITICAL_RESERVE_BUDGET	RiemannFormal.Operator.criticalReserveAllocation_of_inputs	L-92102 @ 880d14cb4bcbf542ec199137d60c58d9a8fd723d	STATEMENT_MISMATCH	Only a finite generic bound is proved; named external bundle is unused.	No H*, zero count, orbit representatives, multiplicities, infinite tail, or exact source theorem.	Downgrade to a generic finite API; full canonical claim remains blocked.
OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	RiemannFormal.Operator.actualXiReciprocalConcavity_of_grouped_inputs	L-92103 @ 880d14cb4bcbf542ec199137d60c58d9a8fd723d	STATEMENT_MISMATCH	The theorem assumes both aggregate jets already have nonnegative energy and applies finite add closure.	No Xi/Hadamard decomposition, reserve assembly, or C2 limit is stated.	Rename as generic two-block closure; keep actual-Xi semantic claim blocked.
OPERATOR.XI.PICK_ORDER3.DISTINCT	RiemannFormal.Operator.actualXiOrderedDistinctPickOrderThree_of_inputs	T-92100 finite distinct-node implication	PROVED_CONDITIONAL	Exact generic PSD implication from positivity, strict leading minor, and two curvature signs.	External bundle is semantically inert; theorem is not itself actual-Xi.	Rename/generalize and keep actual-Xi interpretation conditional on exact bridges.
OPERATOR.XI.PICK_ORDER3	RiemannFormal.Operator.actualXiPickOrderThreeConditional	T-92100 @ 880d14cb4bcbf542ec199137d60c58d9a8fd723d	STATEMENT_MISMATCH	Distinct branch is valid finite algebra; repeated branch assumes the entire desired PSD conclusion.	External inputs are arbitrary Props; repeated-node reduction and analytic bridges are absent.	Not integration-ready until exact external propositions and repeated-node proof replace the assumptions.
OPERATOR.Q4.ZERO_BARE_DET	RiemannFormal.Operator.q4ZeroBareDet_identity	finite Q4 algebra	FORMALLY_VERIFIED	Exact polynomial identity.	No analytic Q4 inference.	Canonicalize finite identity only.
REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	RiemannFormal.Refutations.positiveSchurCannotRescue	reviewed Schur firewall	FORMALLY_VERIFIED	Subtracting z^2/c from b<0 remains negative.	Scalar visible-direction theorem only.	Canonicalize.
REFUTATION.COEFFICIENT_ENERGY_CONTRACTION	RiemannFormal.Refutations.coefficientBudgetDoesNotImplyOperatorContraction	reviewed Q4/operator firewall	FORMALLY_VERIFIED	Witness a=b=3/5 has l2 energy <=1 but coherent gain squared >1.	Does not refute source-specific cancellation theorems.	Canonicalize.
REFUTATION.INERTIA_CURRENT	RiemannFormal.Refutations.smallNegativeInertiaDoesNotControlCurrent	reviewed inertia/current firewall	FORMALLY_VERIFIED_WITH_FIXES	PSD diagonal examples display arbitrarily large selected current.	Negative inertia is not defined as an invariant in the theorem.	Canonicalize with precise wording.
REFUTATION.HYPERBOLIC_BLOCK	RiemannFormal.Refutations.hyperbolicPoleBlockNotTwoPositiveSquares	reviewed pole-block firewall	FORMALLY_VERIFIED	Vector (1,-1) gives a negative direction.	No stronger source theorem is excluded.	Canonicalize.
REFUTATION.ROOT_EXCESS_ONLY	RiemannFormal.Refutations.positiveExcessDoesNotControlSquareRoot	reviewed root firewall	FORMALLY_VERIFIED	root=-1, excess=1 exact witness.	None.	Canonicalize.
REFUTATION.DIAGONAL_POLARIZED_GRAM	RiemannFormal.Refutations.scalarDiagonalDoesNotDeterminePolarizedGram	reviewed Gram firewall	FORMALLY_VERIFIED	Same diagonal with off-diagonal 0 versus 2 gives PSD versus negative direction.	None.	Canonicalize.
REFUTATION.HEAT.UNIFORM_CENTER.FINITE	RiemannFormal.Refutations.parityChangesUnderDisplacement	finite displacement fixture	FORMALLY_VERIFIED_WITH_FIXES	Exact finite sign change.	Does not prove the full Bohr/Weyl analytic no-go.	Keep full semantic claim BLOCKED_MATHEMATICS.
