review_id	family	source_label	verdict	sources	reason	required_action	evidence
D-U023	wavelet_xd	L-100130 explicitly defined Poisson/Mellin identity	ACCEPT_LOCAL	P14	The Cauchy characteristic function gives min(m,n)^2, and initial absolute Fubini plus Plancherel gives the displayed double integral.	For continuation retain a genuine weighted-L2/Hardy hypothesis. Its identity with P13 is excluded.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U024	wavelet_xd	L-100131 spectral-abscissa endpoint	ACCEPT_WITH_INPUTS	P15	The lower direction uses a.e. carrier Hardy holomorphy and an uncancelled pole; the upper direction requires the stated reciprocal-zeta growth input on a zero-free sub-half-plane.	Pin that classical growth theorem and the Hardy/contour adapter. D did not reprove the full general rightmost-zero growth theorem; no boundary-integral-only argument is accepted.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U025	wavelet_xd	L-103201 same-K1 negative-part equivalence	ACCEPT_WITH_INPUTS	P16	R1-B1=T1-S1 is logarithmically integrable under the imported estimates; negative part is 1-Lipschitz.	The Type-I and smooth-sector estimates remain imported, and different kernels cannot be substituted.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U026	owner_vaughan	L-102010 half-divisor convolution	ACCEPT_LOCAL	P17	Local (1-z)^(-1/2) squares to (1-z)^(-1), so eta*eta is the constant-one arithmetic function, not the convolution identity delta1.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U027	owner_vaughan	L-102010 symmetric source factorization	ACCEPT_WITH_INPUTS	P17	Given the literal two-field coefficient identity from L-102009, b*eta produces equal factors whose convolution is b*b*1.	Full upstream L-102009 and the balanced arithmetic consumer were not reread.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U028	owner_vaughan	L-102010 Hardy and finite-endpoint estimate	ACCEPT_WITH_REPAIR	P17;P18	The future Hardy multiplier has sharp norm 3. Apply it to the source cut at n<=N before expanding the observation interval to [U,4N].	Write H_(U,N) explicitly throughout the expanded norm. The already integrated truncation repair is binding.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U029	owner_vaughan	L-103100 full Haar autocorrelation	ACCEPT_LOCAL	P18	Exact interval-overlap lengths give the two-piece kernel, with ratio-four support; all cross terms are retained.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U030	owner_vaughan	L-103101 coefficient diagonal	ACCEPT_LOCAL	P19	|h_U(n)|<=tau(n) uniformly in U, hence the logarithmically weighted diagonal is subpower.	This does not bound the signed off-diagonal or prove HCNC.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U031	xi_pick	L-91905 order-two monotonicities	ACCEPT_WITH_INPUTS	P21	Each complete zero orbit gives p>0, p decreasing and tp increasing; grouped convergence permits summation.	Retain the weak verified zero-height input and centered Xi(z)=xi(1/2+z) convention.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U032	xi_pick	L-92000 three-node determinant	ACCEPT_LOCAL	P22	The full symbolic determinant factors into divided differences of 1/p and tp; all principal lower-order minors are accounted for.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U033	xi_pick	L-92001 tp curvature	ACCEPT_WITH_INPUTS	P23	The off-line orbit numerator has the correct sign for the stated large-ordinate regime; the critical orbit is directly negative.	Retain the ordinate lower bound and C2 grouped convergence.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U034	xi_pick	L-92101 one-orbit reserve	ACCEPT_LOCAL	P24	Independent symbolic differentiation reproduces both the adverse curvature and the positive cross-curvature polynomial; the stated epsilon pays the defect.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U035	xi_pick	L-92102 total reserve budget	ACCEPT_WITH_INPUTS	P25	The allocation is at most 9m/b^2, and partial summation of a weak zero count gives 18(log H+1)/H<1.	D uses the conservative published H=3e12 rather than requiring the slightly larger historical endpoint. The external zero computation was not rerun.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U036	xi_pick	Positive parallel-sum closure	ACCEPT_LOCAL	P26	For positive f_i with f_i f_i''-2f_i'^2>=0, weighted Cauchy gives the same inequality for their sum; local C2 limits preserve it.	D derives this directly; the separate L-92100 manuscript was not fetched.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U037	xi_pick	L-92103 full reciprocal concavity	ACCEPT_WITH_REPAIR	P26;M12	The paid orbit blocks plus all critical residue blocks converge locally in C2.	Retain the already integrated (m0-1)R0 residual when the reserve orbit has multiplicity m0; do not reuse the uncorrected source decomposition.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U038	xi_pick	Actual-Xi PSD through size three	ACCEPT_WITH_INPUTS	P21;P22;P23;P24;P25;P26;M12	Opposite monotonicities, reciprocal concavity and tp concavity make every principal minor through size three nonnegative. Repeated nodes are duplicate-row limits.	This is PSD at order three, not all-order positivity or an independent replay of imported zero verification.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U039	xi_pick	L-91900 point-eigenvalue and index theorem	ACCEPT_WITH_REPAIR	P20	The Birman-Schwinger eigenvector maps and the form congruence are valid with the stated domains and spectral multiplicity conditions.	Use point spectrum for kernel assertions; retain the appropriate discreteness conditions for counts.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U040	xi_pick	L-91900 full-spectrum threshold corollary	REFUTE_AS_WRITTEN	P20	A=I and G=diag(1-2^-n) give ker H=0 but 1 in sigma(K(0)); above-one spectrum is empty.	D-F02: replace sigma by point spectrum or add a compactness/isolated-threshold-eigenvalue hypothesis.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U041	heat_hermite	First-Hermite terminal and reality criterion	ACCEPT_LOCAL	P27	A nonterminal chain has square-summable horizontal increments and strictly increasing depth, contradicting the subquadratic zero count. A terminal pair dominates at large q.	Keep the all-centres/all-positive-resolution quantifier, or a countable dense-centre unbounded-resolution substitute.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U042	heat_hermite	First-Hermite explicit formula and finite-witness consumer	ACCEPT_WITH_INPUTS	P27	The inverse Fourier Gaussian derivative and complete prime-power tail bound match the displayed normalization.	The classical Guinand-Weil formula is imported; no actual negative zeta witness or interval backend is produced.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U043	heat_hermite	Growing first-Hermite wedge	ACCEPT_WITH_INPUTS	P28	The prime envelope has saddle q/4, while the gamma reserve is of size q^(-3/2)log|x|; q<=(4-epsilon)loglog|x| has a vanishing relative prime bound.	D checked the q>=1 argument. The uniform small-q parent result is imported and was not separately reread.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U044	heat_hermite	OPEN.HEAT.HERMITE_CONSTANT_FOUR	CLARIFY_CONTRACT	P27;P28;M13	Positivity along one asymptotic frontier is not the full all-q fixed-centre condition. The omitted finite-centre and arbitrarily large-q regions matter.	State the whole complement of the proved wedge, including bounded centres. See REPAIRS.md R10.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U045	legacy_robin	Finite Robin barrier through 5582	ACCEPT_LOCAL	P29	Independent divisor-sieve and prime-factor evaluations agree at every integer through 5582; rational outward gamma/loglog bounds reproduce the 5041 and 5583 thresholds.	Do not promote the finite range to global Robin or to historical 10^54/10^100 scans.	New exact finite enumeration and directed rational analytic enclosures.
D-U046	legacy_robin	L-2002 Euler constant enclosure	ACCEPT_LOCAL	P30	The two derivative inequalities integrate to telescoping harmonic lower and upper bounds.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U047	legacy_robin	Hardy-Ramanujan canonical reduction	ACCEPT_LOCAL	P29	Prime compression and exponent swaps decrease n and increase sigma(n)/n; the finite barrier prevents a violator from collapsing below 5041.	Canonical is not the same as colossally abundant; the resulting search domain is infinite.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U048	legacy_robin	Nested tail levels	ACCEPT_LOCAL	P29	Nonincreasing exponents are in bijection with nested prefix lengths; both cost and abundancy telescope.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U049	legacy_robin	Powered shared-budget envelope	ACCEPT_WITH_REPAIR	P29;P31	The backward maximum bounds every admissible level path and the residual cost is at most M0.	D-F06: restore valid nonincreasing caps, n_r=#{i:m_i>=r}, A>=1 and feasibility R<=M; n_r=n is a safe cap-free repair. The exact 8400 fixture is rebuilt.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U050	legacy_corrections	Hermite power-sum inertia	ACCEPT_LOCAL	P34	Distinct real root vectors give positive squares and each conjugate pair gives one positive and one negative square; multiplicities do not enlarge rank.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U051	legacy_corrections	Negative-principal-minor necessity sentence	REFUTE_AS_WRITTEN	P34	For finite Hermitian matrices, all principal minors nonnegative is equivalent to PSD. The printed not-necessary sentence is false.	D-F03: distinguish all principal minors from leading principal minors.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U052	legacy_corrections	Saturated sign chain with total multiplicity	ACCEPT_LOCAL	P34	Disjoint sign-changing intervals account for all counted multiplicity; equality forces one simple real zero per interval.	Keep zero-free sample points and open-endpoint or endpoint-certification semantics.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U053	legacy_corrections	Local census and complex-centre Li firewalls	ACCEPT_LOCAL	P34	A finite slab cannot decide a global functional without complement control; an unsymmetrized complex coefficient has no real positivity order.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U054	legacy_corrections	Repaired screw terminal-cell certificate	REVIEW_INCOMPLETE	P34	The terminal-cell omission is logically identified, but D did not replay the repaired 665135-cell computation.	Preserve its original finite range and backend boundary; no new numerical acceptance is issued.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U055	legacy_xi	Derivative-free secant and higher differences	ACCEPT_WITH_INPUTS	P32	The atom u/(u+a) has the claimed divided-difference signs; a matching off-line pole gives a negative local secant.	The centered resolvent/zero expansion is imported with its completed-xi normalization.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U056	legacy_xi	Cross-Loewner and barycentric product kernels	ACCEPT_WITH_INPUTS	P32	Cauchy-Binet and barycentric partial fractions give the exact finite nonnegative Gram sums under RH.	Do not infer complete positivity from one finite positive packet.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U057	legacy_xi	Two-channel pole localizer	ACCEPT_LOCAL	P32	For the isolated pair, B/A=-delta^2; straddling and same-side nodes supply the two opposite signs.	The pair component is not the full xi kernel.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U058	legacy_xi	Matched-pole annihilator extraction	ACCEPT_WITH_REPAIR	P32;P33	The original n>=2 assumption is absent from main; at n=1 its vector is identically zero. The normalization is correct for n>=2.	D-F05: restore n>=2. D derives the repaired normalization and checks n=1 through 7 exactly.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U059	safe_line_operator	Beta-Hausdorff and Bernstein algebra	ACCEPT_WITH_INPUTS	P35	Finite binomial differences give the stated kernels; under the imported zero expansion RH yields a positive finite Hausdorff measure.	Do not label the complete arithmetic sign hierarchy proved.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U060	safe_line_operator	Unit-disc pole and depth criterion	ACCEPT_WITH_INPUTS	P36	At a matching centre an off-line pair has a noncancellable pole at 1-y^2; a neighborhood of centres also has an interior pole.	Use the neighborhood-of-poles argument for rational centres, not continuity of a limsup. The original safe-Euler-line construction from T-90903 was not reread.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U061	suzuki_hardy	First-chaos support elimination	ACCEPT_LOCAL	P37	Under an orthogonal nonnegative expansion and exact intensity-linear target, every higher coefficient vanishes.	None beyond the stated hypotheses.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U062	suzuki_hardy	Specified-input first-chaos contraction	CLARIFY_CONTRACT	P37	Support elimination alone gives no bound relative to h_x. Rescaling a first-chaos output by two preserves intensity linearity but violates contraction.	State source linearity and input/output Gram domination, or make them explicit in the conservative-colligation hypothesis. See R8.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U063	suzuki_hardy	Prime Julia absorption at fixed scale	ACCEPT_WITH_INPUTS	P38;M15	Given the two imported mass bounds, the correct margin is 21587/38416, larger than the printed 19751/38416.	The already integrated arithmetic repair is retained; D did not audit L-91307/L-91502 mass inputs or the full signed-source identification.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U064	dickman_bellman	Stieltjes transfer of the full base	ACCEPT_WITH_INPUTS	P39	Finite summation against dh gives the exact reciprocal rough prefix, with endpoints retained; a stated x^(-1/2) variation tail is integrable at weights below 1/2.	The native P61 expansion/derivative inputs remain imported; use finite-sum Fubini to avoid step-function integration-by-parts conventions.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U065	dickman_bellman	Mesoscopic corridor and Bellman transfer	ACCEPT_WITH_INPUTS	P40;P41	The powers in the VK-versus-Dickman margin balance give 3/8 and -3/4, and a uniform profile error smaller than the positive parent-child margin would transfer it.	Review remains incomplete for the upstream profile comparison and joint parent/child ranges. This does not newly discharge the main mandatory input fixes or reach fixed least prime.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U066	formal_metadata	Formal-v0.1 open-gate metadata	METADATA_ONLY	M06	The resident document leaves Mellin library statements, arithmetic estimates and actual-Xi analytic inputs explicit.	No Lean theorem-body audit, lake build, Comparator or axiom replay was run. This row is not a formal semantic acceptance.	Metadata inspection only; no Lean proof or build acceptance.
D-U067	brownian_weil	Positive Schur-complement rescue firewall	ACCEPT_LOCAL	M20	A negative principal block remains negative on vectors (x,0); for a positive invertible complement its Schur correction subtracts a positive form.	Only this elementary resident statement is rederived. No fresh Brownian or Fredholm source proof is accepted.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U068	conjunctive	L-101100 positive-completion Perron absorption	ACCEPT_LOCAL	P42;M21	Positivity gives n<=r+b+Mn with the signed flux b intact; a nonnegative Neumann inverse is valid when rho(M)<1.	Retain finiteness of every integral, literal positive operator bounds and the complete signed flux.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U069	conjunctive	L-101500 matched-transfer negative part	ACCEPT_LOCAL	P43;M21	Subadditivity gives the inequality; tau=-f attains the pointwise infimum. The same measurable transfer must be used in both estimates.	No bound for either transformed arithmetic channel is supplied by the identity.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U070	conjunctive	L-104101 root/excess absorption	ACCEPT_LOCAL	P44;M21	Moving theta|g|^2 to the left gives the stated inverse-gap estimate; subpower inverse gap and packing multiply to subpower.	The return inequality and excess packing remain hypotheses, not conclusions.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U071	conjunctive	L-101103 initial negative component	REFUTE_AS_WRITTEN	P45;M21	For f(u)=u-1 and log Y=2 the negative mass is 1/2, the terminal term is zero, and the printed bound is at most 1/pi.	D-F07: add the initial boundary mass, or assume f(0)>=0; sum only true interior zero-endpoint excursions. See R7.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U072	conjunctive	L-101103 supposed independent subpower-length key	ACCEPT_WITH_REPAIR	P45;M21	The total excursion length never exceeds log Y, so its subpower premise is automatic. After endpoint repair the derivative-energy/terminal premise alone suffices asymptotically.	Retain the existing integration warning and delete the claim that neither premise alone can imply the conclusion. Quantitative occupancy must be genuinely stronger.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U073	conjunctive	L-101105 regional Schur inequalities	ACCEPT_LOCAL	P46;M21	The two-sided Schur test, triangle inequality and Cauchy-Schwarz give the exact displayed pointwise and integrated upper bounds.	Retain a disjoint complete native entry partition and both row and column marginals.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
D-U074	conjunctive	L-101105 growing-partition quantifiers	CLARIFY_CONTRACT	P46;M21	Each fixed region can have a bounded cumulative integral while a newly activated region carries power-sized mass. A logarithmic region count alone does not prevent this.	Require uniform regional subpower bounds or a subpower bound for their sum. The synthetic moving-region construction in R9 refutes the pointwise-in-region reading, not the literal arithmetic packet.	Proof reading and independent derivation; bounded checks where listed in VALIDATION.md.
