edge_id	source_object	target_object	verdict	hypothesis_or_obstruction	review_units
D-E036	Paid orbit blocks plus leftover reserve	Actual reciprocal concavity	VALID_WITH_REPAIR	Retain (m0-1)R0 and local C2 convergence.	D-U036;D-U037
D-E037	Repaired reciprocal concavity and tp concavity	Actual Xi PSD through size three	VALID_WITH_INPUTS	Repeated nodes yield PSD, not PD.	D-U038
D-E038	Actual Xi PSD through size three	All-order Xi positivity / RH	NOT_ESTABLISHED	No all-order theorem follows from this finite order.	D-U038
D-E039	1 in full spectrum(K(0))	Nontrivial kernel of H	REFUTED	An approximate spectral point need not be an eigenvalue.	D-U040
D-E040	1 in point spectrum(K(0))	Nontrivial kernel of H	REPAIR_PROVED	Use the exact eigenvector maps and form domains.	D-U039;D-U040
D-E041	Terminal nonreal heat pair	Strict first-Hermite negative witness	VALID_WITH_INPUTS	Bounded imaginary width, local finiteness, subquadratic count and Gaussian tails.	D-U041;D-U042
D-E042	Large-center subcritical heat wedge	Full all-center heat sign	NOT_ESTABLISHED	Bounded centers and the entire complementary resolution region remain.	D-U043;D-U044
D-E043	Exact finite Robin barrier	Canonical-violator reduction above 5040	VALID_WITH_INPUTS	Finite thresholds plus monotone prime/exponent canonicalization.	D-U045;D-U046;D-U047
D-E044	Certified tail caps and feasible minimum tail	Powered Robin envelope	VALID_WITH_REPAIR	Restore n_r and R<=M; use the original finite budget.	D-U048;D-U049
D-E045	All principal minors nonnegative	Finite Hermitian PSD	REPAIR_PROVED	Leading minors alone do not suffice.	D-U050;D-U051
D-E046	Saturated sign chain and total multiplicity	Complete simple-zero census in one slab	VALID_WITH_INPUTS	Endpoint and total-count certification are explicit.	D-U052
D-E047	Finite slab census	Global Pick / Weil functional sign	REFUTED_GENERIC_INFERENCE	Needs an additional locality or complement theorem.	D-U053
D-E048	Matched-pole vector with n>=2	Isolated modeled value -2md	VALID_WITH_REPAIR	Restore the original n>=2 assumption.	D-U058
D-E049	Isolated modeled value -2md	Negative complete actual-xi form	NOT_ESTABLISHED	The other zeros remain in the actual evaluations.	D-U058
D-E050	RH and stated safe-line expansion	Hausdorff / beta-Hankel positivity	VALID_WITH_INPUTS	Original safe-Euler-line arithmetic producer not fully reread.	D-U059;D-U060
D-E051	Orthogonal positive chaos plus intensity linearity	Higher-chaos outputs vanish	VALID	All stated grading and intensity hypotheses retained.	D-U061
D-E052	Higher-chaos outputs vanish	Contraction from specified source features	NOT_ESTABLISHED	Input/output Gram domination or a conservative source map is additionally required.	D-U062
D-E053	Two fixed-scale channel mass bounds	Julia reserve domination	VALID_WITH_INPUTS	Correct the arithmetic margin; the upstream mass bounds were not audited.	D-U063
D-E054	Uniform P61/Dickman inputs and margin	Mesoscopic Bellman corridor	INPUT_REVIEW_PENDING	Not a fixed-prime root theorem; profile and joint ranges still need complete audit.	D-U064;D-U065
D-E055	Negative principal block	No positive Schur rescue	VALID	Test vectors (x,0), or subtract a positive Schur term.	D-U067
D-E056	Signed Perron flux plus rho(M)<1	Negative-mass absorption	VALID	Finite integrals and positive operators; do not replace b by an unsigned unrelated quantity.	D-U068
D-E057	One common matched transfer	Bound on negative part of sum	VALID	Same measurable transfer in both terms.	D-U069
D-E058	Subpower inverse return gap plus excess packing	Subpower root negative mass	VALID	Both source hypotheses remain unproved where applied arithmetically.	D-U070
D-E059	Uncharged initial negative component	Printed finite Poincare inequality	REFUTED	f(u)=u-1 on [0,2] violates it.	D-U071
D-E060	Charged boundary components and interior derivative energy	Correct excursion mass bound	REPAIR_PROVED	Poincare applies only to zero-endpoint interior excursions.	D-U071;D-U072
D-E061	Each fixed region subpower plus subpower region count	Subpower total for a growing partition	REFUTED_NONUNIFORM_READING	New regions may carry power mass with region-dependent constants.	D-U074
D-E062	Uniform regional subpower bounds plus subpower count	Subpower Schur total	VALID_WITH_REPAIR	Or directly assume the subpower sum of regional products.	D-U073;D-U074
