claim_key	family	source_pr	source_sha	mathematical_status	review_status	lifecycle	rh_relationship	integration_action	statement	notes
Q4-RESERVE	q4	342	0ecb814f3f1d376ef28ab77ada6710c07e58f6d9	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE	INDEPENDENT_PROGRESS	CANONICALIZE_SCOPED	The reviewed radix-four reserve increment has a cofinal positive critical-scale moat.	Spend this reserve once.
Q4-JET-FRAME	q4	346	e0cfcf9277eb2c7101e9287e2c5f686780d5610b	UNCONDITIONAL_THEOREM	VERIFIED	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE	Exact compact-current parity joint jet-frame inequality.	The separate coefficient budget is not an operator norm.
Q4-SOURCE-ORDER	q4	354	1541618502d345766a0e0b9758ae04f41c17335d	REFUTATION_AND_REPAIR	VERIFIED	LIVE_FIREWALL	ROUTE_INFRASTRUCTURE	CANONICALIZE	The odd relative second current uses an ordinary prefix after the missing divisor convolution, not the standard Selberg carry.	Supersedes unsafe imports from #349/#350.
Q4-INERTIA-ROW	q4	357	a2843d31649822014219a13ec29c70e4a30932cc	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE	ROUTE_INFRASTRUCTURE	CANONICALIZE_SCOPED	The zero-bare two-state row has subcritical negative spectral mass.	This is not a current upper bound.
Q4-INERTIA-AGG	q4	359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	UNCONDITIONAL_LEMMA	VERIFIED	SALVAGED	ROUTE_INFRASTRUCTURE	CANONICALIZE_SCOPED	The aggregate determinant/current-elimination inequality bounds negative spectral mass under nonnegative common-centered aggregation.	Standalone lemma survives the full proposal.
Q4-SMALL-INERTIA	q4	357	a2843d31649822014219a13ec29c70e4a30932cc	FALSE_INFERENCE	VERIFIED	LIVE_FIREWALL	NONE	CANONICALIZE_REFUTATION	Zero negative mass can coexist with arbitrarily large RH-sensitive current.	Blocks all inertia-to-current shortcuts.
Q4-MULTIPLIER-INERTIA	q4	357	a2843d31649822014219a13ec29c70e4a30932cc	FALSE	VERIFIED	REFUTED_AS_STATED	NONE	ARCHIVE_WITH_COUNTEREXAMPLE	A bounded nonconstant multiplier does not transfer integrated positive/negative inertia masses using only its supremum norm.	Exact equal-mass bump counterexample in review PR #371.
Q4-COEFF-OPERATOR	q4	359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	FALSE	VERIFIED	REFUTED_AS_STATED	NONE	ARCHIVE_WITH_COUNTEREXAMPLE	The finite coefficient-energy budget does not imply the claimed frequencywise W*W<2/5 contraction.	At z=1/sqrt(2) the reviewed norm sum is approximately 9.48949.
Q4-FULL-359	q4	359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	FALSE_COMPOSITION	VERIFIED	REFUTED_AS_STATED	NONE	SUPERSEDE	The aggregate-inertia full RH composition fails at the synthesis/current interface.	Preserve standalone lemmas separately.
Q4-PIG-RH-FORWARD	q4	362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	CONDITIONAL_IMPLICATION	VERIFIED	LIVE	RH_CONSEQUENCE	CANONICALIZE_SCOPED	RH implies the reviewed positive innovation gate bound.	Does not make PIG an unconditional theorem.
Q4-PIG-REVERSE	q4	362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	OPEN	UNPROVEN_GAP	LIVE_PRIMARY	RH_BEARING	RETAIN_OPEN	PIG-to-RH still lacks the exact complete integrated recurrence and adapter to the resident pole-energy consumer.	Specialist verdict supersedes inherited equivalence labels.
Q4-2X2-FORMULA	q4	357	a2843d31649822014219a13ec29c70e4a30932cc	FALSE_AS_UNIVERSAL_FORMULA	VERIFIED	REPAIR_REQUIRED	ROUTE_INFRASTRUCTURE	QUARANTINE_SUBCLAIM	The displayed unpiecewise radical formula for tr(K_-) fails for K=-I_2.	Neighboring trace/curvature inequalities survive; use a piecewise eigenvalue formula.
BRN-ROBIN-FIBER	brownian	318	277bfb19e2e5deed50b5bbc133453b7147046360	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE	INDEPENDENT_PROGRESS	CANONICALIZE	Correct centered one-fiber Robin self-adjoint classification.	Supersedes the uncorrected cardinal/fiber formula.
BRN-TAIL-DOM	brownian	318	277bfb19e2e5deed50b5bbc133453b7147046360	FALSE	VERIFIED	REFUTED_AS_STATED	NONE	ARCHIVE_WITH_REFUTATION	Finite reflected-tail domination cannot close the corrected symmetrized mixture.	Exact tail asymptotics obstruct it.
BRN-POS-MIXTURE	brownian	318	277bfb19e2e5deed50b5bbc133453b7147046360	FALSE	VERIFIED	REFUTED_AS_STATED	NONE	ARCHIVE_WITH_REFUTATION	Arbitrary positive superposition of individually good Robin fibers need not remain real-rooted.	Aggregate canonical-system route remains possible.
BRN-RAW-ALGEBRA	brownian	343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	UNCONDITIONAL_THEOREM	VERIFIED_WITH_FIXES	LIVE_PRIMARY	INDEPENDENT_PROGRESS	CANONICALIZE	Raw Brownian gamma/Dirichlet factorization, explicit all-N numerator and reciprocal Hermite identity.	Finite reviewed stability includes the small-N packet recorded by review PR #372.
BRN-RAW-COFINAL	brownian	343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	OPEN	UNPROVEN_GAP	LIVE_PRIMARY	RH_BEARING_MECHANISM	RETAIN_PRIORITY	Prove E[Q_N^z] nonzero for Re z>1/4 for all large N or an unbounded cofinal sequence.	Would imply RH through local-uniform convergence and Rouche.
OP-SCHUR-SIGN	operator	199	4158e0d3e7f91829a6c545308605ea8177023aa3	UNCONDITIONAL_FIREWALL	VERIFIED_WITH_FIXES	LIVE_FIREWALL	NONE	CANONICALIZE	For C positive, B-Z* C^{-1} Z is no larger than B, so positive-complement elimination cannot repair a negative kernel direction.	Corrected arithmetic floor remains open.
OP-KERNEL-FLOOR	operator	199	4158e0d3e7f91829a6c545308605ea8177023aa3	OPEN	UNPROVEN_GAP	LIVE	RH_EQUIVALENT_OR_BEARING	RETAIN_OPEN	Close complete capture and the fully corrected arithmetic kernel floor with epsilon_j tending to zero.	Matrix enlargement does not bypass the principal square-screw coordinate.
OP-FREDHOLM-POLE	operator	368	f6951a6bdb78a0778ca4b62e816c4c0a715ade0f	REFUTATION_AND_REPAIR	VERIFIED_WITH_FIXES	LIVE_REVIEWED_SNAPSHOT	ROUTE_INFRASTRUCTURE	CANONICALIZE_SCOPED	The explicit-formula pole contribution is hyperbolic [[0,1],[1,0]], yielding one forced negative direction; clean Darboux and rank-one completions survive.	Later #368 additions are post-review delta.
OP-T90502	operator	368	f6951a6bdb78a0778ca4b62e816c4c0a715ade0f	CORRUPTED_ARTIFACT	VERIFIED	SUPERSEDED	NONE	BLOCK	Binary-corrupted legacy T-90502 must not be integrated.	Use clean T-90503/T-90504.
FINITE-WITNESS	finite-criteria	372	9b9c2536d89b65cb999ec08e20fce3386383803a	FINITE_SEMIDECISION	VERIFIED_WITH_FIXES	LIVE_SEARCH	FINITE_COUNTEREXAMPLE_PROGRAM	CANONICALIZE_SCOPED	Robin, Nicolas, Li, Pick and Loewner packets provide finite barriers and feature-space exclusions.	No authenticated strict negative Riemann-data witness survives.
Z23-UPSTREAM	external	358	6f675e6e49c5b1fee3b1c7fce92331d2bad16948	IMPORTED_UNCONDITIONAL_THEOREM	IMPORTED_UPSTREAM_VERIFIED	LIVE_IMPORT	INDEPENDENT_PROGRESS	REGISTER_EXTERNAL	Anthropic Zeta23 fixed-window Theorems A-E and pinned Lean source are imported unconditional zero-proportion progress below RH.	Formalization scope is upstream fixed-window only.
Z23-LOCAL-EXT	external	358	6f675e6e49c5b1fee3b1c7fce92331d2bad16948	PROPOSED_COMPLETE	UNPROVEN_GAP	LIVE	INDEPENDENT_EXTENSION	RETAIN_SEPARATE	Short-window, growing-conductor and other local extensions are not covered by upstream Lean.	Require independent analytic review.
WINDOW-NOGAIN	external	360	df53319d9b8d465b01678986f86261a8d6d16965	UNCONDITIONAL_ARCHITECTURE_NO_GO	VERIFIED_WITH_FIXES	LIVE_FIREWALL	GENERIC_MECHANISM_NO_GO	CANONICALIZE_SCOPED	Finite coherent/no-alias multirate banks collapse or pay a nonnegative alias tax in the reviewed two-trace architecture.	Growing arithmetic resonant banks remain outside scope.
DELTA-Q4-337	post-review-delta	337	36b3bebea80e18f965f304638e2123c4d2363a09	PROPOSED_FULL_COMPOSITION	UNREVIEWED	POST_REVIEW_DELTA	UNKNOWN	QUARANTINE	Nine new Q4 Hermitian/dissipation files and T-32701 appeared after the responsible specialist's reviewed SHA.	No reviewed verdict transfers from #371.
DELTA-OP-368	post-review-delta	368	023434958a4c115c4d1f7d93ea310716f8bd81ae	PROPOSED_COMPLETE	UNREVIEWED	POST_REVIEW_DELTA	RH_EQUIVALENT_CRITERIA	QUARANTINE	Odd-sector Wiener-Hopf-Hankel and sine-Cauchy reductions were added after the reviewed f6951a6 snapshot.	Require delta review.
DELTA-OP-373	post-review-delta	373	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794	PROPOSED_COMPLETE	UNREVIEWED	POST_REVIEW_DELTA	RH_EQUIVALENT_CRITERIA	QUARANTINE	Gaussian Fredholm-Pontryagin completion and finite nonlinear witness criteria appeared after the review wave.	All-order prime-side positivity remains open in its own description.
