source_id	repository	source_commit	source_path	source_git_blob	source_url	inspection	c_verdict	omissions	local_authenticated_copy
S-599-CODE	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	experiments/X-97910-near-critical-factor67/verify.py	121a2767b0e9fe8ed0d76d6146f11807b9a4b587	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/experiments/X-97910-near-critical-factor67/verify.py	whole file read; authenticated copy; executed normal/-O	toy rational algebra plus non-directed floating sanity; no primitive input reads	native annular source, PNT/Mertens and open gates not proved	replay/references/pr599/verify.py
S-599-JSON	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	experiments/X-97910-near-critical-factor67/results/verification.json	7082465f6e1c37bf594318528b07b7cf84d64b14	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/experiments/X-97910-near-critical-factor67/results/verification.json	whole file read; generated bytes authenticated	byte-exact replay incl. canonical payload digest	does not turn self-hash into source or coverage authentication	replay/reproduced/pr599/verification.json
S-599-LINEAGE	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	integration/2026-08-18/t97910-factor67-product-boundary-provenance.md	874d4255f66135d0b81590518a177f9e937b45fa	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/integration/2026-08-18/t97910-factor67-product-boundary-provenance.md	whole file read	pr590=223f... pin intentional; 97900-to-97910 re-identification explicit	other proposed source archives and Q4 route not acquired	
S-599-WORKFLOW	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	.github/workflows/t97700-publish-pdf.yml	07440eef98f803148b86fa97e452829c272377c4	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/.github/workflows/t97700-publish-pdf.yml	whole file read; not executed	branch-scoped write-enabled publisher; exclude from blind scientific extraction	Drive payload/PDF bytes, run history, actual permissions not audited	
S-FORMAL-GUARD	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/scripts/check_no_sorry.sh	b1ef22a399fd9b2a8f8eab6c8eaf53d4da6a410b	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/scripts/check_no_sorry.sh	whole script read; blob authenticated; exact suggestion regex tested with GNU grep	10 false negatives and 1 false positive in 15 bounded fixtures	full shell pipeline and Lean/kernel not run	replay/references/formal/check_no_sorry.sh
S-FORMAL-SOURCE-CHECK	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/scripts/check_statement_sources.py	98cb07746628ccd6176d603e33bac4ebde46f5d1	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/scripts/check_statement_sources.py	whole script read; not executed	local normalized statement hash is not external zero computation evidence	transitive scripts/Lean proof inputs not completely reread	
S-FORMAL-MANIFEST	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/FORMAL_V0_1_MANIFEST.json	16053fbf8236cce1bf276e18cf0bb114e3c559c0	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/registry/FORMAL_V0_1_MANIFEST.json	whole file read	counts reconcile using bootstrap RH and grouped proved/refuted statuses	historical build audit not rerun; source membership139 not regenerated	
S-FORMAL-THEOREMS	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/FORMAL_V0_1_THEOREMS.tsv	ab64dc872856fec7bd3623a22dc62adb311b3748	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/registry/FORMAL_V0_1_THEOREMS.tsv	whole 34-row catalog mapped to A/B/C/C_API; every referenced declaration and defining module read	33 unique declarations desk-audited; five actual-Xi canonical entries vacuous at frozen input type	no fresh compilation, full dependency closure or exhaustive uncataloged declaration audit	
S-FORMAL-EXCLUSIONS	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/FORMAL_V0_1_EXCLUSIONS.tsv	4cb713871c95c88e509dc863eae67eac8b7a3375	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/registry/FORMAL_V0_1_EXCLUSIONS.tsv	whole 17-row catalog read	explicit finite/conditional/unformalized boundaries retained	exclusions are scope records, not proof of absence in all branches	
S-FORMAL-A	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/A.tsv	6a27f863aa4df8ae8aba84eb564d941fac0660a5	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/registry/deltas/A.tsv	whole 5-row catalog read; selected fields transcribed	2 proved / 2 conditional / 1 stated reported	declared types/bodies desk-read in separate source rows; no fresh elaboration/kernel run or full transitive audit	
S-FORMAL-B	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/B.tsv	09d6c8889ee239d33328002fd918040548a371b6	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/registry/deltas/B.tsv	whole 14-row catalog read; selected fields transcribed	includes three open blank-declaration rows; helpers not full analytic theorem	declared types/bodies desk-read in separate source rows; no fresh elaboration/kernel run or full transitive audit	
S-FORMAL-C	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/C.tsv	21b55d9fda25203d04dbb34d5b38b94daccba577	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/registry/deltas/C.tsv	whole 12-row catalog read; selected fields transcribed	catalog reports conditional Xi entries; C finds five empty-input headline mappings, with finite algebra separately scoped	declared types/bodies desk-read in separate source rows; no fresh elaboration/kernel run or full transitive audit	
S-FORMAL-API	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/deltas/C_API.tsv	eaf58c6b3f3fe9e69baf66a2bd4ea555e4703e00	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/registry/deltas/C_API.tsv	whole 6-row catalog read; selected fields transcribed	one repeated declaration aliases the canonical positive-sum theorem	not six independent newly proved canonical claims	
S-FORMAL-GENERATOR	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/scripts/generate_registry.py	15e8001a238f5e41097bc97000f289c71c4c6bd8	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/scripts/generate_registry.py	whole file read; not executed	RH bootstrap accounts for second STATED item	source139membership/delta directory not fully materialized	
S-FORMAL-RELEASE-CHECK	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/scripts/verify_formal_v0_1_release.py	cb143e592ff2e413e9cdd17699305c797a513624	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/scripts/verify_formal_v0_1_release.py	whole file read; not executed	PROVED reporting aggregates PROVED / UPSTREAM_PROVED / REFUTED_FORMALIZED	existence checks and status strings are not theorem-type verification	
S-LEAN-Analysis.FixedDetectorConsumer	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean	312e1e94cd29e1fce7a0b0b5f89064c338d5db68	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean	whole file, declaration types and bodies read	conditional fixed source/tail and RH assembly; every analytic premise remains explicit	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Analysis.SingularityTransfer	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/SingularityTransfer.lean	e598973cbd533750399d3bd7b3c5790b906d85f8	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Analysis/SingularityTransfer.lean	whole file, declaration types and bodies read	valid transfer for the weaker not-analytic-at predicate; punctured nonremovability not encoded by that predicate	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Analysis.MellinAPI	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/MellinAPI.lean	bc2a284d9a51e13235fdc5e55866c87d1593105c	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Analysis/MellinAPI.lean	whole file, declaration types and bodies read	tail convention and convergent Jordan decomposition; fixed A>1 logarithmic-box nonvanishing on Re(s)>0	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Analysis.LandauConsumer	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/LandauConsumer.lean	9c40d6b04303a717dd48f18d065483cf1673c122	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Analysis/LandauConsumer.lean	whole file, declaration types and bodies read	Landau and subpower holomorphy remain supplied Props; conditional application, not internal analytic proofs	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Arithmetic.FixedRows	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Arithmetic/FixedRows.lean	efda0451b4745110c3bad366935ce4efea9dd729	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Arithmetic/FixedRows.lean	whole file, declaration types and bodies read	exact complex numerator algebra on open unit disk; no native negative-mass estimate	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Arithmetic.SourceIdentities	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Arithmetic/SourceIdentities.lean	98315e28faf66a691696414e43ff15d7afd08c2c	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Arithmetic/SourceIdentities.lean	whole file, declaration types and bodies read	generic list identity and exact normalization/RN/parity fixtures, not complete labelled-source analytic theorems	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Arithmetic.Wavelet	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Arithmetic/Wavelet.lean	0410afadbf27a8f8b82163b6d867f3e823d99e07	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Arithmetic/Wavelet.lean	whole file, declaration types and bodies read	generic finite tap/summation helpers and type tags; no canonical ratio-eight/factor-67 or quantitative Vaughan theorem	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Arithmetic.HalfDivisor	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Arithmetic/HalfDivisor.lean	e4252823ed5418100807f6b1ceff4f77d6d67c8c	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Arithmetic/HalfDivisor.lean	whole file, declaration types and bodies read	exact arithmetic-function convolution eta*eta=zeta; not analytic Riemann zeta or full signed near-collision	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Operator.XiOrderThree	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/XiOrderThree.lean	8a57d165e4d585232d8976858871b99a0d39101e	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Operator/XiOrderThree.lean	whole file, declaration types and bodies read	headline ActualXiOrderThreeInputs is empty by the half-node contradiction; conditional proofs are vacuous at this source	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Operator.PickAlgebra	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/PickAlgebra.lean	d19c19e0acb468bff19849cfebcdfbb8501e1b16	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Operator/PickAlgebra.lean	whole file, declaration types and bodies read	exact finite determinant algebra with explicit denominators; determinant nonnegativity alone is not PSD	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Operator.ReciprocalConcavity	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/ReciprocalConcavity.lean	2f6604c5c3f4d7e0b18d047748d21b2701827aad	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Operator/ReciprocalConcavity.lean	whole file, declaration types and bodies read	positive-value jet sum square certificate; local orbit algebra; no actual-Xi analytic convergence supplied	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Operator.XiSourceSpecific	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/XiSourceSpecific.lean	da684227de5443511b60d1fafa0b1ccafa1883ee	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Operator/XiSourceSpecific.lean	whole file read in contiguous source windows 1-210, 211-430, 431-end	local orbit payment derived from source geometry; global tail and numerical reserve budget remain inputs	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Refutations.MatrixFirewalls	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Refutations/MatrixFirewalls.lean	301313df3ee6226d205e3a1d6a07c9d9ad81b335	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Refutations/MatrixFirewalls.lean	whole file, declaration types and bodies read	exact finite scalar counterexamples; not full analytic or operator realizations	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Refutations.HeatQ4Firewalls	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Refutations/HeatQ4Firewalls.lean	f2ba6884827fb5c7018ef3ecd361050c3037527c	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Refutations/HeatQ4Firewalls.lean	whole file, declaration types and bodies read	finite parity/displacement and filter witnesses only; no full uniform-center analytic no-go	not compiled; full transitive library/import closure not independently audited	
S-LEAN-Operator.RepeatedNodes	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/RepeatedNodes.lean	dc9e0792191207d7d0d9dcaafb80a08091cfb6c3	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Operator/RepeatedNodes.lean	whole file, declaration types and bodies read	duplicate-row congruence for identical function evaluations; not confluent Hermite limits	not compiled; full transitive library/import closure not independently audited	
S-LEAN-FOUNDATIONS	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/Foundations.lean	52b7a228c128d20dc5b57240b208fee104e624ed	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/RiemannFormal/Analysis/Foundations.lean	whole file read; point-defect counterexample reconstructed	NonremovableAt is not equivalent to punctured analytic nonextendability	not compiled; full transitive library/import closure not independently audited	
S-LEAN-XI-SHARED	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean	7d3dd6c98fd453d1810d80b0e1a39e2e4fbc7ab5	https://github.com/GettysburgResearch/riemann/blob/8d16f8d9c475db290bc85e53d775b93b9bcdb336/formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean	whole file read in contiguous source windows 1-210, 211-420, 421-end	FAIL_NONVACUITY: half-node algebra contradicts diagonalPositive; separate finite/empty orbit typing defect	not compiled; full transitive library/import closure not independently audited	
S-MATHLIB-XI	leanprover-community/mathlib4	51e6992efd06126df61a496bebf8f49482a4e129	Mathlib/NumberTheory/LSeries/RiemannZeta.lean	3c92195fce20df7fda41cfd823b3266f83cf3070	https://github.com/leanprover-community/mathlib4/blob/51e6992efd06126df61a496bebf8f49482a4e129/Mathlib/NumberTheory/LSeries/RiemannZeta.lean	source lines 1-180 read; remainder not read	proved completedRiemannZeta_eq and entire completedRiemannZeta0 support corrected entire-Xi expression	not compiled; remainder of file and transitive proofs not audited	
S-599-ATTRIBUTES	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	.gitattributes	62e797db6aa723053eb82b6c39fcd45c7d748160	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/.gitattributes	whole text file read	anchored text LF declarations only; no executable filter	original archive/PDF not acquired; final scientific disposition pending integrator reconciliation	
S-599-PRBODY	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	PR_BODY_97910.md	6cffb5a0138177553878c22b11ffba074d804bab	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/PR_BODY_97910.md	whole text file read	two separate conditional frontiers and historical publication lineage retained	original archive/PDF not acquired; final scientific disposition pending integrator reconciliation	
S-599-README	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	experiments/X-97910-near-critical-factor67/README.md	267fe934cdfdd60dddc994b4d5461b9252d63706	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/experiments/X-97910-near-critical-factor67/README.md	whole text file read	replay explicitly does not replace PNT/Mertens or prove the open gate	original archive/PDF not acquired; final scientific disposition pending integrator reconciliation	
S-599-CHECKSUMS	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	T97910_FACTOR67_PRODUCT_BOUNDARY_SHA256SUMS	34bcaff638e4f6d602d918a29f0b29cedb64022b	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/T97910_FACTOR67_PRODUCT_BOUNDARY_SHA256SUMS	whole text file read	11 source entries read; script/result locally authenticated, full 11-file materialization not performed	original archive/PDF not acquired; final scientific disposition pending integrator reconciliation	
S-599-SOURCELOCK	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	integration/2026-08-18/t97910-factor67-product-boundary-source-lock.json	ce86c4a0a9f12ecf6cc52bc1932ceb7e875142c3	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/integration/2026-08-18/t97910-factor67-product-boundary-source-lock.json	whole text file read	pr590 scientific freeze intentional; original archive and renamed source identities are distinct	original archive/PDF not acquired; final scientific disposition pending integrator reconciliation	
S-PASS1-check_census.py	GettysburgResearch/riemann	7466ad8081101508be7c7acf0065cb2e0944a639	reviews/C/check_census.py	6844efea894c2822efdfcb3d0d8112611d5a3f21	https://github.com/GettysburgResearch/riemann/blob/7466ad8081101508be7c7acf0065cb2e0944a639/reviews/C/check_census.py	whole read; local reconstruction byte-authenticated against exact Git blob	preserve original; update current review counts/status separately	does not establish scientific coverage	evidence/PASS1_check_census.py
S-PASS1-README.md	GettysburgResearch/riemann	7466ad8081101508be7c7acf0065cb2e0944a639	reviews/C/README.md	f115047d08605c8d0cedfadab441579664483abe	https://github.com/GettysburgResearch/riemann/blob/7466ad8081101508be7c7acf0065cb2e0944a639/reviews/C/README.md	whole read; local reconstruction byte-authenticated against exact Git blob	preserve original; update current review counts/status separately	does not establish scientific coverage	evidence/PASS1_README.md
S-PASS1-census_counts.json	GettysburgResearch/riemann	7466ad8081101508be7c7acf0065cb2e0944a639	reviews/C/census_counts.json	3114fe4d8a2bedc102b09230523e5d5f871051ea	https://github.com/GettysburgResearch/riemann/blob/7466ad8081101508be7c7acf0065cb2e0944a639/reviews/C/census_counts.json	whole read; local reconstruction byte-authenticated against exact Git blob	preserve original; update current review counts/status separately	does not establish scientific coverage	evidence/PASS1_census_counts.json
