review_id	source_id	claim	verdict	exact_scope	dependencies	evidence	required_repair	proposed_destination	independence
AS-011	AS_568_JSON_NEW	#568 result formatting and supplied-endpoint arithmetic	VERIFIED_CONDITIONAL_FINITE_REPLAY	Parsed values unchanged; exact negative combination of supplied bounds	AS_568_JSON_OLD; two supplied directed upper endpoints	supplement/REPORT.md#S03	Original primitive endpoint producer remains unreplayed	internal/archive/review-deltas/568/results	Independent reconstruction; no author test count is treated as proof
AS-012	AS_CONREY_FIFTH	L-104634 trial F5<exp(1/50)	INDEPENDENT_FINITE_BOUND_PASSED	R=1, phi=1-x, m=5; exact polynomial integrals and outward transcendental bounds	AS_CONREY_FUNCTIONAL formula; rational integration recurrence	supplement/REPORT.md#S04	Keep finite evaluation distinct from published analytic theorem	research/integrated/xi-derivatives/conrey-fifth-trial	Independent reconstruction; no author test count is treated as proof
AS-013	AS_CONREY_FUNCTIONAL	Conrey analytic implication and fifth height consumer	IMPORTED_ANALYTIC_INPUT_RETAINED	F5 bound implies alpha5>.98 under named functional theorem	Classical Conrey analytic theorem; strip invariance; separate companion passage	supplement/REPORT.md#S04	Do not silently replace .997 by .98 in downstream budgets; endpoint31/AFE not newly audited	research/integrated/xi-derivatives/imported-inputs	Independent reconstruction; no author test count is treated as proof
AS-014	AS_CRT	L-105105 actual-pole CRT selectors	VERIFIED_AT_STATED_SCOPE	Finite holomorphic window; complete pole manifest; correct jet-square coefficient r	Actual pole orders; finite CRT; residue theorem	supplement/REPORT.md#S05	Retain F-double-prime-only poles and removables; square of W1 alone is wrong	research/integrated/xi-residue/selectors	Independent reconstruction; no author test count is treated as proof
AS-015	AS_CRT	Root-free all-embedding encoder versus localized real moment	VERIFIED_WITH_SCOPE_RESTRICTION	Squarefree multiplicity strata, modular units, CRT; all embeddings included	Characteristic-zero polynomial gcd and CRT	supplement/REPORT.md#S05	Require localization or nonreal correction before a real-window estimate	research/integrated/xi-residue/all-root-encoder	Independent reconstruction; no author test count is treated as proof
AS-016	AS_CARTAN	L-105114 normalized finite minimum modulus	VERIFIED_AT_STATED_SCOPE	Finite radii and nonzero anchor; zero multiplicity retained	Jensen; normalized Blaschke factor; Borel-Caratheodory	supplement/REPORT.md#S05	Actual Xi anchors/growth and cofinal absorption are not supplied	research/integrated/xi-residue/cartan-collar	Independent reconstruction; no author test count is treated as proof
AS-017	AS_WATERFILL	L-105116 capped allocation and strict collar slack	VERIFIED_AT_STATED_SCOPE	Positive finite coefficients; closed budget; unique KKT solution	Strict convexity; finite disk projection bound	supplement/REPORT.md#S05	Use fixed fractional slack; strict open budget need not attain its infimum	research/integrated/xi-residue/collar-optimization	Independent reconstruction; no author test count is treated as proof
AS-018	AS_SAFERAY	L-105209 E_r prime equals E_(r+1) for variable lambda_r	FALSE_AS_WRITTEN	Actual positive nondegenerate Xi frequency measure	mu_(r+1)-mu_r=variance/mu_r>0	supplement/REPORT.md#S06	Replace by frozen-parameter E_(r,lambda_r) prime = E_(r+1,lambda_r)	research/integrated/xi-derivatives/repairs/frozen-parameter	Independent reconstruction; no author test count is treated as proof
AS-019	AS_SAFERAY	All-y positive-tilt variance estimate	VERIFIED_WITH_REPLACEMENT_PROOF	Uniform y>=0; large r; variance<=C/(r/w+y)	Actual theta log-tail derivatives; compact regularity; global concavity for large r	supplement/REPORT.md#S06	Extract S06 local-Gaussian/exterior-exponential proof; do not use false all-deviation Gaussian bound	research/integrated/xi-derivatives/repairs/tilted-variance	Independent reconstruction; no author test count is treated as proof
AS-020	AS_SAFERAY	Reflected component and derivative uniform majorants	VERIFIED_WITH_REPLACEMENT_PROOF	Every y>=0; relative size O(sigma/mu)	Positive support; e^-yu<=1; Cauchy-Schwarz; positive mass lower bounds	supplement/REPORT.md#S06	Replace sketched negative-saddle splits by equation (S9) in S06	research/integrated/xi-derivatives/repairs/reflected-tail	Independent reconstruction; no author test count is treated as proof
AS-021	AS_SAFERAY	Complete lower safe ray at high derivative order	VERIFIED_WITH_BINDING_REPAIR	T^2 log r/r ->0; same lambda in adjacent companion quotient	Frozen parameter; all-y variance; reflected majorants; sector continuity	supplement/REPORT.md#S06	New identity for repair; near-linear regime and low-order numerator remain open	research/integrated/xi-derivatives/repaired-safe-ray	Independent reconstruction; no author test count is treated as proof
AS-022	LONG_LEAN	LongGaps uniform auxiliary coefficient estimates	RECONSTRUCTED_ANALYTIC_COMPONENT	Squarefree auxiliary P; all gamma in [0,2beta]; fixed C independent of growing k	Normalizer integral; weak Euler product estimates; local divisor coefficients	supplement/REPORT.md#S07	Do not suppress exp(k C gamma) or turn metadata into a build receipt	research/integrated/external/long-gaps/coefficient-interface	Independent reconstruction; no author test count is treated as proof
AS-023	LONG_LEAN	LongGaps finite simultaneous-root sieve	RECONSTRUCTED_FINITE_COMPONENT	Complete tuple product cutoff, coprimality and integer averaging losses	Local covariance; injective state map; diagonal collision bound; row sums; uncoveredBound	supplement/REPORT.md#S07	Retain 16D^6/T and growing k+1 union factor	research/integrated/external/long-gaps/finite-sieve	Independent reconstruction; no author test count is treated as proof
AS-024	LONG_LEAN	LongGaps ShortTranslates growing-family quantifier	RECONSTRUCTED_ANALYTIC_COMPONENT	One eventual threshold for every allowed S with size<=delta x	Uniform coefficients; D=exp(x/8); T=floor exp x; auxiliary primes>x^6	supplement/REPORT.md#S07	Do not read as only each fixed finite family; keep affine root distinctness and proper divisors	research/integrated/external/long-gaps/short-translates	Independent reconstruction; no author test count is treated as proof
AS-025	LONG_LEAN	LongGaps covering and consecutive-prime endpoint	RECONSTRUCTED_END_TO_END_MATHEMATICAL_CHAIN	Fixed positive gap constant; all sufficiently large X	Initial sieve; Rankin smooth count; greedy residue product; ShortTranslates; CRT; Bertrand	supplement/REPORT.md#S07	No Lean/kernel acceptance or automatic native-source/RH transfer inferred	research/integrated/external/long-gaps/mathematical-digest	Independent reconstruction; no author test count is treated as proof
AS-026	AS_LONG_METADATA	LongGaps formalization metadata	NOT_EXECUTION_EVIDENCE	Metadata and theorem statement are distinct from checked proof execution	Pinned Lean module and toolchain required for build	supplement/REPORT.md#S07	C to verify compiler/kernel/Comparator as applicable	reviews/C/external-cross-review	Independent reconstruction; no author test count is treated as proof
AS-027	PG186_CHALLENGE	PrimeGaps186 three-axiom comparison contract	VERIFIED_CONDITIONAL_CONTRACT	Kloosterman3; shifted Kloosterman2 correlation; actual physical integral bounds remain inputs	Pinned definitions and exact types; post-solution specification	supplement/REPORT.md#S08	No unconditional theorem promotion from allowlisted axiom comparison	research/integrated/external/prime-gaps186/conditional-contract	Independent reconstruction; no author test count is treated as proof
AS-028	PG186_CHALLENGE	Weighted fragments finite-mass fallback	VERIFIED_AT_STATED_SCOPE	Positive cap; expected weighted mass equals cap; finite a.s. not finite support	Poisson intensity du/u per dyadic band; monotone convergence	supplement/REPORT.md#S08	Retain sample-location weights and paper measure scale	research/integrated/external/prime-gaps186/fragment-semantics	Independent reconstruction; no author test count is treated as proof
AS-029	CAT_HEIGHT	Compulsory-summand leading tax under quoted v1 premises	VERIFIED_CONDITIONAL_PROOF_OBSTRUCTION	Max-absolute-summand majorant >=rho^2 B^2 log B/2-O(B^2)	Quoted valuation coefficient; Pascal/Cauchy determinants; positive tail lower bound	supplement/REPORT.md#S09	Original PDF attribution and later version remain unverified; not Catalan rationality	research/integrated/external/catalan/conditional-height-audit	Independent reconstruction; no author test count is treated as proof
AS-030	LZ_ENDPOINTS	Lamzouri formal endpoint scope retained	IMPORTED_HYPOTHESES_AND_BUILD_HOLD	Earlier finite Hilbert reconstruction does not prove hRvM or hPC	Pinned source theorem parameters; prior A mathematical reconstruction	supplement/REPORT.md#S10	C to perform exact build/provenance; original PDF not newly acquired	reviews/C/external-cross-review	Independent reconstruction; no author test count is treated as proof
