semantic_id	reviewer_b_original_verdict	reviewer_a_cross_verdict	disposition	exact_source_pr	exact_source_sha	exact_source_path	evidence	local_or_nonminor	required_fix	downstream_effect	integration_recommendation	notes
OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92103-the-actual-xi-reciprocal-clark-coordinate-is-concave-through-order-three.md	C2-local assembly is credible. The displayed regrouping omits a residual (m0-1)R0 if the chosen critical orbit is not simple.	local	Either import simplicity for the selected orbit or retain the residual critical copies explicitly.	PSD conclusion survives; source text's claim that simplicity is unused must be corrected.	EXTRACT_WITH_FIXES	This is bookkeeping, not a missing curvature theorem.
OPERATOR.XI.PICK_ORDER3	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/theorems/T-92100-all-three-node-infinitesimal-safe-xi-pick-matrices-are-unconditionally-positive.md	Determinant, tp curvature, reserve budget and infinite assembly support PSD for every packet of size <=3.	local	Replace corrupt replay, repair source lock, and separate PSD from the unproved distinct-node strictness sentence unless strict reciprocal concavity is supplied.	Order four remains the first open interpolation order.	EXTRACT_AFTER_FIXES	No RH conclusion follows.
OPERATOR.XI.CURVATURE.PAIRWISE	VERIFIED	AGREE_VERIFIED	ACCEPT	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/lemmas/L-92200-reciprocal-xi-curvature-is-a-pairwise-squared-pole-dispersion.md	Exact pairwise dispersion identity is local algebra.	none	None.	Supports low-order Loewner analysis only.	EXTRACT_STANDALONE	Do not infer all-order passivity.
OPERATOR.XI.FRACTIONAL_STRING.GROWING_ORDER	GAP_BLOCKED	WEAKEN_TO_GAP	AGREE_NONMINOR_GAP	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/lemmas/L-92302-the-xi-impedance-is-eventually-matrix-monotone-to-a-growing-order.md	No uniform moving-order frame/Vandermonde lower bound is proved.	non-minor	Quarantine pending a new quantified theorem.	No growing-order reachability.	QUARANTINE	Fixed-order scaling remains intact.
OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91035-suzuki-hankel-is-the-explicit-completed-jordan-scattering-isometry.md	Amplitude-level isometry is not promoted to curvature sign in Reviewer B.	local	Pin imported theorem and normalization.	Standalone operator result only.	EXTRACT_WITH_FIXES	Source-type firewall is respected.
CRITERION.SUZUKI.FIRST_CHAOS_DOMINATION	OPEN_RH_EQUIVALENT	AGREE_OPEN_RH_EQUIVALENT	ACCEPT_OPEN	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/theorems/T-91008-corrected-delayed-first-chaos-tangent-intertwiner.md	Full coefficient-one polarized domination remains the actual gate.	none	None.	No false amplitude-to-curvature edge survives.	REGISTER_OPEN_EQUIVALENCE	Cross terms remain attached.
OPERATOR.FISHER.MODEL_COLLIGATION	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91313-completed-fisher-phase-feature-has-an-exact-vector-hankel-colligation.md	Reviewer B explicitly rejects Fisher/prime-Poisson source conflation.	local	Keep positive auxiliary source distinct from ordinary-prime source.	No invalid common-source inference.	EXTRACT_WITH_FIXES	Good source typing.
REFUTATION.HEAT.UNIFORM_CENTER	REFUTED_MECHANISM	AGREE_REFUTED	ACCEPT_REFUTATION	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/refutations/R-98710-uniform-center-fractional-heat-bound-fails.md	Bohr/vertical-limit type 1/2 obstruction is binding.	none	None.	Uniform-center fractional route remains dead.	CANONICAL_REFUTATION	Does not refute fixed-center signed heat.
CRITERION.HEAT.FIXED_CENTER_PHASE_LOCKED	OPEN_SUFFICIENT_FOR_RH	AGREE_OPEN_SUFFICIENT	ACCEPT_OPEN	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/theorems/T-98710-phase-locked-fractional-hermite-frontier.md	The source-faithful fixed-center estimate is not proved.	none	None.	Live but open route.	REGISTER_OPEN_SUFFICIENT	Correctly separated from uniform-center mechanism.
HEAT.HERMITE.COUNTABLE_CRITERION	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	research/external/anthropic-zeta23/proofs/CONFLUENT_ZERO_HEAT_MONOTONICITY.md	Terminal-pair argument, countable reduction and explicit formula are local deposited results; source explicitly disclaims Lean inheritance.	local	Retain normal convergence, tail and explicit-formula qualifications.	Valid criterion, not an unconditional sign theorem.	EXTRACT_WITH_FIXES	No upstream Zeta23 formal status is inherited.
HEAT.HERMITE.BROAD_KERNEL_POSITIVITY	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	384	95ed673529fd4ed8ac9308f6ef43e11bda1954c1	research/external/anthropic-zeta23/proofs/MACROSCOPIC_FIRST_HERMITE_POSITIVITY.md	Unconditional broad-kernel positivity is distinct from fractional uniform-center heat.	local	State threshold effectiveness and normalization.	Standalone region survives.	EXTRACT_WITH_FIXES	No RH claim.
HEAT.HERMITE.FOUR_LOGLOG_WEDGE	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	research/external/anthropic-zeta23/proofs/GROWING_RESOLUTION_FIRST_HERMITE_WEDGE.md	The (4-epsilon) loglog wedge is consistent with its phase-blind envelope.	local	State epsilon dependence and large-height threshold.	Constant-four signed boundary remains open.	EXTRACT_WITH_FIXES	PR #520 supplies an omitted stronger Q4-Hermite candidate.
Q4.ANNULAR.TRIPLE_FILTER	VERIFIED	AGREE_VERIFIED	ACCEPT	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md	Filter, factor-1024 support and stable inverse are exact.	none	None.	Exact Q4 reduction survives.	EXTRACT_STANDALONE	No sign estimate is proved.
Q4.ANNULAR.TEN_BAND_DECOMPOSITION	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md	Ten-band geometry and closed sectors survive method audit.	local	Pin exact kernel certificate and boundary ownership.	Reduction only.	EXTRACT_WITH_FIXES	No broad scan rerun.
Q4.ANNULAR.TYPE_I_II_NORMAL_FORMS	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	Source-preserving normal forms retain J1 and odd-core data.	local	Keep exact normalization and cutoffs.	Leaves balanced correlation open.	EXTRACT_WITH_FIXES	Exact reduction.
CRITERION.Q4.SACF	OPEN_RH_EQUIVALENT	WEAKEN_TO_CONDITIONAL	NONMINOR_LOGICAL_WEAKENING	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/theorems/T-95400-annular-separated-coprime-focc-is-the-exact-q4-gate.md	PR #580 proves SACF equivalent to its FOCC packet and SACF -> RH; it does not prove RH -> absolute-polylog SACF.	non-minor classification	Classify SACF as OPEN_SUFFICIENT_FOR_RH / exact FOCC gate, not RH-equivalent.	Removes an unsupported converse from canonical graph.	REGISTER_OPEN_SUFFICIENT	The later one-sided UOSACF criterion is the exact RH equivalence.
CRITERION.Q4.UOSACF	OPEN_RH_EQUIVALENT	AGREE_OPEN_RH_EQUIVALENT	ACCEPT_OPEN	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95600-uosacf-is-equivalent-to-rh.md	The source supplies both UOSACF -> RH and RH -> UOSACF by Mertens/partial summation.	none	None.	Exact criterion remains open, not independent progress.	REGISTER_OPEN_EQUIVALENCE	This is the controlling equivalence.
Q4.FILTER.SUBPOWER_INVARIANCE	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95601-subpower-invertible-filters-preserve-the-q4-criterion.md	Finite-filter exhaustion is valid for the stated invertibility class.	local	State endpoint sequence spaces and inverse costs.	No finite-filter leverage remains.	EXTRACT_WITH_FIXES	Does not prove UOSACF.
REFUTATION.BROWNIAN.COFINAL_STABILITY	REFUTED_MECHANISM	AGREE_REFUTED	ACCEPT_REFUTATION	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	Binding August analytic no-go is correctly imported.	none	None.	Raw/cofinal finite stability remains dead.	CANONICAL_REFUTATION	No heavy Brownian scan needed.
CRITERION.BROWNIAN.NEW_PRODUCER	OPEN_SUFFICIENT_FOR_RH	WEAKEN_TO_GAP	METHODOLOGY_NOT_THEOREM	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR_BODY	The row is a research category ('new producer or N(T)') rather than a mathematically stated sufficient theorem.	non-minor registry typing	Move to methodology/frontier registry unless a quantified theorem is supplied.	Must not be traversed in a proof graph.	MOVE_OUT_OF_CLAIM_GRAPH	Reviewer B itself notes that no producer exists.
REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	REFUTED_MECHANISM	AGREE_REFUTED	ACCEPT_REFUTATION	372	9b9c2536d89b65cb999ec08e20fce3386383803a	reports/integration-wave/20260811-independent-routes-review.md	B-Z*C^-1*Z <= B blocks rescue of an existing negative kernel direction.	none	None.	Binding operator firewall.	CANONICAL_REFUTATION	Correctly applied.
REFUTATION.FREDHOLM.FIXED_DEGREE_HIGH_CARRIER	REFUTED_MECHANISM	AGREE_REFUTED	ACCEPT_REFUTATION	387	388ba7feb9927025d46a70963389ec45c9ead2ac	PR_BODY	Fixed degree becomes asymptotically blind at high carrier.	local provenance	Replace PR_BODY with exact refutation path.	No fixed-degree RH edge.	CANONICAL_REFUTATION_AFTER_PATH_FIX	Mathematics accepted.
FINITE.ROBIN.BARRIER_5582_5583	RETAINED_HEAVY_CERTIFICATE	AGREE_VERIFIED_WITH_FIXES	ACCEPT_RETAINED_FINITE	372	9b9c2536d89b65cb999ec08e20fce3386383803a	PR_BODY	Finite barrier is durable but not a global implication; campaign not rerun.	local provenance	Pin canonical retained certificate path and hash.	Finite results stay outside RH reachability.	RETAIN_FINITE_RESULT	No global evidence claim.
