finding_id	original_finding	repaired_evidence	disposition	residual_scope	build_status	integration_effect	notes
HALF-DIVISOR-001	oneFieldReduction was a generic convolution identity, not the reviewed b_U/h_U ratio-four Hardy and endpoint reduction.	It was renamed genericOneFieldConvolution; etaCoeff_antidiagonal and eta_mul_eta remain exact, while B.tsv, source locks, and blueprint explicitly block the broader one-field packet.	RESOLVED_BY_HONEST_DOWNGRADE	b_U/h_U fields, ratio-four kernel, Hardy norm three, endpoint localization, signed near-collision, and final energy remain excluded.	BUILD_NOT_EXECUTED	Accept eta coefficient algebra, eta*eta=zeta, and the generic Möbius convolution helper only.	The analytic Dirichlet-series convergence claim is not made.
REGISTRY-FIRST-OWNER-001	B.tsv marked ARITH.SHARP.SEQUENTIAL_FIRST_OWNER PROVED.	B.tsv now marks the canonical row BLOCKED_MATHEMATICS and identifies the proved declaration only as a generic scalar/list helper.	RESOLVED	The canonical theorem remains open to formalization.	BUILD_NOT_EXECUTED	Registry no longer overstates this claim.	Canonical semantic ID is preserved with an honest blocked status.
REGISTRY-SOURCE-001	B.tsv marked the complete source-typing firewall PROVED from role tags and toy witnesses.	B.tsv now marks ARITH.SOURCE.TYPING_FIREWALLS BLOCKED_MATHEMATICS and lists the exact fixtures proved plus the public-reconstruction limitation.	RESOLVED	Complete provenance-safe source ledger remains blocked.	BUILD_NOT_EXECUTED	Registry status is now statement-faithful.	Local exact fixtures are separated in B_SOURCE_LOCKS.tsv.
REGISTRY-CONSUMER-001	B.tsv marked API.MELLIN.SUBPOWER_NEGATIVE_MASS PROVED_CONDITIONAL using a circular theorem.	The theorem was removed and the row is now BLOCKED_MATHEMATICS, with final A+B composition deferred.	RESOLVED	All analytic and arithmetic hypotheses remain explicit reconciliation obligations.	BUILD_NOT_EXECUTED	No circular RH edge remains in B's formal registry.	RH remains unproved.
BLUEPRINT-SCOPE-001	First-owner and source-firewall blueprint nodes presented partial helpers as complete canonical formalizations.	Both nodes are rewritten with literal local statements, explicit exclusions, and \notready markers.	RESOLVED	The excluded canonical layers remain pending.	BUILD_NOT_EXECUTED	Blueprint now matches the formal statuses.	The half-divisor and wavelet nodes are similarly narrowed.
BLUEPRINT-EDGE-001	The fixed-native consumer blueprint had a false five-three dependency edge not used by the Lean theorem.	The circular RH theorem and false \uses edge were removed; the new node documents only fixed arithmetic input specifications and says no theorem concludes RH.	RESOLVED	The future reconciled A+B consumer will need a new exact dependency edge.	BUILD_NOT_EXECUTED	Current blueprint dependency graph is no longer false.	No hidden RH-producing premise remains in B.
SOURCE-LOCKS-001	No B-owned declaration-to-source ledger existed.	B_SOURCE_LOCKS.tsv now records exact PR, SHA, path, claim ID, declaration, literal formal scope, status, and exclusions for accepted local theorems and helpers.	PARTIALLY_RESOLVED_WITH_EXCLUSION	The bootstrap source-lock validator was not modified to consume this separate ledger, its execution was not observed, and not every printed local declaration has its own row.	BUILD_NOT_EXECUTED	Use the ledger as review evidence, but do not treat it as machine-validated source-lock proof until reconciliation wires and runs a validator.	Sampled source paths and SHAs exist at the stated heads.
FORMAL-REPORT-001	No versioned Reviewer B formal-status and repair report existed.	formal/RiemannFormal/Arithmetic/REPAIR_REPORT.md is resident and separates exact finite algebra, honest downgrades, blocked mathematics, trust direction, axiom inventory, validation commands, and the unproved RH boundary.	RESOLVED	No retained successful build transcript exists.	BUILD_NOT_EXECUTED	Accept the report as the controlling publication narrative.	The PR body is consistent with the versioned report.
COMPARATOR-ROWS23-001	The ArithmeticRows23 challenge/solution text was accepted only pending build and axiom execution.	ChallengeDeps states exactly the finite unit-disc common-zero theorem; Solution imports ChallengeDeps and FixedRows, not Challenge, and proves the exact statement by the formal theorem.	RESOLVED	Comparator compilation and axiom output remain unexecuted.	BUILD_NOT_EXECUTED	Accept comparator statement fidelity; withhold compiled comparator trust.	The Challenge-side sorry remains confined to the permitted statement-only module.
COMPARATOR-FIVE-THREE-001	The FixedDetectorFiveThree challenge/solution text was accepted only pending build and axiom execution.	ChallengeDeps states exactly the finite 5:3 unit-disc noncancellation theorem; Solution imports ChallengeDeps and FixedRows, not Challenge, and proves that statement.	RESOLVED	Comparator compilation and axiom output remain unexecuted.	BUILD_NOT_EXECUTED	Accept comparator statement fidelity; withhold compiled comparator trust.	No analytic positivity or RH conclusion is included.
TRUST-DIRECTION-001	The trusted Arithmetic aggregate imported ComparatorSmoke and therefore solution modules.	ComparatorSmoke.lean was removed and Arithmetic.lean no longer imports it.	RESOLVED	None at the source-import direction level.	BUILD_NOT_EXECUTED	Trusted library and comparator solution layers are source-separated.	Compilation of the import closure remains under BUILD-001.
TRUST-CHEAT-001	Audit for trusted sorry/admit/custom axiom/opaque/unsafe leakage.	The exact repair diff adds no sorry, admit, axiom, opaque, or unsafe declaration; original static audit found sorry only in the two permitted Challenge modules, and repaired Solution modules do not import Challenge.	RESOLVED	This is a static source conclusion; #print axioms was not executed.	BUILD_NOT_EXECUTED	No source-level trust cheat blocks reconciliation; compiled axiom evidence is still required.	No post-#707 dependency was introduced.
Z-DOMAIN-001	Rows 2/3 and 5:3 formalize the domain ‖a‖<1 but do not prove the analytic substitution Re(z)>0 -> ‖2^-z‖<1.	FixedRows and both comparators remain exact at their literal unit-disc domain; B_SOURCE_LOCKS describes finite numerator algebra only.	PARTIALLY_RESOLVED_WITH_EXCLUSION	The complex-exponential coordinate adapter belongs in analytic reconciliation and is not resident here.	BUILD_NOT_EXECUTED	Accept finite algebra; exclude the z-coordinate bridge from B's proved scope.	This exclusion prevents promotion to the full Mellin consumer from B alone.
PUBLICATION-001	Verify completion and remote publication of promised repair artifacts.	PR #733 at 072b4dbd0e4e407728a59110eb4f7214e23f8f8d is open, draft, mergeable, and contains 21 files including REPAIR_REPORT.md, B.tsv, B_SOURCE_LOCKS.tsv, narrowed blueprint, exact repaired source modules, comparator topics, and axiom-print modules; no workflow or Reviewer A/C path is changed.	RESOLVED	Execution evidence remains absent under BUILD-001.	BUILD_NOT_EXECUTED	Remote publication completeness is accepted.	The primary branch was not modified during this acceptance review.
