semantic_id	lean_declaration	exact_source_claim	present	independent_build	statement_verdict	conditionality	trust_verdict	evidence	required_fix	integration_recommendation	notes
ARITH.VAUGHAN.HALF_DIVISOR	RiemannFormal.Arithmetic.HalfDivisor.oneFieldReduction	PR #696 f4016db5... L-102010.3-.13	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	LOCAL_CONVOLUTION_IDENTITY	STATIC_CLEAN	The generic identity (b*eta)^2*mu=b*b is exact; 120 independent cases passed.	Rename/narrow or formalize b_U,h_U, ratio-four fields, Hardy norm 3, and localization.	ACCEPT_LOCAL_ONLY	The canonical one-field reduction is not completed.
ARITH.WAVELET.MINIMAL_RATIO8	RiemannFormal.Arithmetic.Wavelet.threeTap_minimal	PR #674 9962f7f7... T-99910	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	GENERIC_MINIMALITY_LEMMA	STATIC_CLEAN	Determinant (q-1)^2 verified symbolically.	Instantiate exact sqrt(2) kernel and support.	ACCEPT_LOCAL_ONLY	Not the full canonical theorem.
ARITH.WAVELET.MINIMAL_RATIO8	RiemannFormal.Arithmetic.Wavelet.ratioEight_support	PR #674 9962f7f7... T-99910	YES	BUILD_FAILURE	STATEMENT_MISMATCH	TRIVIAL_SCALE_EQUALITY	STATIC_CLEAN	The theorem is only 2^3=8.	Prove exact kernel support and coefficients.	REJECT_CANONICAL_MAPPING	Name overstates content.
ARITH.WAVELET.MINIMAL_RATIO8	RiemannFormal.Arithmetic.Wavelet.factor67_antisymmetry	PR #674 9962f7f7... T-99910	YES	BUILD_FAILURE	STATEMENT_MISMATCH	GENERIC_AFFINE_CANCELLATION	STATIC_CLEAN	No constant 67, sqrt(2), or piecewise kernel occurs.	Formalize the actual factor-67 negative-copy theorem or rename.	REJECT_CANONICAL_MAPPING	Current theorem is generic nuisance-mode cancellation.
ARITH.WAVELET.ABEL_MERTENS	RiemannFormal.Arithmetic.Wavelet.finite_abel_mertens	PR #689 1751b5d6... L-100500	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	GENERIC_FINITE_SUMMATION_BY_PARTS	STATIC_CLEAN	41 exact rational cases passed.	Keep as helper and formalize the exact compact wavelet/Mertens frame.	ACCEPT_LOCAL_ONLY	B.tsv correctly leaves canonical frame blocked.
ARITH.XD.OLD_K0_K1_EDGE	RiemannFormal.Arithmetic.Wavelet.K0_ne_K1	PR #705 027ea8bd... R-103200	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	TYPE_TAG_FIREWALL	STATIC_CLEAN	Distinct constructors prevent direct definitional equality.	Do not describe this alone as the analytic counterexample.	ACCEPT_LOCAL_ONLY	Public constructors still allow coefficient rewrapping.
ARITH.XD.SAME_K1_TRANSLATION	RiemannFormal.Arithmetic.Wavelet.sameK1Translation_coefficient	PR #705 027ea8bd... L-103201	YES	BUILD_FAILURE	STATEMENT_MISMATCH	IDENTITY_FUNCTION_ONLY	STATIC_CLEAN	The function is definitionally the identity on a K1 detector.	Formalize the largest-prime/Vaughan L1(dX/X) translation theorem.	REJECT_CANONICAL_MAPPING	B.tsv leaves it blocked but the declaration name is not the source theorem.
API.MELLIN.SUBPOWER_NEGATIVE_MASS	RiemannFormal.MellinLandau.fixed_native_subpower_negative_mass_implies_RH	PR #653 e928fd61... L-99270/L-99272	YES	BUILD_FAILURE	STATEMENT_MISMATCH	PROVED_CONDITIONAL	STATIC_CLEAN	The proof calls analytic.consumes, which already assumes SubpowerNegativeMass d -> RH; sourceIdentity is unused.	Reconcile with Reviewer A exact API and make all hypotheses/dependencies operative.	DO_NOT_REGISTER_AS_CANONICAL_API	No theorem proves the negative-mass consumer itself.
COMPARATOR.ARITHMETIC_ROWS23	Solution.ArithmeticRows23.solution	trusted Mathlib-only comparator topic	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	UNCONDITIONAL_FINITE_ALGEBRA	STATIC_CLEAN	Challenge statement and solution match textually; no Challenge import in Solution.	Run independent comparator build and print axioms.	ACCEPT_AFTER_BUILD	Challenge-side sorry is isolated as allowed.
COMPARATOR.FIVE_THREE	Solution.FixedDetectorFiveThree.solution	trusted Mathlib-only comparator topic	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	UNCONDITIONAL_FINITE_ALGEBRA	STATIC_CLEAN	Challenge statement and solution match textually; no Challenge import in Solution.	Run independent comparator build and print axioms.	ACCEPT_AFTER_BUILD	Challenge-side sorry is isolated as allowed.
