assigned_deliverable	expected_path_or_declaration	present	builds	statement_matches	trust_clean	verdict	required_fix	notes
p^-1 versus p^-1/2 normalization firewall	normalized_p_inv_ne_p_inv_sqrt_witness	YES	NOT_INDEPENDENTLY_EXECUTED	NO	STATIC_CLEAN	STATEMENT_MISMATCH	Quantify a prime p and connect squared activity and amplitude to the normalized source operator.	The current theorem is only 1/4 != 1/2.
Half-divisor eta coefficients	HalfDivisor.etaCoeff / eta_prime_pow	YES	NOT_INDEPENDENTLY_EXECUTED	YES	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Obtain independent Lean build evidence.	The exact binomial/4^k prime-power normalization is stated at ArithmeticFunction scope.
eta * eta = 1	HalfDivisor.eta_mul_eta	YES	NOT_INDEPENDENTLY_EXECUTED	YES	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Clarify in all prose that arithmetic-function zeta is the constant-one positive-integer function; obtain build evidence.	The formal theorem is a Dirichlet-convolution identity, not merely a power-series statement and not an analytic Dirichlet-series claim.
One-field reduction	HalfDivisor.oneFieldReduction	PARTIAL	NOT_INDEPENDENTLY_EXECUTED	PARTIAL	STATIC_CLEAN	INCOMPLETE_PUBLICATION	Formalize the source-specific b_U/h_U identity and, if assigned, ratio-four fields, Hardy norm 3, and endpoint localization.	The generic convolution identity is valid finite algebra, but the reviewed L-102010 reduction is much stronger.
Ratio-eight/minimal wavelet algebra	Wavelet.threeTap_minimal and exact kernel declarations	PARTIAL	NOT_INDEPENDENTLY_EXECUTED	NO_CANONICAL	STATIC_CLEAN	STATEMENT_MISMATCH	Instantiate alpha=sqrt(2), prove the exact four coefficients, piecewise kernel, support, endpoint conventions, and factor-67 copy.	ratioEight_support is only 2^3=8 and factor67_antisymmetry contains no 67 or canonical kernel.
Finite Abel-Mertens identities	Wavelet.finite_abel_mertens	PARTIAL	NOT_INDEPENDENTLY_EXECUTED	PARTIAL	STATIC_CLEAN	INCOMPLETE_PUBLICATION	Add the exact wavelet/Mertens frame identity and endpoint convention; retain this theorem as generic summation by parts.	The local algebra is correct but not the canonical L-100500 frame.
K0/K1 typing firewall	KernelId, K0_ne_K1, sameK1Translation	PARTIAL	NOT_INDEPENDENTLY_EXECUTED	PARTIAL	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Do not map sameK1Translation to L-103201 until the L1(dX/X) translation theorem is formalized.	The false cross-kernel equality does not re-enter, but public reconstruction and the missing quantitative theorem remain.
Conditional fixed-detector-to-RH assembly	fixed_native_subpower_negative_mass_implies_RH	YES	NOT_INDEPENDENTLY_EXECUTED	NO_CANONICAL	STATIC_CLEAN	STATEMENT_MISMATCH	Use data.sourceIdentity, import/reconcile Reviewer A exact analytic predicates, and make numerator/noncancellation and all Landau hypotheses explicit.	The proof simply invokes an assumed consumes field that already states SubpowerNegativeMass d -> RH; sourceIdentity is unused.
Trusted ArithmeticRows23 comparator	Challenge/Solution ArithmeticRows23	YES	NOT_INDEPENDENTLY_EXECUTED	YES	STATIC_CLEAN	MISSING_COMPARATOR	Run the requested challenge and solution builds; retain exact output.	Statement and solution text match the finite algebra; independent comparator compilation is absent.
Trusted FixedDetectorFiveThree comparator	Challenge/Solution FixedDetectorFiveThree	YES	NOT_INDEPENDENTLY_EXECUTED	YES	STATIC_CLEAN	MISSING_COMPARATOR	Run the requested challenge and solution builds; retain exact output.	Statement and solution text match the finite algebra; independent comparator compilation is absent.
#print axioms coverage	Arithmetic/AxiomAudit.lean and comparator/PrintAxioms/ArithmeticFixedRows.lean	PARTIAL	NOT_INDEPENDENTLY_EXECUTED	PARTIAL	STATIC_CLEAN	INCOMPLETE_PUBLICATION	Invoke both files directly from the authoritative axiom audit and add missing headline prints.	Bootstrap check_axioms.sh runs neither B-owned print file directly; imported command output is not a retained audit.
B registry delta	formal/registry/deltas/B.tsv	YES	NOT_INDEPENDENTLY_VALIDATED	NO	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Downgrade first-owner, source-typing, and consumer rows; correct dependency semantics.	B.tsv is resident with 15 data rows, but several formal statuses exceed the actual Lean statements.
Reviewer B blueprint	formal/blueprint/src/content-B.tex	YES	NOT_INDEPENDENTLY_VALIDATED	NO	STATIC_CLEAN	FORMALLY_VERIFIED_WITH_FIXES	Mark first-owner/source firewall nodes not ready, remove false five-three dependency, and narrow theorem prose.	The file is resident at the final head; several nodes overstate exact coverage.
Exact source locks	Declaration-to-PR/SHA/path source-lock artifact	NO	NOT_APPLICABLE	NO	STATIC_CLEAN	SOURCE_LOCK_DEFECT	Add exact source claim locks for each headline and distinguish local sublemmas from the broader canonical claim.	No B-owned source-lock ledger or report is published; semantic IDs alone do not resolve partial-statement mappings.
Formal-status report	Reviewer B completion/formal status report	NO	NOT_APPLICABLE	NO	STATIC_CLEAN	INCOMPLETE_PUBLICATION	Publish a report separating proved local algebra, conditional theorems, blocked library work, and blocked mathematics.	PR body is not a versioned report artifact and contains no build transcript.
Overall heavy-pass completion	All assigned deliverables	PARTIAL	BUILD_FAILURE	NO	STATIC_ONLY	NOT_INTEGRATION_READY	Complete the nonlocal fixes and obtain independent build/axiom/registry/blueprint evidence.	Strong finite algebra is present, but the assignment is not complete and exact-head compilation was not established.
