packet_id	source_key	pr	commit	path	git_blob	reading_depth	execution	source_url	scope_note
ANT	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer/PROOF.md	57cf309490af3f5650326ffe86c4e44fc6b0e3c3	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-08-arithmetic-norm-transfer/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
ANT	S803	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer/SYNTHESIS.md	c57f733bd97ea2dff808cb9141bd24303296bcb3	FULL_SYNTHESIS_AND_DEPENDENCY_READING	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/db175de165a9077e709b1cb482998171ffc0c6e7/standalone/2026-09-08-arithmetic-norm-transfer/SYNTHESIS.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
DC	S804	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/CONSTRUCTION.md	89befcd45004a119129acc1cb1db834b048a328e	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad/standalone/2026-09-06-astra-domain-cutoff/CONSTRUCTION.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
DC	S804	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/GRAM_FLOOR.md	f3d3ee21501e9c4c14ad44fa0eafd68bcc2d51a6	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad/standalone/2026-09-06-astra-domain-cutoff/GRAM_FLOOR.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
DC	S804	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/TAIL_AND_DAMPING.md	e3d89c90780bafef47a087273caef775d13d85fa	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad/standalone/2026-09-06-astra-domain-cutoff/TAIL_AND_DAMPING.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
MW	S804	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/WORK_IDENTITY.md	f51ee8c99e3b5b5c8d8b8c325f346474c549200c	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad/standalone/2026-09-06-astra-mobius-work-resonance/WORK_IDENTITY.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
MW	S804	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/RESONANCE.md	e5170e1c9d40b92ec86d212bf2d7d0f6063b40e8	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad/standalone/2026-09-06-astra-mobius-work-resonance/RESONANCE.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
EF	S811	811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-entropy-feedback/PROOF.md	9fd9ead5d3d765ea1a6213ac931a216a6ac49b3f	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7/standalone/2026-09-07-astra-entropy-feedback/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
GCP	S828	828	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity/PROOF.md	2c22794bf7d883076fa3725f758c2f74a8ccd77d	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/528b33ac8d57b5a046260ee45d585cd3fe720f4c/standalone/2026-09-08-astra-grounding-capacity/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
GCP	S828	828	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity/SYNTHESIS_AND_ATTEMPT.md	d5b5775cfed45695b3450226b210231a8deed504	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/528b33ac8d57b5a046260ee45d585cd3fe720f4c/standalone/2026-09-08-astra-grounding-capacity/SYNTHESIS_AND_ATTEMPT.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
CCS	S829	829	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/PROOF.md	0c249620fd818f5fcfe3e18f077a2419d82badac	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/f782788933dc21a0fe6a844950f5ca532eba7d86/standalone/2026-09-08-astra-coherent-channel-synthesis/PROOF.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
CCS	S829	829	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/COHERENT_SOURCE.md	f747626a1c98ed51ecba3fe110d6067c2ba0094f	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/f782788933dc21a0fe6a844950f5ca532eba7d86/standalone/2026-09-08-astra-coherent-channel-synthesis/COHERENT_SOURCE.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
CCS	S829	829	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/SYNTHESIS.md	6430664f8f9b047ccedbf9fa08bc00cc727143d3	FULL_MANUSCRIPT_RECONSTRUCTION	NOT_EXECUTED_AUTHOR_SOURCE	https://github.com/GettysburgResearch/riemann/blob/f782788933dc21a0fe6a844950f5ca532eba7d86/standalone/2026-09-08-astra-coherent-channel-synthesis/SYNTHESIS.md	The file was read at the exact ref; other files in its package are not cleared. Git identity is connector-reported, not a whole-checkout authentication.
