review_id	packet_id	source_commit	source_path	source_blob	claim	recommendation	exact_scope	review_reason	required_dependencies	remaining	canonical_acceptance_changed
P3.CCS.01	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/PROOF.md	0c249620fd818f5fcfe3e18f077a2419d82badac	Squarefree anchoring overlap	RECOMMEND_SCOPED_COMPONENT	Same squarefree box/statistic as GCP	Same secular equation and asymptotic; closing cross-branch comment inspected	Both exact source histories	Extract once, not two independent discoveries or votes.	false
P3.CCS.02	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/PROOF.md	0c249620fd818f5fcfe3e18f077a2419d82badac	Stationary root-killed lifetime law	RECOMMEND_SCOPED_COMPONENT	Specified finite prime boxes; uniform rescaled-time exponential error O((loglogP)^-2)	Ground vector squared norm 1+V and root boundary give spectral sandwich; mean lifetime G	Complete eigenweights and finite Dirichlet restriction	Finite Poisson controls only; no stochastic model for actual prime signs.	false
P3.CCS.03	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/PROOF.md	0c249620fd818f5fcfe3e18f077a2419d82badac	Literal stopped-Mobius projection and complete energy identities	RECOMMEND_SCOPED_COMPONENT	Every finite N; full stopped future and all prime-power edges	Independent exact norm, projection, work and formal-log edge reconstructions	Original Hilbert-valued shifted-exponential field	Not a comparison between unrelated norms.	false
P3.CCS.04	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/PROOF.md	0c249620fd818f5fcfe3e18f077a2419d82badac	Native graph energy asymptotic and sign of the gap implication	RECOMMEND_SCOPED_OBSTRUCTION	E(v)=(6/pi^2)NlogN+O(N); graph gap upper-bounds complement not coherent channel	Complete squarefree/prime-neighbor count keeps higher powers	Elementary squarefree counting and full field	Does not refute the graph gap; coherent source upper bound remains open.	false
P3.CCS.05	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/PROOF.md	0c249620fd818f5fcfe3e18f077a2419d82badac	Native source convolution and zero-forced growth	RECOMMEND_CONDITIONAL_COMPONENT	Subpower J_N on one unbounded sequence would imply RH	Actual source convolution and full delayed Hardy test	Unchanged factorial source; hypothetical zeros with multiplicities	Signed cumulative-work upper bound not supplied.	false
P3.HT.01	HT	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares/PROOF.md	2ee61d78b5bcf8e06de973f7e29634112c37e1a9	Finite-height continuum annular lower bounds	RECOMMEND_CONDITIONAL_COMPONENT	All real 2<=m<=5e10 for D>1/10 and <=1e11 for D>1/200	Complete low-zero grouping/high-zero tail and numerical budgets independently checked	Imported Platt-Trudgian height3e12; exact full source/gamma normalization	External zero census not rerun; not all scales or a different window sign.	false
P3.HT.02	HT	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares/PROOF.md	2ee61d78b5bcf8e06de973f7e29634112c37e1a9	Constants and all-later-zero tail	RECOMMEND_SCOPED_COMPONENT	C0<237/5000; RHtail<37/(25*10^12)	Independent gamma/log/pi outward enclosures and finite-range endpoint checks	Analytic zero-count/tail bound proved in manuscript	No independent high-zero enumeration.	false
P3.AN.01	AN	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/annular-scalar-route/PROOF.md	0f1b21227d064e61f4f532d9025c78106baa688e	Annular fixed-filter and square-sampled source criterion	RECOMMEND_CONDITIONAL_COMPONENT	Literal source D with exact shift and all prime powers	Mellin transform poles, endpoint interpolation and Landau mechanism reconstructed	Noncancelling fixed multiplier and source-specific continuation	No unproved sign is assumed available.	false
P3.AN.02	AN	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/annular-scalar-route/PROOF.md	0f1b21227d064e61f4f532d9025c78106baa688e	Unshifted I>=0 claim at m2	RECOMMEND_SCOPED_OBSTRUCTION	Actual source at m=2 only	Independent exact prime-power coefficients and directed logs give strictly negative interval	I=D-1/4; not D	Do not describe as a refutation of shifted D or RH.	false
P3.ES.01	ES	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/euler-tail-stability/PROOF.md	24ebe2ccf09d26e773a0071c6b335bcaff2b4b3d	Uniform native slope and PNT slow variation	RECOMMEND_SCOPED_COMPONENT	All m>=2 Lipschitz bound; essential-sup derivative tends to0	Complete derivative weight, all jumps and Stieltjes bound	Unconditional PNT only for asymptotic part	No effective PNT threshold or sign follows.	false
P3.ES.02	ES	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/euler-tail-stability/PROOF.md	24ebe2ccf09d26e773a0071c6b335bcaff2b4b3d	Sharp coefficient precision threshold	RECOMMEND_SCOPED_COMPONENT	Fixed eta; signed perturbations C Lambda(n)n^-eta; critical coefficient49C/144	Positive exact extremizer and scaled fixed-test PNT comparison	All prime powers; fixed parameters	No uniformity in moving eta/frequency; transfer needs actual margin.	false
P3.ES.03	ES	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/euler-tail-stability/PROOF.md	24ebe2ccf09d26e773a0071c6b335bcaff2b4b3d	Euler tail counterfamily with matched safe moment	RECOMMEND_SCOPED_OBSTRUCTION	Changed large-prime local factors; finite prefix; positive coefficients; eta<1/2	Kronecker phase argument and countable-avoidance selection prevent pole cancellation	Explicit meromorphic quotient; not Riemann functional equation	No actual zeta zero, numerical parameter certificate or objection to exact infinite arithmetic identity.	false
P3.FM.01	FM	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt/PROOF_ATTEMPT.md	d1769ac602ce228f29885b541cd27108ad182018	Exact centered correlation expansion and negligible lattice error	RECOMMEND_SCOPED_COMPONENT	Finite moment matrices; uniform total lattice correction <5	Full ordered off-diagonal retained; BV trapezoid includes knot atoms	Complete integer subtraction Lambda-1; prime-power source	Original package/rejection suite is not executed in this pass.	false
P3.FM.02	FM	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt/PROOF_ATTEMPT.md	d1769ac602ce228f29885b541cd27108ad182018	Centered diagonal size and fixed-even-moment obstruction	RECOMMEND_CONDITIONAL_COMPONENT	Unconditional diagonal ~cw MlogM; positive logarithmic fixed moments under RH	PNT partial summation and absolute Fourier-series averaging; no zero-ordinate independence	Actual RH-conditional spectral expansion only for moment obstruction	Does not disprove failure-count saving; defeats the proposed fixed-moment upper target.	false
P3.PC.01	PC	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count/PROOF.md	d74f2d0fc75ffedd53198f7b12b5bcbbdba8b6c5	Prime-power curvature and Green interpolation	RECOMMEND_SCOPED_COMPONENT	Signed Radon second derivative; all three atom families; integer samples	Jump signs, endpoint atoms and total-variation budget reconstructed	Same native D; no prime-only replacement	Original package/rejection suite is not executed in this pass.	false
P3.PC.02	PC	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count/PROOF.md	d74f2d0fc75ffedd53198f7b12b5bcbbdba8b6c5	Negative runs and earlier failure-count criterion	RECOMMEND_CONDITIONAL_COMPONENT	Hypothetical zero implies stated failure-count lower exponent; square-root saving would suffice	Signed negative mass and delayed/pole argument	Full source and multiplicity convention	Later SS sharpens the sufficient count target; do not confuse count with mass.	false
P3.SS.01	SS	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap/PROOF.md	046a12cd9233aa7d8a9a3a5d4d4c64a67d4207be	Any fixed saving in deep failures implies RH	RECOMMEND_CONDITIONAL_COMPONENT	r=1 or2; fixed h>=0,delta>0; F_{r,h}(K)=O(K^(1-delta))	Finite amplitude/pole-boundary bootstrap with full cell control	Literal source, complete contour bounds and fixed parameter saving	No attained edge, zero simplicity or actual count upper bound assumed.	false
P3.SS.02	SS	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap/PROOF.md	046a12cd9233aa7d8a9a3a5d4d4c64a67d4207be	Native sublinear failure-count estimate	RETAIN_OPEN	All sufficiently large cutoff K on one declared sampling grid	None of the preceding regularity or finite evidence supplies it	Actual signed arithmetic	This is the remaining research theorem, not a review obligation to invent.	false
P3.MC.01	MC	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/balanced-mobius-contour/PROOF.md	8ebf299f6985600f56af0e340bf2ee57c090a65f	Bounded two-jet completion and quadratic convolution identity	RECOMMEND_SCOPED_COMPONENT	All integerY>=2; native prefix; support<4Y; coeff<20; S<130+logY	Harmonic divisor identity, moment equations and coefficient cutoffs reconstructed	All integer indices, including nonsquarefree corrections	Original package/rejection suite is not executed in this pass.	false
P3.MC.02	MC	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/balanced-mobius-contour/PROOF.md	8ebf299f6985600f56af0e340bf2ee57c090a65f	Critical-line contour and complete high-frequency tail	RECOMMEND_SCOPED_COMPONENT	Each finite polynomial; family bounds only under stated support/diagonal controls	Mellin decay and zeta/zeta-prime convexity justify shift and both tails	Correct Laurent residue and no reciprocal-zeta zero-free premise	Low-frequency native sign remains open.	false
P3.CR.01	CR	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/completion-rigidity-review/PROOF.md	8234e427ddda608f081ebff7c26605f8bad57eb5	Exact signed variational rigidity	RECOMMEND_SCOPED_COMPONENT	I_m=D-1/4+(45/128)m(pprime(1)-1)^2; real bilinear Hessian rank1	Explicit residue and polarization checked	Native prefix; p1=0; Y>=ceil(2m)	Not Hermitian modulus square; positive Hessian does not determine intercept.	false
P3.CR.02	CR	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/completion-rigidity-review/PROOF.md	8234e427ddda608f081ebff7c26605f8bad57eb5	Uniform shortened frequency interval	RECOMMEND_SCOPED_COMPONENT	Fixed nu>2/3; supportO(Y); diagonalO(logY)	Complete uniform tail estimate before minimization	Same phase/source and quantitative classical bounds	No sign for remaining interval; cannot optimize away fixed intercept.	false
P3.PR.01	PR	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/positive-residual-review/PROOF.md	9d49700e4378b2d5d0f1ebfe41861ac1dd01bd6e	Complete physical residual norm and delayed zero tests	RECOMMEND_SCOPED_COMPONENT	Every finite balanced native completion; all x>=1/all frequencies	Floor/Mellin identity and true full future; hypothetical-zero lower tests	Original affine target 1; not signed contour functional	Original package/rejection suite is not executed in this pass.	false
P3.PR.02	PR	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/positive-residual-review/PROOF.md	9d49700e4378b2d5d0f1ebfe41861ac1dd01bd6e	Two explicit small full-energy trial bounds	RECOMMEND_SCOPED_COMPONENT	Named p2,p4 trials; approximately .19000634 and .0579	Independent exact/periodic interval calculations with whole future tail	Literal source coefficients from manuscript	Not RN/RC optimized minima; p4 independent enclosure deliberately wider.	false
P3.RN.01	RN	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-residual-normalization-and-minima/PROOF.md	d5192fab330a92f336b7cb2c1c93ba517754d307	Derivative normalization with controlled energy cost	RECOMMEND_SCOPED_COMPONENT	Finite native completion and specific oblique correction; support extension retained	Projection identity and norm price reconstructed	Same floor target and balance	Not iterated contraction or unrestricted minimizer equivalence.	false
P3.RN.02	RN	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-residual-normalization-and-minima/PROOF.md	d5192fab330a92f336b7cb2c1c93ba517754d307	Pairwise-period Gram and finite residual minimum enclosure	RECOMMEND_SCOPED_COMPONENT	Declared finite free coordinates; positive explicit lower Gram bound	Floor triangular inversion and stationarity-residual sandwich	All fixed-support constraints, correct metric and directed primitive evaluation	Architecture, not execution of every numerical witness.	false
P3.RN.03	RN	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-residual-normalization-and-minima/PROOF.md	d5192fab330a92f336b7cb2c1c93ba517754d307	Four optimized two-jet numerical minima	HOLD_NUMERICAL_REPLAY	Exact four supports and derivative-normalized feasible classes	Main algorithm read; original numeric witness/core not independently replayed here	Literal data, pairwise periods, residual Gram lower bound	Do not replace by PR trials or RC balance-only minima.	false
P3.RN.04	RN	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-residual-normalization-and-minima/PROOF.md	d5192fab330a92f336b7cb2c1c93ba517754d307	Strengthened two-kernel hypothetical-zero lower bound	RECOMMEND_CONDITIONAL_COMPONENT	Prescribed derivative d; two complete delayed evaluations	Two evaluation kernels retain cross terms and full future	Actual zeta zero and normalization	Still a lower bound, not a closing upper estimate.	false
P3.DC.01	DC	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/CONSTRUCTION.md	89befcd45004a119129acc1cb1db834b048a328e	Ordinary-input local source realization	RECOMMEND_SCOPED_COMPONENT	Each finite horizon; actual factorial source; fixed target	Locally finite Mobius inversion and original-domain convolution	Unchanged source d and compact ordinary L2 input	No global bounded-input or zero intrinsic-floor conclusion.	false
P3.DC.02	DC	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/CONSTRUCTION.md	89befcd45004a119129acc1cb1db834b048a328e	Finite Gram floor and finite support cutoff	RECOMMEND_SCOPED_COMPONENT	Each fixed degreeN and b in[1/2,1]; explicit tiny floor and large cutoff	Small frequency arc and polynomial interpolation; tail paid	Original Gram/source and normalization	Invertibility is not practical complexity or RH.	false
P3.DC.03	DC	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff/CONSTRUCTION.md	89befcd45004a119129acc1cb1db834b048a328e	Damping and output-contraction boundaries	RECOMMEND_SCOPED_OBSTRUCTION	Specified dense perturbed generators and actual output family	Exact commutator and source-distinguishing argument	Keep original domain; full weighted coefficient cost	Not every damping method is refuted; upper commutator price is not a matching lower bound.	false
P3.MW.01	MW	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/WORK_IDENTITY.md	f51ee8c99e3b5b5c8d8b8c325f346474c549200c	Four-state full-future work identity	RECOMMEND_SCOPED_COMPONENT	Finite stopped Mobius inputs; exact observability Gram	Independent Lyapunov equation, positive pivots and source/target norms	Full terminal state energy and all signed work	Original package/rejection suite is not executed in this pass.	false
P3.MW.02	MW	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/WORK_IDENTITY.md	f51ee8c99e3b5b5c8d8b8c325f346474c549200c	Actual positive work at N3	RECOMMEND_SCOPED_OBSTRUCTION	Literal first three Mobius impulses	Independent directed computation proves W3>1/20	Actual logs and source correlation	Refutes universal diagonal domination only; 65536-event campaign not rerun.	false
P3.MW.03	MW	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/WORK_IDENTITY.md	f51ee8c99e3b5b5c8d8b8c325f346474c549200c	Multiplicity-aware critical-line input resonance	RECOMMEND_SCOPED_COMPONENT	Fixed finite packet of actual boundary zeros; matching source/target	Stable boundary division and finite adjoint probes; polynomial time lower bound	Classically existing critical-line zero; no simplicity or RH	Input lower bound does not imply output lower bound after stable convolution.	false
P3.EF.01	EF	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-entropy-feedback/PROOF.md	9fd9ead5d3d765ea1a6213ac931a216a6ac49b3f	Complete entropy/feedback work balance	RECOMMEND_SCOPED_COMPONENT	Every real X>=2; original physical Cauchy measure; all prime powers	Exact logcosh drift/jump remainder and initial bound	Same ordinary-prime forward completion	No independent-prime measure or discarded high powers.	false
P3.EF.02	EF	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-entropy-feedback/PROOF.md	9fd9ead5d3d765ea1a6213ac931a216a6ac49b3f	Positive feedback does not furnish work upper bound	RECOMMEND_SCOPED_OBSTRUCTION	Specified positive kernel and complete mixed-prime source	Kernel positivity retains signed off-diagonal work	Literal physical frequencies	No source-specific subpower W estimate supplied.	false
