packet_id	source_key	pr	packet_root	observed_head	last_main_manuscript_review_head	previous_published_main_review	pass3_main_review	cumulative_main_review	whole_packet_cleared	remaining_review
BG	S805	805	standalone/2026-09-06-astra-block-gain	602d7ddf9dbd2ba79bd6cada149772111ca72150		no	no	no	false	Main manuscripts, source dependencies, numerical witnesses and supporting files are still queued.
GT	S805	805	standalone/2026-09-06-astra-growth-transfer	602d7ddf9dbd2ba79bd6cada149772111ca72150		no	no	no	false	Main manuscripts, source dependencies, numerical witnesses and supporting files are still queued.
BL	S805	805	standalone/2026-09-06-astra-balanced-lift	602d7ddf9dbd2ba79bd6cada149772111ca72150		no	no	no	false	Main manuscripts, source dependencies, numerical witnesses and supporting files are still queued.
GE	S805	805	standalone/2026-09-06-astra-green-energy	602d7ddf9dbd2ba79bd6cada149772111ca72150		no	no	no	false	Main manuscripts, source dependencies, numerical witnesses and supporting files are still queued.
TE	S805	805	standalone/2026-09-06-astra-terminal-endpoint	602d7ddf9dbd2ba79bd6cada149772111ca72150		no	no	no	false	Main manuscripts, source dependencies, numerical witnesses and supporting files are still queued.
BH	S805	805	standalone/2026-09-07-astra-balanced-hyperbola	602d7ddf9dbd2ba79bd6cada149772111ca72150		no	no	no	false	Main manuscripts, source dependencies, numerical witnesses and supporting files are still queued.
CL	S805	805	standalone/2026-09-07-astra-critical-line-attempt	602d7ddf9dbd2ba79bd6cada149772111ca72150		no	no	no	false	Main manuscripts, source dependencies, numerical witnesses and supporting files are still queued.
OEC	S811	811	standalone/2026-09-07-astra-logarithmic-domain-transfer	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
EF	S811	811	standalone/2026-09-07-astra-entropy-feedback	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
EPD	S811	811	standalone/2026-09-07-astra-endpoint-prime-discrepancy	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
PDS	S811	811	standalone/2026-09-07-astra-prime-discrepancy	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
FR	S812	812	standalone/2026-09-07-astra-future-realization	2d683186cb3dd4f304159d8176215ceae8ac59fb	2d683186cb3dd4f304159d8176215ceae8ac59fb	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
FC	S812	812	standalone/2026-09-07-astra-feedback-and-conditioning	2d683186cb3dd4f304159d8176215ceae8ac59fb	2d683186cb3dd4f304159d8176215ceae8ac59fb	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
ST	S814	814	standalone/2026-09-07-astra-source-stability	dc7babb830cb696810fb68bd74f6a33459f5f921	dc7babb830cb696810fb68bd74f6a33459f5f921	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
HC	S817	817	standalone/2026-09-07-astra-quantitative-capture	1f97efdcf9dacd24351ecff0819c524f9bf40ec3	1f97efdcf9dacd24351ecff0819c524f9bf40ec3	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
CCT	S818	818	standalone/2026-09-08-astra-critical-cutoff-taper	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
SSQ	S818	818	standalone/2026-09-08-astra-square-grid-localization	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
IE	S819	819	standalone/2026-09-08-astra-intrinsic-entropy	c4fb013692c51d6b26b8a3c33200615af764da82	c4fb013692c51d6b26b8a3c33200615af764da82	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
LT	S823	823	standalone/2026-09-08-astra-late-tail-zero-insertion	effa056532b951051e16f858aa59abea07a565ea	effa056532b951051e16f858aa59abea07a565ea	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
TSR	TSR		standalone/2026-09-07-astra-all-rank-spectral-intersection	d916a2d60a7ff9a01f1b8bcd73d8583829f78ba6	d916a2d60a7ff9a01f1b8bcd73d8583829f78ba6	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
ADG	S825	825	standalone/2026-09-08-astra-divisor-gap	e4a486d3fd4009e3722e9e93f35710b834fbd195	e4a486d3fd4009e3722e9e93f35710b834fbd195	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
DPG	S826	826	standalone/2026-09-08-astra-divisor-poincare	3a82b80da82edbcd65d4538418a3d51d6030f058	3a82b80da82edbcd65d4538418a3d51d6030f058	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
ANT	S803	803	standalone/2026-09-08-arithmetic-norm-transfer	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
GCP	S828	828	standalone/2026-09-08-astra-grounding-capacity	528b33ac8d57b5a046260ee45d585cd3fe720f4c	528b33ac8d57b5a046260ee45d585cd3fe720f4c	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
CCS	S829	829	standalone/2026-09-08-astra-coherent-channel-synthesis	f782788933dc21a0fe6a844950f5ca532eba7d86	f782788933dc21a0fe6a844950f5ca532eba7d86	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
