route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
signed-cycle-debt	272;303;315;316;335	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	claims/lemmas/L-33108-cycle-debt-duals-factor-through-policy-capacity-drift.md	Cycle-Debt	A cofinal policy has subpower weighted negative Green occupation / optimized capacity debt.	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live primary route	would imply RH	L-33108; capacity-faithful boundary identities	first-boundary logarithmic debt and outer-band zero debt	R-90201 does not refute; ordinary atomic norm no-gos require optimized norm	prioritize	Strongest signed formulation after all corrections.
uniform-pascal-green	335;356	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	claims/lemmas/L-33109-internal-pascal-green-kernel-and-sharp-occupation-formula.md	L-33109	Uniform Pascal has hit probability 2/(n+1) and explicit Green occupation M_n=s_n+2/(n+1)sum_{m>n}s_m.	UNCONDITIONAL THEOREM	VERIFIED	canonical infrastructure	neutral	L-33107	exact resonance-free finite kernel		import canonical	Identifies average-carry inversion with Pascal occupation.
gamma-carry-convex-order	335	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	claims/lemmas/L-33101-gamma-carry-centered-convex-order.md	L-33101	The centered carry state is convex-order dominated by the Gamma target.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active partial result	neutral	continuum carry law	martingale coupling and moment comparison	independent-convolution interpretation refuted	retain with dependent-coupling scope	Does not supply a positive reciprocal-zeta factor.
square-root-state-margin	335	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	claims/lemmas/L-33106-critical-square-root-mode-has-strict-gamma-carry-martingale-margin.md	L-33106	The pure critical square-root state mode has a strict Gamma/carry moment margin.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	partial mechanism	neutral	L-33101	closes state mode only		retain as mode closure	Arithmetic Möbius occupation remains the obstruction.
top-half-hinge-elimination	332	c4d44dd9119795920bbbfae8acc841d28a20883c	claims/lemmas/L-32204-top-half-elimination-preserves-lower-slack-for-convex-targets.md	L-32204	For every decreasing discretely convex target, positive top-half inversion saturates high columns without overfilling lower columns.	UNCONDITIONAL THEOREM	VERIFIED	live partial theorem	potential RH mechanism	L-32201; all-parameter floor-prefix certificate	critical hinge exports a nonnegative strict-half residual		import and prioritize continuation	This is not merely finite evidence.
independent-excess-kernel-recycling	332	c4d44dd9119795920bbbfae8acc841d28a20883c	claims/refutations/R-32201-positive-floor-prefix-kernels-are-not-separately-carry-feasible.md	R-32201	Every exported floor-prefix excess kernel can be saturated independently by positive carry flow.	REFUTATION	FALSE	refuted local mechanism	neutral	L-32204 context	recombined residual remains live	R-32201	mark false	Complete CHS may still hold after recombination.
critical-hinge-saturation	332	c4d44dd9119795920bbbfae8acc841d28a20883c	claims/theorems/T-32201-critical-square-root-hinge-saturation-rh-proposal.md	T-32201/CHS	The strict-half residual can be recursively recycled to complete positive hinge saturation.	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live route	would imply RH	L-32204; residual cone stability	top-half step is verified	R-32201 blocks independent recycling	prioritize exact residual-cone theorem	First open theorem is iteration, not top-half positivity.
standalone-paired-eta-flow	303	4367007d658c78a42024a9c94c3c6b078cac2568	claims/refutations/R-30201-paired-eta-source-is-not-a-standalone-nonnegative-flow.md	R-30201	The displayed central/sibling edge pair is a standalone nonnegative realization of the formal paired eta source.	REFUTATION	FALSE	refuted	neutral	relative carry identity	correct signed adjacent-tree identity survives	R-30201	mark false	Mismatch already appears at q=4k.
source-mass-capacity	303	4367007d658c78a42024a9c94c3c6b078cac2568	claims/refutations/R-30202-hausdorff-source-mass-is-not-central-edge-capacity.md	R-30202	A Hausdorff source coefficient A_k supplies central-edge capacity A_k.	REFUTATION	FALSE	refuted	neutral	central-tree layer cake	canonical root capacity is A_k-B_k	R-30202	mark false	For eta the required/available ratio is 2k.
hausdorff-residual-invariance	303	4367007d658c78a42024a9c94c3c6b078cac2568	claims/lemmas/L-30202-shifted-hausdorff-residual-cone-invariance.md	L-30202	The shifted eta residual remains a Hausdorff moment source under all positive finite-difference generations.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active infrastructure	neutral	double-Laplace representation	analytic source typing survives		retain independently	Does not bind source mass to edge capacity.
source-flow-capacity	303	4367007d658c78a42024a9c94c3c6b078cac2568	claims/theorems/T-30201-source-bound-eta-pascal-rh-proposal.md	T-30201/SFC	Actual source entries can be bound to incoming central capacity with only polylog weighted defect across all generations.	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live boundary route	would imply RH	D-30201; L-30203; collars; no double spending	exact finite capacity LP and Farkas dual	R-30202 refutes automatic binding	prioritize capacity manifest theorem	One interface to signed Cycle Debt.
terminal-ordinary-atomic-norm	248;309;310;313	18e25ec92583e9110a57cf037b691491c278fe39	claims/refutations/R-30402-complete-critical-boundary-has-linear-atomic-norm.md	R-30402 lineage	The complete critical boundary has polylog ordinary divisor-source atomic norm.	REFUTATION	FALSE	refuted mechanism	neutral	complete boundary formula	optimized carry norm and scalar recombination survive	R-30402; R-30701 lineage	mark false	Do not transfer this lower bound to cycle-optimized norms.
arithmetic-fiber-lift	311	e4639719f88b80a459a31d205369554dfa7ecaf4	claims/lemmas/L-30501-arithmetic-fiber-dilation-and-adjacent-tree-commutator.md	L-30501 lineage	Boundary transport must retain arithmetic fiber ancestry; quotient-only lifting is insufficient.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active correction	neutral	floor/divisor fibers	exact adjacent-tree commutator and dilation witness	quotient-only source map superseded	import correction	Naive central recursion can amplify lower-band variation.
second-euler-alternation	312	75db5030dd5defe655f85d195508aae45694ed55	claims/refutations/R-30601-recombined-common-tail-is-not-second-euler-alternating.md	R-30601 lineage	After common-destination recombination the propagated tail retains a second Euler alternation.	REFUTATION	FALSE	refuted mechanism	neutral	common-destination sum	positive Hausdorff typing and interlacing identities survive	R-30601 lineage	mark false	Recombine before absolute values.
outer-band-carry-norm	315	33b312e32818adb78b5bdc78e4c64f1a870b532c	claims/lemmas/L-30903-outer-boundary-has-positive-central-flow.md	L-30903 lineage	The macroscopic outer boundary has a positive central-step realization with zero negative debt and O(log^2 X) coherent carry mass.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active repair	potential RH mechanism	boundary decomposition	shows atomic-norm and carry-norm separation		import as key norm distinction	Ordinary atomic Omega(X) does not kill Cycle Debt.
first-activated-boundary	316	c387a48cd6ff07433aafb08b312c0473efef9192	claims/lemmas/L-31001-first-activated-boundary-logarithmic-central-debt.md	L-31001 lineage	The first activated boundary has a paired representation with logarithmic central-flow debt and strict half-scale residual.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active partial theorem	potential RH mechanism	outer-band theorem; recombination	one-generation boundary control		import; isolate all-generation gap	Does not prove coefficient-one recurrence.
all-generation-boundary-recurrence	316;333	14731af78ebb0226aa418fd66203c5772b4411c6	claims/theorems/T-32401-critical-neutral-boundary-rh-proposal.md	CBVR/CNCR/HBC	Fresh and propagated boundaries obey a coefficient-one delayed recurrence with only polylog additive debt.	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live boundary route	would imply RH	first-boundary theorem; cap recombination; Pascal optimization	analytic core and bottom-coordinate identities	strict source-blind contraction is impossible	prioritize recurrence, not local norm	Another interface to signed Cycle Debt.
eta-pure-central-resolvent	317	9b49c103ab3bd91724182c4c2fecfe2f0c9cb490	claims/refutations/R-31101-complete-eta-resolvent-collapses-to-pure-central-producer.md	R-31101 lineage	Eta resolvent recombination creates a new pointwise-positive producer.	REFUTATION	FALSE	refuted mechanism	neutral	eta paired core	weighted-jet contraction and noncentral cycle routes survive	frozen pure-central producer counterexample	mark false	Need noncentral Pascal cycles or signed debt.
restricted-mersenne-saturation	314	f07f44263c3ff4b219918b05cac61a75e18ff773	claims/refutations/R-30801-eventual-mersenne-collar-saturation-fails.md	R-30801 lineage	The restricted Mersenne-collar flow is eventually feasible/saturating at all large endpoints.	REFUTATION	FALSE	refuted route	neutral	exact Mersenne localization; Mellin pole	finite isolated feasibility and unrestricted carry survive	R-30801 lineage	mark false; preserve localization	Both signs occur arbitrarily far out.
five-adic-finite-state-closure	322	c5cf36c4aa24e632963554fc270ef26bd29d0c61	claims/refutations/R-31601-five-residue-state-does-not-close-complete-carry.md	R-31601 lineage	The complete carry state closes on five residue classes with a strict contraction.	REFUTATION	FALSE	refuted mechanism	neutral	five-adic scaling identities	exact scaling and finite residue identities survive	R-31601 lineage	mark false	Omitted character modes prevent closure.
critical-eta-neutrality	324	501af0adf6302a9d15e1badaa7054de9d593db48	claims/lemmas/L-32402-criticality-means-neutrality.md	L-32402	At a zeta-zero mode the critical eta multiplier is exactly neutral; off-line modes expand under doubling.	UNCONDITIONAL THEOREM	VERIFIED	canonical firewall	neutral	eta Mellin multiplier	coefficient-one nonexpansion target		import canonical	Rules out strict source-blind contraction.
critical-haar-source	333	14731af78ebb0226aa418fd66203c5772b4411c6	claims/lemmas/L-32403-critical-haar-mobius-source.md	L-32403	The critical-Haar Möbius source has an exact three-bottom-coordinate central telescope and zero-safe Mellin multiplier.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active infrastructure	potential RH mechanism	critical eta/Haar factor	bottom-coordinate and annular normal forms		import as source filter	Final finite-cutoff boundary scalar is open.
uniform-pascal-reward-extremality	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90214-global-uniform-pascal-reward-extremality.md	L-90214	Among all nonnegative eventually constant rewards with no 3-channel, the unique extremizer is the 15:4 two-low-row reward.	UNCONDITIONAL THEOREM	VERIFIED	canonical low-row normal form	neutral	uniform-Pascal hitting law	global finite/infinite boundary rigidity		import canonical	Selects the scalar but proves no arithmetic sign.
positive-pascal-critical-neutrality	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90220-positive-pascal-rewards-have-positive-critical-defect.md	L-90220	A nonzero coordinatewise-positive uniform-Pascal reward can be exactly square-root critical-neutral.	REFUTATION	FALSE	mechanism-class no-go	neutral	Green reward budget	forces signed reward, another policy, or multiple channels	L-90220	mark impossible	Globalizes the finite annular filter no-go.
critical-neutral-minimax-adapter	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90221-critical-neutral-filter-minimax-debt-and-tail-sweep.md	L-90221	The unique minimax signed dyadic adapter is Q*(t)=(1-t)(1-sqrt(2)t), with an exactly summable reciprocal-square tail.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active reduction	potential RH mechanism	uniform-Pascal reward cone	collapses infinite signed reward to three coordinates		import as compact normal form	Does not prove the three-coordinate inequality.
cn3	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/theorems/T-90206-critical-neutral-three-source-rh-criterion.md	T-90206/CN3	The three-source inequality 3s2+2s3>=3sqrt(2)s1 implies RH and is the adjacent-dyadic Mertens-flux scalar.	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	live compact criterion	rh-bearing	L-90221-L-90225; Landau	three-source, odd-annulus, and Mertens-flux identities	literal divisor max-flow refuted	integrate as criterion, not progress	Unconditional CN3 remains open.
literal-divisor-flow-cn3	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90224-critical-neutral-divisor-graph-is-color-preserving.md	L-90224	A flow using only active divisibility/comparability edges can pay the negative critical-neutral annulus.	REFUTATION	FALSE	refuted mechanism	neutral	odd squarefree annulus	parity-breaking or external reservoirs remain possible	L-90224	mark false	Active 3/5/7 edges preserve the signed color.
canonical-positive-renewal	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/refutations/R-90226-l90215-boundary-forcing-repair.md	R-90226	The original large-cell forcing formula can be inserted unchanged at descendants below scale four.	REFUTATION	FALSE	repaired claim	neutral	L-90215	piecewise nonnegative all-scale forcing survives	R-90226	integrate corrected piecewise formula	Mutation at x=2 rejects the uncorrected inversion.
outer-sharp	347	f70bcda4d04200c96ddf5b74bc65ccb4aa8750ae	claims/lemmas/L-32311-outer-two-hundred-fifty-five-two-hundred-fifty-sixths-sharp-positivity.md	L-32311	Every nonendpoint SHARP coefficient with j>T/256 is strictly positive.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	verified partial theorem	neutral	fixed-cell inequalities; directed tail gates	outer 255/256 only		import with finite-depth label	Heavy directed replay inspected but not rerun.
sharp-bottom-tail	347	f70bcda4d04200c96ddf5b74bc65ccb4aa8750ae	claims/lemmas/L-32313-bottom-tail-is-a-shifted-zeta-riesz-state.md	L-32313	The fixed-depth bottom tail is a squared-hinge state with Mellin denominator zeta(s+1).	UNCONDITIONAL THEOREM	VERIFIED	canonical distinction	neutral	partial summation; Mellin transform	separates shifted-zeta tail from critical SHARP scalar		import canonical	Finite tail positivity is not RH progress.
full-sharp	335;347	f70bcda4d04200c96ddf5b74bc65ccb4aa8750ae	claims/theorems/T-32302-all-depth-sharp-rh-proposal.md	SHARP	All uniform-Pascal average-carry inverse coefficients are nonnegative at every depth.	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live route	would imply RH	L-33109; outer-band theorems	outer 255/256 and low-row reductions		retain as stronger-than-needed target	Inner 1/256/all-depth tail-vs-threshold remains open.
low-row-volterra-bridge	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90209-two-low-row-zero-safe-volterra-bridge.md	L-90209	The two-low-row SHARP scalar and critical-log scalar are related by one positive Volterra transform.	UNCONDITIONAL THEOREM	VERIFIED	canonical Rosetta identity	rh-bearing source preserved	uniform-Pascal low rows	exact source collapse		import canonical	Shows full SHARP is stronger than the actual consumer.
wsts-equivalence	348	89f0eb418a470d55e945b08daa3d0f0dc2fc7914	claims/theorems/T-90001-theta-bridge-equivalence.md	T-90001	Weighted Shell-Tail Stability is equivalent to RH.	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	canonical criterion	rh-equivalent	theta bridge; Moat; prime-ramp Landau consumer	resident O(log^4 X) converse and forward implication	older #240 presentation superseded	import repaired resident theorem	Top-cell and derivative-majorant repairs are load bearing.
wsts-unconditional	348	89f0eb418a470d55e945b08daa3d0f0dc2fc7914	claims/theorems/T-90001-theta-bridge-equivalence.md	WSTS	WSTS holds unconditionally.	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	open criterion	rh-equivalent	T-90001	finite z-collapse only		mark exactly RH-bearing	Do not list as unconditional progress.
z-collapse	348	89f0eb418a470d55e945b08daa3d0f0dc2fc7914	claims/lemmas/L-90005-dyadic-shell-one-crossing.md	L-90005	For even endpoints the shell-tail maximum collapses to one bottom scalar up to a tiny deterministic error.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active normal form	neutral	continuum one-crossing; secant transfer	removes z-max geometry		import as finite normal form	Does not estimate the surviving scalar.
prime-endpoint-symbol	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	claims/lemmas/L-90004-prime-seed-mellin-symbol.md	L-90004	The minimal prime endpoint has an exact Mellin symbol retaining every off-critical zero.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	canonical endpoint infrastructure	rh-bearing consumer	prime Euler product; endpoint identity	exact pole and main-term decomposition		import canonical	Foundation for endpoint criteria.
prime-endpoint-negativity	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	claims/theorems/T-90008-undifferenced-prime-endpoint-negativity-is-equivalent-to-rh.md	T-90008	A(X)<0 eventually is equivalent to RH.	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	canonical criterion	rh-equivalent	L-90004; Landau	integer and real endpoint forms		import as criterion	Unconditional sign remains open.
prime-power-moat	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	claims/lemmas/L-90014-prime-power-moat-is-globally-decreasing.md	L-90014	The zero-insensitive prime-power moat is globally negative and decreasing for X>=2.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	genuine unconditional progress	neutral	prime-power decomposition; repaired logarithm bound	exact deterministic drift	R-90006 repairs one bound line	import repaired theorem	Does not control the zero-sensitive prime endpoint by itself.
positive-column-occupancy	353	ed566f3198e236c54ba18049181016536f56d456	claims/lemmas/L-90015-column-residual-has-a-positive-occupancy-source.md	L-90015	Every carry column has an explicit positive moving occupancy-deficit source.	UNCONDITIONAL THEOREM	VERIFIED	active mechanism infrastructure	potential RH mechanism	exact sawtooth occupancy identity	positive source normal form		import canonical	A fixed column is eventually positive, so moving boundary matters.
prime-mean-age	353	ed566f3198e236c54ba18049181016536f56d456	claims/lemmas/L-90016-prime-endpoint-is-a-positive-source-mean-age-problem.md	L-90016	Prime endpoint negativity is exactly a backward mean-age less-than-two inequality for a positive source.	UNCONDITIONAL THEOREM	VERIFIED	canonical endpoint normal form	rh-bearing criterion	L-90015	positive source and finite cell law		import canonical	Normal form is exact; inequality remains open.
prime-square-source	353	ed566f3198e236c54ba18049181016536f56d456	claims/lemmas/L-90020-prime-square-occupancy-gap-is-minus-one-minus-zeta-half.md	L-90020	Prime squares supply the complete positive source constant -1-zeta(1/2) and the negative quadratic drift.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	genuine unconditional progress	neutral	PNT Riemann sum; occupancy Green kernel	isolates deterministic drift		import	Higher prime powers vanish after critical scaling.
complete-prime-power-gap	353	ed566f3198e236c54ba18049181016536f56d456	claims/theorems/T-90011-subquadratic-complete-prime-power-parabolic-gap-is-equivalent-to-rh.md	T-90011	F_Lambda(X)=o(log^2 X) is equivalent to RH; no eventual sign is required.	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	canonical criterion	rh-equivalent	prime-square moat; endpoint consumer	complete-prime-power front door		import as preferred compact criterion	Separate criterion from packing mechanism.
signed-packing-score	353	ed566f3198e236c54ba18049181016536f56d456	claims/lemmas/L-90023-any-near-seed-feasible-packing-closes-the-complete-gap.md	L-90023	A feasible packing with subquadratic signed seed-score loss implies RH.	CONDITIONAL IMPLICATION	VERIFIED	live consumer	implies RH	T-90011; carry feasibility	correct objective permits weights above one	unsigned ESGS/ESBT objectives superseded	import corrected objective	Unweighted slack is stronger than necessary.
factor64-minimality	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	claims/lemmas/L-90020-factor64-is-minimal-phase-blind-integer-annulus.md	L-90020	Factor 64 is minimal among finite integer-radix filters under the declared phase-blind absolute critical-zero norm method.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	method-relative theorem	neutral	DFT obstruction; zero-safe filter constraints	closes only the declared optimization class		import with method qualifier	Not a universal annular minimality theorem.
factor64-annular-criterion	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	claims/theorems/T-90015-improved-factor64-rational-annular-rh-equivalence.md	T-90015	The improved seven-scale factor-64 scalar is eventually negative iff RH, with a rigorous RH-side margin.	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	live criterion	rh-equivalent	zero-safe polynomial; Bernstein norm certificate	compact annular support [N,64N]		import as criterion	Finite scans are reconnaissance only.
factor64-pascal-reward	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90217-factor64-compact-signed-pascal-reward.md	L-90217	The improved factor-64 Pascal reward is negative exactly on states 13..63 and positive elsewhere with explicit tail.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live reduction	potential RH mechanism	uniform-Pascal filter cone	localizes signed mismatch to 51 states		import as exact bridge	The 51-state payment remains open.
factor64-pascal-payment	356	1a60df88aadac731ec32e48a87b74537662114dd	integration/gpt56-pro-90213-pascal-annular-frontier.md	open payment	Positive low rows and tail pay the complete negative reward block on states 13..63.	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live route	would imply RH	L-90217; critical Pascal occupation	exact finite debt block		prioritize	Generic positive-filter search cannot solve it.
radix-four-detail-packing	352	906b5a477a1ed7c88a40db7569924f15f3d54b72	claims/lemmas/L-90029-radix-four-detail-packing-has-positive-target-and-positive-endpoint-atoms.md	L-90029	Radix-four detailing makes both target and endpoint matrix positive and telescopes exactly to ordinary carry feasibility.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live mechanism infrastructure	potential RH mechanism	endpoint atoms; positive detail transform	positive triangular greedy and exact slack dictionary		import as strongest endpoint mechanism	Local positivity is closed; score control is not.
