proposal_pr	proposal_sha	route	claimed_conclusion	first_broken_arrow	failure_type	refutation_pr	refutation_sha	surviving_results	later_descendants	current_lifecycle	possible_resurrection	integration_action	notes
304	78b75fc17e27334a9950018528c1c6e083d74820	terminal cutoff atomic lift	polylog terminal divisor-source norm closes boundary	macroscopic quotient band forces linear atomic norm	EXACT COUNTEREXAMPLE	305,308,315,317	3a0bba085057b8ce3cf7f86aa79f6fcb13430325;c1d5fb282b1b9b0e453db3d94bb0695b7f2f9577;33b312e32818adb78b5bdc78e4c64f1a870b532c;9b49c103ab3bd91724182c4c2fecfe2f0c9cb490	adjacent commutator; exact lattice-shift terminalization; positive outer-band carry flow	COBT/CEV	REFUTED AS STATED	CHANGE OF NORM	archive atomic proof; retain optimized carry-coordinate salvage	atomic norm claim FALSE; optimized carry debt remains DORMANT BUT LIVE
314	f07f44263c3ff4b219918b05cac61a75e18ff773	Mersenne-collar fragmentation	eventual exact saturation for the declared MCF support menu	dual potential has nonreal eta poles forcing both signs cofinally	GENERIC MECHANISM NO-GO	314	f07f44263c3ff4b219918b05cac61a75e18ff773	eta/odd-Mobius identity; finite isolated feasibility; Mersenne localization	unrestricted carry/Cycle Debt	REFUTED AS STATED	NONE	mark exact support menu dead; do not generalize to adaptive support	FALSE for eventual MCF exactly; RH unaffected
315	33b312e32818adb78b5bdc78e4c64f1a870b532c	cycle-optimized boundary transference	optimized carry flow can absorb the linear cutoff boundary with polylog debt	outer band is solved but lower-band all-generation leakage is open	MISSING LOAD-BEARING THEOREM	317	9b49c103ab3bd91724182c4c2fecfe2f0c9cb490	Omega(X) atomic lower bound; zero-debt outer-band flow; O(log^2 X) column mass	CEV, Cycle Debt	DORMANT	NONSTATIONARY POLICY	retain as high-priority dormant question	strong local salvage; no full theorem
317	9b49c103ab3bd91724182c4c2fecfe2f0c9cb490	critical eta core/CEV	strict weighted-jet contraction plus finite terminalization yields subpower cycle debt	recombined flow equals the old pure-central producer, whose pointwise positivity fails; CEV is open	CONVOLUTION-ORDER ERROR	356	1a60df88aadac731ec32e48a87b74537662114dd	strict low-frequency eta contraction; exact shift factorization; central-producer identity	adaptive cycle-corrected debt	DORMANT	RECOMBINE BEFORE ABSOLUTE VALUES	retain finite producer and firewall; target noncentral cycles	UNPROVEN / GAP; pure-central positivity FALSE
318	277bfb19e2e5deed50b5bbc133453b7147046360	corrected Brownian Robin mixture	aggregate positive Robin fibers give an all-real-zero Brownian approximant	finite reflected-tail domination fails for every N and good fibers are not closed under positive superposition	EXACT COUNTEREXAMPLE	318	277bfb19e2e5deed50b5bbc133453b7147046360	correct one-fiber Robin theorem; aggregate length moments; Newton firewalls	343	DORMANT	MATRIX / INERTIA REPAIR	keep corrected fiber; promote aggregate canonical-system question	original aggregate closure FALSE; BACS DORMANT BUT LIVE
323	7182b6162d4015bf732dce434784f990f32c0785	radix-five/eta contraction	finite residue automaton or strict eta contraction closes the principal Mobius state	mod-five state contains nonprincipal Dirichlet-L channels; eta multiplier is neutral at every zeta-zero frequency	SOURCE-TYPING ERROR	323	7182b6162d4015bf732dce434784f990f32c0785	character decomposition; low-frequency weighted-jet contraction; dyadic uniqueness	330,Q4 dyadic family	SUPERSEDED	CHANGE OF SOURCE	encode character firewall and prefer source-complete dyadic route	zeta-only scope jump FALSE; stronger GRH-valued state remains open
325	8036edcd8b42f1fb3bbee605a6fae3b22985238d	Q4 reflected/Jordan	RDP coefficient-one dissipative placement yields polynomial pole energy and RH	positive row curvature and frames do not orient the full reflected product block	MISSING LOAD-BEARING THEOREM	345,350,357,362	36e0b71f27798835e622a0646474ff24064ca62a;eef62a7260b9c510b5539c13eb8329d6d142acd5;a2843d31649822014219a13ec29c70e4a30932cc;31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	Q4 all-pass source; paired reserve; tight current frame; physical placement	339-362	LIVE	MATRIX / INERTIA REPAIR	integrate as one Q4/Jordan family with explicit RH-equivalence firewall	conditional spine UNPROVEN / GAP
329	219cab4496357867018f300936c877967ac0a81b	SHARP/low-row continuum	all-depth SHARP or eventual sign of Psi gives RH	continuum sign is itself RH-bearing; positive renewal has noncontractive mass	RH-EQUIVALENCE FIREWALL	347,356	f70bcda4d04200c96ddf5b74bc65ccb4aa8750ae;1a60df88aadac731ec32e48a87b74537662114dd	square-root hinge reduction; positive renewal; exact Green identities; fixed-depth outer positivity	335,347,356	LIVE	DIFFERENT CONSUMER	retain finite bands and canonical scalar; label all-depth sign RH-equivalent	finite outer theorems VERIFIED WITH FIXES; global sign open
330	061fd77f6fc9ca79882310e9562ab7eaee8e8079	external de Bruijn-Newman claim audit	2026 external preprint proves Lambda_dBN=0 and RH	all-order coefficient asymptotic conflicts with Cauchy-Hadamard; zero ordering is circular	GENERIC MECHANISM NO-GO	330	061fd77f6fc9ca79882310e9562ab7eaee8e8079	finite calculations and complementary-minor identity at declared scope	dyadic PMSD proposal	ARCHIVAL	NONE	keep as literature audit, not repository theorem	claimed external proof REFUTED AS STATED
335	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	Gamma/Pascal/Markov Green	critical Gamma margin plus Markov occupation controls Cycle Debt	strict margin closes only one state mode; signed Green negative debt remains	MISSING LOAD-BEARING THEOREM	356	1a60df88aadac731ec32e48a87b74537662114dd	Gamma-carry convex order; Markov equivalence; dual drift factorization; uniform Pascal Green kernel	353,356	LIVE	CONTINUUM RATHER THAN FINITE-ATOMIC POLICY	canonicalize Green occupation and policy-debt target	VERIFIED WITH FIXES; arithmetic sign open
343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	raw Brownian Dirichlet/Hermite	cofinal zero-free Dirichlet-average factors imply RH	all-N half-plane zero-free theorem is missing	MISSING LOAD-BEARING THEOREM	N/A	N/A	exact beta-gamma factorization; N=2 theorem; explicit numerator; reciprocal Hermite identity	future BACS/raw route	DORMANT	DIFFERENT CONSUMER	promote as dormant finite analytic question	UNPROVEN / GAP but narrower than RH at fixed N
345	36e0b71f27798835e622a0646474ff24064ca62a	compact Q4 Schur row	local scalar Schur/Cramer-Rao argument bounds compact current	source-source Hessian diagonal vanishes while mixed derivative is nonzero	SCALAR / MATRIX SCOPE ERROR	345,350	36e0b71f27798835e622a0646474ff24064ca62a;eef62a7260b9c510b5539c13eb8329d6d142acd5	vector Jordan curvature; zero-bare compact source; exact Schur-row equivalence	357,359,362	REPAIRED	MATRIX / INERTIA REPAIR	retain vector packet; mark scalar shortcut dead	scalar shortcut FALSE; vector problem live
346	e0cfcf9277eb2c7101e9287e2c5f686780d5610b	odd-prime parity jet	positive odd-relative source curvature closes Q4 local forcing	bare charge and second-current source were typed in the wrong convolution order	SOURCE-TYPING ERROR	349,350	1177cbab90c3e948a746afebcc4c2a9198237dcb;eef62a7260b9c510b5539c13eb8329d6d142acd5	strict parity frame; balanced cofinal moat; compensated positive jet	341,345,357	REPAIRED	CHANGE OF SOURCE	supersede formulas, retain frame and corrected source packets	original D_C=S_odd and pointwise positivity FALSE
348	89f0eb418a470d55e945b08daa3d0f0dc2fc7914	WSTS/theta bridge	WSTS is equivalent to RH; z-collapse and annularization reduce geometry	unconditional WSTS is exactly the remaining RH-equivalent sign estimate	RH-EQUIVALENCE FIREWALL	351,352	22a94f431d7f4cd87db5f3efdd97b086f8f60183;906b5a477a1ed7c88a40db7569924f15f3d54b72	resident forward/converse consumers; one-crossing; Haar annularization	endpoint family	MERGED INTO ANOTHER ROUTE	DIFFERENT CONSUMER	index as endpoint front door, not proof progress	VERIFIED WITH FIXES conditional equivalence
351	22a94f431d7f4cd87db5f3efdd97b086f8f60183	Theta bridge/GFEP/multiplicative bootstrap	GFEP/WSTS reductions plus lambda-extremality identify an elementary closure	frozen GFEP/BTF are false; pretentious-distance information has an explicit deficit	GENERIC MECHANISM NO-GO	356	1a60df88aadac731ec32e48a87b74537662114dd	WSTS consumers; z-collapse; lambda-extremality conjecture; information-diet firewall	352,355,356	SUPERSEDED	STATE-DEPENDENT POLICY	retain reductions and conjecture; supersede frozen positivity claims	no unconditional proof; lambda-extremality EMPIRICAL ONLY beyond proved local mechanisms
352	906b5a477a1ed7c88a40db7569924f15f3d54b72	prime endpoint/factor-64 annulus	minimal phase-blind factor-64 eventual sign is equivalent to RH	unconditional annular sign is not supplied and is RH-equivalent	RH-EQUIVALENCE FIREWALL	353	ed566f3198e236c54ba18049181016536f56d456	prime seed Mellin symbol; negative prime-power moat; minimality and Bernstein certificates	353,356	LIVE	DIFFERENT CONSUMER	retain as compact endpoint consumer with exact normal form	criteria VERIFIED WITH FIXES; sign open
353	ed566f3198e236c54ba18049181016536f56d456	positive occupancy/prime-radical flux	subquadratic signed packing-score loss gives complete gap o(log^2 X) and RH	source-specific ordered transport or martingale estimate is missing	MISSING LOAD-BEARING THEOREM	N/A	N/A	positive occupancy source; mean-age law; Gamma bridge; prime-square drift; exact packing objective	335,352,356	LIVE	STATE-DEPENDENT POLICY	make canonical endpoint state packet; rank dormant transport theorem highly	UNPROVEN / GAP; generic pointwise sign deliberately avoided
356	1a60df88aadac731ec32e48a87b74537662114dd	finite-atomic fragmentation no-go	frozen binary-ternary GFEP/producer/BTF can close RH	certified characteristic pole forces cofinal sign oscillation; every finite stationary fixed-ratio policy lacks a source-independent gap	GENERIC MECHANISM NO-GO	356	1a60df88aadac731ec32e48a87b74537662114dd	lambda rigidity; positive convolution cone; policy dichotomy; resonance-free uniform Pascal	future adaptive/continuum policy	LIVE	NONSTATIONARY POLICY	canonicalize no-go theorem and surviving escape classes	frozen targets FALSE; signed/adaptive/continuum routes DORMANT BUT LIVE
357	a2843d31649822014219a13ec29c70e4a30932cc	Claude-inspired Q4 inertia	inertia-tolerant synthesis plus PIG yields Q4 recurrence and RH	small negative inertia does not bound arbitrarily large positive current	SCALAR / MATRIX SCOPE ERROR	362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	inertia-tolerant inequality; zero-bare row estimates; source/state dictionary	359,362	REPAIRED	DIFFERENT CONSUMER	retain negative-mass packet; prohibit current inference	inertia shortcut FALSE; PIG live but RH-equivalent
358	6f675e6e49c5b1fee3b1c7fce92331d2bad16948	Anthropic zeta-23 import/signature moments	imported >2/3 theorem plus short-window/conductor extension	co-lattice multiwindow class collapses; native extension awaits analytic review and Lean port	FINITE / COFINAL SCOPE ERROR	360,361,363	df53319d9b8d465b01678986f86261a8d6d16965;c13b8836f6c7f4e36f17ab1c4ebe41e4cf072f2e;01238699b9ea2844e674f56a965cde79559d770a	pinned external sources; co-lattice no-go; numerical optimizer saturation	360,361,363	LIVE	DIFFERENT CONSUMER	keep external and native packets strictly separated	upstream theorem source-pinned; native extension UNPROVEN / GAP
359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	aggregate Q4 inertia full proposal	aggregate determinant elimination closes coefficient-one recurrence and RH	negative-inertia bound does not control positive innovation; recurrence spends an unproved positive-mass estimate	MISSING LOAD-BEARING THEOREM	362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	current-free aggregate determinant inequality; cofinal negative-inertia estimate	362	REFUTED AS STATED	DIFFERENT CONSUMER	preserve algebra; reject full composition pending new positive statistic	full proposal UNPROVEN / GAP; not FALSE as individual lemmas
360	df53319d9b8d465b01678986f86261a8d6d16965	multirate/alias Gabor	finite multirate or resonant alias bank improves zeta-23 constant	all finite no-alias banks collapse; fixed/subpolynomial prime-resonant diagonals are lower order	GENERIC MECHANISM NO-GO	360	df53319d9b8d465b01678986f86261a8d6d16965	exact alias/polyphase variables; growing-bank frontier	363	DORMANT	NONSTATIONARY POLICY	close finite banks; retain growing prime-resonant question	finite architecture class closed; growing bank open
361	c13b8836f6c7f4e36f17ab1c4ebe41e4cf072f2e	Anthropic import/operator fusion	external theorem and finite-error/multiplicity extensions transfer into repository	full external Lean dependency closure not independently rebuilt; support>1 optimizer is conditional	ARTIFACT OR PROVENANCE FAILURE	N/A	N/A	robust transfer; multiplicity frontier; direct-sum no-gain; source hashes	363-366	LIVE	FINITE REPAIR	retain source-pinned external packet and separate native review status	upstream formalization not re-certified in this review
362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	Q4 PIG firewall	positive innovation gate is the final manageable Q4 estimate	RH implies PIG and conditional Q4 assembly gives PIG implies RH	RH-EQUIVALENCE FIREWALL	362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	filtered Chebyshev formula; zero-safe multiplier; logarithmic gauge	future multi-statistic consumers	LIVE	DIFFERENT CONSUMER	make PIG equivalence a mandatory front-door warning	criterion VERIFIED WITH FIXES; unconditional PIG open
363	01238699b9ea2844e674f56a965cde79559d770a	coherent Gabor/Xi pair spectrum	coherent same-lattice window bank gains new spectral information	coisometry preserves the full nonzero spectrum for every Hermitian form	GENERIC MECHANISM NO-GO	363	01238699b9ea2844e674f56a965cde79559d770a	complete off-line pair eigenvalues and depth moat	364-366	MERGED INTO ANOTHER ROUTE	DIFFERENT CONSUMER	close same-lattice bank class; retain pair-isolation packet	exact spectral collapse; irregular/polyphase centers remain live
364	219330bd0441a284fd16ff728dd843a7ee4503ee	Gaussian terminal-pair isolation	false RH yields a complete admissible negative Gaussian direction	arithmetic lower floor for the complete test family is missing	MISSING LOAD-BEARING THEOREM	365,366	902a4cfeb36392c07878591e4a8381e3f4c7b2db;3dd8184c4e34f3a7ecd2b64597c7737af2b59029	finite interpolation; terminal-pair threat graph; vanishing nuisance leakage	365,366	REPAIRED	DIFFERENT CONSUMER	integrate zero-side isolation separately from arithmetic floor	zero-side theorem proposed complete; RH not proved
365	902a4cfeb36392c07878591e4a8381e3f4c7b2db	Xi-cardinal Gram capture	packet-independent cardinal source removes Gram-collapse escape	corrected-kernel arithmetic floor remains RH-equivalent	RH-EQUIVALENCE FIREWALL	199	4158e0d3e7f91829a6c545308605ea8177023aa3	zero-resolvent division; O(1/L) capture; Schur Omega(L); Weil -2m	366	LIVE	DIFFERENT CONSUMER	canonicalize capture theorem and firewall floor	capture VERIFIED WITH FIXES; arithmetic floor open
366	3dd8184c4e34f3a7ecd2b64597c7737af2b59029	confluent Xi/Hermite jets	finite Gram collapse is eliminated by Newton jet renormalization	uniform active order O(log T), tail control, and corrected floor are not proved	FINITE / COFINAL SCOPE ERROR	N/A	N/A	finite confluent Gram positivity; depth-normalized pair law	future high-order packet	DORMANT	MATRIX / INERTIA REPAIR	retain finite theorem; create high-order moment-Gram dormant question	finite coalescence closed; cofinal growing-order problem live
