route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
allpass	#339	762c9192d9c6505e91e0f3e47f907c9a751b12a5	claims/lemmas/L-33804-allpass-bireflected-defect-is-a-block-state-telescope.md	L-33804	All-pass defect is exact two-frequency state telescope	UNCONDITIONAL THEOREM	VERIFIED	current	state telescope	L-33802; L-33803	matrix equality		integrate	
physical	#341	6725c527a1022842b370adb0b5656d2a02827d73	claims/lemmas/L-34001-entire-q4-jordan-physical-field-is-the-exact-atomized-carry-transform.md	L-34001	Real-X physical field equals typed carry transform	UNCONDITIONAL THEOREM	VERIFIED	current	placement	1*f convolution	real-coordinate equality		integrate	
two-state	#341	6725c527a1022842b370adb0b5656d2a02827d73	claims/lemmas/L-34009-critical-haar-product-and-individual-blocks-are-two-state.md	L-34009	Product and individual blocks form exact two-state ledger	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	state model	L-34007; L-34008	identities; recurrence open		integrate scoped	
reserve	#342	0ecb814f3f1d376ef28ab77ada6710c07e58f6d9	claims/lemmas/L-34005-q4-radix-four-reserve-increment-has-uniform-critical-moat.md	L-34005	Radix-four reserve increment has positive moat	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current	positive forcing	Q4 reserve	exact/cofinal bound		integrate scoped	
current	#342	0ecb814f3f1d376ef28ab77ada6710c07e58f6d9	claims/lemmas/L-34006-q4-innovation-second-current-is-lower-order.md	L-34006	Innovation second current is lower order	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	local lower ledger	L-34005	cofinal inequality		integrate warning	not current upper bound
recurrence	#345	36e0b71f27798835e622a0646474ff24064ca62a	claims/lemmas/L-34401-q4-compact-chebyshev-current-and-normalized-coefficient-one-recurrence.md	L-34401	Exact compact current and delayed recurrence	UNCONDITIONAL THEOREM	VERIFIED	current frontier	PIG recurrence	compact source	row equality; 1/3 forcing		integrate	
current	#345	36e0b71f27798835e622a0646474ff24064ca62a	claims/lemmas/L-34409-compact-relative-current-bound-is-an-exact-schur-row-inequality.md	L-34409	Current upper bound is exact Schur inequality	RH-EQUIVALENT CRITERION	UNPROVEN / GAP	open	current control	L-34401; reserve	equivalence only	PIG aggregate form	retain open	
source	#345	36e0b71f27798835e622a0646474ff24064ca62a	claims/lemmas/L-34410-relative-compact-source-has-zero-deep-bare-field.md	L-34410	Compact relative source is zero-bare deep inside	UNCONDITIONAL THEOREM	VERIFIED	current	common centering	compact algebra	exact identity		integrate	
synthesis	#346	e0cfcf9277eb2c7101e9287e2c5f686780d5610b	claims/lemmas/L-34401-q4-compact-innovation-strict-parity-synthesis.md	L-34401-synth	Finite synthesis has coefficient budget <2/5 ratio	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	finite reconstruction	L-26205; L-26206	Bezout and coefficient sum	#359 misuse	integrate scoped	not W*W bound
synthesis	#346	e0cfcf9277eb2c7101e9287e2c5f686780d5610b	claims/lemmas/L-34402-q4-compact-current-parity-jet-frame.md	L-34402	Exact joint parity/current jet-frame inequality	UNCONDITIONAL THEOREM	VERIFIED	current	finite frame	L-34401-synth	pointwise inequality		integrate	
source	#349	1177cbab90c3e948a746afebcc4c2a9198237dcb	claims/lemmas/L-34406-odd-source-relative-bare-charge-cancels-exactly.md	L-34406	Intermediate odd-source coefficient correction	ROUTE INFRASTRUCTURE	SUPERSEDED	historical	ancestor only	old odd-source line	coefficient -2	#350/#354	preserve	prefix/carry still conflated
source	#350	eef62a7260b9c510b5539c13eb8329d6d142acd5	claims/refutations/R-90009-odd-source-carry-transform-mismatch.md	R-90009	Odd current is not claimed carry transform	REFUTATION	VERIFIED	current firewall	typing repair	small-row algebra	exact mismatch	#354	integrate	body overstates head
source	#354	1541618502d345766a0e0b9758ae04f41c17335d	claims/refutations/R-34402-odd-relative-second-current-is-not-standard-selberg-carry.md	R-34402	Missing divisor convolution makes carry claim false	REFUTATION	VERIFIED	current firewall	typing repair	prefix vs carry	exact (log3)^2 witness	#349/#350	integrate	1*f mandatory
source	#354	1541618502d345766a0e0b9758ae04f41c17335d	claims/lemmas/L-34408-corrected-odd-relative-second-current-is-cofinally-positive.md	L-34408	Correct ordinary-prefix second current is cofinally positive	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current	source curvature	R-34402	cofinal prefix theorem		integrate scoped	not standard carry
matrix	#354	1541618502d345766a0e0b9758ae04f41c17335d	claims/lemmas/L-34412-fixed-filter-curvature-bound-is-equivalent-to-a-polarized-jet-matrix.md	L-34412	Filter curvature bound requires matrix/operator control	REFUTATION	VERIFIED	current firewall	rejects scalar->PSD jump	Jordan algebra	exact equivalence		integrate	
inertia	#357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90301-two-state-inertia-defect-curvature-synthesis.md	L-90301	True contraction pays scalar curvature plus negative mass	UNCONDITIONAL THEOREM	VERIFIED	current	inertia synthesis	W*W<=qI	exact linear algebra		integrate	hypothesis unmet by #346
inertia	#357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90304-zero-bare-q4-relative-curvature-has-subcritical-negative-mass.md	L-90304-row	Zero-bare row negative mass is O(n/log n)	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current	bad-spectrum bound	reserve; source T bound	cofinal inertia		integrate scoped	no current bound
inertia	#357	a2843d31649822014219a13ec29c70e4a30932cc	claims/refutations/R-90302-small-inertia-defect-does-not-bound-the-q4-current.md	R-90302	Zero negative mass can coexist with huge current	REFUTATION	VERIFIED	current firewall	kills #359 shortcut	determinant quadratic	exact family	#359 theorem	integrate urgent	
inertia	#357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90305-negative-spectral-mass-lifts-from-rows-to-blocks.md	L-90305	Negative mass lifts under nonnegative aggregation	UNCONDITIONAL THEOREM	VERIFIED	current	block bookkeeping	spectral convexity	exact lift		integrate	
allpass	#357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90306-allpass-curvature-telescope-pays-only-state-negative-mass.md	L-90306	All-pass telescope pays only state negative mass	UNCONDITIONAL THEOREM	VERIFIED	current	state bookkeeping	independent frequencies	exact sign/equality		integrate	
dictionary	#357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90308-exact-q4-source-state-dictionary-for-the-compact-jordan-path.md	L-90308.12	Bounded nonconstant multiplier transfers inertia masses by 4	UNCONDITIONAL THEOREM	FALSE	false subclaim	used in QIDR assembly	multiplier bound	dictionary algebra only	REV-Q4-02	remove/replace	
cascade	#357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90310-q4-two-stage-q2-cascade-cancels-every-internal-curvature.md	L-90310	Q2 cascade cancels internal curvature exactly	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current	internal cancellation	L-90309	final reservoir/global recurrence open		integrate scoped	
assembly	#357	a2843d31649822014219a13ec29c70e4a30932cc	claims/theorems/T-90302-complete-qidr-assembly-reduces-to-positive-innovation-mass.md	T-90302-QIDR	Claims complete assembly outside PIG	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	proposed	PIG=>RH claimed	L-90307..10; #345	row recurrence only	false L-90308.12	demote	exact block adapter absent
aggregate	#359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	claims/lemmas/L-90304-aggregate-inertia-eliminates-current-defect.md	L-90304-agg	Aggregate negative determinant defect is source-controlled	UNCONDITIONAL THEOREM	VERIFIED	current component	bad-spectrum only	nonnegative weights; common center	exact inequality		integrate standalone	
aggregate	#359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	claims/lemmas/L-90305-balanced-q4-aggregate-negative-inertia-is-polylog.md	L-90305-agg	Balanced aggregate negative inertia is polylog	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current component	bad-spectrum only	L-90304-agg; source bounds	cofinal estimate		integrate scoped	no current estimate
proposal	#359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	claims/theorems/T-90302-aggregate-inertia-q4-rh-proposal.md	T-90302.9	Coefficient budget is promoted to W*W<2/5	PROPOSED COMPLETE THEOREM	FALSE	superseded	claimed contraction	PR #346	no surviving arrow	REV-Q4-01	reject	actual value ~9.489489
proposal	#359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	claims/theorems/T-90302-aggregate-inertia-q4-rh-proposal.md	T-90302.10	Small negative inertia yields polynomial current and RH	PROPOSED COMPLETE THEOREM	FALSE	superseded	claimed RH proof	aggregate inertia; false contraction	components only	R-90302; #362	reject proof	RH not established
experiment	#359	9ffcb8d3dbc6affd859ea8567a061b71dd0d1e8b	experiments/X-90302-aggregate-inertia/results/verification.json	X-90302	32268 finite Hermitian cases pass	DISCOVERY ONLY	EMPIRICAL ONLY	retained	none	finite algebra	checker scope only		retain	not PIG/RH
PIG	#362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	claims/theorems/T-90404-positive-innovation-gate-is-rh-equivalent.md	T-90404-formula	Exact filtered-Chebyshev innovation and soft gauge	UNCONDITIONAL THEOREM	VERIFIED	current frontier	identifies PIG	compact source	row formula		integrate	
PIG	#362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	claims/theorems/T-90404-positive-innovation-gate-is-rh-equivalent.md	T-90404-RH=>PIG	RH implies polynomial PIG	CONDITIONAL IMPLICATION	VERIFIED	current frontier	RH=>PIG	von Koch; formula	O(log^4 n) normalized		integrate conditional	
PIG	#362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	claims/theorems/T-90404-positive-innovation-gate-is-rh-equivalent.md	T-90404-PIG=>RH	PIG implies RH through Q4 assembly	RH-EQUIVALENT CRITERION	UNPROVEN / GAP	open frontier	PIG=>RH claimed	#357; #297	conditional target	incomplete #357	retain open	needs exact pole adapter
pole	#362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	claims/lemmas/L-90405-central-q4-innovation-multiplier-is-zero-safe.md	L-90405	Q4 multiplier is strip-zero-safe; gauge lower pole order	UNCONDITIONAL THEOREM	VERIFIED	current frontier	pole visibility	finite multiplier; pole orders	exact nonvanishing		integrate	visibility not energy
firewall	#362	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	claims/refutations/R-90406-generic-l2-wavelet-bound-cannot-prove-pig.md	R-90406	Generic ell2/wavelet bounds cannot prove PIG	REFUTATION	VERIFIED WITH FIXES	current firewall	requires arithmetic input	power modes	generic obstruction		integrate scoped	
review	review	pending	audits/integration-wave/20260810-q4-exact-counterexamples.md	REV-Q4-01	Exact z=1/sqrt2 synthesis counterexample	REFUTATION	VERIFIED	new artifact	invalidates #359	PR #346/#359	exact algebra	T-90302.9	integrate refutation	
review	review	pending	audits/integration-wave/20260810-q4-exact-counterexamples.md	REV-Q4-02	Exact multiplier/inertia-transfer counterexample	REFUTATION	VERIFIED	new artifact	invalidates #357 transfer	L-90308.12	smooth-bump proof	L-90308.12	integrate refutation	
