route	pr_or_external_source	reviewed_sha	path_or_source	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	formalization_status	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
Local-to-global operator inference	PR #140	5f4df90f890615bde7762278951a8adab7f0083d	refutation files	R-LOCAL-GLOBAL	Local zero-free slabs or finite real-zero theorems do not imply global Weil/Pick/screw positivity	REFUTATION	VERIFIED	guardrail	blocks invalid global inference	none	exact counterlogic	local-to-global shortcut	integrate prominently	Shifted and unshifted positivity must be separated
Localized bottoms	PR #144	dd42bda400982e395c4102a8f66d25e2bb940e26	localized self-adjoint extension lemmas	LOCAL-BOTTOM	Monotonicity of localized spectral bottoms	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	live	becomes RH-equivalent only with completeness	none	finite/localized theorem plus criterion		integrate with dependency	Completeness is the load-bearing gate
Finite packet repair	PR #168	2a3667399b4a16311e1875932f9361c6aa6c8d0d	finite packet theorem	PACKET-REPAIR	Exact finite packet repair/augmentation	ROUTE INFRASTRUCTURE	VERIFIED	live	partial operator construction	none	finite packets		integrate	Omitted complement capture remains open
Complement augmentation	PR #192	6c1a3a73de6b020aabaf1dff6cda9b8c7129af3f	complement augmentation theorem	COMP-AUG	Positive complement augmentation is exact but does not imply full positivity	ROUTE INFRASTRUCTURE	VERIFIED	live	partial operator construction	none	finite block identity		integrate	Do not infer positivity of the full block
Schur identity	PR #199	4158e0d3e7f91829a6c545308605ea8177023aa3	claims/lemmas/L-19701-schur-corrected-offline-cardinal-gap.md	L-19701	S=B-Z* C^{-1} Z and hence S<=B for C>0	UNCONDITIONAL THEOREM	VERIFIED	live	exact operator classifier	none	finite Schur algebra		integrate prominently	Positive-complement elimination cannot rescue a negative kernel direction
Corrected-kernel floor	PR #199	4158e0d3e7f91829a6c545308605ea8177023aa3	claims/theorems/T-19701-kernel-floor-equivalent-to-rh.md	T-19701	After complete capture, a vanishing fully corrected kernel floor is equivalent to RH	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	first open endpoint	explicitly RH-equivalent	none	criterion only		integrate as open criterion	Do not classify as an independent coercivity estimate
Local Mobius synthesis	PR #204	4b770cf245ca2253efb0db2b807f4eab37775333	kernel synthesis lemmas	MOBIUS-LOCAL	Exact local Mobius/kernel synthesis	ROUTE INFRASTRUCTURE	VERIFIED	live	partial construction	none	finite/local identity		integrate	Complete tails remain open
Two-frame radical tail	PR #206	ff659984de0ab0c397ebefad393bc585c9007bc2	no-go theorem	TWO-FRAME-NOGO	A fixed two-frame radical-tail closure cannot prove the required global bound	REFUTATION	VERIFIED	closed shortcut	blocks one operator closure	none	exact no-go	fixed two-frame proposal	integrate as guardrail	Prevents recycling the same insufficient ansatz
Square-screw coordinate	PR #208	8a573d0245411313326223d8afb792e95eeef073	claims/lemmas/L-20704-square-screw-principal-coordinate.md	L-20704	The square-screw RH statistic is the constant coordinate of the full matrix	UNCONDITIONAL THEOREM	VERIFIED	live	shows non-independence of matrix endpoint	none	exact coordinate identity		integrate	Matrix positivity must prove the scalar sign too
Haar/r-adic blocks	PR #218	5fade63daa279fe6003b66f3763ca3bf05fd912d	finite block lemmas	HAAR-RADIC	Exact finite Haar/r-adic block algebra	ROUTE INFRASTRUCTURE	VERIFIED	live	partial operator route	none	finite blocks		integrate	No cofinal theorem
Suzuki shifted route	PR #337	46a4a25ccefbd480d533b03ee5e41d9980f25248	claims/lemmas/L-32703-suzuki-admissible-shift-to-zero-is-equivalent-to-weil-positivity.md	L-32703	Admissible shift-to-zero is equivalent to unshifted Weil positivity	RH-EQUIVALENT CRITERION	VERIFIED	live guardrail	equivalent to RH at the unshifted endpoint	none	exact equivalence		integrate	Finite shifted real-zero results are insufficient
Suzuki local spectrum shortcut	PR #337	46a4a25ccefbd480d533b03ee5e41d9980f25248	claims/refutations/R-32701-real-zero-semiloocal-spectrum-does-not-imply-weil-positivity.md	R-32701	Finite/local real spectrum does not imply Weil positivity	REFUTATION	VERIFIED	closed shortcut	blocks invalid inference	none	exact finite-dimensional countermodel	shortcut	integrate prominently	Includes shifted/unshifted distinction
Robin finite barrier	PR #24	ae477857d036fc182adb8db4e34e846fde7931b3	Robin finite-search theorem	ROBIN-FINITE	Authenticated finite Robin barrier and crossing data	FINITE SEMIDECISION	VERIFIED	finite	no global RH proof	none	declared finite range		integrate with finite scope	No violation found
Robin extended stream	PR #34	eda7ba6e378851ebe7ec1441b6503ba365eb0e35	retained report and manifests	ROBIN-1E54	Reported Robin verification through 1e54	FINITE SEMIDECISION	VERIFIED WITH FIXES	finite	no global RH proof	none	reported range with provenance caveat		retain cautiously	Complete raw stream not retained
Robin terminal stream	PR #53	5ee7df986e6191e57df33b7e0f32a0e22e10497e	terminal search claim	ROBIN-1E100	Claimed terminal Robin stream through 1e100	FINITE SEMIDECISION	UNPROVEN / GAP	blocked finite claim	no global RH proof	none	claim only		block promotion	Complete terminal stream omitted
Nicolas margin	PR #33	eed9b53ec995dfca119048eae060aab630f6065b	claims/lemmas/L-3107-additive-nicolas-margin.md	L-3107	Exact additive-margin recurrence and checkpoint interface	ROUTE INFRASTRUCTURE	VERIFIED	live finite search	possible finite counterexample search	none	checkpoint calculus		integrate	No negative checkpoint or cofinal theorem
Li reconnaissance	PR #22	749ecfd0d2af53fa6eb8fdb786b7ad0c218cd462	Li experiment outputs	LI-SCAN	Finite Li coefficient reconnaissance	DISCOVERY ONLY	EMPIRICAL ONLY	empirical	counterexample search only	none	retained finite scan		archive	No negative coefficient
Li quartet window	PR #33	eed9b53ec995dfca119048eae060aab630f6065b	claims/lemmas/L-3105-li-quartet-negative-window.md	L-3105	One hypothetical off-line quartet has a negative contribution in a bounded index window	CONDITIONAL IMPLICATION	VERIFIED	live lemma	conditional on an off-line zero; not a total Li sign	none	one quartet contribution		integrate with warning	Cannot infer negativity of the complete coefficient
Li Hermite inertia	PR #141	e15c50341187b7c0e672594654ad9416b55c9ce7	Hermite/inertia theorem and refutation	LI-HERMITE	Exact Hermite inertia algebra; complex-center shortcut fails	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live	finite criterion infrastructure	none	exact finite algebra	complex-center shortcut	integrate	No negative Riemann-data witness
Pick value-only table	PR #67	8f3cce40048c84f1bfd19e815491790a13e4247b	Pick table certificates	PICK-520	Complete declared 520-feature value-only table is positive	FINITE SEMIDECISION	VERIFIED	finite exclusion	no global RH proof	none	declared feature space		integrate certificate	Excludes this finite search space
Pick eight-point box A	PR #68	7b0942a83eede8b57d4f28b14a78d80edc295f2a	matrix-box certificate	PICK-8-A	Complete declared eight-point matrix box is positive	FINITE SEMIDECISION	VERIFIED	finite exclusion	no global RH proof	none	one exact box		integrate certificate	No strict negative witness
Pick eight-point box B	PR #71	82934cf24ed575e9e554ba4e6c912a447aa1dd4e	matrix-box certificate	PICK-8-B	Complete declared eight-point matrix box is positive	FINITE SEMIDECISION	VERIFIED	finite exclusion	no global RH proof	none	one exact box		integrate certificate	No strict negative witness
Pick replay	PR #80	724ba6621bcf864ffbf2f25680074198be618ea5	replay ledger	PICK-266	All 266 floating full-grid negative candidates replay positive	FINITE SEMIDECISION	VERIFIED	finite exclusion	no global RH proof	none	all retained candidates	floating negatives	integrate replay result	Strongest fixed direction also certified positive
Synthetic witness checker	PR #125	016ed393cd267bef8bbb4a4bf281179d95e8d7cb	checker controls	SYNTHETIC-NEG	Strict negative controls validate checker logic but contain no Riemann data	ROUTE INFRASTRUCTURE	VERIFIED	checker infrastructure	no RH evidence	none	synthetic tests only		integrate checker only	Do not report as an RH witness
CvS normalization	PR #173	7085396b3c7e033d50ac4c031c5acdbe9b7814a6	Connes-van Suijlekom correction files	CVS-NORM	Finite coordinate and normalization corrections	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	live	finite operator criterion	none	corrected finite formulation	older normalization	integrate corrected version	No cofinal positivity theorem
Anthropic paper	Official paper	6792988e6cd0e17690621ce898abd5d534f98407741bc7cb14bbe7d07c77d72f	official Zeta23 paper	A-E	Fixed-window 2/3, 2/3, 5/6 zero proportions; optimized constants; fixed primitive Dirichlet L extension	UNCONDITIONAL THEOREM	IMPORTED / UPSTREAM VERIFIED	upstream	strictly below RH	official Lean companion	fixed lambda and sufficiently large T		import with hash	No short-window or growing-conductor theorem
Anthropic Lean	anthropics/zeta-23-lean	3635e74826a4c1fcece7d1cd2b6fa75e43a00510	README; Statement.lean; FinalMult.lean; audit; manifest	A-E-Lean	Headline Theorems A-E are proved without user hypotheses	UNCONDITIONAL THEOREM	IMPORTED / UPSTREAM VERIFIED	upstream formalization	strictly below RH	Lean 4.33.0-rc2; Mathlib 51e6992efd06126df61a496bebf8f49482a4e129	upstream analytic foundations		pin exact commit	Major build inspected but not rerun; separate ceiling theorem has an extra enclosure premise
Anthropic source lock	PR #361	c13b8836f6c7f4e36f17ab1c4ebe41e4cf072f2e	research/external/anthropic-zeta23/SOURCE_LOCK.json; AUDIT.md	SOURCE-LOCK	Separates upstream hashes/formalization from local extensions	ROUTE INFRASTRUCTURE	VERIFIED	live provenance	prevents false formalization transfer	none	provenance front door		integrate	Preferred import boundary
Short-window Zeta23	PR #358	6f675e6e49c5b1fee3b1c7fce92331d2bad16948	claims/theorems/T-90301-short-window-hybrid-conductor-signature-moment.md	T-90301	Short-window and growing-conductor signature-moment extension	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live local extension	not upstream; not RH by itself	none	proposal only		keep open	Uniform RvM/trace/end effects/omitted factors/poles/taper are load-bearing
Co-lattice collapse	PR #358	6f675e6e49c5b1fee3b1c7fce92331d2bad16948	claims/lemmas/L-90301-co-lattice-multiwindow-collapse.md	L-90301	Completed-lattice co-lattice multiwindow collapse identity	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live local identity	zero-proportion infrastructure	none	completed-lattice identity		integrate locally	Does not include finite-window end effects
Multirate alias	PR #360	df53319d9b8d465b01678986f86261a8d6d16965	claims/lemmas/L-90401; L-90402	L-90401; L-90402	No-alias collapse and exact alias/polyphase decomposition	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live local identity	zero-proportion infrastructure	none	exact finite/lattice identities		integrate locally	Normalization and alias classes checked
Prime-resonant bank	PR #360	df53319d9b8d465b01678986f86261a8d6d16965	claims/lemmas/L-90403-subpolynomial-prime-resonant-alias-diagonal-is-lower-order.md	L-90403	Restricted fixed/subpolynomial prime-bank diagonal is lower order	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	live restricted theorem	not upstream; not RH	none	restricted bank and diagonal terms		integrate narrowly	Growing banks and non-diagonal cross-alias terms remain open
Coherent multiwindow	PR #363	01238699b9ea2844e674f56a965cde79559d770a	research/external/anthropic-zeta23/proofs/COHERENT_MULTIWINDOW_COLLAPSE.md	LOCAL-COLLAPSE	Same-lattice coherent compression	UNCONDITIONAL THEOREM	VERIFIED	live local identity	local Zeta23 extension	none	exact compression		integrate locally	No theorem-level upstream transfer
Offline pair spectrum	PR #363	01238699b9ea2844e674f56a965cde79559d770a	research/external/anthropic-zeta23/proofs/OFFLINE_PAIR_SPECTRUM.md	OFFLINE-SPECTRUM	Exact spectral signature of a hypothetical off-line pair	CONDITIONAL IMPLICATION	VERIFIED	live local lemma	conditional RH-counterfactual analysis	none	one pair spectrum		integrate locally	No contradiction by itself
Gaussian terminal isolation	PR #364	46caa771ad2ab7875c3ccd079d3ba327249fd9a4	research/external/anthropic-zeta23/proofs/FINITE_OFFLINE_ISOLATION.md; GAUSSIAN_TERMINAL_PAIR_ISOLATION.md	GAUSS-ISOLATE	Finite and terminal Gaussian isolation of a hypothetical off-line pair	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	live local route	RH-counterfactual isolation	none	isolation theorem		integrate with moved-head note	First reviewed at 219330bd0441a284fd16ff728dd843a7ee4503ee; re-reviewed after move
Xi-cardinal capture	PR #365	902a4cfeb36392c07878591e4a8381e3f4c7b2db	research/external/anthropic-zeta23/proofs/XI_CARDINAL_GRAM_CAPTURE.md	XI-CAPTURE	Xi-cardinal RKHS competitors and critical-lattice capture	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	live local route	terminal corrected floor is RH-bearing	none	finite competitors/capture architecture		integrate as infrastructure	Corrected arithmetic floor remains open
Confluent clusters	PR #366	3dd8184c4e34f3a7ecd2b64597c7737af2b59029	research/external/anthropic-zeta23/proofs/CONFLUENT_CLUSTER_RENORMALIZATION.md	CLUSTER-JET	Fixed-order confluent cluster/jet renormalization	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	live local route	terminal corrected floor is RH-bearing	none	fixed cluster order		integrate as infrastructure	Growing order and uniform tails remain open
Terminal Gaussian scalar	PR #367	2a725fb71794dfca11e76c1af2a49e6b3ea8bc9c	research/external/anthropic-zeta23/proofs/TERMINAL_GAUSSIAN_ARITHMETIC_FLOOR.md	GAUSS-FLOOR	Reduction of the corrected floor to a Gaussian-Chebyshev scalar sign	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	live terminal criterion	explicitly RH-equivalent	none	exact reduction		integrate as open criterion	No unconditional scalar sign proof
Pole-null trace class	PR #368	0de8f97f37617c050534c242ee3761af15b87a97	claims/lemmas/L-90505-cauchy-sobolev-trace-class-completion.md	L-90505	Cauchy-Sobolev trace-class completion	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live local route	analytic criterion infrastructure	none	trace-class completion		integrate clean lemma	Domain/normalization wording should be tightened
Pole-null index shift	PR #368	0de8f97f37617c050534c242ee3761af15b87a97	claims/lemmas/L-90506-pole-cardinals-and-exact-index-one-shift.md	L-90506	Pole cardinals and exact index-one shift	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live local route	analytic criterion infrastructure	none	index counting with multiplicity		integrate clean lemma	Do not claim one distinct zero per pair without multiplicity wording
Pole-null heat criterion	PR #368	0de8f97f37617c050534c242ee3761af15b87a97	claims/lemmas/L-90507-archimedean-levy-form-and-entire-heat-criterion.md; research/external/anthropic-zeta23/proofs/POLE_NULL_LEVY_HEAT_COMPLETION.md	L-90507	Levy-prime form and entire relative heat criterion	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	live local route	heat-sign endpoint equivalent to RH	none	clean lemma/proof files		integrate with fixes	Absolute-value/diamagnetic step does not preserve pole-null automatically; archimedean continuum is required
Pole-null theorem artifact	PR #368	0de8f97f37617c050534c242ee3761af15b87a97	claims/theorems/T-90502-pole-null-fredholm-heat-rh-equivalence.md	T-90502	Headline pole-null Fredholm/heat theorem file	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	blocked artifact	intended RH equivalence	none	no usable Markdown theorem	binary-corrupted blob f5bbc2392327b965a278917076c470f7eb15f359	block and rewrite	Invalid UTF-8; do not integrate
Q4 adverse-mass transfer	PR #357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90301-two-state-inertia-defect-curvature-synthesis.md	L-90301.6-.7	Adverse spectral mass controls trace/determinant curvature	UNCONDITIONAL THEOREM	VERIFIED	local conceptual transfer	Q4-adjacent, not independent and not upstream formalized	none	abstract trace/curvature inequalities		integrate separately	No second full Q4 review performed
Q4 universal 2x2 defect formula	PR #357	a2843d31649822014219a13ec29c70e4a30932cc	claims/lemmas/L-90301-two-state-inertia-defect-curvature-synthesis.md	L-90301.8	Displayed radical formula equals tr(K_-) for every 2x2 Hermitian K	UNCONDITIONAL THEOREM	FALSE	must repair	Q4-adjacent	none	mixed-sign specialization only	counterexample K=-I_2	patch before integration	Piecewise formula required
