item	required_deliverable	observed	presence	fidelity	verdict	fix_required
C11	fixed holomorphic-defect singularity transfer	fixed_holomorphic_defect_transfer; fixed_mellin_singularity_transfer	PRESENT	Exact local analytic algebra; defect is a fixed function within the theorem.	FORMALLY_VERIFIED	Source-specific consumers must still quantify the defect independently of a hypothetical zero/horizon.
C12	nonvanishing multiplier transfer	nonvanishing_multiplier_preserves_nonremovable	PRESENT	Exact generic theorem with analyticity and nonzero value explicit.	FORMALLY_VERIFIED	Add the fixed K_A formula/nonvanishing adapter for L-99270.
C13	reciprocal-zeta order/multiplicity API	reciprocalZeta_meromorphicOrderAt; reciprocalZeta_order_of_zeta_order	PARTIAL	Meromorphic order inversion is proved. The bridge from Zeta23 zeroMult/analyticOrderAt to the supplied meromorphic order is missing.	FORMALLY_VERIFIED_WITH_FIXES	Formalize analytic order = meromorphic order at rho!=1 and transport the Nat multiplicity.
C14	exact abstract Landau proposition	MellinLandauBoundarySingularity	PRESENT	It is an explicit Prop argument, not an axiom; however it is not the reviewed L-99272 statement and is false at its written generality because the standard Mellin lower boundary is controlled by x->0 while positivity is required only for x>=1.	STATEMENT_TOO_STRONG	Use the exact tail transform integral from 1 to infinity with x^(-s-1), or prove an inversion/indicator adapter and require positivity/nonzero on its actual support.
C15	exact subpower-negative-mass holomorphy proposition	SubpowerNegativeMassHolomorphy	PRESENT	It controls negative mass only on [1,X] but concludes holomorphy for the full standard Mellin transform on (0,infinity); behavior below 1 is unconstrained.	STATEMENT_TOO_STRONG	Zero-extend below 1 or use the exact tail transform; state the precise local-uniform/absolute convergence conclusion.
C16	strongest honest conditional consumer	No theorem combines detector identity, noncancellation, Landau, negative-mass holomorphy/right-zero exclusion, reflection, and RH	MISSING	Generic pieces and a reflection closure theorem exist, but the requested conclusion-facing composition is absent.	INCOMPLETE_PUBLICATION	Add one PROVED_CONDITIONAL theorem with every open proposition and source-specific identity/noncancellation hypothesis explicit.
C17	MellinAPI challenge/solution	Comparator.MellinAPI.fixedMellinConsumerChallenge/Solution	PRESENT	Trusted challenge is Mathlib-only and solution does not import Challenge. It tests only generic multiplier+defect transfer, not the Landau or final conditional consumer.	FORMALLY_VERIFIED_WITH_FIXES	Retain as generic API comparator; add a separate comparator for the strongest honest conditional consumer if required by the heavy prompt.
C18	A blueprint nodes	formal/blueprint/src/content-A.tex	PRESENT	Four nodes cover defect, multiplier, conditional Landau, negative mass, and reflection; blocked status is visible.	FORMALLY_VERIFIED_WITH_FIXES	Correct the two proposition statements and add the missing final consumer node.
C19	#print axioms coverage	formal/RiemannFormal/Analysis/AxiomAudit.lean	PARTIAL	A-specific prints exist, but canonical check_axioms.sh compiles only RiemannFormal/AxiomAudit.lean and comparator/PrintAxioms/RH.lean. A's print output is not audited by audit_axiom_output.py.	INCOMPLETE_PUBLICATION	Wire Analysis/AxiomAudit.lean and comparator/PrintAxioms/MellinAPI.lean into the trusted audit, preferably dynamically.
C20	review report and source locks	Analysis/REVIEW_REPORT.md; Upstream/SourceLocks.lean	PRESENT	Narrative is candid. New source SHA strings are not included in SOURCE_LOCKS.json or checked by verify_source_locks.py; paths/declaration blobs are not locked.	SOURCE_LOCK_DEFECT	Add machine-validated path/declaration locks and compare them at the pinned commits.
C21	owned modules compile	Static target inspection	FAILED	Top-level RiemannFormal/AxiomAudit.lean prints RiemannFormal.Upstream.zeta23_bridge_preserves_RH, but PR #734 removes that declaration from Zeta23Bridge.lean.	BUILD_FAILURE	Restore the theorem or update the trusted audit and expected axiom-output set consistently, then run the complete command suite.
