edge_id	from_object	to_object	verdict	condition_or_obstruction	review_units
D3-E034	small-prime complete cube	bulk/product-boundary split	VALID_WITH_EXTERNAL_INPUTS	beta<1-2kappa and inactive-divisor errors retained.	D3-U033
D3-E035	positive Euler main	positive full native root	OPEN_SIGN	Complementary product-boundary term is still uncontrolled.	D3-U033
D3-E036	literal 5:3 sparse source	four-band C4 boundary	VALID	Finite Fubini, unit atom and zero extension retained.	D3-U034;D3-U035
D3-E037	four-band boundary	logarithmic prime-owner form	VALID	Squarefree support, p not dividing cofactor, unit contribution separate.	D3-U036
D3-E038	root Bellman identities	C4MBI root inequality equivalence	VALID_CONDITIONAL	Exact antecedent root identities; no descendant uniformity.	D3-U037
D3-E039	root sign equivalence	unconditional root sign	NO_IMPLICATION	No producer bound is supplied.	D3-U037
D3-E040	radix-four adjoint identity	physical P_Lambda-H score	VALID	Common finite physical row and exact source normalization.	D3-U038
D3-E041	bounded physical packing error	J_Lambda-H endpoint control	FALSE_GENERAL_INFERENCE	F_Lambda remains as a separate arithmetic gap.	D3-U038
D3-E042	affine positive cell integration	physical two-node compression	VALID_CONDITIONAL	Actual affine geometry assumed; positive finite mass or trivial zero case.	D3-U039
D3-E043	three-square Cauchy identity	all-generation real-frequency frame	VALID	Fixed real u and terminal decay.	D3-U040;D3-U042
D3-E044	nonnegative frequency spectrum	positive-definite physical kernel	VALID	Declared Fourier convention.	D3-U041
D3-E045	positive-definite physical kernel	positive prime-inserted arithmetic form	OPEN_TRANSFER	Arithmetic insertion is signed and is not the same quadratic form.	D3-U041
