source_id	source_pr	source_sha	source_path	source_blob	inspection	boundary
S17	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	claims/refutations/R-97400-one-over-forty-p61-bias-is-false.md	1475c10167f5f414799e92c7f1cb5cea79960fbb	FULL_PROOF_READ	X=184 independently regenerated with rational outward bounds, not upstream MPFR.
S18	497	bd2a3c32ab50d8a8cec39c4b51ccd63349b23a74	claims/lemmas/L-93600-euler-ramp-has-a-uniform-five-over-y-three-halves-remainder.md	807bb47af7fe118784990f84fcf3cfa748a6b660	FULL_PROOF_READ	
S19	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md	87292b12a1f88c944ccad19ad6f756fa84583cbe	FULL_PROOF_READ	
S20	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md	a04a78d7be90a2e6dc5479d5a013ff3a38b4852a	FULL_PROOF_READ	
S21	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	fd5ee5939b1901a8ed57bd2ea6195fe3a531f682	FULL_PROOF_READ	
S22	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	experiments/X-95400-q4-focc-annular/certificates/exact_kernels.json	c0d12f07d1aa224bc986c280df0a823eede5047d	CERTIFICATE_READ_AND_COEFFICIENTS_RECONSTRUCTED	
S23	604	24212c02fab728bb6c419ed8f5a2429fdce07397	claims/lemmas/L-97702-four-band-critical-mobius-boundary.md	d30921f02db26212b79e8ee8f398bc17abf638d7	FULL_PROOF_READ	
S24	604	24212c02fab728bb6c419ed8f5a2429fdce07397	claims/lemmas/L-97703-prime-mobius-logarithmic-owner-decomposition.md	635ad14b31b11ff4b397e2ccac35183641102bc6	FULL_PROOF_READ	
S25	604	24212c02fab728bb6c419ed8f5a2429fdce07397	claims/theorems/T-97701-blpte-c4mbi-annular-equivalence.md	168ef3eca3babc8a7db127816274fe10023ad832	FULL_PROOF_READ	Root Bellman antecedents retained as explicit imports; no parent #590 producer acceptance.
S26	544	d4dcd1256dc9c8e110c860cff87b3f89aee842a5	claims/lemmas/L-96201-correct-score-decomposition-for-an-affine-volterra-row.md	8d4a3ded643d0c5421a970b2d89daa886116a4f5	FULL_PROOF_READ	
S27	544	d4dcd1256dc9c8e110c860cff87b3f89aee842a5	claims/refutations/R-96200-native-y4-slack-is-P-lambda-not-J-lambda.md	79229dfb14a9944841f8fc5a51b6c78858da34f9	FULL_PROOF_READ	Score identities checked; original F_Lambda(3) primitive not regenerated.
S28	544	d4dcd1256dc9c8e110c860cff87b3f89aee842a5	claims/lemmas/L-96200-affine-cell-compression-survives-the-normalization-correction.md	180b1711570d0684f06cdf97e9c770b5799c8b51	FULL_PROOF_READ	
S29	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91022-sixteenfold-cauchy-detail-storage-and-three-square-residual.md	b2d0cfcb985a353de1acfcee734c940966094b68	FULL_PROOF_READ	
