review_id	family	source_ids	source_sha	source_path	source_claim	verdict	scope	reason	required_action	proof_reference	extraction_destination
D3-U011	q4	S07	66e60006bedbababefae22ad8f88f06753139a2b	claims/lemmas/L-90703-q4-innovation-is-singular-cosine-energy-and-goldbach-correlation.md	L-90703.6-.16 cyclic Fourier identity	ACCEPT_WITH_CLARIFICATION	Finite real increment packet; artificial cyclic endpoint	Reflection gives the cosine projection and Parseval includes subtraction of the artificial endpoint square.	Retain endpoint correction and the exact inherited row identity from T-90404 as an input.	goldbach_and_zero_mode	research/integrated/q4/GOLDBACH_NORMAL_FORM.md
D3-U012	q4	S07	66e60006bedbababefae22ad8f88f06753139a2b	claims/lemmas/L-90703-q4-innovation-is-singular-cosine-energy-and-goldbach-correlation.md	L-90703.17-.23 physical Goldbach normal form	ACCEPT_COMPONENT	Finite uniform counting energy	Double summation counts n-max(a,b) and n+1-a-b overlaps exactly; the stated frequency bound implies the uniform-row energy bound.	Do not replace the original positive block measure by uniform counting without a transfer theorem.	goldbach_and_zero_mode	research/integrated/q4/GOLDBACH_NORMAL_FORM.md
D3-U013	q4	S19	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md	L-95400 exact annularization and inverse	ACCEPT_COMPONENT	All fixed real endpoints; exact ten bands	The three scale factors annihilate the entire low cubic; multiplier roots lie at real parts -1,-2,-3 and inverse coefficient mass is 64/21.	State compact logarithmic support, not compact Fourier support.	annular_mellin_factor; R17	research/integrated/q4/ANNULAR_EXACT_KERNELS.md
D3-U014	q4	S19;S22	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md	Exact J0/J1 kernel certificate	CERTIFIED_FINITE_RECONSTRUCTION	All 60 Q(sqrt2) coefficients and 22 endpoint comparisons	Independently derived all twenty cubics from W,A,B,Q and compared every coefficient with the frozen certificate.	The checker authenticates this finite algebra, not any unbounded arithmetic estimate.	annular_certificate_all_coefficients; annular_endpoints	research/integrated/q4/ANNULAR_EXACT_KERNELS.md
D3-U015	q4	S20	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md	L-95401 diagonal and core-domain conventions	ACCEPT_WITH_CLARIFICATION	Odd squarefree annular cores	Expansion of the square requires mu(m)^2 on the diagonal unless the summation set is explicitly restricted. Uniform bounds follow from the exact kernels.	Declare the common odd-squarefree domain for every displayed diagonal and pair sum.	annular_uniform_bounds; R17	research/integrated/q4/ANNULAR_SECTOR_REPAIR.md
D3-U016	q4	S20	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md	L-95401.16 versus .17	FALSE_AS_WRITTEN	Claimed exact equivalence of final core sets	X=1024,H=8,m=3,n=17 satisfies .16 but not .17; the latter additionally removes a<=H.	Use a disjoint small-reduced-variable sector and charge its bound before identifying the terminal core.	R17; D-F12	research/integrated/q4/ANNULAR_SECTOR_REPAIR.md
D3-U017	q4	S20	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md	L-95401 near/large-gcd/small-a bounds	ACCEPT_WITH_REPAIR	Each fixed H and finite endpoint; logarithmic H in applications	Elementary counting bounds all three discarded sectors by O(H log^2(2X)); priority partition makes their ownership disjoint.	Replace literal set equality with an equality plus an explicitly bounded remainder.	R17; disjoint_annular_sectors_and_gcd	research/integrated/q4/ANNULAR_SECTOR_REPAIR.md
D3-U018	q4	S21	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	L-95402 prime split and Mellin transform	ACCEPT_WITH_CLARIFICATION	Literal primes and squarefree coprime cofactors	The logarithmic divisor identity preserves each source occurrence; M_odd differentiation gives the full two-channel Mellin transform.	The p>sqrt(X) channel is unbalanced in literal integer variables; reciprocal substitution does not make two independent short integer sums.	R18; prime_owner_identity	research/integrated/q4/TYPE_I_II_SCOPE.md
D3-U019	q4	S21	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	L-95402.10 mean-square estimate	ACCEPT_WITH_REPAIR	Finite frequencies log m, m<=X; all T>=0	The claimed O(X) bound is true, but an absolute harmonic-kernel bound cannot invoke signed Hilbert cancellation. R18 supplies a complete replacement with C=14.	Keep the two modulated signed Hilbert forms until after the operator estimate.	R18; D-F13	research/integrated/q4/TYPE_I_II_SCOPE.md
D3-U020	q4	S21	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	L-95402.11-.13 gcd/product coordinates	ACCEPT_WITH_CLARIFICATION	All coupled finite activation and squarefree constraints	Pairwise coprimality eliminates the common-divisor Moebius sign; mu(a)mu(b)=mu(ab). The remaining kernel weight may still have either sign.	Interpret sign-free as no arithmetic parity, not positive weight; do not decouple activation intervals.	disjoint_annular_sectors_and_gcd; R17	research/integrated/q4/TYPE_I_II_SCOPE.md
D3-U021	safe_line_operator	S08	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91023-weighted-harris-fkg-all-green-jordan-hierarchy.md	L-91023 weighted Harris and Green hierarchy	ACCEPT_WITH_CLARIFICATION	s>0; fixed finite m; safe Laplace half-plane	Product-geometric association gives logarithmic domination and nonnegative E_s,m; Laplace representation gives all stated safe Gram signs.	Require h nonzero for strict inequality and use activation indicator at m=0; no critical continuation.	R22; weighted_jordan_decreasing_tests	research/integrated/safe_line/GREEN_HIERARCHY.md
D3-U022	safe_line_operator	S09	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91026-green-removal-is-one-explicit-boundary-density.md	L-91026 boundary jet and first-cell/late-time bounds	ACCEPT_WITH_CLARIFICATION	Fixed positive scale; complete contacts and atoms	Three integrations by parts retain the unit contact; concavity and upward jumps extend the affine knot bound between knots.	Insert the between-knot chord argument; keep all atoms and completed-source coupling separate.	R22; green_boundary_contact	research/integrated/safe_line/GREEN_HIERARCHY.md
D3-U023	safe_line_operator	S10	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91027-green-removal-is-unconditionally-positive-at-terminal-scales.md	L-91027 terminal-scale positivity	ACCEPT_COMPONENT	All a>=1/2 and t>=0	The affine lower envelope increases in a,t; its minimum has rational lower bound 32743/250000>0.13; first cell is handled separately.	This is safe-side Green density positivity, not the completed critical intertwiner.	R22; green_terminal_and_near_origin	research/integrated/safe_line/GREEN_HIERARCHY.md
D3-U024	safe_line_operator	S11	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91028-green-removal-is-positive-at-all-sufficiently-small-scales.md	L-91028 all-time small-scale positivity	ACCEPT_COMPONENT	Existence of a0>0; all 0<a<a0 and t>=0	Positive-measure Laplace convergence and a one-sided slope control yield lower pointwise convergence; near-zero and large-y bounds cover the rest.	Keep the threshold non-effective; no finite numerical middle-scale certificate is claimed.	R22	research/integrated/safe_line/GREEN_HIERARCHY.md
D3-U025	safe_line_operator	S12;S13	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91033-horizontal-contour-crossing-selects-exactly-zeros-deeper-than-the-cauchy-scale.md	L-91033 raw crossed-zero pole classification	SUPERSEDED_BY_NET_POLE_RULE	Individual shifted ratio at fixed scale	A denominator zero can cancel a numerator zero at a horizontal shift; the exact even polynomial model removes every raw RHP pole at one scale.	Propagate S13 common-factor cancellation and net multiplicities into any use of S12.	R20; D-F15	research/integrated/safe_line/NET_POLE_AND_PORT_SCOPE.md
D3-U026	safe_line_operator	S13	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91034-krein-langer-cauchy-source-critical-port-decomposition.md	L-91034 four-term kernel identity	CONDITIONAL_EXACT	After pole-removed inner factorization on common domain	The product rule and scalar congruence give exactly src=crit+stable+hyp. Infinite inner factorization retains symmetric Hadamard/Blaschke and growth inputs.	Do not equate this model-space source with the arithmetic Hankel source without an intertwiner.	R20; krein_product_algebra	research/integrated/safe_line/NET_POLE_AND_PORT_SCOPE.md
D3-U027	safe_line_operator	S13	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91034-krein-langer-cauchy-source-critical-port-decomposition.md	L-91034 all-rational-scale absence criterion	ACCEPT_WITH_CLARIFICATION	All scales in a dense countable set; actual locally finite zero divisor	At a fixed target ordinate only finitely many horizontal shifts can cancel the target. A rational scale can avoid those finitely many exceptions.	Use finite exceptional shifts for a fixed target, not the false claim that density avoids any countable set.	R20	research/integrated/safe_line/NET_POLE_AND_PORT_SCOPE.md
D3-U028	dickman_bellman	S18	bd2a3c32ab50d8a8cec39c4b51ccd63349b23a74	claims/lemmas/L-93600-euler-ramp-has-a-uniform-five-over-y-three-halves-remainder.md	L-93600 Euler ramp remainder	ACCEPT_COMPONENT	Every real Y>=1; local exponent differentiation	Euler-Maclaurin with periodic B2 and a logarithmic integrable derivative tail gives |R|<5Y^-3/2; floor dependence is retained.	Do not differentiate this undifferentiated bound to infer a derivative asymptotic.	R21	research/integrated/dickman_bellman/P61_WEIGHTED_VARIATION.md
D3-U029	dickman_bellman	S16;S17;S18	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	claims/lemmas/L-97400-repaired-p61-five-three-bias.md	Actual P61 weighted-variation adapter	ACCEPT_COMPONENT	Fixed P61; every 0<=eta<1/2	Literal q* decomposition plus a separately proved open-cell derivative estimate yield continuous locally AC h with weighted finite variation and total mass a*.	Discharge only the prior base-variation input; constants may depend on fixed P61 and the critical moving-root estimate stays open.	R21	research/integrated/dickman_bellman/P61_WEIGHTED_VARIATION.md
D3-U030	factor67_lorenz	S16	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	claims/lemmas/L-97400-repaired-p61-five-three-bias.md	L-97400 full 1/42-to-1/8 bias campaign	RETAINED_NOT_RERUN	Original million-endpoint and complete divisor certificate	Manuscript and analytic remainder inspected, but the complete MPFR/long-double producer and all finite cells were not regenerated.	Retain existing certificate assurance only; no fresh global computational acceptance.	VALIDATION.md; R21	research/integrated/factor67_lorenz/COMPUTATION_BOUNDARY.md
D3-U031	factor67_lorenz	S17;S16	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	claims/refutations/R-97400-one-over-forty-p61-bias-is-false.md	R-97400 X=184 local refutation	CERTIFIED_FINITE_RECONSTRUCTION	One literal source endpoint only	Fresh rational outward sqrt/log arithmetic proves 40F(184)-M(184)<-18 and 42F(184)-M(184)>3.	This is a new independent finite replay of a known refutation, not a new global bias theorem.	P61_X184_independent_directed_regeneration; R21	research/integrated/factor67_lorenz/COMPUTATION_BOUNDARY.md
D3-U032	factor67_lorenz	S15;S16;S17;S18	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	claims/lemmas/L-97910-near-critical-complete-small-prime-cube.md	L-97910 complete small-prime cube	ACCEPT_WITH_EXTERNAL_INPUTS	Fixed 0<kappa<1/2; sufficiently large X; uniform least rough prime>=67	The full finite Euler cube including inactive divisors has positive main and X^(kappa-1/2+o(1)) error; fixed-base O(1) remainder is now reconstructed.	Retain classical PNT/Mertens inputs and nonexplicit threshold; quarter barrier is methodological, not a counterexample.	R21; REPORT.md	research/integrated/factor67_lorenz/PRODUCT_BOUNDARY.md
D3-U033	factor67_lorenz	S14;S15	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	claims/lemmas/L-97912-positive-euler-main-and-product-boundary-localization.md	L-97912 product-boundary localization	ACCEPT_WITH_EXTERNAL_INPUTS	Fixed 0<kappa<1/2 and beta<1-2kappa; finite full prime cube	Absolute bulk bound has exponent kappa+(beta-1)/2<0; the complement carries every uncancelled signed term including inactive children.	Do not call the positive Euler main the asymptotic of the native scalar.	REPORT.md	research/integrated/factor67_lorenz/PRODUCT_BOUNDARY.md
D3-U034	c4mbi	S23	24212c02fab728bb6c419ed8f5a2429fdce07397	claims/lemmas/L-97702-four-band-critical-mobius-boundary.md	L-97702 sparse 5:3 dictionary	ACCEPT_COMPONENT	Every finite endpoint and exact row source	q*=5Q2+3Q3 has coefficients 15,6,3,6,...; convolution with mu gives the displayed sparse four-term source including 6epsilon.	Restore this primary locator instead of relying solely on the closure-map row.	R23; C4MBI_sparse_dictionary	research/integrated/c4mbi/FOUR_BAND_SOURCE.md
D3-U035	c4mbi	S23	24212c02fab728bb6c419ed8f5a2429fdce07397	claims/lemmas/L-97702-four-band-critical-mobius-boundary.md	L-97702.7-.10 four-band boundary	ACCEPT_COMPONENT	Every real X>0 with zero extension below one	Per-atom finite Fubini converts the three hinges into four adjacent logarithmic bands with exact Q(sqrt2) weights.	Keep the unit hinge threshold -6H_X(1), reducing to -6log4 only for X>=4; sign open.	R23; C4MBI_four_band_identity	research/integrated/c4mbi/FOUR_BAND_SOURCE.md
D3-U036	c4mbi	S24	24212c02fab728bb6c419ed8f5a2429fdce07397	claims/lemmas/L-97703-prime-mobius-logarithmic-owner-decomposition.md	L-97703 prime logarithmic ownership	ACCEPT_COMPONENT	Squarefree nonunit atoms; all finite endpoints	Weights log p/log n sum to one, p not dividing the cofactor avoids repeated primes, and the unit term is retained separately.	No unsigned Type-II estimate decides the complete signed owner inequality.	R23; prime_owner_identity	research/integrated/c4mbi/FOUR_BAND_SOURCE.md
D3-U037	c4mbi	S25;S23;S24	24212c02fab728bb6c419ed8f5a2429fdce07397	claims/theorems/T-97701-blpte-c4mbi-annular-equivalence.md	T-97701 root Bellman equivalence	CONDITIONAL_EXACT	Root identities U_full=U_Z-I-T=A/sqrt(X)	The four inequalities are identical after substituting the stated source identities. Parent L-97700/L-97701 definitions not fully re-audited.	Do not count this as a separate weaker producer or a descendant theorem.	R23	research/integrated/c4mbi/FOUR_BAND_SOURCE.md
D3-U038	native_endpoint	S26;S27	d4dcd1256dc9c8e110c860cff87b3f89aee842a5	claims/lemmas/L-96201-correct-score-decomposition-for-an-affine-volterra-row.md	L-96201 / R-96200 exact endpoint score	ACCEPT_COMPONENT	Finite common physical row and exact radix-four dual	Adjoint inversion gives P_Lambda-H(d), and adding J_Lambda-P_Lambda restores the separate arithmetic gap.	Keep F_Lambda explicit; <3457 packing error is not complete endpoint control.	R23; native_radix_four_score_duality	research/integrated/native_endpoint/SCORE_AND_PACKING.md
D3-U039	native_endpoint	S28	d4dcd1256dc9c8e110c860cff87b3f89aee842a5	claims/lemmas/L-96200-affine-cell-compression-survives-the-normalization-correction.md	L-96200 positive affine-cell compression	CONDITIONAL_EXACT	Given p_s=A-s^-1/2 B; finite positive cell mass	The weighted mean of s^-1/2 lies between endpoint values and gives a positive two-node representation of all linear observations.	State a<b and positive mass, handle zero mass separately; no authentication of primitive row geometry or benchmark equality.	R23; affine_two_node_mean	research/integrated/native_endpoint/SCORE_AND_PACKING.md
D3-U040	direct_main_cauchy_jordan	S29	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91022-sixteenfold-cauchy-detail-storage-and-three-square-residual.md	L-91022 rational three-square storage	ACCEPT_COMPONENT	Every a>0 and real frequency	Common denominator gives y(378y^2+4401y+6048); the three explicit squares and factor16 normalization match exactly.	Real-frequency statement only; no zero-side arithmetic positivity is inserted.	R24; cauchy_three_square_identity	research/integrated/direct_main/cauchy_jordan/THREE_SQUARE_STORAGE.md
D3-U041	direct_main_cauchy_jordan	S29	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91022-sixteenfold-cauchy-detail-storage-and-three-square-residual.md	L-91022 physical residual kernel	ACCEPT_WITH_CLARIFICATION	Fixed a>0; stated inverse Fourier convention	Fourier inversion gives the three exponential terms; total integral is zero but spectrum is a nonnegative sum of squares.	Distinguish positive definite from pointwise nonnegative and from positivity after arithmetic insertion.	R24; cauchy_physical_contact_mass	research/integrated/direct_main/cauchy_jordan/THREE_SQUARE_STORAGE.md
D3-U042	direct_main_cauchy_jordan	S29	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91022-sixteenfold-cauchy-detail-storage-and-three-square-residual.md	L-91022 all-generation scalar frame	ACCEPT_COMPONENT	Fixed real frequency, every a>0	Finite telescoping and the pointwise vanishing terminal d_(2^J a)/(2^J a)^4 prove the all-generation nonnegative series.	No joint complex-frequency limit or completed-source frame follows.	R24; cauchy_finite_telescope	research/integrated/direct_main/cauchy_jordan/THREE_SQUARE_STORAGE.md
