item_id	frozen_source	locator	reviewer	coverage	dependencies	disposition	notes
OLD-375	a3662f62ac0f1a7ec21bca3498938fedcbeeddba	PR375	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=a3662f62ac0f1a7ec21bca3498938fedcbeeddba; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	PR376	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-377	3f3afb13f0435050e28700ae8d2d924eefd4b410	PR377	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=3f3afb13f0435050e28700ae8d2d924eefd4b410; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-378	e1d74d60956329486f94c45e26d105608c973397	PR378	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=e1d74d60956329486f94c45e26d105608c973397; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	PR379	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=589f1c05ccaf248cf08c87fefa7d5ab6d2380708; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-380	23d93b0555bb70ee39b0d87ff278a062a51651bc	PR380	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=23d93b0555bb70ee39b0d87ff278a062a51651bc; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-381	8b32a5941a349df16bdce59909ad66741293cb0a	PR381	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=8b32a5941a349df16bdce59909ad66741293cb0a; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-382	d5630815f68554649445cbe19989b562dc685bd3	PR382	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d5630815f68554649445cbe19989b562dc685bd3; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-383	d764be15bd8ea902ad260484eab44d19a9e82175	PR383	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d764be15bd8ea902ad260484eab44d19a9e82175; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-384	95ed673529fd4ed8ac9308f6ef43e11bda1954c1	PR384	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=95ed673529fd4ed8ac9308f6ef43e11bda1954c1; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	PR385	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-386	66e60006bedbababefae22ad8f88f06753139a2b	PR386	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=66e60006bedbababefae22ad8f88f06753139a2b; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-387	388ba7feb9927025d46a70963389ec45c9ead2ac	PR387	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=388ba7feb9927025d46a70963389ec45c9ead2ac; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR388	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ede3f2db2fe0c571964d2e603ba5d91ee463091a; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-389	2eaebcd84e8e6bdbf5a1c85d6d4c8a28639a88fd	PR389	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=2eaebcd84e8e6bdbf5a1c85d6d4c8a28639a88fd; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-390	ea20af8867c3119c23efc27738d343aac2f79362	PR390	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ea20af8867c3119c23efc27738d343aac2f79362; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-391	8cc59dd49354523070cc19127446aa279e2c891f	PR391	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=8cc59dd49354523070cc19127446aa279e2c891f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-392	d2387cd21eb891a8801fd122bc8d0ddd7c1c0fc4	PR392	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d2387cd21eb891a8801fd122bc8d0ddd7c1c0fc4; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-393	ec118df8a133a1e4800f292641d42af1ba79f938	PR393	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ec118df8a133a1e4800f292641d42af1ba79f938; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-394	82ee32348b05512514462966bfeb4e2de4ae5ecf	PR394	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=82ee32348b05512514462966bfeb4e2de4ae5ecf; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-395	7106b3b2e06b8193861851890db12767a03b5df4	PR395	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=7106b3b2e06b8193861851890db12767a03b5df4; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-396	a7e140614a2544b320c274acc5c599e5176cea97	PR396	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=a7e140614a2544b320c274acc5c599e5176cea97; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-397	7061072f5a5fd4d6fc741cba9e5035e29b0a0e31	PR397	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=7061072f5a5fd4d6fc741cba9e5035e29b0a0e31; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-398	043180519da90af2ea242a5055cbdad9ca40bc62	PR398	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=043180519da90af2ea242a5055cbdad9ca40bc62; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-399	9deddaa92c1b709b052e0994bd9a6dc0bb307366	PR399	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9deddaa92c1b709b052e0994bd9a6dc0bb307366; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	PR400	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-401	82fe81e52d8c221c8649376d759aa8d0ee64c0c7	PR401	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=82fe81e52d8c221c8649376d759aa8d0ee64c0c7; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-402	f5e8be06dfed171baca362316a24b1ce017ad235	PR402	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=f5e8be06dfed171baca362316a24b1ce017ad235; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-403	885716b9cf97c7c4deea3b4590b99e5faf13bc1f	PR403	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=885716b9cf97c7c4deea3b4590b99e5faf13bc1f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	PR404	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ab71aa1fe0b1fd192011bbf40f032d2f42889ea0; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-405	97d40e6574ba54d827fd361c70d550eeb60c9faf	PR405	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=97d40e6574ba54d827fd361c70d550eeb60c9faf; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-406	b59e6fdbc8ac84231ad697c02687f199e83fb1b4	PR406	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=b59e6fdbc8ac84231ad697c02687f199e83fb1b4; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-407	bf17e32c53724267ffc536073e586c1e9059d2d0	PR407	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=bf17e32c53724267ffc536073e586c1e9059d2d0; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	PR408	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ea3948ea21d90b9c9824874c5051dcc76e216a5b; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-409	709a20509cbff9fb19dc094c9bbf05f13d74c628	PR409	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=709a20509cbff9fb19dc094c9bbf05f13d74c628; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-410	5e0c23dcbd68f2decf79da43642dc3c077a48bb4	PR410	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=5e0c23dcbd68f2decf79da43642dc3c077a48bb4; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-411	cc097bbe1a0ce6d13bd97ee3951d13762cb632d2	PR411	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=cc097bbe1a0ce6d13bd97ee3951d13762cb632d2; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-412	f848f3cd2fb7ca6e46dbab5a053a8e51fc97729a	PR412	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=f848f3cd2fb7ca6e46dbab5a053a8e51fc97729a; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-413	3ba7021d4ed2aa0f42e42917114be06510919bac	PR413	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=3ba7021d4ed2aa0f42e42917114be06510919bac; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-414	0fe80e32781e109aee1882f2a069dbb2e3787f7e	PR414	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0fe80e32781e109aee1882f2a069dbb2e3787f7e; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-415	9bac15fed27af5730da9fb6bd27538a65032f639	PR415	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9bac15fed27af5730da9fb6bd27538a65032f639; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-416	23aa9adc48a6c3176b799944dfbac11e665407ef	PR416	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=23aa9adc48a6c3176b799944dfbac11e665407ef; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-417	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	PR417	C	historical-absence	REVIEW-C	not-an-artifact-failure	No object in reviewed manifest; not a missing theorem inferred from numbering
OLD-418	de0329a0004dc6954c8de4cb12179197d25533b9	PR418	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=de0329a0004dc6954c8de4cb12179197d25533b9; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-419	1bba24ab1cadc7ca4529d6e345ed2be1afd71b07	PR419	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=1bba24ab1cadc7ca4529d6e345ed2be1afd71b07; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-420	c978fc2c0f52f67800a0542a962e49c6110a5b8f	PR420	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=c978fc2c0f52f67800a0542a962e49c6110a5b8f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-421	0f34ba29bc9ac5ce5f1127aaaeba370c4455ebdc	PR421	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0f34ba29bc9ac5ce5f1127aaaeba370c4455ebdc; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-422	4619269090043f0baef2aa13f5cc1184eed85ee2	PR422	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=4619269090043f0baef2aa13f5cc1184eed85ee2; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-423	03a057c7bc18080bf89afaa436abf839d6d1c17f	PR423	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=03a057c7bc18080bf89afaa436abf839d6d1c17f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-424	2bd4625bb2e3cf41318be5b22f6f8e8d0827fef1	PR424	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=2bd4625bb2e3cf41318be5b22f6f8e8d0827fef1; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-425	d2b2c3eb336f9d9da6d35c34079b803968b52bf8	PR425	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d2b2c3eb336f9d9da6d35c34079b803968b52bf8; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-426	64bd5070bd7b948f7c925ec48b739b9cb86c99ac	PR426	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=64bd5070bd7b948f7c925ec48b739b9cb86c99ac; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-427	e4cba612839efb7296c1664f173e924f9e252bbf	PR427	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=e4cba612839efb7296c1664f173e924f9e252bbf; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-428	76d849e3210fac73af2f6bf2eded91b29659a313	PR428	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=76d849e3210fac73af2f6bf2eded91b29659a313; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-429	56294bfcd2bdbce4c40b08f67cb996a39868f563	PR429	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=56294bfcd2bdbce4c40b08f67cb996a39868f563; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-430	cedf2f5b43c99d6e6f9a760236432b123dd91770	PR430	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=cedf2f5b43c99d6e6f9a760236432b123dd91770; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-431	78a622e32ef36e587099bb95cb791461b75d26bf	PR431	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=78a622e32ef36e587099bb95cb791461b75d26bf; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-432	0e9f9b54ed2bccbdd1d0957095a61ec2e7e32c56	PR432	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0e9f9b54ed2bccbdd1d0957095a61ec2e7e32c56; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-433	0aab3a209c5368f93d409f3a1842304098550387	PR433	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0aab3a209c5368f93d409f3a1842304098550387; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-434	d69386dbfefe143e5ca478e591089a2c75847acd	PR434	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d69386dbfefe143e5ca478e591089a2c75847acd; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-435	42a6929df3b637a151a2612b977fcabd2e774599	PR435	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=42a6929df3b637a151a2612b977fcabd2e774599; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-436	9aeccd55779689d3ee105d16a0caf6f600ff1ea2	PR436	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9aeccd55779689d3ee105d16a0caf6f600ff1ea2; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-437	77fd0e1333bfe8a7cd90c833e12ba55a45475bb6	PR437	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=77fd0e1333bfe8a7cd90c833e12ba55a45475bb6; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-438	bb7327d21c47410820cda2671f45dbe709a72eea	PR438	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=bb7327d21c47410820cda2671f45dbe709a72eea; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-439	706445c01d4a5c9f852a4faf1329bd9858dc727a	PR439	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=706445c01d4a5c9f852a4faf1329bd9858dc727a; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-440	b971121babe6236a1c20cb34cb76215f4521f7bb	PR440	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=b971121babe6236a1c20cb34cb76215f4521f7bb; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-441	3e562d060cee100e25b2400326a3b72002a5ead5	PR441	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=3e562d060cee100e25b2400326a3b72002a5ead5; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-442	e2c97d5902bcc5c94d0b6f2f7de0756b84ce6cad	PR442	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=e2c97d5902bcc5c94d0b6f2f7de0756b84ce6cad; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-443	da4bb5a8f8cd001a8a648d8606dc22e2bb8adc88	PR443	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=da4bb5a8f8cd001a8a648d8606dc22e2bb8adc88; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-444	6a1dcdf14bb48d4df9cce16e5941087ac05e7934	PR444	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=6a1dcdf14bb48d4df9cce16e5941087ac05e7934; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-445	c079c2ef21022be951027de1316aecf1168422c1	PR445	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=c079c2ef21022be951027de1316aecf1168422c1; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	PR446	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=880d14cb4bcbf542ec199137d60c58d9a8fd723d; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-447	d44c45b3ececa878296914a49e49279b10a1f637	PR447	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d44c45b3ececa878296914a49e49279b10a1f637; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-448	6e95cd3e05b3eb94121084e9c5eedf8a9e4d1bda	PR448	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=6e95cd3e05b3eb94121084e9c5eedf8a9e4d1bda; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-449	e67f20803c8bbaa4b33aae366870269e5f560731	PR449	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=e67f20803c8bbaa4b33aae366870269e5f560731; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-450	734040fba4d299256feb13aaeb45e60468ef6d1f	PR450	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=734040fba4d299256feb13aaeb45e60468ef6d1f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
