source	commit	path	git_blob	inspection	bytes_assurance	local_copy	sha256
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-compact-domain-completion/PROOF.md	724042d5c785ad2c418d3b7f60f8562b59ff413a	PROOF_AND_COMPLETE_TAIL_RECONSTRUCTION	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-compact-domain-completion/VALIDATION.md	fe46566dafecb36a5f385f929be16399d2ee9899	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/validate.py	45131606331ad489310e1c0c9ebab6b9730a892a	CODE_READ; byte-only inventory contract not full executable suite	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/VALIDATION.md	0a3de593854cc3637af503dd0229865cd2857c1b	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
817	1f97efdcf9dacd24351ecff0819c524f9bf40ec3	standalone/2026-09-07-astra-quantitative-capture/PROOF.md	47c51b2f91a2d52c9f9ab91c642ed207042992ca	LINES1_510_SOURCE_TARGET_RATE_RECONSTRUCTION	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/PROOF.md	f7420d1ddf603a3765331649d3f5b9d04f23e8e7	FULL_PROOF_SOURCE_DOMAIN_STRICTNESS_RECONCILIATION	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-critical-source-map/CONSTRUCTION.md	593d99995f70c3cb565aebbfb455f93147d09e1e	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-critical-source-map/DOMAIN_AND_APPROXIMATION.md	56a2f702d4f45e9e384853b917e6bfc47560a262	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
818	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	standalone/2026-09-08-astra-critical-cutoff-taper/PROOF.md	cad5d09a20ceb8c594832191156214ccd4aac11b	FULL_SOURCE_TAPER_AND_IMPORT_RECONCILIATION	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-logarithmic-domain-transfer/ABEL_AND_ATTEMPT.md	a69ed41b403aea4a757d39397287737653fe32fa	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-endpoint-prime-discrepancy/ATTEMPT.md	be45eabe3fb9b5b1a3fa4f56949bc2386eca71e8	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-prime-discrepancy/ATTEMPT_AND_REVIEW.md	a252117765d9de0262acc0b7405dfe0ec355b05d	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
818	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	standalone/2026-09-08-astra-square-grid-localization/ATTEMPT.md	ab5e1da212ab6214cca4d2392b998ff8c9e5f725	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
TSR	d916a2d60a7ff9a01f1b8bcd73d8583829f78ba6	standalone/2026-09-07-astra-all-rank-spectral-intersection/README.md	03399c22a3ab52b54ac417dcc91b1b6ab653364f	CURRENT_PUBLICATION_AND_SCOPE; principal proof inherited pass1	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
TSR	d916a2d60a7ff9a01f1b8bcd73d8583829f78ba6	standalone/2026-09-07-astra-all-rank-spectral-intersection/SOURCES.json	c8743b2cfc5c8949f8449802bcf24ce8c9cdfa63	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
825	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap/APPLICATION.md	debeac1969d146ea8c31ffc9a88b68713ecea8b6	FULL_APPLICATION; unbounded-trial-domain repair R05	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/window-one-positivity/PROOF.md	644392c4a59edff697851fe526b8da5de96492cf	LINES1_210_AND280_END_KERNEL_AND_EFFECTIVE_FORM_BINDING; intermediate numerical proof inherited pass2	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/certificate.normal.json	023ad0d55737c46c8d67e1b40dcd1272ea1b87a7	RECOMPUTED_BYTES_EQUAL_PUBLISHED_OBJECT; fetched first line/whole-file metadata only	LOCAL_RECOMPUTATION_REHASHED_TO_CONNECTOR_BLOB	evidence/mw-normal.json	ddaa01ec89167f7604939711c548ce80e856eb8197bf34b566e69439883dc9d6
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-compact-domain-completion/certificate.json	2001668b70f2fc301b3ec63e0c21b2e43fc5de66	RECOMPUTED_BYTES_EQUAL_PUBLISHED_OBJECT; fetched first line/whole-file metadata only	LOCAL_RECOMPUTATION_REHASHED_TO_CONNECTOR_BLOB	evidence/cd-normal.json	2fb2b2961ad9d6ec1a24fe60a3e05c500ca3a4bd246ce2e1965f80ab046f3ecb
818	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	standalone/2026-09-08-astra-square-grid-localization/result.json	df3009c88b0fb49f0998164e783fac99c69a754d	RECOMPUTED_BYTES_EQUAL_PUBLISHED_OBJECT; fetched first line/whole-file metadata only	LOCAL_RECOMPUTATION_REHASHED_TO_CONNECTOR_BLOB	evidence/ssq-normal.json	e7a80214068439ae01bb3714825634dd821480117d6ac1f478546725d2edbe06
812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/verification.json	bd1d5915847416c22a7daa49046d195441b2081d	FULL_EXPECTED_JSON_READ; replayed actual_source subsection matches; other231controls not rerun	FULL_EXPECTED_JSON_REBUILT_TO_GIT_BLOB_USING_REPLAYED_SUBSECTION_AND_READ_METADATA	NOT_COPIED	683ca58d6a6d627e7810a23b14f8603542bc6af4d1997e09e1248c171bb01265
