packet	source	source_commit	packet_path	principal_review	extraction_recommendation	hypotheses_and_boundary	numerical_evidence	mandatory_repairs	other_author_executables
PR	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/positive-residual-review	pass3	Complete positive floor residual, delayed zero costs and finite-period expression	Finite positivity not positive infimum over growing supports; selected trial is not optimum	Pass3 small explicit trial controls	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
RN	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-residual-normalization-and-minima	pass3	Bounded oblique two-jet normalization; polynomial tangent conditioning; four finite minima	p(1)=0 and p'(1)=1; full E=-1+a*Ga; no growing-prefix bound	Pass3 independent complete pair-Gram minima Y=2,4,8,16; not fresh here	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
RG	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-residual-spectral-exponent	pass1 + RN/PR predecessor reconciliation in pass3	Two-endpoint native completion and unknown-edge residual/minimum exponent	Theta remains unevaluated; strict zero-free-strip constants not uniform at the edge; full norm and actual two jets	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
RC	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-rational-residual-capture	pass2/pass3	Uniform complete rational tail comparison before optimization; period mean and three balance-only minima	Balance-only minima differ from RN; finite support and prefix vary; no unbounded minimum upper bound	Pass3 independent exact KKT lower/upper minimizations at H=4096	R01	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
ANT	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer	pass3 + pass3-confirmation	Native classical-cancellation o(Y) energy and sharp uniform Y/log Y graph-to-physical loss	Graph retains lower zero-coefficient vertices; no selected-minimizer obstruction or fixed-power saving	Pass3 and confirmation full 4095-cell profile with entire tail; not repeated	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
JG	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-sharp-jordan-green	pass1	All-time Jordan density positivity at kappa>=2 and stated prime-deletion margin	Literal Jordan source and stated scale parameters only; critical domain does not follow; inherited review, not freshly rerun	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
CSM	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-critical-source-map	pass1 + pass4	Literal factorial input/output, causal isometry on original generated space, pure-Blaschke domain and finite hierarchy	Source-generated domain may differ from maximal domain after common-zero cancellation; local contraction not global; Jordan desmoothing is distributional	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
CD	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-compact-domain-completion	pass1 + pass4	Ordinary compact inverse inputs and eight complete output-error certificates	Target is ramp t exp(-t/2); errors are normalized squared errors /2, not minima; N sequence not monotone	Pass4 original producer fully replayed; exact published certificate bytes; N=64 error <1/19000	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
DC	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-domain-cutoff	pass3 + CSM binding in pass4	Pole-neutral local reproduction, complete future interpolation cost, rank-dependent floor and damping obstruction	Original domain retained; altered damping span is not old domain; no subpower output or signed-cross upper bound	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
MW	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance	pass3 + pass4	Exact work/future law, boundary-resonance input lower bounds, and full 65536-event campaign	Cubic fixed filter; input is not factorial output or CCS exponential filter; stable future is not future arithmetic	Pass4 byte-identical author replay AND independent direct integration of all 65535 interevent cells	R06 for trusting receipts	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
DO	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-dilation-observability	pass3	Finite leakage/nonstagnation, first-cell limiting criterion and exact support duals	Finite first-cell agreement not zero residual; full dictionary required; omitted squarefree obstruction does not imply global automorphy	Pass3 independent full-Gram negative-leakage reconstruction	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
BG	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-block-gain	pass3	Source-complete even/odd channels, solved detail problem and exact coupled recursion	Detail optimum not full optimum; nonsquarefree coordinates kept in full finite minimization	Pass3 U8>delta8 and nonzero full coefficient a9,16	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
GT	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-growth-transfer	pass3	Bounded full-to-full arithmetic transformations, growth exponent, nonconvergence and squarefree target criterion	Unknown Theta not evaluated; Balazard-Saias zero-free hypothesis and RH-conditional nested damping limit retained	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
BL	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-balanced-lift	pass3	Exact rational balanced optimizer, coefficient/horizon bounds and coherent source obstruction	Two scalar constraints do not control full middle energy; Omega(sqrt M) statement is squared energy	Finite examples remain author-reported except overlaps independently reconstructed in pass3	R02	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
GE	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-green-energy	pass3	Exact finite cotangent Green energy, local inverse and polylogarithmic complement	All charges and cross terms retained; only shrinking endpoint remains unbounded; rational source E/pi algebraic not general Gram	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
TE	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-terminal-endpoint	pass3	Full harmonic norm comparison and separate terminal-Mobius prescribed fourth-power-grid criterion	New terminal family is not earlier optimizer; arbitrary sparse subsequence insufficient for scalar criterion	No new finite harmonic numeric acceptance in pass4	R03	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
BH	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-07-astra-balanced-hyperbola	pass3	Balanced Newton/hyperbola identities and exact pole cancellation; bounded kernel and signed controls	Smoothed endpoint equality not coefficient equality; continuum norm not unweighted sampled matrix norm	Pass3 rational two-sign countermodels	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
CL	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-07-astra-critical-line-attempt	pass3	Legal zeta-numerator contour, entire frequency tail and fixed one-sided sufficient bounds	P_Y(s)^2 not modulus square; near-linear signed bound OPEN; classical improvement does not change power	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
OEC	811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-logarithmic-domain-transfer	pass2 + pass4 Abel/source reconciliation	Entropy-to-shifted-domain estimate, individual-zero detection and analytic Abel logarithm construction	Positive inward shift fixed, cannot substitute zero; Abel weight total mass 2^-epsilon, not one; its entropy moment is OPEN	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
EF	811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-entropy-feedback	pass3	All-cutoff log-cosh work law with complete prime-power and nonlinear remainder	Pre-jump source, physical Cauchy measure; bounded feedback/PSD kernel do not give upper signed work	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
EPD	811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-endpoint-prime-discrepancy	pass2 + pass4 auxiliary	Critical-line norm adapter without inward shift and full signed-measure cosine square	First-prime band only; higher powers separately paid; full horizontal depth and multiplicity retained; upper Q subpower OPEN	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
PDS	811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-prime-discrepancy	pass2 + pass4 CCT/auxiliary	Critical L1 entropy linearization, complete higher-power L2 tail and one-state discrepancy identity	Complex versus real-part factors and terminal state retained; exceptional y=0 not global L2 failure; no independent phase measure	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
FR	812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization	pass2 + pass4	Ordinary box realization and fixed T=log2 corrected full error <1/1000	Ramp target; entire ideal tail; compact correction supported to T+128; no bound as T grows or exact optimum	Pass4 full_certificate subset replay at authenticated core/producer; 4094 half-cells; no full original 231-control package claim	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
FC	812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-feedback-and-conditioning	pass2	Fixed-controller obstruction and scoped feedback/conditioning statements	Fixed ideal atom and fixed compact-controller growth are different; horizon-dependent controllers remain possible	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
ST	814	dc7babb830cb696810fb68bd74f6a33459f5f921	standalone/2026-09-07-astra-source-stability	pass2 + HC source reconstruction in pass4	Quasipolynomial finite-Gram floor and quantitative inverse-input cost	Stable inverse inputs cannot remain bounded; closure of source range not refuted; no intrinsic-floor upper estimate	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
HC	817	1f97efdcf9dacd24351ecff0819c524f9bf40ec3	standalone/2026-09-07-astra-quantitative-capture	pass1 + pass4 full source/target reconciliation	Fractional-Sobolev target rate to actual BH2 and growing-horizon excess schedule	Inner B remains; rank exp(C(T+1)^2) with uninstantiated constants; compact output realization allows large inputs	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
CCT	818	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	standalone/2026-09-08-astra-critical-cutoff-taper	pass1 + pass4 sections1-6 reconciliation	Endpoint-safe taper, finite-energy-to-RH construction; RH-conditional finite energy and full logarithm convergence	Classical Cramer upper bound explicitly assumes RH; finite approximants outer is not limit outerness; no L2 exponentiation	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
SSQ	818	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	standalone/2026-09-08-astra-square-grid-localization	pass1 + pass4	Unconditional all-square-cell detail, stable original-metric adapter, six actual endpoint-energy prefixes	Brun-Titchmarsh unconditional; RH converse uses Cramer; endpoint samples not cell means; infinite coarse tail OPEN	Pass4 original check.py fully reconstructed; sieve/trial through16384,1900primes; M128 prefix in(.565641628407,.565641628409)	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
IE	819	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy	pass1/pass2 + HC binding in pass4	Classical BSY defect, unit/ramp target sensitivity, finite entropy limit and HC-dependent rate	J remains unknown and nonnegative; trial positive lower endpoint not lower bound for J	Published pass2 full-tail degree6 unit-target trial, J<27/1000; not rerun here	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
LT	823	effa056532b951051e16f858aa59abea07a565ea	standalone/2026-09-08-astra-late-tail-zero-insertion	pass1	Positive late-tail perturbations, strict nested domains and defect continuity obstruction	Changes infinite arithmetic; inserted zeros not zeta zeros; closed-domain output not exact compact input; independent of HC rate	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
TSR	TSR	d916a2d60a7ff9a01f1b8bcd73d8583829f78ba6	standalone/2026-09-07-astra-all-rank-spectral-intersection	pass1 + pass4 publication/source scope	All-rank rational full-factor classification and specified reductive monodromy obstruction	Positive sqrt q; square-class-two exception r=3 mod4; reduced complex loci only; no simultaneous curve realization/global automorphy	Pass1 independent4320affine-row classification; not repeated; branch-only object must be copied before deleting ref	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
ADG	825	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap	pass2 + pass4 APPLICATION	All divisor-closed support gap independent of exponent depth; finite inverse and source-domain-qualified Schur bound	Fixed finite-prime infinite domains only; R05 required for unbounded A; coherent Hilbert-valued channel retained	Pass2 independent N32 inverse,65edges,11primebases	R04; R05	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
DPG	826	3a82b80da82edbcd65d4538418a3d51d6030f058	standalone/2026-09-08-astra-divisor-poincare	pass2/pass3	Depth-sensitive gap/decoder and complete one-prime/rectangular spectra	No tensor spectrum for n<=N; factorization/pointers precede arithmetic operation cost; DC10 window application remains explicitly conditional on inherited source estimates	Prior exact finite spectral/control reconstructions; full original package not selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
GCP	828	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity	pass3 + pass3-confirmation	Shared squarefree anchoring result once; additional geometric reservoir and exact specified root-coupling cost	Fixed finite alphabet; centered gap differs from anchored cost; no identification of root coupling with full xi	Pass3/confirmation P13 complete subset capacity certificates; no fresh repetition	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
CCS	829	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis	pass3 + pass3-confirmation	Shared squarefree result once; native coherent-source projection, N log N edge energy and killed-survival law	Simple exponential filter differs from MW cubic; full coherent work OPEN; graph gap bounds complement, not native mean	Prior complete finite coherent/work and capacity controls; not same campaign as MW	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
