review_id	packet_id	source_file_or_section	recommendation	exact_scope	remaining_condition_or_review
R1-RG-1	RG	PROOF.md	RETAIN_PAPER_SCOPE	Two-endpoint actual-prefix completion with both safe jets and projected zero lower bound	Whole norm; all finite supports; no simplicity or attained rightmost zero
R1-RG-2	RG	PROOF.md	RETAIN_PAPER_SCOPE	Explicit residual and both minima have limiting power exponent 2Theta-1	Theta is unknown; strict-strip constants nonuniform; predecessor RN and source contracts still to reconcile
R1-HC-1	HC	PROOF.md sections 1-5	RETAIN_PAPER_SCOPE	Target-dependent approximation rate to BH2 for bounded fractional-Sobolev targets	Outer clipping does not remove B; named classical analytic inputs retained
R1-HC-2	HC	PROOF.md sections 6-7	RETAIN_PAPER_SCOPE	Growing-horizon rank schedule removes excess above intrinsic floor	No bound on intrinsic floor; FR compact realization remains separate predecessor review
R1-IE-1	IE	PROOF.md section 1	RETAIN_PAPER_SCOPE	Classical BSY quantity and exact unit-target defect delta=1-exp(-2J)	Classical criterion credited; J=0 remains open
R1-IE-2	IE	PROOF.md sections 2-3	RETAIN_PAPER_SCOPE	Ramp target identity, cubic sensitivity and logarithmic-moment refinement	Horizon-zero target only; do not transfer trial lower endpoints to optimal defect
R1-IE-3	IE	PROOF.md section 4	RETAIN_PAPER_SCOPE	Finite entropy ratios decrease to J	Limit not asserted zero; quantitative rate separately depends on HC
R1-IE-4	IE	PROOF.md equation 4.2	HOLD_DEPENDENCY_RECONCILIATION	Rate of finite entropy convergence	Inherits exact HC target theorem, not independent evidence for it
R1-IE-5	IE	PROOF.md section 5 and certificate.py	HOLD_REPLAY	Degree-six unit-target full-tail bound below 13/250 and entropy bound below 27/1000	2047 cells; analytic tail; copied interval core; no compact-input claim
R1-CCT-1	CCT	PROOF.md sections 1-2	RETAIN_PAPER_SCOPE	Endpoint-safe fixed logarithmic taper and full-norm tail estimate	Finite-energy hypothesis retained; sharp endpoint term not discarded
R1-CCT-2	CCT	PROOF.md section 3	RETAIN_PAPER_SCOPE	Finite weighted ordinary-prime energy implies RH	Construct analytic exponential in correct half-plane; include prime-two jump
R1-CCT-3	CCT	PROOF.md section 4	RETAIN_IMPORTED_CONDITIONAL	RH implies finite energy and stated tail rate via Cramer mean square	CM is explicitly RH-conditional; constants not numerically certified
R1-CCT-4	CCT	PROOF.md sections 5-6	HOLD_DEPENDENCY_RECONCILIATION	Fixed-cutoff outerness and conditional complete logarithmic/entropy convergence	Finish PDS higher-prime-power tail and OEC source overlap; not L2 convergence after exponentiation
R1-SSQ-1	SSQ	PROOF.md	RETAIN_PAPER_SCOPE	Unconditional square-cell detail tail below 28/log N and endpoint detail below 112/log N	Classical Brun-Titchmarsh at interval scale; not bound on cumulative cell means
R1-SSQ-2	SSQ	PROOF.md	RETAIN_IMPORTED_CONDITIONAL	Finite prime energy equivalent to weighted endpoint sample energy and RH	RH reverse direction uses CM; global norm comparison not a tail comparison without memory
R1-SSQ-3	SSQ	Finite prefix certificate	HOLD_REPLAY	Reported finite square-grid energy prefix	No independent primitive/source replay in pass 1
R1-LT-1	LT	PROOF.md sections 1-2	RETAIN_PAPER_SCOPE	Positive late-tail source perturbation preserving finite horizon and jets with inserted interior pair	Changes infinite arithmetic source; uses existence of a critical-line zero, not a numerical zero certificate
R1-LT-2	LT	PROOF.md sections 3-5	RETAIN_PAPER_SCOPE	Proper nested domains with projection norm distance one but strong convergence on fixed tests	Closed-domain output is not an exact compact input; finite strict evidence not infinite exact data
R1-LT-3	LT	PROOF.md sections 4-7	RETAIN_PAPER_SCOPE	Strictly increased entropy tending to original entropy; explicit stability obstruction	Not zeta zeros and not a no-go theorem for all arithmetic methods; independent of HC rate
R1-TSR-1	TSR	PROOF.md sections 1-2	RETAIN_PAPER_SCOPE	Noncyclotomic full-spectrum rigidity and bounded-order torsion at every rank	Reduced support only; not Jordan blocks or scheme multiplicities
R1-TSR-2	TSR	PROOF.md sections 3-5 and reviewer independent_checks.py	RETAIN_WITH_EXACT_RECONSTRUCTION	Complete rational raw classification; 4320 affine rows for every nonnegative rank quotient	Keep square-class-two exception r=3 mod 4 and positive-root scaling
R1-TSR-3	TSR	PROOF.md sections 6-8	RETAIN_PAPER_SCOPE	Nonabelian SL2 obstruction and arithmetic-operation recognition bound	Reductive characteristic zero; common determinant; Zariski density; not bit complexity or global family realization
