review_id	programme	source_pr	source_sha	source_path	claim	verdict	proof_reason	required_fix_or_boundary	independent_checks	extraction	inspection_basis
B-011	764	781	83dca1a6b750feeffe9f446656bb01694131d74a	research/exploratory/2026-08-30-two-programme-pass/epstein/wall_complex.py;standalone/2026-08-31-epstein-complex-wall/PROOF.md	T-108519 winding certificate	HOLD_RIGOROUS_NUMERIC_ACCEPTANCE	Analytic winding lemma and rotated K-Bessel estimate are sound, but nearest-rounded endpoint operations and unpadded decimal shortening are not certified outward bounds.	Audit/repair all upper/lower endpoints and remainders, then replay complete contours and edge combination. No claim that the asserted zeros are false.	BCHK27	generalized-l-objects/EPSTEIN_CERTIFICATES.md	analytic proof and code portions read; 3696/27046-step walks not rerun
B-012	764	782	737bf85ec9f36213cfe02b7edc178181545167f7	standalone/2026-08-31-segre-chow-equivariant-synthesis/TRANSFERRED_KOSZUL_MODEL.md	Finite transfer and nonformality	ACCEPT_STRUCTURE_FIX_FORMULAS	Chow support gives four-arity cutoff, 6/6/4/2 slots, and N3 contradicts survival of the 65-dimensional (0,2,4) class.	With dh+hd=1-ip use p delta(1+h delta)^-1 i. Higher-page differentials also require lower-component zigzag corrections, not literal Delta_r alone.	BCHK14;BCHK15;BCHK16	generalized-l-objects/TERNARY_TRANSFER.md	proof read/reconstruction
B-013	764	782	737bf85ec9f36213cfe02b7edc178181545167f7	standalone/2026-08-31-segre-chow-equivariant-synthesis/CHAIN_LEVEL_TERNARY_TRANSGRESSION.md	Rank-65 d2	HOLD_SOURCE_RANK_REPLAY	Two modular ranks can give characteristic-zero lower bounds only after the cycles, quotients and base-change maps are justified.	Preserve exact target dimension 65; authenticate rational upper bound and both finite-field quotient constructions.		generalized-l-objects/TERNARY_TRANSFER.md	source summary/interface inspected; matrices not freshly replayed
B-014	764	782	737bf85ec9f36213cfe02b7edc178181545167f7	standalone/2026-08-31-segre-chow-equivariant-synthesis/INTERNAL_DEGREE_SIX_CLOSURE.md	Degree-six Euler ambiguity and master module	ACCEPT_CONDITIONAL_ON_CHOW_TABLE_N3	Four chain groups have dimensions 12376,152796,79407,357. Minimality/N3 leave K42,K51; difference is 61370. Split inclusion carries highest weight (33)^3.	Keep 1000 and 62370 as lower bounds, not full characters. Corrected transferred differential is needed for eventual actual module computation.	BCHK11;BCHK16	generalized-l-objects/TERNARY_TRANSFER.md	proof read/reconstruction
B-015	764	782	737bf85ec9f36213cfe02b7edc178181545167f7	standalone/2026-08-31-segre-chow-equivariant-synthesis/STABLE_LAYER_HEAD_THEOREM.md	Period-four stable head	HOLD_ALL_DEPTH_PROOF_REVIEW	The PR states return at depths 7/8; two absent heads cannot justify permanent termination.	Do not accept the all-depth generating identity from the PR summary or this review's degree-six checks. Dedicated proof inspection remains an explicit omission.		generalized-l-objects/SEGRE_AND_RECURRENCES.md	metadata/front-door scope only
B-016	764	782	737bf85ec9f36213cfe02b7edc178181545167f7	standalone/2026-08-31-segre-chow-equivariant-synthesis/CANONICAL_TOP_PROJECTION.md	Marked top projection	OPEN_EXECUTION	An intrinsic unique representation line is not the explicit projection of a chosen 379-term marked witness.	Require source-bound Lie and factor-permutation actions and the actual coefficientwise projection.		generalized-l-objects/OPEN_PROBLEMS.md	metadata/front-door scope only
B-017	764	783	48d556561125cba3859a4c6d6747bcb44c1a7fc1	research/exploratory/prs-765-766-770-781-proof-review/HECKE_SCALE_RECONSTRUCTION.md	Hecke o(k/log k) scale	ACCEPT_CONDITIONAL_REPAIR_IMPORT_PROOF	Gamma-tail domination and positive trace compression prove the stated scale given the near-one symmetric-square comparison.	Repair logarithmic-derivative sign, short-segment versus 1/log k range, and high-zero treatment. Independent automorphic normalization/import check still required.		l-families/HECKE_SOURCE_ESTIMATES.md	proof read/reconstruction
B-018	764	783	48d556561125cba3859a4c6d6747bcb44c1a7fc1	research/exploratory/prs-765-766-770-781-proof-review/POINCARE_FRAME_ENDPOINT_LADDER_PART_I.md;research/exploratory/prs-765-766-770-781-proof-review/POINCARE_FRAME_ENDPOINT_LADDER_PART_II.md	Growing Poincare ladder	HOLD_UNIFORM_NATIVE_LADDER	Gram-dual frame and nonnegative energy saturation are convincing components. PF40 does not quantify the pure-to-reserve cross; absolute errors do not establish all i<J relative couplings.	Supply row-resolved deep cross estimates, errors o(A_J), center-increment control and the dimension factor on dense residuals before uniform determinant/strict-gap promotion.		l-families/POINCARE_FLAGS.md	proof read/reconstruction
B-019	764	783	48d556561125cba3859a4c6d6747bcb44c1a7fc1	research/exploratory/prs-765-766-770-781-proof-review/CRITICAL_DIVISOR_RENEWAL_TRANSITION.md	Critical renewal	ACCEPT_FORMAL_HOLD_NATIVE_LIMIT	Recurrence and exponential generating function agree, including all printed g1..g5 and g2(1/16)=0. DR7 has its A-ratio reversed.	Correct inverse ratio; pay native normalized errors and fixed-offset convergence. A leading resonance is not exact finite-weight cancellation.	BCHK17;BCHK18	l-families/POINCARE_FLAGS.md	proof read/reconstruction
B-020	736;737;739;763	778	8db2752fa046a9fc686f3a4a5606beb2da3e7176	claims/refutations/R-108450-nonresonant-trace-cannot-control-principal-cell-energy.md	R-108450 principal obstruction	ACCEPT_SCOPED_PROOF	Constant source has zero nonprincipal Fourier/Hellinger debt but arbitrary principal cell energy.	Retain closed-unmerged disposition and actual SHA 8db2752f..., not stale prose 8db275c3.... No nonprincipal-to-principal implication.	BCHK22	l-families/FUNCTION_FIELD_PRINCIPAL_BOUNDARY.md	proof read/reconstruction
B-021	736	751	86cac1d64364015ec2cc0f8fbb6fc75dc041c12b	claims/lemmas/L-106000-euler-completed-dirichlet-family-lift.md	L-106000 Euler and Mellin identity	ACCEPT_SCOPED_PROOF	Local coefficient case split restores mu and the ramified principal Euler factor cancels exactly on the absolute convergence half-plane.	Apply completion after the complete linear source, not inside already squared quantities.	BCHK01	l-families/DIRICHLET_DETECTORS.md	proof read/reconstruction
B-022	736	751	86cac1d64364015ec2cc0f8fbb6fc75dc041c12b	claims/lemmas/L-106000-euler-completed-dirichlet-family-lift.md	L-106000 pole retention wording	CONDITIONAL_KERNEL_NONVANISHING	Nonvanishing of finite Euler factors does not prove nonvanishing of the compact mother's Mellin transform at every L-zero.	Import the exact mother zero-safe theorem or qualify retention. A audits the conclusion-facing detector consumer.		l-families/DIRICHLET_DETECTORS.md	proof read/reconstruction
B-023	736	751	86cac1d64364015ec2cc0f8fbb6fc75dc041c12b	claims/refutations/R-106071-quartic-pair-occupancy-cannot-bound-the-quadratic-character-moment.md	Quartic-to-quadratic obstruction	ACCEPT_SCOPED_PROOF	Source rescaling has degree two on the family moment and degree four on the proposed bound; coherent N-owner example gives 1 versus 1/N^2.	Keep L-106073/first T-106070 retracted; no repaired analytic owner-residue bound is proved here.		l-families/FAMILY_ESTIMATE_FAILURES.md	proof read/reconstruction
B-024	736;737	751	86cac1d64364015ec2cc0f8fbb6fc75dc041c12b	claims/refutations/R-106131-complete-gauss-family-atomic-ledger-carries-phase-cardinality.md;claims/refutations/R-106150-boolean-source-square-is-wick-not-ordinary-mellin-convolution.md	Gauss/Wick correction chain	RETAIN_BINDING_CORRECTIONS_NO_NEW_GLOBAL_REPLAY	A full character-family atomic weight and disjoint-label convolution must remain distinct from unweighted atoms and ordinary products.	Reconcile every downstream version; all analytic gates stay open. Earlier producer totals are not this review's executions.		l-families/FAMILY_ESTIMATE_FAILURES.md	PR and downstream statements inspected; entire correction-chain proof/code not rerun
B-025	736;737	751	86cac1d64364015ec2cc0f8fbb6fc75dc041c12b	claims/lemmas/L-106212-boolean-half-source-is-a-witt-tower-of-l-functions.md	Formal Witt tower	ACCEPT_SCOPED_PROOF	Möbius inversion of logarithmic coefficients proves gamma_m and the local formal product; finite degree uses finitely many levels.	Formal equality is not analytic normal convergence or a family bound.	BCHK02	l-families/FUNCTION_FIELD_WITT.md	proof read/reconstruction
B-026	737	751	86cac1d64364015ec2cc0f8fbb6fc75dc041c12b	claims/lemmas/L-106213-function-field-nonprincipal-half-source-shells-have-square-root-size.md	Fixed-conductor complete shells	ACCEPT_WITH_NORMAL_CONVERGENCE_DETAIL	Weil roots bound m=1 coefficients; isolate the quadratic m=2 principal resonance. Higher levels converge normally on a disk bigger than q^-1/2.	Choose q^-1/2<R<q^-1/3; bound the infinite logarithmic tail explicitly. Constants depend on q and character.		l-families/FUNCTION_FIELD_WITT.md	proof read/reconstruction
B-027	737	751	86cac1d64364015ec2cc0f8fbb6fc75dc041c12b	claims/lemmas/L-106213-function-field-nonprincipal-half-source-shells-have-square-root-size.md	Stopped rough-shell extension	HOLD_UNIFORM_TRANSFER	Complete fixed-character coefficient control does not automatically control U-dependent rough restrictions or growing-conductor constants.	Provide the literal finite combination, its coefficients, cutoff masks and uniform conductor dependence; no number-field transfer accepted.		l-families/FUNCTION_FIELD_PRINCIPAL_BOUNDARY.md	proof read/reconstruction
B-028	738;741	752	10446e8ea9c55162c317810f63c1f7a379466459	research/l-families/atlas/gl2/README.md	Parity versus full central deflation	ACCEPT_SCOPED_PROOF	Loewner r/z atom is -r/(xy), sum-kernel atom +r/(xy). Full deflation leaves genuinely indefinite backgrounds.	Synthetic exact family is not arithmetic GL2 data. Keep unitary normalization and actual central order explicit.	BCHK05	l-families/GL2_DEFLATION.md	proof read/reconstruction
B-029	738	752	10446e8ea9c55162c317810f63c1f7a379466459	research/l-families/atlas/gl2/README.md	TWIST-EXCESS-RANK-L2	OPEN_ARITHMETIC_GATE	The Frobenius-norm moment equals a fixed node factor times average excess-rank squared. The rank moment is not bounded by deflation algebra.	Specify twist family, bad primes, root numbers, certified ranks and uniform high-rank tail.		l-families/OPEN_PROBLEMS.md	proof read/reconstruction
B-030	737;741	752	10446e8ea9c55162c317810f63c1f7a379466459	research/l-families/atlas/function_field/FAMILY_MEASURES.md	Affine quotient measures	ACCEPT_SCOPED_PROOF	Orbit-stabilizer gives mass q^3; Burnside fixed shapes give the stated congruence/characteristic corrections.	Only the declared AGL quotient, not full unpointed moduli; model, stack and coarse averages cannot be exchanged.	BCHK04	l-families/FUNCTION_FIELD_MEASURES.md	proof read/reconstruction
B-031	737;741	752	10446e8ea9c55162c317810f63c1f7a379466459	research/l-families/atlas/function_field/GENUS2_ENDOSCOPIC_SPLIT_LOCUS.md	Integral +q factor locus	ACCEPT_ALGEBRA_HOLD_FROZEN_CENSUS_REPLAY	Discriminant square/parity is equivalent to this particular factor shape. q=5 ghost is reducible but outside that shape.	No isogeny/polarization/monodromy claim; 251-atom incidence and q=7 orbit range are source-reported, not re-enumerated.	BCHK06	l-families/FUNCTION_FIELD_MEASURES.md	proof read/reconstruction
B-032	738;741	752	10446e8ea9c55162c317810f63c1f7a379466459	research/l-families/atlas/function_field/SYM3_EXTERIOR_SYM4_PLETHYSM_BRIDGE.md	Plethysm bridge	ACCEPT_SCOPED_PROOF	Six torus weights prove Lambda2 Sym3=det3 plus det Sym4; coefficient curve identity holds exactly.	Retain determinant twist and arithmetic ghost t^2=2q. No equality of source motives from normalized shape.	BCHK07	generalized-l-objects/REPRESENTATION_DICTIONARY.md	proof read/reconstruction
B-033	737;741	756	6e4609dfe1b073f1eb58445fdd1d7164dbc450d6	research/l-families/atlas/function_field/QUADRATIC_FAMILY_MULTIPLACE_L_FUNCTION_IDENTITY.md	Squarefree multi-place identity	ACCEPT_SCOPED_PROOF	Euler quotient L(u,psi)/L(u^2,psi^2), conductor removal and split/ramified infinity give all coefficients.	Use y^2=product(a_i-z), not silently monic odd-degree twist. Hasse envelopes are not typical-value or principal bounds.	BCHK03	l-families/FUNCTION_FIELD_MULTIPLACE.md	proof read/reconstruction
B-034	737;741	756	6e4609dfe1b073f1eb58445fdd1d7164dbc450d6	research/l-families/atlas/function_field/GENUS2_SYM12_CONDITIONAL_ENDOSCOPIC_CLOSURE.md	High symmetric-power channels	HOLD_UNINSPECTED_COMPONENTS_KEEP_SYM12_OPEN	Exact Sym6/8/10 formula claims and conditional Sym12 defect are separate from three-prime matching.	Full high-weight proofs/imports not independently inspected here. Epsilon_Eis and Genuine remain unpaid; no all-q interpolation.		l-families/OPEN_PROBLEMS.md	PR and programme/release summaries only
B-035	736;737;741	757	b870366141fe8d5f43d5b81f6e50a67d2a888070	research/l-families/atlas/SHEAF_AMPLIFIER_RELEASE_AUDIT.md	Adams/mask/source interface	OPEN_NATIVE_REALIZATION_AND_TRACE	Finite deck character algebra and closed-point extraction do not provide partial Frobenius on a general coupled native source.	Retain native adapter, signed Betti/trace bound, masks and principal individualization as distinct open obligations.		l-families/ADAMS_SOURCE_INTERFACES.md	programme and PR/release scope; full producer suite not rerun
B-036	741	758	d79692ece0b7604ad309c459f565b24e9926f5c5	research/l-families/atlas/function_field/FFPS_CHEBYSHEV_MAX_CUSP_COMPENSATION.md	Chebyshev primitive/positive tilt	ACCEPT_SCOPED_IDENTITIES	Absolute-lag integration by parts and the positive resolvent explain refill sign; order-dependent cost cannot be discarded.	No acceptance of every moving-order asymptotic merely from a finite panel; no reciprocal-zeta cancellation or imaginary-axis estimate.		l-families/KERNEL_TRANSFORMS.md	selected proof sections read, not entire 1400-line theorem suite
B-037	741	758	d79692ece0b7604ad309c459f565b24e9926f5c5	research/l-families/atlas/function_field/FFPS_CHEBYSHEV_MAX_CUSP_COMPENSATION.md	Pointwise density tail (4.29e)	FIX_REQUIRED_COUNTEREXAMPLE_AND_REPAIR	The positive density has square-root spikes at all 16m^2 for odd m; near-threshold values refute its stated pointwise asymptotic.	Use integrated tail 2304/(pi^3 sqrt(T))+O(T^-1); derive fractional transform term from the tanh profile, not the false pointwise density limit.	BCHK24	l-families/KERNEL_TRANSFORMS.md	proof read/reconstruction
B-038	741	758	d79692ece0b7604ad309c459f565b24e9926f5c5	research/l-families/atlas/function_field/FFPS_CHEBYSHEV_MAX_CUSP_COMPENSATION.md	Stieltjes zero-free domain	ACCEPT_CONDITIONAL_ON_PROFILE_REPRESENTATION	Positive Stieltjes measure gives strict imaginary sign off the cut and positivity to its right. Density-tail error does not refute that argument.	Only limiting kernel transform and compact subsets of the stated domain; not uniform approach to the full Perron axis.		l-families/KERNEL_TRANSFORMS.md	proof read/reconstruction
B-039	764	766	9e8985410607248f760c5c7c9cb09120df951343	research/l-families/atlas/generalized/SEGRE_RECURRENCE_SYZYGY_BRIDGE.md	Universal/reduced/ambient recurrence dictionary	ACCEPT_SCOPED_PROOF	Generic partial fractions plus polynomial specialization and h_-n nonvanishing prove universal degree; Hankel rank gives actual reduced denominator.	Keep three objects distinct, all matrices invertible, same-alphabet hypothesis, and additive Euler versus multiplicative determinant distinction.	BCHK11;BCHK12	generalized-l-objects/SEGRE_AND_RECURRENCES.md	proof read/reconstruction
B-040	764	766	9e8985410607248f760c5c7c9cb09120df951343	research/l-families/atlas/generalized/SEGRE_RECURRENCE_SYZYGY_BRIDGE.md	Actual rank-three maps 162/1720/9019	HOLD_FULL_MAP_REPLAY	These are different modules and actual map ranks, not consequences of a single scalar numerator.	Preserve source-reported exact finite ranks and cyclic trace; do not count them as this review's new elimination.		generalized-l-objects/FINITE_CLASSIFICATIONS.md	proof and finite map construction read; large blocks not rerun
B-041	764	766	9e8985410607248f760c5c7c9cb09120df951343	research/l-families/atlas/generalized/SEGRE_RECURRENCE_SYZYGY_BRIDGE.md	Cubic reciprocal purity chamber	ACCEPT_SCOPED_PROOF	Quartic substitution z=T+1/T reduces purity to two real z-roots in [-2,2]; endpoint and discriminant signs prove [x_star,0].	Only the self-dual rank-three slice, including reduction by unit-circle factors; not generic rank-three palindromy or arithmetic purity.		generalized-l-objects/FINITE_CLASSIFICATIONS.md	proof read/reconstruction
B-042	764	766	9e8985410607248f760c5c7c9cb09120df951343	research/l-families/atlas/generalized/THETA_SOURCE_QUOTIENT_TENSOR_COHERENCE.md	Source quotient coherence	ACCEPT_SCOPED_PROOF	Minimum-energy quotient, nested lifts, tensor inverse identity and exact averaging variance are directly proved.	Tensor closure needs local boundedness or separately assumed local integrability of the tensor; locally L1 alone is insufficient. Subtract vacuum before Mellin.	BCHK08;BCHK09	generalized-l-objects/THETA_SOURCE_QUOTIENTS.md	proof read/reconstruction
B-043	764	766	9e8985410607248f760c5c7c9cb09120df951343	research/l-families/atlas/generalized/PROPER_THETA_SOURCE_REAL_ZERO_COROLLARY.md;research/l-families/atlas/generalized/PROPER_THETA_SOURCE_UNIFORM_DEPTH_ZEROS.md	Proper theta quotient zeros at k>=96j	ACCEPT_CONDITIONAL_ON_NAMED_SOURCE_NORMALIZATION	All-lift cusp lower bound survives minimization; full j-by-j coefficient Gram pays earlier constraints; rational margins give R>e and a reflected sign-changing pair.	Retain MP source and exact Petersson normalization as imports. No newly replayed interval period, no simplicity, and different j are different quotients.	BCHK10	generalized-l-objects/THETA_SOURCE_QUOTIENTS.md	proof read/reconstruction
B-044	764	766	9e8985410607248f760c5c7c9cb09120df951343	research/l-families/atlas/generalized/CONTINUATION_RESULTS.md	Remaining period divisor/derivative packets	HOLD_UNINSPECTED_FULL_PROOFS	Fixed-weight poles, signed counts, all-weight fractional frequencies and derivative8192 are distinct analytic theorems.	Index retained but no blanket approval of their global growth, cancellation and effective tail proofs. Source quotient conclusions do not substitute.		generalized-l-objects/REVIEW_REMAINDER.md	front-door and selected statement reading; full packet proof/replay omitted
B-045	764	769	f5f9bed2bdcd9188fdd61b822376398022cebb03	research/l-families/atlas/generalized/segre-hadamard-source/COMPLETED_TERNARY_CUBE_RESOLUTION.md	Global marked Chow exactness argument	ACCEPT_CONDITIONAL_ON_FROZEN_INPUTS	Given minimal lower covers and Tor support, one non-old central top class fills the last generator; Nakayama surjectivity precedes Tor4-based injectivity.	Preserve dimension-seven source, ten-variable base and distinct ambient Tor. Global 775/776 are deductions, not full measured kernels.	BCHK11	generalized-l-objects/CHOW_RESOLUTION.md	proof read/reconstruction
B-046	764	769	f5f9bed2bdcd9188fdd61b822376398022cebb03	research/l-families/atlas/generalized/segre-hadamard-source/COMPLETED_TERNARY_CUBE_RESOLUTION.md	379-term marked witness and lower matrices	HOLD_PRIMITIVE_REPLAY	49-coordinate minor and all original-row residuals would prove nonmembership; the synthesis binds a concrete earlier artifact.	Exact artifact at 4019ecd9d0b674fa6d9b26eee2c70c2717f33543 and contract at 596189377cb5d167c95334bfc5ddb74af2d1cc5f must be authenticated/replayed before unconditional certificate acceptance.		generalized-l-objects/CHOW_RESOLUTION.md	synthesis and promotion proof logic; raw matrices not rerun
B-047	763	770	29aee91f17a8d6ccc6b19e21cff97f763d92da95	research/riemann-structures/native-six-hour/NATIVE_REYNOLDS_PATH_OBSTRUCTION.md	Reynolds single-path obstruction	ACCEPT_SCOPED_PROOF	Threshold-mixture variance bound excludes (1/2,1/4,1/2); an explicit threshold path attains the sharp maximum-norm distance.	Convex mixtures of legal currents need not be a legal single path. Physical equality needs actual coalesced observation, not separated raw records.	BCHK19	riemann-structures/NATIVE_PATH_GEOMETRY.md	proof read/reconstruction
B-048	763	770	29aee91f17a8d6ccc6b19e21cff97f763d92da95	research/riemann-structures/native-six-hour/NATIVE_FIXED_MINOR_INFINITY_DEFECT.md	Selected-minor infinite degeneration	ACCEPT_SCOPED_PROOF	D_i,0=0 collapses eight pure-prime rows to at most three; twelve other rows give rank at most fifteen.	Do not confuse selected-minor failure with full observation failure. No strict all-future Neumann bound for this same minor can work.		riemann-structures/NATIVE_OBSERVATION.md	proof read/reconstruction
B-049	763	770	29aee91f17a8d6ccc6b19e21cff97f763d92da95	research/riemann-structures/native-five-hour-pass/infinite-source/variational_ALL_HORIZON_FAITHFULNESS.md	All-horizon original-measure faithfulness	ACCEPT_CONDITIONAL_ON_GRAM_AND_PREFIX_CERTIFICATES	Positive product-horizon tail plus original infinite Gram gives 1/48000000 lower and 69 upper for H>=2^48; finite prefix then covers H>=450.	Do not repeat stale PR-body unproved gap. Authenticate the directed original Gram and complete finite collector, not merely the tail scalar.	BCHK20	riemann-structures/NATIVE_OBSERVATION.md	proof read/reconstruction
B-050	763	770	29aee91f17a8d6ccc6b19e21cff97f763d92da95	research/riemann-structures/SIX_HOUR_NATIVE_PROGRESS.md	Remaining optimizer/variational certificates	HOLD_COMPLETE_CERTIFICATE_REPLAY	Fixed-source variational optimum, rank, attainability and all-prime or retained-gamma transport are different claims.	Late infinite optimizer and quadratic-dual packet not fully inspected or rerun. Preserve refused inputs and incomplete contracts as such.		riemann-structures/REVIEW_REMAINDER.md	programme/front-door scope only for remaining packets
B-051	737;739;763	771	bffe68cec24fd785f7b16087d6ce8fea4561eece	claims/lemmas/L-107300-reduced-kummer-augmentation-projector.md	Augmentation projector	ACCEPT_SCOPED_PROOF	Finite character orthogonality gives delta-1/m and a direct sum of nontrivial Kummer lines at each residue field.	Actual trace sheaf is local; global Boolean pushforward and arithmetic descent need separate data.		l-families/RELATIVE_TRACE.md	proof read/reconstruction
B-052	737;739;763	771	bffe68cec24fd785f7b16087d6ce8fea4561eece	claims/lemmas/L-107302-shared-conductor-relative-augmentation-object.md	Quadratic resonance sectors	ACCEPT_LOCAL_FIX_RANK_WORDING	Square pullback trivializes exactly the quadratic characters; the four-sector tensor decomposition is correct.	The three resonant sectors are not all rank one: mixed sectors have ranks of the opposite reduced augmentation, and only double-quadratic is rank one. Define Weil-restriction/Lang descent precisely.		l-families/RELATIVE_TRACE.md	proof read/reconstruction
B-053	737;739;763	771	bffe68cec24fd785f7b16087d6ce8fea4561eece	claims/lemmas/L-107304-physical-squareclass-twisted-plancherel.md	Twisted physical Plancherel	ACCEPT_SCOPED_PROOF	Fourier transform of sum_(xy^2=r) A(x)B(y) equals Ahat(chi)Bhat(chi^2); norm is largest surviving multiplier.	Empty surviving character set has norm zero. Tensor norm formula requires separability; coupled live masks are excluded.	BCHK21	l-families/RELATIVE_TRACE.md	proof read/reconstruction
B-054	763	774	abe712bdeca0968167f6decc2fbc0651fdd73592	PR metadata: native shared-fibre primitive trace	Declared history diagnostic	ACCEPT_RECONSTRUCTED_FINITE_IDENTITY_ONLY	Vector (3,3,-1,...,-1) has norm squared26 and sum-2: mean fraction1/65 and bilateral difference16-676=-660.	This is the declared vector, not a proof of complete native rectangle gluing, Frobenius geometry or principal binding.	BCHK22	riemann-structures/NATIVE_OCCUPANCY.md	PR statement and independent finite reconstruction; full branch proofs not read
B-055	763	776	b7acc73075f7f8da4ebc783a449d2b68ce4aad63	PR metadata: T-108106 centered-current majorant	Positive-part/ANOVA majorant	ACCEPT_RECONSTRUCTED_OPERATOR_IDENTITY_ONLY	For M>=0 and d>=0, (M-dI)_+<=M; the product centering projector gives the displayed row/column/total subtraction.	Assemble actual signed cell current first. No automatic cofinal source census, uniform cross-conductor estimate or principal bound.		riemann-structures/NATIVE_OCCUPANCY.md	PR statement and direct operator proof; full branch proofs not read
