source_pr	source_sha	repository	role	pin_basis	evidence_scope	url
770	29aee91f17a8d6ccc6b19e21cff97f763d92da95	GettysburgResearch/riemann	native path, observation and all-horizon inference	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/29aee91f17a8d6ccc6b19e21cff97f763d92da95
771	bffe68cec24fd785f7b16087d6ce8fea4561eece	GettysburgResearch/riemann	local relative trace and twisted Plancherel	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/bffe68cec24fd785f7b16087d6ce8fea4561eece
774	abe712bdeca0968167f6decc2fbc0651fdd73592	GettysburgResearch/riemann	declared native history example	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/abe712bdeca0968167f6decc2fbc0651fdd73592
776	b7acc73075f7f8da4ebc783a449d2b68ce4aad63	GettysburgResearch/riemann	positive-part and centered-current identity	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/b7acc73075f7f8da4ebc783a449d2b68ce4aad63
778	8db2752fa046a9fc686f3a4a5606beb2da3e7176	GettysburgResearch/riemann	closed negative principal-mode disposition	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/8db2752fa046a9fc686f3a4a5606beb2da3e7176
779	38023e22913eacdb8af9da804f6301f20da0332c	GettysburgResearch/riemann	beta source/consumer interface; A primary	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/38023e22913eacdb8af9da804f6301f20da0332c
781	83dca1a6b750feeffe9f446656bb01694131d74a	GettysburgResearch/riemann	Segre, graph, torsion, detector and Epstein audit	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/83dca1a6b750feeffe9f446656bb01694131d74a
782	737bf85ec9f36213cfe02b7edc178181545167f7	GettysburgResearch/riemann	Segre-Chow transfer and degree-six frontier	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/737bf85ec9f36213cfe02b7edc178181545167f7
783	48d556561125cba3859a4c6d6747bcb44c1a7fc1	GettysburgResearch/riemann	Hecke/Poincare/renewal; A owns non-cusp components	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/48d556561125cba3859a4c6d6747bcb44c1a7fc1
793	cdf2f15965decbd35afbbd09a16c89cb3e215737	GettysburgResearch/riemann	pass7 Dickman completion only; earlier passes excluded	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/cdf2f15965decbd35afbbd09a16c89cb3e215737
