kind	formal_id	source_semantic_id	lean_declaration	lean_module	formal_status	honest_scope	source_head
CANONICAL	OPERATOR.XI.PICK_ORDER3.DETERMINANT	OPERATOR.XI.PICK_ORDER3.DETERMINANT	RiemannFormal.Operator.three_node_pick_determinant_identity	RiemannFormal.Operator.PickAlgebra	PROVED	Exact three-node determinant identity with domain assumptions explicit.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	RiemannFormal.Operator.actualXiCompanionCurvature_of_inputs	RiemannFormal.Operator.XiOrderThree	PROVED_CONDITIONAL	Companion curvature from the concrete grouped actual-Xi C2 input.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	RiemannFormal.Operator.Jet2.reciprocalConcavity_add	RiemannFormal.Operator.ReciprocalConcavity	PROVED	Exact positive-sum reciprocal-curvature theorem with square certificate.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	RiemannFormal.Operator.reflectedOffLineOrbit_absorbed_reviewed	RiemannFormal.Operator.XiSourceSpecific	PROVED	Reviewed reflected-orbit defect, multiplicity and reserve-coordinate algebra.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	OPERATOR.XI.CRITICAL_RESERVE_BUDGET	OPERATOR.XI.CRITICAL_RESERVE_BUDGET	RiemannFormal.Operator.buildLockedActualXiReserveAllocation	RiemannFormal.Operator.XiSourceSpecific	PROVED_CONDITIONAL	Source-locked existence of concrete reserve-allocation data from explicit tail/budget inputs.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	RiemannFormal.Operator.actualXiReciprocalConcavity_of_inputs	RiemannFormal.Operator.XiOrderThree	PROVED_CONDITIONAL	Actual-Xi reciprocal curvature from source lock, grouped C2, residual, reserve and paid-prefix inputs.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	OPERATOR.XI.PICK_ORDER3	OPERATOR.XI.PICK_ORDER3	RiemannFormal.Operator.actualXiPickOrderThreeConditional	RiemannFormal.Operator.XiOrderThree	PROVED_CONDITIONAL	PSD through order three including repeated nodes; no PD, order-four or RH conclusion.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	OPERATOR.XI.LOEWNER_LOW_ORDER	OPERATOR.XI.LOEWNER_LOW_ORDER	RiemannFormal.Operator.actualXiLowOrderLoewner_of_inputs	RiemannFormal.Operator.XiOrderThree	PROVED_CONDITIONAL	Low-order conclusion only; no all-order monotonicity.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	RiemannFormal.Refutations.positiveSchurCannotRescue	RiemannFormal.Refutations.MatrixFirewalls	REFUTED_FORMALIZED	Exact scalar Schur-complement no-rescue theorem.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	REFUTATION.ROOT_EXCESS_ONLY	REFUTATION.ROOT_EXCESS_ONLY	RiemannFormal.Refutations.positiveExcessDoesNotControlSquareRoot	RiemannFormal.Refutations.MatrixFirewalls	REFUTED_FORMALIZED	Exact rational square-root orientation counterexample.	381a5a98ade7c6bad7122e5182c2fc07332dc747
CANONICAL	REFUTATION.HEAT.UNIFORM_CENTER	REFUTATION.HEAT.UNIFORM_CENTER	RiemannFormal.Refutations.parityChangesUnderDisplacement	RiemannFormal.Refutations.HeatQ4Firewalls	BLOCKED_MATHEMATICS	Finite parity-displacement fixture only; full analytic uniform-center no-go remains open.	381a5a98ade7c6bad7122e5182c2fc07332dc747
API	FORMAL.API.OPERATOR.PICK_ORDER2_MONOTONICITY	OPERATOR.XI.PICK_ORDER2	RiemannFormal.Operator.two_point_pick_nonnegative	RiemannFormal.Operator.PickAlgebra	PROVED	Generic exact two-point determinant implication.	381a5a98ade7c6bad7122e5182c2fc07332dc747
API	FORMAL.API.OPERATOR.SECOND_DIVDIFF_ADD	OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	RiemannFormal.Operator.secondDivDiff_add_nonpositive	RiemannFormal.Operator.PickAlgebra	PROVED	Generic finite second-divided-difference linearity API.	381a5a98ade7c6bad7122e5182c2fc07332dc747
API	FORMAL.API.OPERATOR.RECIPROCAL_CONCAVITY_ADD	OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	RiemannFormal.Operator.Jet2.reciprocalConcavity_add	RiemannFormal.Operator.ReciprocalConcavity	PROVED	API alias for the exact positive-sum theorem.	381a5a98ade7c6bad7122e5182c2fc07332dc747
API	FORMAL.API.OPERATOR.ONE_ORBIT_COORDINATES	OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	RiemannFormal.Operator.oneOrbit_cross_curvature_coordinates	RiemannFormal.Operator.XiSourceSpecific	PROVED	Exact coordinate cross-curvature algebra below the source-specific wrapper.	381a5a98ade7c6bad7122e5182c2fc07332dc747
API	FORMAL.API.OPERATOR.RESERVE_PREFIX_ALLOCATION	OPERATOR.XI.CRITICAL_RESERVE_BUDGET	RiemannFormal.Operator.buildActualXiReserveAllocation	RiemannFormal.Operator.XiSourceSpecific	PROVED_CONDITIONAL	Concrete finite-prefix allocation from explicit reciprocal-tail and numerical-budget inputs.	381a5a98ade7c6bad7122e5182c2fc07332dc747
API	FORMAL.API.OPERATOR.REPEATED_NODE_REDUCTION	OPERATOR.XI.PICK_ORDER3	RiemannFormal.Operator.repeated12_pick_psd	RiemannFormal.Operator.RepeatedNodes	PROVED	Duplicate rows/columns reduce to order-two PSD; companion 13/23 cases are audited.	381a5a98ade7c6bad7122e5182c2fc07332dc747
