q=3; quadratic characters mod irreducible Q of degree d; detector D(n)=sum_{deg f<=n} mu(f)chi(f) q^{-deg f/2}
Weil RH holds for all rows.  A = main term 1/L(q^{-1/2},chi); amp = sum |B_j| over unit-circle poles;
min/max over 50<=n<=20000; neg = number of n in that range with D(n)<0
  d Q(low->high)   L(u,chi) coeffs          |alpha_j| (sqrt q=1.7321)          A       amp     min D     max D    neg
  6 1102001        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 1102111        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1102121        [1, 1, -1, 5, 3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.5096    1.6154   -1.0812    2.1004   7176
  6 1102201        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1110001        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1110011        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1110221        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 1111021        [1, 1, -1, 5, 3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.5096    1.6154   -1.0812    2.1004   7176
  6 1111111        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1112011        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1112201        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 1120121        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 1121221        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1122001        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1122221        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1200121        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1201001        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 1201111        [1, 1, -1, 5, 3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.5096    1.6154   -1.0812    2.1004   7176
  6 1201121        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1201201        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1202021        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 1202101        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1210001        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1210021        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1210211        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 1211021        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1211201        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 1212011        [1, 1, -1, 5, 3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.5096    1.6154   -1.0812    2.1004   7176
  6 1212121        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1220111        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 1221001        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1221211        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1222211        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 2000011        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2000021        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2001011        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2001221        [1, -3, 5, -9, 15, -9]   [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    3.4260    3.1160    0.4088    6.4433      0
  6 2002021        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2002211        [1, -3, 5, -9, 15, -9]   [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    3.4260    3.1160    0.4088    6.4433      0
  6 2010211        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 2010221        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 2011201        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 2011211        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 2012201        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 2012221        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 2020111        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 2020121        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 2021021        [1, -3, 5, -9, 15, -9]   [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    3.4260    3.1160    0.4088    6.4433      0
  6 2021221        [1, 1, -1, 5, 3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.5096    1.6154   -1.0812    2.1004   7176
  6 2022011        [1, -3, 5, -9, 15, -9]   [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    3.4260    3.1160    0.4088    6.4433      0
  6 2022211        [1, 1, -1, 5, 3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.5096    1.6154   -1.0812    2.1004   7176
  6 2100001        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2100011        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 2101001        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2101111        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 2101211        [1, -3, 7, -11, 15, -9]  [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    1.7432    1.8483   -0.1051    3.5913    450
  6 2102101        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 2110121        [1, -3, 7, -11, 15, -9]  [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    1.7432    1.8483   -0.1051    3.5913    450
  6 2110201        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 2111011        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 2111111        [1, -3, 5, -9, 15, -9]   [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    3.4260    3.1160    0.4088    6.4433      0
  6 2111201        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 2111221        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2112001        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 2112101        [1, -3, 3, -7, 15, -9]   [1.732051, 1.732051, 1.0, 1.732051, 1.732051]   98.8634   98.1083    0.7781  196.9488      0
  6 2112221        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2120101        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 2120221        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 2121011        [1, -3, 7, -11, 15, -9]  [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    1.7432    1.8483   -0.1051    3.5913    450
  6 2121121        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2121211        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 2122121        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2200001        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2200021        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 2201101        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 2202001        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2202121        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 2202221        [1, -3, 7, -11, 15, -9]  [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    1.7432    1.8483   -0.1051    3.5913    450
  6 2210111        [1, -3, 7, -11, 15, -9]  [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    1.7432    1.8483   -0.1051    3.5913    450
  6 2210201        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 2211001        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 2211101        [1, -3, 3, -7, 15, -9]   [1.732051, 1.732051, 1.0, 1.732051, 1.732051]   98.8634   98.1083    0.7781  196.9488      0
  6 2211211        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 2212021        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 2212121        [1, -3, 5, -9, 15, -9]   [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    3.4260    3.1160    0.4088    6.4433      0
