q=5; quadratic characters mod irreducible Q of degree d; detector D(n)=sum_{deg f<=n} mu(f)chi(f) q^{-deg f/2}
Weil RH holds for all rows.  A = main term 1/L(q^{-1/2},chi); amp = sum |B_j| over unit-circle poles;
min/max over 50<=n<=20000; neg = number of n in that range with D(n)<0
  d Q(low->high)   L(u,chi) coeffs          |alpha_j| (sqrt q=2.2361)          A       amp     min D     max D    neg
  3 2441           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 3021           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 3041           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 3111           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 3121           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 3221           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 3231           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 3301           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 3401           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 3411           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 3431           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 4031           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 4041           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 4101           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 4111           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 4121           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 4201           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 4311           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 4341           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 4421           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 4441           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  4 10111          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 10141          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 10221          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 10231          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 10311          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 10341          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 10421          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 10431          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 11041          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 11101          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 11221          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 11301          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 11321          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 11411          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 11441          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 12021          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 12121          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 12131          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 12201          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 12211          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 12311          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 12401          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 13031          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 13121          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 13131          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 13201          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 13241          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 13341          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 13401          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 14011          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 14101          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 14231          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 14301          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 14331          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 14411          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 14441          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 20001          [1, -5, 9, -5]           [1.0, 2.236068, 2.236068]     8.5676    7.6942    0.8734   16.2618      0
  4 20101          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 20121          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 20131          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 20211          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 20241          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 20321          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 20331          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 20401          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 20411          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 20441          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 21031          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 21041          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 21141          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 21211          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 21321          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 21341          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 21401          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 22021          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 22041          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 22101          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 22211          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 22221          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 22331          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 22421          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 23011          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 23031          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 23101          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 23231          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 23241          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 23321          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 23431          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 24011          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 24021          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 24111          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 24241          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 24311          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 24331          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 24401          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 30001          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 30201          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 30221          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 30231          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 30301          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 30311          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 30341          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 31011          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 31021          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 31111          [1, -5, 9, -5]           [1.0, 2.236068, 2.236068]     8.5676    7.6942    0.8734   16.2618      0
  4 31211          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 31301          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 31401          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 31431          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 31441          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 32011          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 32031          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 32101          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 32121          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 32141          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 32201          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 32331          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 32431          [1, -5, 9, -5]           [1.0, 2.236068, 2.236068]     8.5676    7.6942    0.8734   16.2618      0
  4 33021          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 33041          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 33101          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 33111          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 33131          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 33201          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 33321          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 33421          [1, -5, 9, -5]           [1.0, 2.236068, 2.236068]     8.5676    7.6942    0.8734   16.2618      0
  4 34031          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 34041          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 34141          [1, -5, 9, -5]           [1.0, 2.236068, 2.236068]     8.5676    7.6942    0.8734   16.2618      0
  4 34241          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 34301          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 34401          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 34411          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 34421          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 40011          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 40021          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 40031          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 40041          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 41001          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 41021          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 41111          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 41241          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 41331          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 41341          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 41411          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 41421          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 42001          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 42011          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 42111          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 42131          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 42221          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 42241          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 42321          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 42431          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 43001          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 43041          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 43121          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 43141          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 43211          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 43231          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 43331          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 43421          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 44001          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 44031          [1, -3, 7, -5]           [1.0, 2.236068, 2.236068]     1.6363    1.1888    0.4475    2.8251      0
  4 44141          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986
  4 44211          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 44311          [1, -1, 5, -5]           [1.0, 2.236068, 2.236068]     0.9045    0.6455    0.3015    1.5075      0
  4 44321          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 44431          [1, 1, 3, -5]            [1.0, 2.236068, 2.236068]     0.6250    0.5195    0.1055    1.1445      0
  4 44441          [1, 3, 1, -5]            [1.0, 2.236068, 2.236068]     0.4775    0.8123   -0.3348    1.2898   5986

characters: 200 ; detector negative infinitely often (observed) : 65 ; eventually nonnegative (observed): 135
