semantic_id	family	final_verdict	integration_action	destination	required_fix	source_pr	source_head_sha	source_path	priority	notes
OPEN.ARITH.FIVE_THREE_NEGATIVE_MASS	mellin_landau	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	mellin_landau	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
ARITH.SHARP.COMPACT_HALL_RN	sharp_native	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/sharp_native/		652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99600-exact-compact-sharp-hall-and-rn-cocycle.md	P1	CANONICALIZE
ARITH.SHARP.ALPHA_NATIVE_PROMOTION	sharp_native	FALSE	CANONICALIZE_REFUTATION	REFUTATIONS.md	Use sequential first-owner decomposition; RN thinning repairs location, not coefficient.	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/refutations/R-99600-alpha-child-hazard-is-not-the-native-euler-source.md	P1	CANONICAL_REFUTATION
ARITH.SHARP.SEQUENTIAL_FIRST_OWNER	sharp_native	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/sharp_native/		652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99601-sequential-first-owner-euler-hazard.md	P1	CANONICALIZE
OPEN.ARITH.FCHD67	sharp_native	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
ARITH.SOURCE.TYPING_FIREWALLS	sharp_native	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/sharp_native/	Include the odd-history fixture, PR #667 normalization, and live q=2 marginal separator.	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	claims/refutations/R-97400-p61-source-interface-firewalls.md	P1	CANONICALIZE_WITH_FIXES
ARITH.SHARP.ROW_KERNEL	sharp_native	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/sharp_native/	Keep atom positivity separate from native source promotion.	642	07aa0d4838458a1b2d3af9e5bc96616baa6b4767	claims/lemmas/L-99240-sharp-target-positive-row-kernel-factorization.md	P1	CANONICALIZE_WITH_FIXES
ARITH.SHARP.POWER_M_GE_2	sharp_native	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/sharp_native/		663	fa081e81044a81e76f48cb9878a659d749e98427	claims/lemmas/L-99613-every-sharp-boundary-power-at-least-two-is-globally-positive.md	P1	CANONICALIZE
ARITH.SHARP.CRITICAL_DESCENT_IDENTITIES	sharp_native	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/sharp_native/		668	15719b975115ecad1b23264c6a6303899b4c99dc	claims/lemmas/L-99940-distributional-critical-power-descent.md|claims/lemmas/L-99942-critical-negative-mass-is-weighted-downward-variation.md	P1	CANONICALIZE
OPEN.ARITH.CV	sharp_native	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		668	15719b975115ecad1b23264c6a6303899b4c99dc	claims/lemmas/L-99944-critical-variation-is-rh-equivalent.md	OPEN	REGISTER_OPEN_EQUIVALENCE
ARITH.WAVELET.MINIMAL_RATIO8	wavelet_xd	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/wavelet_xd/	Use semantic/path-qualified theorem locators and explicit endpoint conventions.	674	9962f7f712adc6b4ad72672ecfeace028ba79bdb	standalone/2026-08-20-minimal-mobius-wavelet/PROOF.md	P1	CANONICALIZE_WITH_FIXES
ARITH.WAVELET.ABEL_MERTENS	wavelet_xd	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/wavelet_xd/	State Mertens endpoint convention and kernel regularity.	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100500-exact-abel-mertens-wavelet-frame.md	P1	CANONICALIZE_WITH_FIXES
ARITH.WAVELET.SPECTRAL_ABSCISSA	wavelet_xd	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/wavelet_xd/	State abscissa as an infimum; supply vertical reciprocal-zeta growth, a.e. phase, multiplicity, and nonattainment details.	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/lemmas/L-100131-wavelet-energy-abscissa-equals-rightmost-zero.md	P1	CANONICALIZE_AFTER_ANALYTIC_REWRITE
REFUTATION.WAVELET.FLOOR_KERNEL	wavelet_xd	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md		675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/refutations/R-100130-positive-floor-kernel-cancels-the-zeta-detector.md	P1	CANONICAL_REFUTATION
REFUTATION.WAVELET.CRITICAL_DESMOOTHING	wavelet_xd	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md		689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100501-critical-dyadic-inverse-and-frame-firewall.md	P1	CANONICAL_REFUTATION
ARITH.HASSE.WAVELET_REALIZATION	wavelet_xd	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/wavelet_xd/	Do not alias positive variation to the signed detector.	692	50c4862c801b6388a30363c336d275270025eff4	claims/lemmas/L-101002-phase-hasse-is-a-wavelet-realization-not-an-independent-detector.md	P1	CANONICALIZE_ALIAS
ARITH.XD.OLD_K0_K1_EDGE	wavelet_xd	FALSE	CANONICALIZE_REFUTATION	REFUTATIONS.md	Replace by the same-K1 theorem.	705	027ea8bd5c879a190e9e22620c245a81f7b93b73	claims/refutations/R-103200-k0-k1-hybrid-equivalence-is-mistyped.md	P1	CANONICAL_REFUTATION
ARITH.XD.SAME_K1_TRANSLATION	wavelet_xd	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/wavelet_xd/		705	027ea8bd5c879a190e9e22620c245a81f7b93b73	claims/lemmas/L-103201-correct-same-k1-largest-prime-vaughan-hybrid.md	P1	CANONICALIZE
OPEN.ARITH.XD	wavelet_xd	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_EQUIVALENCE
ARITH.DICKMAN.STIELTJES_TRANSFER	dickman_bellman	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/dickman_bellman/	State endpoint conventions and the external classical input separately.	607	a28f8e5b8c90e3aef30e97053ed42e9ddde9c665	claims/lemmas/L-98040-exact-stieltjes-transfer-of-the-complete-p61-base.md	P1	CANONICALIZE_WITH_FIXES
ARITH.DICKMAN.MESOSCOPIC_BELLMAN	dickman_bellman	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/dickman_bellman/	Pin exact classical Vinogradov-Korobov/de Bruijn statements, ranges, and p^-1 normalization.	608	f362acf56bbbbd183976b6377fbe883193886e1a	claims/theorems/T-98050-hereditary-mesoscopic-bellman-corridor.md	P1	CANONICALIZE_AFTER_CITATION_LOCK
ARITH.DICKMAN.FIXED_EXPONENT_INTERVALS	dickman_bellman	CONDITIONAL_EXACT	REGISTER_CONDITIONAL_API	research/integrated/dickman_bellman/	Prove joint uniformity in endpoint ratio, moving u, continuity points, tails, and positive margin.	700	18737409b6fa1c0a20096e5939a60cfc933d251c	claims/lemmas/L-101220-truncated-dickman-limit-for-prime-interval-prefixes.md|claims/lemmas/L-101221-all-fixed-exponent-double-owner-intervals-are-positive.md	P1	EXCLUDE_PENDING_UNIFORMITY
ARITH.OWNER.DOUBLE_OWNER_COBBOUNDARY	owner_vaughan	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/vaughan_half_divisor/		695	5b549abb560e87718f1977d72bf6d3a18165af90	claims/lemmas/L-100700-double-owner-mixed-coboundary-and-rectangle-telescope.md	P1	CANONICALIZE
ARITH.CVXD.CARRIER_PRESERVATION	owner_vaughan	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/vaughan_half_divisor/		699	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/lemmas/L-101101-carrier-preserving-short-long-projection.md|claims/lemmas/L-101102-exact-sharp-to-minimal-wavelet-derivative-bridge.md	P1	CANONICALIZE
ARITH.VAUGHAN.LARGE_DIVISOR	owner_vaughan	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/vaughan_half_divisor/		696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/lemmas/L-102001-balanced-vaughan-large-divisor-hankel-form.md	P1	CANONICALIZE
ARITH.VAUGHAN.HALF_DIVISOR	owner_vaughan	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/vaughan_half_divisor/	Use product AB in the Cauchy gate and truncate before applying the full-line Hardy inequality.	696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/lemmas/L-102009-ratiofour-two-field-factorization-of-balanced-vaughan.md|claims/lemmas/L-102010-half-divisor-symmetric-one-field-reduction.md	P1	CANONICALIZE_WITH_FIXES
ARITH.VAUGHAN.HAAR_GRAM_DIAGONAL	owner_vaughan	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/vaughan_half_divisor/		702	89f995450977c3590aada0c1447a7e6af7fcd9ac	claims/lemmas/L-103100-exact-half-completed-haar-gram.md|claims/lemmas/L-103101-diagonal-is-unconditionally-subpower.md	P1	CANONICALIZE
OPEN.ARITH.HCNC	owner_vaughan	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		702	89f995450977c3590aada0c1447a7e6af7fcd9ac	claims/lemmas/L-103102-fractional-nyman-and-near-collision-equivalence.md	OPEN	REGISTER_OPEN_CUT
API.PERRON.ABSORPTION	conjunctive	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/conjunctive/		697	e878c3717cd8124564e5400b2ec5db035e3a4088	claims/lemmas/L-101100-positive-completion-negative-mass-absorption.md	P1	CANONICALIZE
API.CONJUNCTIVE.SPARSITY_ENERGY	conjunctive	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/conjunctive/	Do not call subpower log-length an independent key; require power-saving or deep-excursion occupancy for genuine leverage.	698	a10d6a40105142de2708632589c458d7534f556a	claims/lemmas/L-101103-bad-set-sparsity-times-derivative-energy.md	P1	CANONICALIZE_AS_INEQUALITY_ONLY
API.CONJUNCTIVE.REGIONAL_SCHUR	conjunctive	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/conjunctive/	Require literal native row/column marginals and a compatible partition.	698	a10d6a40105142de2708632589c458d7534f556a	claims/lemmas/L-101105-regionwise-two-sided-schur-cover.md	P1	CANONICALIZE_WITH_FIXES
API.CONJUNCTIVE.MATCHED_TRANSFER	conjunctive	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/conjunctive/		704	66f755df4321a03874e0da3f61b033300173e364	claims/lemmas/L-101500-matched-transfer-negative-part.md	P1	CANONICALIZE
API.CONJUNCTIVE.ROOT_EXCESS	conjunctive	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/conjunctive/		706	44828a27c63bfc57dce12d67e980db33f4d55c3a	claims/lemmas/L-104101-two-key-root-excess-absorption.md	P1	CANONICALIZE
REFUTATION.ROOT_EXCESS_ONLY	conjunctive	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md		706	44828a27c63bfc57dce12d67e980db33f4d55c3a	claims/lemmas/L-104100-root-containing-square-firewall.md	P1	CANONICAL_REFUTATION
ARITH.STAIRCASE.VECTOR_REDUCTION	conjunctive	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/conjunctive/	Use the identical source, cutoff, and zero-safe compact filter in both coordinates.	703	0a46dba5c74e573945e3612937606f6ca735a1d3	claims/lemmas/L-102100-survival-weighted-mixed-coboundary-and-staircase-telescope.md|claims/lemmas/L-102103-carrier-free-filter-for-the-quadratic-wavelet-bridge.md|claims/lemmas/L-102105-vector-vaughan-reduction.md	P1	CANONICALIZE_WITH_FIXES
OPEN.ARITH.CFBB	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		703	0a46dba5c74e573945e3612937606f6ca735a1d3	claims/theorems/T-102100-carrier-free-staircase-perron-frontier.md	OPEN	REGISTER_OPEN_CUT
ARITH.PHASE.CUBIC_AMPLITUDE	conjunctive	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/conjunctive/		707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	claims/lemmas/L-103300-critical-carrier-normalized-balanced-homotopy.md|claims/lemmas/L-103303-centered-cubic-bspline-autocorrelation.md|claims/lemmas/L-103304-half-divisor-field-is-source-square-root.md	P1	CANONICALIZE
OPEN.ARITH.BPOE	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	claims/theorems/T-103300-balanced-phase-amplitude-and-physical-occupancy-frontier.md	OPEN	REGISTER_OPEN_CUT
ARITH.CAUSAL_PACKET_BUDGET	historical_native_assets	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/native_assets/	Preserve literal physical packet typing; Hall does not commute automatically with the tree.	439	706445c01d4a5c9f852a4faf1329bd9858dc727a	claims/lemmas/L-91355-constant-mode-hazard-weights-give-a-nonduplicating-causal-packet-budget.md	P1	CANONICALIZE_WITH_FIXES
ARITH.FINITE_FARKAS	historical_native_assets	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/native_assets/	State that the theorem is a sufficiency/fail-closed finite alternative, not feasibility of the live allocation.	454	a0409d54250bc211d62718a1aedb6fa020d7f091	claims/lemmas/L-91671-atomwise-provenance-partition-is-the-exact-native-root-ledger-certificate.md	P1	CANONICALIZE_WITH_FIXES
ARITH.Y4_REPAIR_CONE	historical_native_assets	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/native_assets/	Preserve the response-space/source-ownership distinction and the possible new negative lower rows.	470	89af3206ea1894884613e1188b5ab9a6a4cd74f0	claims/lemmas/L-91687-y4-zero-columns-are-score-free-triangular-repair-directions.md	P1	CANONICALIZE_WITH_FIXES
ARITH.Y4_RADIAL_NULL_GAUGE	historical_native_assets	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/native_assets/	Keep dictionary invisibility separate from source-owned feasibility and model allocation.	472	bb364396e09717237351d4aed9aadf6c570cb7fc	claims/lemmas/L-19881-y4-zero-repair-is-a-null-gauge-for-the-prime-radial-dictionary.md	P1	CANONICALIZE_WITH_FIXES
ARITH.LIVE_MARGINAL_FARKAS	historical_native_assets	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/native_assets/	State explicitly that the theorem is an exact finite reduction and that feasibility is open.	521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	claims/lemmas/L-94023-the-anchored-native-interface-is-one-exact-joint-primal-farkas-problem.md	P1	CANONICALIZE_WITH_FIXES
ARITH.VOLTERRA_GREEN	historical_native_assets	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/native_assets/	Retain both boundary modes and every activation-knot atom; smooth-cell density alone is incomplete.	638	73ee57ccc684f4062769a6d1c0456b3ef6318db2	claims/lemmas/L-99230-distributional-volterra-green-formula.md	P1	CANONICALIZE_WITH_FIXES
ARITH.DIRECT_INTEGRAL_COMMON_ROW	historical_native_assets	CONDITIONAL_EXACT	REGISTER_CONDITIONAL_API	research/integrated/native_assets/	Delete the unsupported literal-score=4sqrt(X) assignment and state the valid positive-measure/typed-packet hypotheses.	620	493e12fcba3f9b98dda7c3595bff73b256e00ca4	claims/lemmas/L-99022-direct-integration-and-exact-cubature.md	P1	CANONICALIZE_CONDITIONAL_API
OPERATOR.BIRMAN_SCHWINGER.NORMAL_FORM	xi_pick	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/xi_pick/		438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91900-birman-schwinger-loop-detects-every-bound-state-and-negative-direction.md	P1	CANONICALIZE
OPERATOR.XI.PICK_ORDER2	xi_pick	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/xi_pick/	State centered grouping, differentiated local convergence, multiplicity, and exact external input.	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91905-every-two-node-infinitesimal-safe-xi-pick-matrix-is-unconditionally-positive.md	P1	CANONICALIZE_WITH_FIXES
OPERATOR.XI.PICK_ORDER3.DETERMINANT	xi_pick	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/xi_pick/		445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92000-three-node-caratheodory-determinant-factors-into-two-scalar-curvatures.md	P1	CANONICALIZE
OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	xi_pick	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/xi_pick/	State grouped convergence and multiplicity summation.	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92001-the-tp-curvature-of-the-actual-xi-logarithmic-derivative-is-unconditionally-negative.md	P1	CANONICALIZE_WITH_FIXES
OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	xi_pick	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/xi_pick/		446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92100-reciprocal-concavity-is-closed-under-positive-sums.md	P1	CANONICALIZE
OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	xi_pick	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/xi_pick/	State the representative and multiplicity convention and the c>r, kappa<1 hypotheses.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92101-one-high-off-line-orbit-is-absorbed-by-a-small-critical-reserve-fraction.md	P1	CANONICALIZE_WITH_FIXES
OPERATOR.XI.CRITICAL_RESERVE_BUDGET	xi_pick	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/xi_pick/	Correct the Platt-Trudgian bibliographic/source lock; state N(T) bound and orbit counting; do not claim the external computation was rerun.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92102-the-complete-hypothetical-off-line-curvature-budget-uses-less-than-one-critical-orbit.md	P1	CANONICALIZE_AFTER_SOURCE_LOCK_REPAIR
OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	xi_pick	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/xi_pick/	Retain the residual (m0-1)R0 if the selected critical orbit has multiplicity m0; state grouped C2 convergence.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92103-the-actual-xi-reciprocal-clark-coordinate-is-concave-through-order-three.md	P1	CANONICALIZE_AFTER_FIXES
OPERATOR.XI.PICK_ORDER3	xi_pick	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/xi_pick/	Replace the corrupt historical replay; repair external lock; retain residual multiplicity; state PSD canonically and omit distinct-node positive-definite strictness unless separately proved.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/theorems/T-92100-all-three-node-infinitesimal-safe-xi-pick-matrices-are-unconditionally-positive.md	P1	CANONICALIZE_AFTER_FIXES
OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	xi_pick	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91904-the-infinitesimal-safe-pick-kernel-is-a-countable-rh-criterion.md	OPEN	REGISTER_OPEN_EQUIVALENCE
OPERATOR.XI.LOEWNER_LOW_ORDER	xi_pick	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/xi_pick/	Pin exact downstream theorem paths and alias anchor domination to the same critical-reserve ledger as PR #446.	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	P1	CANONICALIZE_WITH_FIXES
OPERATOR.XI.FRACTIONAL_STRING_FIXED_ORDER	xi_pick	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/xi_pick/	Pin the exact source filenames; state derivative uniformity and normalization.	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	P1	TARGETED_PATH_PIN_THEN_CANONICALIZE
OPERATOR.XI.FRACTIONAL_STRING_GROWING_ORDER	xi_pick	GAP_BLOCKED	ARCHIVE_OR_EXCLUDE	HISTORY.md	Supply quantified moving-band Vandermonde and perturbation bounds uniform in order and height.	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/lemmas/L-92302-the-xi-impedance-is-eventually-matrix-monotone-to-a-growing-order.md	P2	QUARANTINE
OPERATOR.SAFE_LINE.HAUSDORFF_PICK	safe_line_operator	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/safe_line/	Separate unconditional transforms from the RH-equivalent sign criterion.	393	ec118df8a133a1e4800f292641d42af1ba79f938	claims/lemmas/L-91001-safe-line-beta-finite-difference-kernels.md|claims/lemmas/L-91002-safe-line-laguerre-euler-weights.md|claims/lemmas/L-91003-safe-line-square-root-generating-transform.md|claims/theorems/T-91001-single-safe-line-hausdorff-pick-rh-criterion.md	P1	CANONICALIZE_WITH_FIXES
OPEN.OPERATOR.RADIAL_CURVATURE	safe_line_operator	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		394	82ee32348b05512514462966bfeb4e2de4ae5ecf	claims/theorems/T-91002-rh-is-radial-concavity-of-completed-xi-modulus.md	OPEN	REGISTER_OPEN_EQUIVALENCE
OPERATOR.CATALAN_VK_SAFE_DISC	safe_line_operator	CONDITIONAL_EXACT	REGISTER_CONDITIONAL_API	research/integrated/safe_line/	Pin exact external VK theorem and quantifiers.	395	7106b3b2e06b8193861851890db12767a03b5df4	claims/lemmas/L-91008-high-carrier-safe-disc-is-catalan-stieltjes.md|claims/lemmas/L-91009-log-derivative-control-transfers-to-annular-pick-positivity.md|claims/theorems/T-91004-vinogradov-korobov-penetrates-the-pick-sign-annulus.md	P1	CANONICALIZE_AFTER_CITATION_LOCK
OPERATOR.GREEN_REMOVAL_PORTS	safe_line_operator	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/safe_line/	Keep the crossed hyperbolic-port exclusion open/RH-equivalent and pin the corrected threshold artifact separately.	396	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91023-weighted-harris-fkg-all-green-jordan-hierarchy.md|claims/lemmas/L-91026-green-removal-is-one-explicit-boundary-density.md|claims/lemmas/L-91027-green-removal-is-unconditionally-positive-at-terminal-scales.md|claims/lemmas/L-91028-green-removal-is-positive-at-all-sufficiently-small-scales.md|claims/lemmas/L-91033-horizontal-contour-crossing-selects-exactly-zeros-deeper-than-the-cauchy-scale.md|claims/lemmas/L-91034-krein-langer-cauchy-source-critical-port-decomposition.md	P1	CANONICALIZE_WITH_FIXES
