edge_id	source_object	target_object	verdict	hypothesis_or_obstruction	review_units
D2-E017	S09	D2-U017	REVIEW_DISPOSITION_NOT_PROOF_EDGE	s_k+sum lambda=1 and alpha=r lambda give exact nonduplication and coefficient sum<1/8.	D2-U017
D2-E018	S26;M03	D2-U018	REVIEW_DISPOSITION_NOT_PROOF_EDGE	That interval includes .4 positivity; the surviving Euler split does not prove it.	D2-U018
D2-E019	S10	D2-U019	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Two null modes and t^(3/2)*jump(f prime) give exact Green normalization.	D2-U019
D2-E020	S11	D2-U020	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Finite triangular back-substitution on q>=2 yields stated top and next-row entries.	D2-U020
D2-E021	S12	D2-U021	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Nonnegative prime-power weights imply every radix-four ancestor is invisible when Y4=0.	D2-U021
D2-E022	S13	D2-U022	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Finite positive measure and integrable finite-dimensional typed coordinates preserve linear identities and permit finite real cubature.	D2-U022
D2-E023	S14	D2-U023	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Given .9<D(m)<2.1, Abel summation yields .9*M(2)-1.2*V_plus without sign assumptions.	D2-U023
D2-E024	S15	D2-U024	REVIEW_DISPOSITION_NOT_PROOF_EDGE	b_U*a_U=a_U*a_U*mu; Mellin convolution gives ratio-four fields and exact Cauchy product.	D2-U024
D2-E025	S16	D2-U025	REVIEW_DISPOSITION_NOT_PROOF_EDGE	1*1*mu=1 collapses the inner factor; de<=X and U=floor(X^(1/3)) give exact parabolic support.	D2-U025
D2-E026	S17	D2-U026	REVIEW_DISPOSITION_NOT_PROOF_EDGE	CDF telescope and repeated-coordinate union bound prove absolute error; prime Mertens supplies displayed corollary.	D2-U026
D2-E027	S18;../D/P39	D2-U027	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Given positive total mass and weighted variation, ratio bound plus full tail yields relative profile control.	D2-U027
D2-E028	S19;../D/P41	D2-U028	REVIEW_DISPOSITION_NOT_PROOF_EDGE	The exact recurrence makes the displayed Bellman inequality equivalent to positivity at the same state.	D2-U028
D2-E029	S21	D2-U029	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Exact positive cocycle gives probability fibres with disjoint product supports and coassociative weights.	D2-U029
D2-E030	S22	D2-U030	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Gram-Schmidt for 1,X,X^2 gives exact three-component norm identity with tau^2>=0.	D2-U030
D2-E031	S23	D2-U031	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Absolute source summation gives C_j/s^2+P_j/zeta/s^2 and positive-real removability.	D2-U031
D2-E032	S24	D2-U032	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Euler-Maclaurin leading coefficient -z(z+1)/(1-z) is nonzero at a nontrivial zero.	D2-U032
D2-E033	S25	D2-U033	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Positive midpoint minus delta and operator-radius<delta prove whole-box positivity.	D2-U033
D2-E034	S27	D2-U034	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Absolute Euler derivative and conditional variance yield tail-Hankel dilation; m4<85/196 is exact.	D2-U034
D2-E035	S28	D2-U035	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Algebra fixes density sign boundary and drift change; six rational negative terms give n4<1/4.	D2-U035
D2-E036	S29	D2-U036	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Every commuting shift monomial has the correct signed coefficient after future completion.	D2-U036
D2-E037	../D/P14;../D/P15	D2-U037	REVIEW_DISPOSITION_NOT_PROOF_EDGE	R15 gives subpolynomial reciprocal growth, uniform H2 control and causal uniqueness, completing the previously unread upper-bound step.	D2-U037
D2-E038	S27;S30	D2-U038	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Prime Julia mass lemma is PR404 path, not the unrelated PR403 realization lemma sharing the same ID.	D2-U038
D2-E039	S31	D2-U039	REVIEW_DISPOSITION_NOT_PROOF_EDGE	Coverage summary registers open estimates but is not a proof-bearing source.	D2-U039
D2-E040	../D/M01;S31	D2-U040	REVIEW_DISPOSITION_NOT_PROOF_EDGE	No new result proves any unrestricted arithmetic producer sign.	D2-U040
D2-E041	S01 printed plus dual	infeasibility certificate	REFUTED	Feasible one-variable system has the printed separator.	D2-U002
D2-E042	R11 corrected real dual	finite infeasibility	CONDITIONAL_EXACT	Exact equality and inequality semantics; do not use approximate equalities.	D2-U002
D2-E043	real Farkas theorem	rational terminating certificate	BLOCKED_WITHOUT_DATA_CONTRACT	Algebraic irrational dual-ray counterexample.	D2-U004
D2-E044	S03 positive jump measure	self-adjoint generator	REFUTED	One-sided jump measure is not reflection symmetric.	D2-U006
D2-E045	S03 jump generator	real-part dissipativity	EXACT	R13 vector or matrix action must be chosen explicitly.	D2-U006
D2-E046	S04 carrier decomposition	fixed-degree asymptotic positivity	EXACT_AFTER_NORMALIZATION_REPAIR	Use c_Tilde=2pi*mu(T) and all uniformly trace-class remainder bounds.	D2-U008;D2-U009
D2-E047	S04 fixed-degree positivity	RH	REFUTED_MECHANISM	Fixed degree reads the positive bulk; all-order capture/sign still required.	D2-U009;D2-U011
D2-E048	S05 cardinal-range premise	complete negative index	PENDING_UNREAD_INPUT	Full primary cardinal-source theorem not independently audited.	D2-U011
D2-E049	S06/S07 supercritical signs	critical Taylor sign	OPEN_NONIMPLICATION	Local removal reaches divergent prime-harmonic exponent at next layer.	D2-U013;D2-U014;D2-U016
D2-E050	RH plus classical Mobius estimate	critical Taylor subpower negative mass	CONDITIONAL_EXACT	R17 fixed m tail splitting and Abel summation.	D2-U016
D2-E051	critical Taylor negative mass	RH	CONDITIONAL_EXACT	Fixed source and reviewed Landau consumer, not positivity of K_m alone.	D2-U016
D2-E052	S19 recurrence plus state positivity	Bellman inequality same state	EXACT_EQUIVALENCE	No next-prime asymptotic or extra recursive sign theorem needed.	D2-U028
D2-E053	Dickman mesoscopic corridor	fixed-small-prime root	OPEN	Descendants cannot leave the declared endpoint/ratio/large-parameter domain.	D2-U027;D2-U028
D2-E054	positive signed-measure total mass	full-base profile positivity	CONDITIONAL	Requires weighted total variation and Dickman ratio bounds; mass alone insufficient.	D2-U027
D2-E055	Y4 zero score/null support	source-owned row feasibility	OPEN	Triangular lower rows may be negative; ownership remains a separate constraint.	D2-U020;D2-U021
D2-E056	finite coefficient hazard budget	physical child contraction	CONDITIONAL	A common positive typed measure must identify coefficient and actual target mass.	D2-U017
D2-E057	L-91351 .2-.8 locator	positive inherited residual row .4	BLOCK_EXTRACT	Enumerate only exact algebra; do not silently read the interval as all accepted.	D2-U018
D2-E058	two-field factorization	balanced arithmetic cancellation	OPEN	Cauchy product is a conditional reduction, not an energy estimate.	D2-U024;D2-U025
D2-E059	Julia safe-scale mass margins	completed critical Gram PSD	OPEN	Exact gamma/pole/drift/source adapter is not supplied by norm margins.	D2-U034;D2-U035
D2-E060	R15 uniform H2 and initial identity	literal causal source upper abscissa	EXACT_WITH_ANALYTIC_IMPORTS	Hardy inverse and uniqueness on absolute half-plane; not one boundary integral.	D2-U037
D2-E061	finite Pick midpoint lemma	actual xi primitive authentication	NO_TRANSFER	Outward primitive rectangles require their own independently audited producer.	D2-U033
