review_id	family	source_label	verdict	sources	reason	required_action	evidence
D2-U014	direct_main_taylor	L-99931 positive remainders and alternating enclosure	ACCEPT_COMPONENT	S07	Integral remainder is nonnegative and r(cz)<=c^k r(z); absolute Euler summation and label contraction hold for k<=m-2.	Do not extend sign to k=m-1 from the divergent prime-harmonic budget.	Euler_Taylor_integral_remainders;Taylor_dilation_bound
D2-U015	direct_main_taylor	L-99932 kernel and fundamental-strip transform	ACCEPT_COMPONENT	S08	Direct piecewise Mellin integration matches the rational symbol; compact polynomial subtraction cancels real poles.	Retain fundamental strip, positive-real removability and fixed m.	Critical_Taylor_Mellin_symbol;Critical_Taylor_positive_real_residue_cancellation
D2-U016	direct_main_taylor	Critical Taylor producer status	SPLIT_SUFFICIENT_EQUIVALENT_IDENTITY	S08;M02	Eventual sign is sufficient; subpower negative mass is equivalent via R17; quadratic envelope is an identity.	Split source .7,.8,.9 rather than label the grouped range uniformly RH-equivalent.	R17
D2-U017	direct_main_p79	L-91355 coefficient budget	ACCEPT_WITH_TYPING	S09	s_k+sum lambda=1 and alpha=r lambda give exact nonduplication and coefficient sum<1/8.	A coefficient bound is not actual child mass without common-source typing.	First_owner_full_monomial_identity;R18
D2-U018	direct_main_p79	L-91351 integrated source range .2-.8	REPAIR_EXTRACTION_RANGE	S26;M03	That interval includes .4 positivity; the surviving Euler split does not prove it.	Extract .2,.3,.5,.6,.7,.8 explicitly and .10 as identity; retain false Hall/surplus statuses.	R18
D2-U019	historical_native_assets	Volterra distributional Green formula	ACCEPT_WITH_DOMAIN	S10	Two null modes and t^(3/2)*jump(f prime) give exact Green normalization.	Require a>0, f locally AC, derivative BV and right boundary value; retain all atoms.	Volterra_modes_boundary_and_jump;R18
D2-U020	historical_native_assets	Y4 triangular slack and top transfer	ACCEPT_WITH_DOMAIN	S11	Finite triangular back-substitution on q>=2 yields stated top and next-row entries.	Lower rows can change sign; row one is not invertible; no live feasibility inferred.	Y4_full_triangular_columns;R18
D2-U021	historical_native_assets	Y4 radial null support	ACCEPT_COMPONENT	S12	Nonnegative prime-power weights imply every radix-four ancestor is invisible when Y4=0.	Retain the separately normalized native-to-radial map for quantitative global transfer.	Y4_null_columns_support
D2-U022	historical_native_assets	Positive integration and finite cubature	CONDITIONAL_COMPONENT	S13	Finite positive measure and integrable finite-dimensional typed coordinates preserve linear identities and permit finite real cubature.	Do not restore excluded score .3 or unproved positive endpoint measure; no rational-node guarantee.	R18
D2-U023	carry_critical_hinge	Factor64 Abel payment and upward variation	ACCEPT_CONDITIONAL_ON_REWARD	S14	Given .9<D(m)<2.1, Abel summation yields .9*M(2)-1.2*V_plus without sign assumptions.	Primitive L-90217 reward reconstruction remains an explicit input; critical occupation is not assumed monotone.	Carry_prefix_signed_Abel_payment;R18
D2-U024	owner_vaughan	Exact two-field source/kernel factorization	ACCEPT_WITH_ENDPOINT_CONVENTION	S15	b_U*a_U=a_U*a_U*mu; Mellin convolution gives ratio-four fields and exact Cauchy product.	Use a.e. step endpoint conventions and prior finite truncation in Hardy bound.	Vaughan_full_coefficient_factorizations;Ratio_four_half_kernel
D2-U025	owner_vaughan	Large-divisor collapse and parabolic gcd form	ACCEPT_COMPONENT	S16	1*1*mu=1 collapses the inner factor; de<=X and U=floor(X^(1/3)) give exact parabolic support.	Keep coupled cutoffs and mu^2(gab)=1; composite support does not supply prime-owner transfer.	Vaughan_squarefree_gcd_reparameterization;Vaughan_exact_floor_parabolic_support
D2-U026	dickman_bellman	Discrete rough-Mobius Dickman comparison	ACCEPT_COMPONENT_WITH_CLASSICAL_INPUT	S17	CDF telescope and repeated-coordinate union bound prove absolute error; prime Mertens supplies displayed corollary.	Retain closed p=z endpoint in Delta and do not erase repeated-prime correction.	Dickman_repeated_prime_union_bound;Dickman_CDF_convolution_discrepancy
D2-U027	dickman_bellman	Signed full-base continuous profile	CONDITIONAL_ON_WEIGHTED_VARIATION	S18;../D/P39	Given positive total mass and weighted variation, ratio bound plus full tail yields relative profile control.	Use 0<eta<1/2,u>=1; primitive P61 base and numerical J_star not regenerated.	R16;Signed_Stieltjes_endpoint_transfer
D2-U028	dickman_bellman	Bellman heredity implication	ACCEPT_WITH_SIMPLIFIED_PROOF	S19;../D/P41	The exact recurrence makes the displayed Bellman inequality equivalent to positivity at the same state.	Do not call it an independent stronger estimate; apply corridor theorem only while descendant hypotheses hold.	R16;Bellman_literal_least_prime_identity
D2-U029	direct_main_cauchy_jordan	Positive divisor-splitting isometry	ACCEPT_WITH_DOMAIN	S21	Exact positive cocycle gives probability fibres with disjoint product supports and coassociative weights.	Logarithmic generators act on their domains; boundary pole transport is not renormalized positivity.	Jordan_divisor_cocycle_exact_rational;Jordan_coassociation_and_probability
D2-U030	direct_main_cauchy_jordan	Second anchor-jet orthogonal decomposition	ACCEPT_COMPONENT	S22	Gram-Schmidt for 1,X,X^2 gives exact three-component norm identity with tau^2>=0.	Do not infer equality with physical Cauchy ports from dimension counting; retain domains.	Anchor_second_jet_Gram_Schmidt;Anchor_second_jet_norm_identity
D2-U031	direct_main_mellin	L-96000 exact Mellin algebra	ACCEPT_RETAINED_COMPONENT	S23	Absolute source summation gives C_j/s^2+P_j/zeta/s^2 and positive-real removability.	Continue excluding unproved sign inheritance .3.	R18;first-pass fixed-row consumer
D2-U032	direct_main_mellin	L-96001 fixed-z asymptotic	ACCEPT_WITH_QUANTIFIERS	S24	Euler-Maclaurin leading coefficient -z(z+1)/(1-z) is nonzero at a nontrivial zero.	All-row producer must be supplied simultaneously; prefer fixed 2/3 or 5:3 consumer.	REPORT.md
D2-U033	finite_certificates	Finite complex Pick midpoint-radius implication	ACCEPT_CONDITIONAL_COMPONENT	S25	Positive midpoint minus delta and operator-radius<delta prove whole-box positivity.	Neither actual special-function box nor production backend is newly regenerated.	Finite_Hermitian_midpoint_moat
D2-U034	suzuki_hardy	Actual prime tangent mass and Julia variance	ACCEPT_WITH_DOMAIN	S27	Absolute Euler derivative and conditional variance yield tail-Hankel dilation; m4<85/196 is exact.	Generic zero-tail codomain and c-range need scope; completed-source equality stays open.	Julia_prime_mass_and_existing_margin_repair;R18
D2-U035	suzuki_hardy	Plastic drift and complete negative score mass	ACCEPT_WITH_SOURCE_INPUT	S28	Algebra fixes density sign boundary and drift change; six rational negative terms give n4<1/4.	Nakamura completed source is an explicit imported identity; no critical Gram identification follows.	Plastic_negative_score_six_term_cap;R18
D2-U036	sharp_native	Sequential first-owner identity	ACCEPT_WITH_SCOPE	S29	Every commuting shift monomial has the correct signed coefficient after future completion.	A split of positive labelled measures does not imply positivity after signed observation.	First_owner_full_monomial_identity
D2-U037	wavelet_xd	Reciprocal-zeta growth and actual Hardy adapter	REPAIR_SUPPLIED_FOR_ACCEPTANCE	../D/P14;../D/P15	R15 gives subpolynomial reciprocal growth, uniform H2 control and causal uniqueness, completing the previously unread upper-bound step.	Retain stated standard analytic imports; use correct energy and infimum, not boundary attainment.	R15;Reciprocal_zeta_Hardy_exponent_contract
D2-U038	review_infrastructure	L-91307 collision	PATH_DISAMBIGUATED	S27;S30	Prime Julia mass lemma is PR404 path, not the unrelated PR403 realization lemma sharing the same ID.	Use exact SHA/path locators in source manifests; no new full verdict on S30.	SOURCES.tsv
D2-U039	native_endpoint	C4MBI/native endpoint/factor67 gate map	OPEN_RETAIN	S31	Coverage summary registers open estimates but is not a proof-bearing source.	Retain open status; recover full producer/interface proofs before theorem extraction.	COVERAGE.tsv
D2-U040	terminal	RH conclusion and reviewed-only path	OPEN_RETAIN	../D/M01;S31	No new result proves any unrestricted arithmetic producer sign.	No RH or GRH promotion; integrator reconciliation required.	REPORT.md
