semantic_id	packet_id	source_ref	source_path	source_claim_id	statement_short	quantifier_scope	source_or_object_type	original_status	review_verdict	existing_review_coverage	controlling_later_review	strongest_surviving_form	first_broken_or_unsupported_arrow	rh_relationship	integration_recommendation	notes
DIRECTMAIN.CJ.L91027	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91027-completed-xi-scattering-has-exact-two-section-dyadic-cocycle.md	L-91027	Completed xi scattering satisfies an exact two-section radial cocycle and logarithmic-delay recurrence.	meromorphic carrier domain; inner-kernel positivity only under stated zero-free strip	meromorphic scattering cocycle	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact xi cocycle and delay recurrence.	Schwarz-Pick positivity strong enough for the Cauchy recurrence is open.	standalone identity; conditional inner interpretation	CANONICALIZE_LOCAL	
DIRECTMAIN.CJ.L91028	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91028-unconditional-terminal-range-for-normalized-cauchy-recurrence.md	L-91028	The coefficient-one normalized Cauchy recurrence is positive for all sufficiently large scales uniformly in carrier.	a sufficiently large; all real x	completed scalar asymptotic	PROPOSED COMPLETE UNCONDITIONAL	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Uniform terminal recurrence with positive logarithmic leading term.	Subterminal recurrence remains exactly the RH-bearing estimate.	unconditional terminal result	CANONICALIZE_AFTER_ANALYTIC_FIX	Pin the uniform error theorem and effective threshold.
DIRECTMAIN.CJ.L91029	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91029-positive-jordan-channel-is-a-compound-poisson-prime-semigroup.md	L-91029	On every safe Euler line the Jordan multiplier is a compound-Poisson characteristic function with a random-unitary semigroup and positive carré du champ.	sigma>1; a>0; finite carrier families	safe-line positive prime semigroup	PROPOSED COMPLETE EXACT	VERIFIED	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact Lévy measure, Lindblad generator and positive prime-jump Dirichlet form.	Exponential-tilt continuation to the completed critical boundary is open.	standalone safe-line theorem	CANONICALIZE_LOCAL	
DIRECTMAIN.CJ.T91005	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91005-normalized-sixteenfold-cauchy-recurrence-is-rh-equivalent.md	T-91005	A coefficient-one normalized Cauchy scale recurrence for every carrier and scale is equivalent to RH.	all x in R and a>0	fixed scalar criterion	PROPOSED COMPLETE RH-EQUIVALENT	OPEN_RH_EQUIVALENT	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Useful exact criterion and prime-side residual normal form.	The recurrence residual sign is itself RH-equivalent and unproved.	RH-equivalent criterion, not independent progress	REGISTER_OPEN_EQUIVALENCE	Depends on the resident Cauchy gate and terminal-pair theorem, which must be pinned by exact source.
DIRECTMAIN.CJ.T91006	DM-002C	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91006-cauchy-jordan-hardy-intertwiner-full-rh-proposal.md	T-91006/CJHI	A lossless completed source-to-Hardy Stinespring intertwiner would prove the recurrence and RH.	all a>0 and finite carrier families	open source-to-boundary operator	FULL CONDITIONAL RH PROPOSAL / SINGLE OPEN INTERTWINER	OPEN_RH_EQUIVALENT	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Precise open-interface formulation.	CJHI is not constructed; PR #400 reframes it as completed first-chaos source curvature dominating model-space tangent leakage.	open RH-bearing interface	ARCHIVE_WRAPPER_REGISTER_GATE	
DIRECTMAIN.P79.L91347	DM-003A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91347-p79-finite-low-prefix-target-and-score-hall.md	L-91347	Original finite low-prefix target/score Hall theorem.	p>=83; 1<=y<83; t<4096	directed finite Hall	PROVED DIRECTED	SUPERSEDED	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	No controlling proof from this file; later causal Hall theorem addresses the intended inequalities.	Original convex-cell reduction was invalid and its replacement L-91350 was later found noncausal.	historical precursor	ARCHIVE_WITH_REFUTATION	
DIRECTMAIN.P79.L91348	DM-003A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91348-shifted-eight-target-flow-has-bounded-score-debt.md	L-91348	A shifted-eight target Hall flow has bounded scalar score debt.	finite P79 one-prime Hall capacities	positive target flow; scalar score ledger	PROPOSED COMPLETE	CONDITIONAL_EXACT	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Abstract target-flow and scalar debt algebra conditional on true causal capacities.	Target residual does not automatically reproduce the arithmetic row or native physical packet.	conditional local reduction	ARCHIVE_OR_RESTATE_CONDITIONALLY	
DIRECTMAIN.P79.R91308	DM-003B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/refutations/R-91308-l91347-global-convex-lower-bound-used-outside-cell.md	R-91308	The original L-91347 checker minimized a convex quadratic outside its active cell.	specific activation cells; exact calculus	proof-scope refutation	EXACT SCOPE CORRECTION	VERIFIED	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Exact refutation of the original finite reduction.	Later L-91350 repair was itself noncausal, as PR #431 shows.	method refutation	CANONICALIZE_REFUTATION	
DIRECTMAIN.P79.L91350	DM-003B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91350-p79-low-prefix-hall-corrected-cell-derivative-certificate.md	L-91350	Claimed corrected finite P79 Hall certificate.	p>=83; 1<=y<83; t<4096	directed finite Hall	PROVED DIRECTED	FALSE	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	The intended inequalities may hold and were later re-proved by L-91354, but this formula/checker is not valid.	L-91350.2 drops the parent support cutoff d<=py; X-91127 omits parent activation cells.	false proof/certificate, not a refutation of the true inequalities	EXCLUDE	
DIRECTMAIN.P79.L91351.SPLITS	DM-003B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md	L-91351.2-.8	Exact one-prime Euler row, target and score split identities.	finite P79 row and p>=83	signed arithmetic identities	PROPOSED COMPLETE TYPED	VERIFIED_WITH_FIXES	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	D_P(py)=p^-1/2 D_P(y)+D_Pp(py) and companion scalar splits.	Positive typed branch realization and favorable score do not follow from the identities alone.	standalone exact algebra	CANONICALIZE_LOCAL	
DIRECTMAIN.P79.L91351.SURPLUS	DM-003B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md	L-91351.10-.11	Residual declared score exceeds target by a uniform positive margin.	all p>=83 and 1<=y<83	scalar prefix-sign claim	PROPOSED COMPLETE TYPED	FALSE	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Exact score-minus-target identity survives.	A_P(x)>1/25 for every real x>=83 is false already at x=83.	false supporting inequality	EXCLUDE_USE_REPLACEMENT	
DIRECTMAIN.P79.L91351.TYPED	DM-003B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md	L-91351.12	The exact split is a positive terminal child plus a positive current packet usable in the full recurrence.	all least-prime branches	native positive packet typing	PROPOSED COMPLETE TYPED	GAP_BLOCKED	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Inherited-row positivity survives at its stated j<=y scope.	Hidden hazard score differs from an r-scaled child; noninherited rows and one-use physical/collar/port ledger are unproved.	open sufficient producer interface	REGISTER_OPEN_PRODUCER	
DIRECTMAIN.P79.R91309	DM-003B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/refutations/R-91309-target-hall-residual-does-not-automatically-type-the-arithmetic-row.md	R-91309	Target-exact Hall residuals do not automatically type the arithmetic component row.	finite Hall flows with bounded upward edges	source-type separator	EXACT SCOPE CORRECTION	VERIFIED	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Exact row-difference identity and type firewall.	A separate common-flow/row theorem is required.	canonical source-typing refutation	CANONICALIZE_REFUTATION	
DIRECTMAIN.P79.T91303	DM-003A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91303-p79-target-flow-factor54-resolution-proposal.md	T-91303	P79 target-flow splice purportedly closes factor-54 with O(log X) debt.	global recursion	full proof wrapper	PROPOSED COMPLETE RH PROOF	GAP_BLOCKED	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Conditional scalar Hall-flow/debt architecture.	Invalid original Hall proof and missing arithmetic-row/native-source typing.	purported RH proof; not established	ARCHIVE_FULL_PROPOSAL	
DIRECTMAIN.P79.T91304	DM-003B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91304-direct-euler-row-factor54-resolution-proposal.md	T-91304	Direct Euler residual row purportedly closes the factor-54 recurrence.	global least-prime recursion	full proof wrapper	PROPOSED COMPLETE RH PROOF	GAP_BLOCKED	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Exact local split identities and inherited-row theorem at narrow scope.	False Hall formula, false score surplus, hidden-child mismatch, undefined scalar branch weights, and missing frontier/port provenance.	purported RH proof; not established	ARCHIVE_FULL_PROPOSAL	
DIRECTMAIN.P79.O91311	DM-003B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/observations/O-91311-direct-row-factor54-final-proof-dag.md	O-91311	Direct-row proof-DAG status summary.	historical DAG at d688cc	status metadata	OBSERVATION	SUPERSEDED	Reviewer A PR #709 native-source overlap; exact direct-line review PR #431	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Useful historical dependency map only.	Its scientific statuses predate PR #431/#436 corrections.	historical metadata	ARCHIVE_STATUS_RECORD	
DIRECTMAIN.P79.L91355	DM-003C	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91355-constant-mode-hazard-weights-give-a-nonduplicating-causal-packet-budget.md	L-91355	Constant-mode first-hazard weights give an exact nonduplicating parent/current/child packet identity with total child coefficient <1/8.	finite ordered rough-prime list; measure-valued extension conditional on admissible packet types	positive coefficient ledger	PROVED EXACT	VERIFIED_WITH_FIXES	Reviewer A PR #709 overlap; PR #439 exact continuation	PR #439 @ 706445c01d4a5c9f852a4faf1329bd9858dc727a	Exact coefficient partition, no-duplication identity and child-mass contraction.	Survival and causal residual packets are not proved native-positive physical packets.	standalone source ledger; not RH	CANONICALIZE_LOCAL	
DIRECTMAIN.MELLIN.R96000	DM-004	677203992eb0168920365ee45ae9db76bfa97dcf	claims/refutations/R-96000-pr537-endpoint-normalization-is-not-the-direct-consumer.md	R-96000	The stale zero-deficit endpoint normalization is not a valid consumer of the prime-sieved row.	native score/endpoint normalization	normalization firewall	EXACT SCOPE FIREWALL	VERIFIED	Reviewer A PR #709 and Reviewer B PR #708 analytic-consumer overlap	PR #544 @ d4dcd1256dc9c8e110c860cff87b3f89aee842a5; PR #708 @ eb1987502ef9043e782ac6ab1e19c47be9daef93; PR #709 @ 55fe0b6f23d9163e2b602608da84194ba243d7c4	Correct separation of P_Lambda-H from the unresolved F_Lambda gap.	none within this firewall.	canonical refutation	CANONICALIZE_REFUTATION	
DIRECTMAIN.MELLIN.L96000	DM-004	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-96000-fixed-row-mellin-transform-of-the-full-mobius-spline.md	L-96000	Every fixed component row has an explicit reciprocal-zeta Mellin transform.	fixed j>=2; initial Re(s)>1/2; continuation Re(s)>0	fixed arithmetic row analytic transform	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer A PR #709 and Reviewer B PR #708 analytic-consumer overlap	PR #544 @ d4dcd1256dc9c8e110c860cff87b3f89aee842a5; PR #708 @ eb1987502ef9043e782ac6ab1e19c47be9daef93; PR #709 @ 55fe0b6f23d9163e2b602608da84194ba243d7c4	Exact transform and positive-real removability.	The file imports row positivity; the transform alone does not provide it.	analytic consumer component	CANONICALIZE_CONSUMER	Separate convergence from continuation and the analytic identity from producer positivity.
DIRECTMAIN.MELLIN.L96001	DM-004	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-96001-the-row-kernels-cannot-cancel-an-open-strip-zero.md	L-96001	At any open-strip zero every sufficiently large component-row numerator is nonzero.	for each fixed zero rho, all j>=J(rho)	countable fixed-family noncancellation	PROPOSED COMPLETE ANALYTIC	VERIFIED_WITH_FIXES	Reviewer A PR #709 and Reviewer B PR #708 analytic-consumer overlap	PR #544 @ d4dcd1256dc9c8e110c860cff87b3f89aee842a5; PR #708 @ eb1987502ef9043e782ac6ab1e19c47be9daef93; PR #709 @ 55fe0b6f23d9163e2b602608da84194ba243d7c4	Large-j asymptotic noncancellation with multiplicity.	A canonical producer must supply all such rows simultaneously; later rows 2,3 or fixed 5:3 avoid adaptive-selection ambiguity.	analytic consumer component	CANONICALIZE_OR_SUPERSEDE	The zero-dependent choice is logically valid under the stated all-row positivity quantifier, but not if the producer supplies only one moving row.
DIRECTMAIN.MELLIN.T96000	DM-004	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-96000-prime-sieved-row-positivity-directly-implies-rh.md	T-96000	Global positivity of every prime-sieved row plus the fixed-row Mellin consumer would imply RH.	all j>=2 and all X>=1	native arithmetic producer plus analytic consumer	PROPOSED COMPLETE UNCONDITIONAL RH PROOF	GAP_BLOCKED	Reviewer A PR #709 and Reviewer B PR #708 analytic-consumer overlap	PR #544 @ d4dcd1256dc9c8e110c860cff87b3f89aee842a5; PR #708 @ eb1987502ef9043e782ac6ab1e19c47be9daef93; PR #709 @ 55fe0b6f23d9163e2b602608da84194ba243d7c4	Conditional implication from simultaneous all-row positivity to RH.	PR #544 rejects the FRONTIER-CHAIN/global one-use prime-sieve transport supplying positivity.	open sufficient route, not proof	ARCHIVE_WRAPPER_EXTRACT_CONSUMER	
DIRECTMAIN.TAYLOR.L99930	DM-007	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99930-activation-zero-supercritical-positivity.md	L-99930	Activation-zero native powers G_m are globally positive for every real m>=2.	X>=1; real m>=2	native labelled Euler scalar	PROVED EXACT	VERIFIED_WITH_FIXES	Reviewer A PR #709 SHARP/variation review; Reviewer B PR #708 Mellin/wavelet overlap	PR #663 @ fa081e81044a81e76f48cb9878a659d749e98427; PR #668 @ 15719b975115ecad1b23264c6a6303899b4c99dc; PR #709 @ 55fe0b6f23d9163e2b602608da84194ba243d7c4	Global supercritical positivity; later PR #663 proves the analogous SHARP boundary-power theorem and critical wall.	No uniform/positive descent to m=1.	strong unconditional standalone theorem	CANONICALIZE_OR_MARK_SUBSUMED	Retain the activation-zero kernel distinction from ordinary SHARP.
DIRECTMAIN.TAYLOR.L99931	DM-007	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99931-euler-taylor-positive-remainder-ladder.md	L-99931	Every Euler-Taylor remainder with effective prime exponent at least 3/2 is positive, yielding exact alternating enclosures.	integer m>=3; 1<=k<=m-2	absolutely convergent native Euler layers	PROVED EXACT	VERIFIED_WITH_FIXES	Reviewer A PR #709 SHARP/variation review; Reviewer B PR #708 Mellin/wavelet overlap	PR #663 @ fa081e81044a81e76f48cb9878a659d749e98427; PR #668 @ 15719b975115ecad1b23264c6a6303899b4c99dc; PR #709 @ 55fe0b6f23d9163e2b602608da84194ba243d7c4	Positive Taylor remainder ladder through the last absolutely summable prime layer.	The next prime-harmonic layer is not controlled.	unconditional standalone theorem	CANONICALIZE_STANDALONE	State absolute-convergence and labelled-67 multiplicity explicitly.
DIRECTMAIN.TAYLOR.L99932.KERNEL	DM-007	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99932-critical-renormalized-kernel-and-zero-safe-consumer.md	L-99932.1-.6	The first uncontrolled Taylor remainder is one explicit positive kernel whose native Möbius projection has a zero-safe reciprocal-zeta Mellin transform.	one fixed integer m>=2	fixed critical scalar analytic transform	PROVED EXACT REDUCTION	VERIFIED_WITH_FIXES	Reviewer A PR #709 SHARP/variation review; Reviewer B PR #708 Mellin/wavelet overlap	PR #663 @ fa081e81044a81e76f48cb9878a659d749e98427; PR #668 @ 15719b975115ecad1b23264c6a6303899b4c99dc; PR #709 @ 55fe0b6f23d9163e2b602608da84194ba243d7c4	Exact kernel and Mellin continuation with compact positive-real pole cancellation.	Kernel positivity does not orient the Möbius projection.	analytic consumer component	CANONICALIZE_CONSUMER	
