claim_id	source_ids	source_commits	source_paths	source_claim	exact_scope	verdict	dependencies	evidence	required_repair	proposed_destination	formal_execution	independence
C4-X8	SRC-X0;SRC-U0	8d16f8d9c475db290bc85e53d775b93b9bcdb336;51e6992efd06126df61a496bebf8f49482a4e129	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean;Mathlib/NumberTheory/LSeries/RiemannZeta.lean	actualXiTJet source identification	Even entire F of order<2 with complete paired zero spectrum gives exact p(t)=Fprime(sqrt t)/(sqrt t F(sqrt t))	CONDITIONAL_PAPER_PROOF	C4-X7; Hadamard genus zero for F(sqrt t); exact zero multiplicities	proofs/XI_SOURCE_REPAIR.md#X4	Bind actual xi growth and complete spectrum; no missing exponential factor	new Hadamard source adapter	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X9	SRC-X1;SRC-X2	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/XiSourceSpecific.lean;formal/RiemannFormal/Operator/ReciprocalConcavity.lean	reflectedOffLineOrbit_absorbed_reviewed	Source geometry and local payment remain valid at every t>=0 with positive selected radius	PROPOSED_DOMAIN_EXTENSION	H>=1024; 0<a<1/2; b>H; gamma0<=H/2; multiplicity positive	proofs/XI_SOURCE_REPAIR.md#X5	New identity/domain proof; do not silently expand old t>1/4 lemma	full-domain one-orbit payment	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X10	SRC-X2	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/ReciprocalConcavity.lean	reciprocalConcavity_add; cross_square_certificate	Exact finite-sum curvature formula controls every cross term for positive component values	PAPER_PROOF_RECONSTRUCTED	finite algebra; positivity of each component; zero components omitted	proofs/XI_SOURCE_REPAIR.md#X6	None for finite algebra; zero-weight components need explicit handling in code	finite curvature-sum lemma	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X11	SRC-X0;SRC-X1;SRC-X4	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean;formal/RiemannFormal/Operator/XiSourceSpecific.lean;formal/RiemannFormal/Operator/XiOrderThree.lean	regroupedActualXiPrefix; prefixEnergyNonnegative	Paid prefixes equal the unmodified spectral partial sum exactly, retaining selected multiplicity and unused reserve	PROPOSED_REPAIR_PROOF	C4-X6;C4-X7;C4-X9;C4-X10; fixed t-independent shares; disjoint spectrum	proofs/XI_SOURCE_REPAIR.md#X6	Construct prefix positivity and C2 instead of assuming unexplained aggregate fields	new countable reserve assembly	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X12	SRC-X0;SRC-X3;SRC-X4	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean;formal/RiemannFormal/Operator/PickAlgebra.lean;formal/RiemannFormal/Operator/XiOrderThree.lean	diagonalPositive; orderTwoPSD; companionCurvature; reciprocalCurvature	For repaired spectral p: p positive and decreasing, tp increasing/concave, reciprocal concave on all positive t	CONDITIONAL_PAPER_PROOF	C4-X8;C4-X11; c>|B|; complete C2 termwise derivatives	proofs/XI_SOURCE_REPAIR.md#X7	Replace supplied scalar adapter fields with compiled theorems at corrected domain	source-specific scalar monotonicities	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X13	SRC-X3	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/PickAlgebra.lean	three_node_pick_determinant_identity	Exact determinant factorization and strict two-node pivot imply size-three PSD, not order four	PAPER_PROOF_RECONSTRUCTED	C4-X12; nonzero denominators; two nonpositive divided differences	proofs/XI_SOURCE_REPAIR.md#X8	Keep strict pivot; determinant sign alone is insufficient	retain finite Pick algebra and corrected source consumer	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X14	SRC-X5;SRC-X4	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/RepeatedNodes.lean;formal/RiemannFormal/Operator/XiOrderThree.lean	repeated12/13/23_pick_psd	Repeated evaluation nodes are duplicate rows; grouped coefficients give PSD from lower rank	PAPER_PROOF_RECONSTRUCTED	same function values at repeated nodes; positive nodes	proofs/XI_SOURCE_REPAIR.md#X8	Do not identify repeated evaluation with confluent derivative kernel	retain repeated-node congruence	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X15	SRC-X0	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean	repaired spectrum nonvacuity contract	Empty, singleton and infinite off-line synthetic source examples satisfy the repaired mathematical contract	EXPLICIT_COUNTERCONTROLS	C4-X3 through C4-X8; elementary products; no actual-zeta identification	proofs/XI_SOURCE_REPAIR.md#X9	Tests refute cardinality artifacts and show low-order PSD is not RH; no claim of actual off-line zero	nonvacuity/regression examples	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X16	SRC-X0;SRC-X4	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean;formal/RiemannFormal/Operator/XiOrderThree.lean	ActualXiPickPSDThroughThree	All source-to-Pick arrows have proposed paper proofs after normalization/index repair; actual external bindings and compiled construction still held	CONDITIONAL_PAPER_PROOF	C4-X1;C4-X6 through C4-X14; actual source hypothesis package	proofs/XI_SOURCE_REPAIR.md#X10	Implement shared defs, solutions, registry, all source locks and build together	new conditional actual-Xi theorem, not inhabited old API	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O1	SRC-O0;SRC-O1	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/finite-window-coercivity/PROOF.md;standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	FW source; ES equation (1)	Literal arithmetic kernel converges locally; full finite-window operator is compact self-adjoint by continuous-kernel argument	PAPER_PROOF_RECONSTRUCTED	complete gamma sum; sum Lambda(n)/n^2 convergence; finite L	proofs/OPERATOR_AUDIT.md#O1	Do not substitute raw cutoff or claim global trace theorem re-reviewed	scoped kernel/compactness extraction	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O2	SRC-O0	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/finite-window-coercivity/PROOF.md	FW equation (1)	Prime-power tail is exact signed rank-two correction; one cosh moment removes only adverse term	PAPER_PROOF_RECONSTRUCTED	X>=exp L; full tau=sum n>X Lambda/n^2; correct damping	proofs/OPERATOR_AUDIT.md#O1	Keep both signed moments and all prime powers	finite-window exact tail lemma	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O3	SRC-O0	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/finite-window-coercivity/PROOF.md	FW equations (4)-(10)	Constrained Fourier multiplier and all-frequency gamma barrier with full 2pi normalization	PAPER_PROOF_RECONSTRUCTED	two exponential constraints; clamped primitive; digamma partial fractions; Plancherel	proofs/OPERATOR_AUDIT.md#O2	No unrestricted Fourier transform of growing exponential; no finite frequency sampling	constrained source multiplier and barrier	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O4	SRC-O0	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/finite-window-coercivity/PROOF.md	FW-2; FW-3	Every fixed finite L has explicit finite-codimension strictly positive primitive-norm subspace and finite negative-plus-null index	PAPER_PROOF_RECONSTRUCTED	C4-O2;C4-O3; sine Poincare; precise K,m,L constants	proofs/OPERATOR_AUDIT.md#O2	No L2 spectral gap; no zero negative-index claim; constants depend on L	restricted finite-window coercivity and index	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O5	SRC-O0;SRC-O1	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/finite-window-coercivity/PROOF.md;standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	ES (12a); FW length-one example	At L=1,X=3,K=101, primitive coefficient 6/5 and residual coefficient 15/8 follow from independently bounded constants	PAPER_PROOF_WITH_EXACT_CONTROLS	rational log/atan bounds; gamma<H32-log32; S92 and S152; C4-O3	proofs/OPERATOR_AUDIT.md#O2	This is not positivity of full 104-dimensional effective matrix	constant refinement on the same subspace	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O6	SRC-O1	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	ES-1, equations (8)-(12)	W in W1,1 on finite windows gives genuine energy-continuous coupling with exact projected residual	PAPER_PROOF_RECONSTRUCTED	C4-O1;C4-O4; one integrable derivative; clamped endpoints	proofs/OPERATOR_AUDIT.md#O3	Retain logarithmic singularity and prime cusps; no unjustified Wsecond bound	source-specific energy continuity lemma	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O7	SRC-O1	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	ES-2	Energy-completed Schur matrix captures positivity and negative index, but not nullity	PAPER_PROOF_RECONSTRUCTED	C4-O6; Riesz representation; density in energy norm; finite exception space	proofs/OPERATOR_AUDIT.md#O4	Do not use unbounded L2 inverse or assume minimizer lies in L2	energy-space effective form	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O8	SRC-O1	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	ES-3	Nested Galerkin Schur matrices decrease from above; strict negative witnesses transfer, positive upper sections do not	PAPER_PROOF_RECONSTRUCTED	C4-O7; energy projection; finite-dimensional matrix norm convergence	proofs/OPERATOR_AUDIT.md#O4	Preserve one-sided direction and distinction from lower certificates	Galerkin capture lemma	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O9	SRC-O1	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	ES-4	Any exact trial corrections give U-cR <= S <= U with full complex residual Gram and explicit numerical error budget	PAPER_PROOF_RECONSTRUCTED	C4-O6;C4-O7; c=3 or 15/8 in specified case	proofs/OPERATOR_AUDIT.md#O4	Actual continuum quadrature, exact trial constraints and matrix errors not supplied here	residual lower-certificate theorem	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O10	SRC-O1	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	ES-5	Compact diagonal examples distinguish non-L2 minimizers, negative limit masked by upper sections, and lack of energy continuity	EXACT_COUNTERCONTROLS	explicit geometric series; finite truncations; not Riemann source	proofs/OPERATOR_AUDIT.md#O4	Do not promote synthetic countercontrols to a refutation of actual kernel	preserve domain/sign counterexamples	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-O11	SRC-O1	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	ES-7 all-length sign	PSD along an unbounded sequence of full windows implies full bounded-form positivity; no actual lower certificate supplied	OPEN_ARITHMETIC_PREMISE	all-length effective signs; original global bounded operator and xi/trace adapters separately required	proofs/OPERATOR_AUDIT.md#O4	Hold sampled positive signs; no claim that L=1 or a 104-dimensional block proves RH	open all-window sign node	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-P1	SRC-C0;SRC-C1	e0d1cb976030048275b5c2cda4275341650a350c	reviews/C/pass3/COVERAGE.tsv;reviews/C/pass2/FORMAL_CATALOG_AUDIT.tsv	pass3 coverage and historical catalog	No new exhaustive 79-PR claim split, 340-head census refresh, or independent A endorsement is claimed	COVERAGE_HOLD	exact inherited C parent; current selected reads only	COVERAGE.tsv	Keep historical census and omitted classes explicit	reviews/C/pass4-math-completion additive handoff	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
