source_id	repository	commit_sha	path	git_blob_sha	inspection_scope	role	acquisition	status
SRC-X4	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/XiOrderThree.lean	8a57d165e4d585232d8976858871b99a0d39101e	complete source content returned; response metadata truncated; blob separately read back	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-X5	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/RepeatedNodes.lean	dc9e0792191207d7d0d9dcaafb80a08091cfb6c3	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-U0	leanprover-community/mathlib4	51e6992efd06126df61a496bebf8f49482a4e129	Mathlib/NumberTheory/LSeries/RiemannZeta.lean	3c92195fce20df7fda41cfd823b3266f83cf3070	lines 1-145: completed functions, exact identity, differentiability, reflection; remaining module not audited	pinned external declaration bodies	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-U1	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Upstream/Zeta23Bridge.lean	3a6cfe78869f6a9716d1e628de6ee3f9ca7501ee	full local bridge; transitive Zeta23 source proof not reconstructed	import boundary and multiplicity adapter	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-M0	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/Foundations.lean	52b7a228c128d20dc5b57240b208fee104e624ed	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-M1	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/MellinAPI.lean	bc2a284d9a51e13235fdc5e55866c87d1593105c	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-M2	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/LandauConsumer.lean	9c40d6b04303a717dd48f18d065483cf1673c122	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-M3	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/SingularityTransfer.lean	e598973cbd533750399d3bd7b3c5790b906d85f8	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-M4	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean	312e1e94cd29e1fce7a0b0b5f89064c338d5db68	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-M5	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/Reflection.lean	8648ddbaeffca79a33fd257db15dfe1a4562ee17	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-O0	GettysburgResearch/riemann	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/finite-window-coercivity/PROOF.md	35d8d38a77bee896b0b2e729b095ccdef5d7a50f	consecutive ranges 1-250 and 251-end; proof, not upstream producer replay	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-O1	GettysburgResearch/riemann	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	standalone/2026-09-05-bernstein-chebyshev-growth/energy-schur-reduction/PROOF.md	0d12ff6039dcc79f6576538edeebd2a0c5b539c0	consecutive ranges 1-240 and 241-end; proof, not upstream producer replay	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
