packet	pr	commit	path	git_blob	inspection	author_code_executed	blob_assurance
MW	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/WORK_IDENTITY.md	f51ee8c99e3b5b5c8d8b8c325f346474c549200c	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
MW	804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/RESONANCE.md	e5170e1c9d40b92ec86d212bf2d7d0f6063b40e8	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
DO	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-dilation-observability/PROOF.md	7d95febb1b72125c82d53a028f6ae6085781262f	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
BG	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-block-gain/PROOF.md	0a276d31f68b188b43589fbfdc66c91880de7e43	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
GT	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-growth-transfer/PROOF.md	23b3dbdfa6895c8cb416c3fd30ed5269048d9eac	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
BL	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-balanced-lift/PROOF.md	5fb7798a5d3ade45ec761e24744593cbc056a369	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
GE	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-green-energy/PROOF.md	6894235335aa56340be2c993b4e729be2db04052	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
TE	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-terminal-endpoint/PROOF.md	138dd98c2f8f32b8979926593443986f98f263c5	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
BH	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-07-astra-balanced-hyperbola/PROOF.md	2af125b452015a0b73483eef66b0995b6c874097	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
CL	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-07-astra-critical-line-attempt/PROOF.md	69b9da2f16058c4427ff77b2e4a2d559c5cf5806	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
EF	811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-entropy-feedback/PROOF.md	9fd9ead5d3d765ea1a6213ac931a216a6ac49b3f	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
GCP	828	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity/PROOF.md	2c22794bf7d883076fa3725f758c2f74a8ccd77d	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
CCS	829	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/PROOF.md	0c249620fd818f5fcfe3e18f077a2419d82badac	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
CCS	829	f782788933dc21a0fe6a844950f5ca532eba7d86	standalone/2026-09-08-astra-coherent-channel-synthesis/COHERENT_SOURCE.md	f747626a1c98ed51ecba3fe110d6067c2ba0094f	SUBSTANTIVE_MAIN_MANUSCRIPT	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
RC	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-rational-residual-capture/PROOF.md	e7b0dfd9db3a114962ed610c9b19900df135b58b	SELECTED_RC_CERTIFICATE_SECTIONS	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
RC	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-rational-residual-capture/result.json	2a26708785c5ba505b48dd56696cbc9aafe3c085	NUMERICAL_ENDPOINT_COMPARISON	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
GT	805	602d7ddf9dbd2ba79bd6cada149772111ca72150	standalone/2026-09-06-astra-growth-transfer/SOURCES.md	97a3547c7a81a396e5c817ad62ec01fcd338e6f8	SOURCE_IMPORT_BOUNDARY	NO	CONNECTOR_REPORTED_BLOB; not locally copied/executed manuscript
