review_id	packet	source_commit	claim	recommendation	exact_scope	dependencies_or_open_boundary	review_evidence
P3-041	BL	602d7ddf9dbd2ba79bd6cada149772111ca72150	Rational balanced optimizer and horizon	RECOMMEND_RETAIN_COMPONENT	Actual finite two-constraint family	Early and far error do not control middle energy	Main proof; exact optimizer controls
P3-042	BL	602d7ddf9dbd2ba79bd6cada149772111ca72150	Norm-versus-energy wording	RECOMMEND_WORDING_REPAIR	Omega(sqrt(M)) in the displayed counterexample	This is squared norm; norm lower growth is Omega(M^(1/4))	Main proof explanatory prose
P3-043	GE	602d7ddf9dbd2ba79bd6cada149772111ca72150	Complete finite Green form and inverse	RECOMMEND_RETAIN_COMPONENT	Balanced finite odd source; all charges and endpoint cells	Not an all-source or endpoint sign theorem	Main proof
P3-044	GE	602d7ddf9dbd2ba79bd6cada149772111ca72150	Improved coefficients and complementary energy	RECOMMEND_RETAIN_COMPONENT	Declared optimizer, regions and constants	Shrinking endpoint remains unresolved	Main proof
P3-045	TE	602d7ddf9dbd2ba79bd6cada149772111ca72150	Full harmonic comparison	RECOMMEND_RETAIN_COMPONENT	Same arbitrary finite balanced odd source and B cost	No subpower energy supplied	Main proof; finite source identities
P3-046	TE	602d7ddf9dbd2ba79bd6cada149772111ca72150	Terminal horizon and prescribed-grid criterion	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Different terminal-balanced family; fixed fourth-power grid	Not earlier optimizer or arbitrary selected subsequence	Main proof; terminal arithmetic controls
P3-047	TE	602d7ddf9dbd2ba79bd6cada149772111ca72150	First-interval wording	RECOMMEND_WORDING_REPAIR	M may be only a support upper bound	Specify (0,1/M) or actual active mesh cutoff	Main proof interval formula
P3-048	BH	602d7ddf9dbd2ba79bd6cada149772111ca72150	Balanced hyperbola hierarchy and main-term cancellation	RECOMMEND_RETAIN_COMPONENT	Literal odd arithmetic convolution and vanishing endpoint weight	Square-root source range is not square-root cancellation saving	Main proof; exact B/Q identities
P3-049	BH	602d7ddf9dbd2ba79bd6cada149772111ca72150	Both-sign quadratic countermodels	FINITE_RECONSTRUCTION_PASSED	Specified bounded balanced non-native sources	Small continuum norm does not dominate discrete sampling	checks.py arithmetic
P3-050	BH	602d7ddf9dbd2ba79bd6cada149772111ca72150	Critical-size lower obstruction	RECOMMEND_RETAIN_SOURCE_QUALIFIED	All odd Y versus coarser prescribed grid distinguished	No liminf or arbitrary-subsequence conclusion	Main proof
P3-051	CL	602d7ddf9dbd2ba79bd6cada149772111ca72150	Critical contour and all-frequency tail	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Zeta numerator; P squared; fixed Y; prescribed tail cutoff	Finite signed integral not bounded at required scale	Main proof; DLMF input
P3-052	CL	602d7ddf9dbd2ba79bd6cada149772111ca72150	Classical-scale actual B_Y bound	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Unconditional VK Mertens shape	Not near-linear or fixed-power saving	Main proof; Lee-Leong source check
P3-053	CL	602d7ddf9dbd2ba79bd6cada149772111ca72150	Either fixed one-sided grid bound criterion	RECOMMEND_RETAIN_SOURCE_QUALIFIED	One sign fixed across assertion; exact interpolation; Landau argument	Cannot choose sign per sample; upper/lower premises unproved	Main proof
P3-054	EF	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	Complete log-cosh entropy/work identity	RECOMMEND_RETAIN_COMPONENT	Every X>=2; actual pre-prime trajectory and physical Cauchy measure	All powers/curvature/initial tail paid; arithmetic upper work open	Main proof; exact budget constant
P3-055	EF	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	Positive feedback kernel is not a decay estimate	RECOMMEND_RETAIN_COMPONENT	Signed off-diagonal observable with subtraction	PSD does not pay source-specific correlation	Main proof
P3-056	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	Native subpower residual synthesis	OPEN_NOT_PROVED	Unbounded actual prefix sequence, complete original norm	New o(Y) bound is insufficient; graph transfer loss sharp	Main proof; cross-source report
P3-057	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	Actual retained Weil coupling	OPEN_NOT_PROVED	Full source mean/gamma/continuum channel	Root model cannot be assigned to actual form without theorem	Main proof; CCS/ANT comparison
P3-058	DO	602d7ddf9dbd2ba79bd6cada149772111ca72150	Uniform full-source block gain	OPEN_NOT_PROVED	Original full approximation spaces	Detail gain and finite decrease are not this estimate	DO/BG/GT sequence
P3-059	EF	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	Critical arithmetic feedback upper bound	OPEN_NOT_PROVED	Same physical signed prime/continuum trajectory	Identity supplies lower work bound, not needed upper	Main proof
P3-060	RN	db175de165a9077e709b1cb482998171ffc0c6e7	Growing-prefix minimum bound	OPEN_NOT_PROVED	Unbounded Y with same exact source and feasible class	Seven finite minima and conditioning do not give subpower	RN/RC/ANT sequence
