semantic_id	family	statement_short	source_pr	source_head_sha	source_path	source_claim_id	primary_review_verdict	cross_review_verdict	coverage_status	final_verdict	quantifier_scope	proof_kind	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	computation_status	canonicalization_recommendation	reconciliation_reason	notes
RH	terminal	Riemann Hypothesis.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/INTEGRATION_READY.md	RH	A/B:UNPROVED	A×B:UNPROVED	C:UNPROVED	OPEN_RH_EQUIVALENT	global	terminal		No reviewed-only path reaches this terminal.	terminal			NOT_APPLICABLE	STATUS_ONLY	All five review objects agree RH remains unproved.
OPEN.ARITH.FIVE_THREE_NEGATIVE_MASS	mellin_landau	The fixed 5:3 scalar has eventual sign or subpower logarithmic negative mass.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.ARITH.FIVE_THREE_NEGATIVE_MASS	A/B:OPEN	A×B:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global fixed detector	open arithmetic hypothesis		OPEN.ARITH.FIVE_THREE_NEGATIVE_MASS	sufficient for RH with fixed scalar consumer			NOT_APPLICABLE	REGISTER_OPEN_CUT	The final graph makes the producer premise explicit rather than hiding it in metadata.
OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	mellin_landau	One fixed zero-safe native detector has subpower logarithmic negative mass.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	A/B:OPEN	A×B:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global fixed detector	open arithmetic hypothesis		OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	sufficient for RH with Mellin API			NOT_APPLICABLE	REGISTER_OPEN_CUT	The final graph makes the producer premise explicit rather than hiding it in metadata.
ARITH.SHARP.COMPACT_HALL_RN	sharp_native	Compact SHARP Hall prefixes have a strict moat, and endpoint restriction is the exact Radon-Nikodym child density and projective cocycle.	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99600-exact-compact-sharp-hall-and-rn-cocycle.md	L-99600	A:VERIFIED; B:REPRESENTED	A×B:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	finite compact prefix and 1<=W<=Z<=Y	directed finite theorem and measure identity		Native coefficient production is separate.	unconditional structural theorem			NOT_APPLICABLE	CANONICALIZE	Small hostile fixtures and exact reconstruction agree.
ARITH.SHARP.ALPHA_NATIVE_PROMOTION	sharp_native	Contracted alpha children do not reproduce the native Euler coefficient.	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/refutations/R-99600-alpha-child-hazard-is-not-the-native-euler-source.md	R-99600	A:FALSE; B:REPRESENTED	A×B:AGREE_REFUTED	C:CONTROLLING	FALSE	one prime p>=67	exact coefficient separator	Use sequential first-owner decomposition; RN thinning repairs location, not coefficient.	Native r differs from contracted 2r^2 or net zero.	refuted mechanism		ARITH.SHARP.SEQUENTIAL_FIRST_OWNER	NOT_APPLICABLE	CANONICAL_REFUTATION	This is the binding source-type firewall.
ARITH.SHARP.SEQUENTIAL_FIRST_OWNER	sharp_native	The sequential first-owner decomposition preserves every native coefficient, future prime, and accumulated parity.	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99601-sequential-first-owner-euler-hazard.md	L-99601	A:VERIFIED; B:REPRESENTED	A×B:AGREE_IDENTITY_ONLY	C:CONTROLLING	VERIFIED	finite ordered prime set	exact shift-algebra identity		Future-completed one-sided current control remains open.	source-faithful reduction	ARITH.SHARP.ALPHA_NATIVE_PROMOTION		NOT_APPLICABLE	CANONICALIZE	The identity is exact; no sign is inferred.
OPEN.ARITH.FCHD67	sharp_native	Future-completed first-owner one-sided control holds for the literal native SHARP source.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	FCHD67	A:OPEN_SUFFICIENT	B×A:AGREE_OPEN	C:CURRENT_GATE	OPEN_SUFFICIENT_FOR_RH	global native source	open arithmetic producer		OPEN.ARITH.FCHD67	sufficient for fixed rows and RH			NOT_APPLICABLE	REGISTER_OPEN_CUT	This is the first unsupported native-source arrow after the exact owner identity.
ARITH.SOURCE.TYPING_FIREWALLS	sharp_native	Accumulated parity, normalized p^-1 activity, signed observation, positive source, actual response, and full capacity are distinct types.	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	claims/refutations/R-97400-p61-source-interface-firewalls.md	R-97400	A:VERIFIED_WITH_FIXES	B×A:ACCEPT_AND_EXTEND	C:REPRESENTED	VERIFIED_WITH_FIXES	literal physical source ledger	type system and counterfixtures	Include the odd-history fixture, PR #667 normalization, and live q=2 marginal separator.	Discarding type distinctions revives refuted producers.	canonical firewall			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Every later source review depends on these distinctions.	Evidence also includes PR #561 and PR #667.
ARITH.SHARP.ROW_KERNEL	sharp_native	Each fixed component row factors through a positive SHARP kernel atom.	642	07aa0d4838458a1b2d3af9e5bc96616baa6b4767	claims/lemmas/L-99240-sharp-target-positive-row-kernel-factorization.md	L-99240	A:VERIFIED_WITH_FIXES	B×A:NOT_DISPUTED	C:REPRESENTED	VERIFIED_WITH_FIXES	all fixed rows j>=2 and scales	positive integral factorization	Keep atom positivity separate from native source promotion.	Positive atom does not yield native row sign.	standalone theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The local kernel theorem survives the failure of the complete proposal.
ARITH.SHARP.POWER_M_GE_2	sharp_native	Every real SHARP boundary power m>=2 is globally positive.	663	fa081e81044a81e76f48cb9878a659d749e98427	claims/lemmas/L-99613-every-sharp-boundary-power-at-least-two-is-globally-positive.md	L-99613	A:VERIFIED; B:REPRESENTED	A×B:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	m>=2; all x>=1	Euler-level contraction		No uniform descent to m=1 is proved.	strong unconditional theorem			NOT_APPLICABLE	CANONICALIZE	Both arithmetic reviews accept the theorem and its critical-wall limitation.
ARITH.SHARP.CRITICAL_DESCENT_IDENTITIES	sharp_native	Distributional differentiation of the quadratic SHARP object yields the linear critical detector, and critical negative mass equals weighted downward variation.	668	15719b975115ecad1b23264c6a6303899b4c99dc	claims/lemmas/L-99940-distributional-critical-power-descent.md|claims/lemmas/L-99942-critical-negative-mass-is-weighted-downward-variation.md	L-99940/L-99942	A:VERIFIED	B×A:AGREE_IDENTITY_ONLY	C:REPRESENTED	VERIFIED	signed Radon measures on finite horizons	distributional identities		The weighted variation bound itself is open.	structural bridge			NOT_APPLICABLE	CANONICALIZE	The reviews agree identities must not be confused with estimates.
OPEN.ARITH.CV	sharp_native	Critical one-sided weighted variation is subpower for the literal fixed source.	668	15719b975115ecad1b23264c6a6303899b4c99dc	claims/lemmas/L-99944-critical-variation-is-rh-equivalent.md	L-99944	A:OPEN_RH_EQUIVALENT	B×A:AGREE_OPEN_RH_EQUIVALENT	C:REPRESENTED	OPEN_RH_EQUIVALENT	global; every epsilon	RH-equivalent criterion		OPEN.ARITH.CV	equivalent to RH			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	It is a useful coordinate, not independent progress.
ARITH.WAVELET.MINIMAL_RATIO8	wavelet_xd	The unique minimal causal dyadic annihilator is (I-sqrt(2)S_2)(I-S_2)^2; its kernel is supported on ratio eight with a factor-67 negative copy.	674	9962f7f712adc6b4ad72672ecfeace028ba79bdb	standalone/2026-08-20-minimal-mobius-wavelet/PROOF.md	T-99910	A:VERIFIED; B:VERIFIED_WITH_FIXES	A×B:ACCEPT_WITH_PATH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	causal dyadic filters and all shell scales	exact polynomial and piecewise kernel theorem	Use semantic/path-qualified theorem locators and explicit endpoint conventions.	Critical wavelet growth remains open.	strong standalone theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	All reviews retain the construction.
ARITH.WAVELET.ABEL_MERTENS	wavelet_xd	The minimal ratio-eight wavelet is an exact compact Abel-Mertens frame.	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100500-exact-abel-mertens-wavelet-frame.md	L-100500	A:VERIFIED; B:VERIFIED_WITH_FIXES	A×B:ACCEPT_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	all X with declared endpoint convention	Abel summation	State Mertens endpoint convention and kernel regularity.	The subpower frame estimate is RH-equivalent.	standalone frame theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Exact path replaces PR_BODY provenance.
ARITH.WAVELET.SPECTRAL_ABSCISSA	wavelet_xd	The weighted L2 abscissa of the compact ordinary-Mobius wavelet equals Theta+1/2.	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/lemmas/L-100131-wavelet-energy-abscissa-equals-rightmost-zero.md	L-100131	A/B:VERIFIED_WITH_FIXES	B×A:REQUIRE_STRONGER_ANALYTIC_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	weighted L2 half-planes; abscissa as infimum	Mellin-Plancherel classification	State abscissa as an infimum; supply vertical reciprocal-zeta growth, a.e. phase, multiplicity, and nonattainment details.	Critical energy estimate remains open.	classification theorem			NOT_APPLICABLE	CANONICALIZE_AFTER_ANALYTIC_REWRITE	The classification survives; boundary convergence must not be asserted.
REFUTATION.WAVELET.FLOOR_KERNEL	wavelet_xd	Positive floor kernels cancel the reciprocal-zeta detector and cannot prove RH.	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/refutations/R-100130-positive-floor-kernel-cancels-the-zeta-detector.md	R-100130	A/B:VERIFIED_REFUTATION	A×B:AGREE_REFUTED	C:REPRESENTED	REFUTED_MECHANISM	finite nonnegative floor combinations	exact Mobius inversion no-go		The zeta factor cancels the detector.	canonical no-go			NOT_APPLICABLE	CANONICAL_REFUTATION	Exact source path is pinned.
REFUTATION.WAVELET.CRITICAL_DESMOOTHING	wavelet_xd	The positive inverse desmoothing has active mass of critical sqrt(X) size.	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100501-critical-dyadic-inverse-and-frame-firewall.md	L-100501	A/B:VERIFIED_FIREWALL	A×B:AGREE	C:REPRESENTED	REFUTED_MECHANISM	finite endpoint inverse	coefficient-growth firewall		Source-blind positive inversion loses the critical scale.	canonical no-go			NOT_APPLICABLE	CANONICAL_REFUTATION	The theorem blocks a recurring shortcut.
ARITH.HASSE.WAVELET_REALIZATION	wavelet_xd	At native p^-1 activity, signed phase-Hasse divergence realizes the minimal wavelet detector; positive edge variation is not the same object.	692	50c4862c801b6388a30363c336d275270025eff4	claims/lemmas/L-101002-phase-hasse-is-a-wavelet-realization-not-an-independent-detector.md	L-101002	A:VERIFIED	B×A:ACCEPT_ALIAS_WITH_TYPING	C:REPRESENTED	VERIFIED_WITH_FIXES	native p^-1 activity and signed physical divergence	typed alias theorem	Do not alias positive variation to the signed detector.	Signed cross-core estimate remains open.	coordinate identification			NOT_APPLICABLE	CANONICALIZE_ALIAS	The route contracts only at the signed source-faithful level.
ARITH.XD.OLD_K0_K1_EDGE	wavelet_xd	The frozen K0 largest-prime versus K1 Vaughan equivalence is mistyped and false.	705	027ea8bd5c879a190e9e22620c245a81f7b93b73	claims/refutations/R-103200-k0-k1-hybrid-equivalence-is-mistyped.md	R-103200	A:FALSE	B×A:AGREE_REFUTED	C:REPRESENTED	FALSE	frozen PR #688/#685 scopes	normalization refutation	Replace by the same-K1 theorem.	No cross-kernel alias is valid.	historical false edge		ARITH.XD.SAME_K1_TRANSLATION	NOT_APPLICABLE	CANONICAL_REFUTATION	PR #705 controls the old graph edge.
ARITH.XD.SAME_K1_TRANSLATION	wavelet_xd	Largest-prime and Vaughan terminal forms rebuilt on the same K1 detector differ by an L1(dX/X) error.	705	027ea8bd5c879a190e9e22620c245a81f7b93b73	claims/lemmas/L-103201-correct-same-k1-largest-prime-vaughan-hybrid.md	L-103201	A:VERIFIED	B×A:ACCEPT_REPLACEMENT	C:REPRESENTED	VERIFIED	large X; same detector K1	exact translation modulo L1		The common signed terminal estimate is open.	corrected XD coordinate	ARITH.XD.OLD_K0_K1_EDGE		NOT_APPLICABLE	CANONICALIZE	The corrected same-kernel statement is exact.
OPEN.ARITH.XD	wavelet_xd	The corrected same-kernel signed cross-core dispersion has subpower negative mass/energy after carrier recombination.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	XD	A:OPEN_RH_EQUIVALENT	B×A:AGREE_OPEN	C:CURRENT_GATE	OPEN_RH_EQUIVALENT	global fixed K1 detector	open signed dispersion estimate		OPEN.ARITH.XD	equivalent to RH in the corrected detector class			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	Separate norms before recombination are invalid.
ARITH.DICKMAN.STIELTJES_TRANSFER	dickman_bellman	The complete normalized base has an exact source-faithful Stieltjes transfer.	607	a28f8e5b8c90e3aef30e97053ed42e9ddde9c665	claims/lemmas/L-98040-exact-stieltjes-transfer-of-the-complete-p61-base.md	L-98040	A:VERIFIED_WITH_FIXES	B×A:AGREE	C:REPRESENTED	VERIFIED_WITH_FIXES	native rough state	Stieltjes identity	State endpoint conventions and the external classical input separately.	Critical range remains open.	standalone theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The identity itself is exact.
ARITH.DICKMAN.MESOSCOPIC_BELLMAN	dickman_bellman	The native rough state and its one-prime Bellman descendants are positive throughout the declared mesoscopic corridor on standard VK/de Bruijn input.	608	f362acf56bbbbd183976b6377fbe883193886e1a	claims/theorems/T-98050-hereditary-mesoscopic-bellman-corridor.md	T-98050	A:CONDITIONAL_EXACT	B×A:STRENGTHEN_AFTER_CITATION_LOCK	C:REPRESENTED	VERIFIED_WITH_FIXES	declared uniform mesoscopic corridor	asymptotic and Bellman theorem	Pin exact classical Vinogradov-Korobov/de Bruijn statements, ranges, and p^-1 normalization.	Dynamic critical finite block is open.	unconditional theorem using standard external results			NOT_APPLICABLE	CANONICALIZE_AFTER_CITATION_LOCK	The external inputs are theorems, not conjectures; exact locking is still required.
ARITH.DICKMAN.FIXED_EXPONENT_INTERVALS	dickman_bellman	Every fixed-exponent prime interval and its compensated double-owner interval are eventually positive.	700	18737409b6fa1c0a20096e5939a60cfc933d251c	claims/lemmas/L-101220-truncated-dickman-limit-for-prime-interval-prefixes.md|claims/lemmas/L-101221-all-fixed-exponent-double-owner-intervals-are-positive.md	L-101220/L-101221	A:VERIFIED_WITH_FIXES	B×A:WEAKEN_TO_CONDITIONAL	C:REPRESENTED	CONDITIONAL_EXACT	each fixed A>1; large prime endpoints	weak-convergence/asymptotic theorem	Prove joint uniformity in endpoint ratio, moving u, continuity points, tails, and positive margin.	A uniformity lemma is missing.	potential standalone theorem			NOT_APPLICABLE	EXCLUDE_PENDING_UNIFORMITY	No counterexample was found, but the written proof does not close the joint quantifiers.
ARITH.OWNER.DOUBLE_OWNER_COBBOUNDARY	owner_vaughan	Least/greatest-owner blocks form an exact bi-triangular decomposition and mixed coboundary; rectangles and staircases telescope to boundary currents.	695	5b549abb560e87718f1977d72bf6d3a18165af90	claims/lemmas/L-100700-double-owner-mixed-coboundary-and-rectangle-telescope.md	L-100700	A:VERIFIED	B×A:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	all finite ordered prime rectangles	operator/source identity		A one-sided boundary-current estimate remains open.	strong structural theorem			NOT_APPLICABLE	CANONICALIZE	PR #691 supplies the corrected source decomposition; PR #695 supplies the telescope.
ARITH.CVXD.CARRIER_PRESERVATION	owner_vaughan	Power-sized short/long carriers cancel only after projection to the physical sum channel.	699	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/lemmas/L-101101-carrier-preserving-short-long-projection.md|claims/lemmas/L-101102-exact-sharp-to-minimal-wavelet-derivative-bridge.md	L-101101/L-101102	A:VERIFIED	B×A:AGREE	C:REPRESENTED	VERIFIED	common physical source and detector	linear-algebra identity and firewall		Separate absolute norms destroy the cancellation.	canonical source/carrier firewall			NOT_APPLICABLE	CANONICALIZE	This controls all CV/XD conjunctions.
ARITH.VAUGHAN.LARGE_DIVISOR	owner_vaughan	The balanced Vaughan remainder is the exact large-divisor Hankel form with corrected signs and squarefree/gcd constraints.	696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/lemmas/L-102001-balanced-vaughan-large-divisor-hankel-form.md	L-102001	A:VERIFIED	B×A:AGREE	C:REPRESENTED	VERIFIED	finite compact kernel	finite Fubini and divisor algebra		The balanced signed estimate is open.	standalone reduction			NOT_APPLICABLE	CANONICALIZE	The corrected source constraints survive review.
ARITH.VAUGHAN.HALF_DIVISOR	owner_vaughan	The ratio-four packet factors through two fields and eta*eta=1 reduces them to one field with Hardy norm 3.	696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/lemmas/L-102009-ratiofour-two-field-factorization-of-balanced-vaughan.md|claims/lemmas/L-102010-half-divisor-symmetric-one-field-reduction.md	L-102009/L-102010	A:VERIFIED_WITH_FIXES	B×A:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	finite endpoint fields	Dirichlet convolution and L2 reduction	Use product AB in the Cauchy gate and truncate before applying the full-line Hardy inequality.	The one-field signed energy remains open.	strong standalone reduction			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The local factorization is exact after the stated repairs.
ARITH.VAUGHAN.HAAR_GRAM_DIAGONAL	owner_vaughan	The half-completed field has an exact ratio-four Haar autocorrelation Gram, and its diagonal is unconditionally subpower.	702	89f995450977c3590aada0c1447a7e6af7fcd9ac	claims/lemmas/L-103100-exact-half-completed-haar-gram.md|claims/lemmas/L-103101-diagonal-is-unconditionally-subpower.md	L-103100/L-103101	A:VERIFIED	B×A:AGREE	C:REPRESENTED	VERIFIED	finite U<N and dyadic averages	Gram identity and divisor bound		The signed off-diagonal near-collision remains open.	standalone theorem			NOT_APPLICABLE	CANONICALIZE	Positive Gram structure does not orient the physical scalar.
OPEN.ARITH.HCNC	owner_vaughan	The oriented signed ratio-four off-diagonal near-collision has the required subpower one-sided bound.	702	89f995450977c3590aada0c1447a7e6af7fcd9ac	claims/lemmas/L-103102-fractional-nyman-and-near-collision-equivalence.md	HCNC103100	A:OPEN_SUFFICIENT	B×A:AGREE_OPEN	C:CURRENT_GATE	OPEN_SUFFICIENT_FOR_RH	dyadic averaged endpoints	open signed near-collision estimate		OPEN.ARITH.HCNC	sufficient for the half-divisor energy and RH			NOT_APPLICABLE	REGISTER_OPEN_CUT	Absolute correlation is not an admissible replacement.
API.PERRON.ABSORPTION	conjunctive	A fixed nonnegative subcritical matrix absorbs coupled negative masses.	697	e878c3717cd8124564e5400b2ec5db035e3a4088	claims/lemmas/L-101100-positive-completion-negative-mass-absorption.md	L-101100	A:VERIFIED	B×A:AGREE_API	C:REPRESENTED	VERIFIED	finite fixed channel system	Perron matrix inequality		Native matrix rows on one fixed source are open.	abstract conditional API			NOT_APPLICABLE	CANONICALIZE	The inequality is exact; the arithmetic premises are separate.
API.CONJUNCTIVE.SPARSITY_ENERGY	conjunctive	Bad-set length and derivative energy jointly bound negative mass by a Poincare inequality.	698	a10d6a40105142de2708632589c458d7534f556a	claims/lemmas/L-101103-bad-set-sparsity-times-derivative-energy.md	L-101103	A:VERIFIED	B×A:WEAKEN_INTERPRETATION	C:REPRESENTED	VERIFIED_WITH_FIXES	locally absolutely continuous log-scale scalar	Poincare inequality	Do not call subpower log-length an independent key; require power-saving or deep-excursion occupancy for genuine leverage.	Displayed sparsity premise is automatic on a logarithmic horizon.	abstract inequality, not independent RH key			NOT_APPLICABLE	CANONICALIZE_AS_INEQUALITY_ONLY	The mathematics survives, but its implication-matrix role was overstated.
API.CONJUNCTIVE.REGIONAL_SCHUR	conjunctive	Source-owned regional row and column Schur masses pair losslessly when partitioned before observation.	698	a10d6a40105142de2708632589c458d7534f556a	claims/lemmas/L-101105-regionwise-two-sided-schur-cover.md	L-101105	A:VERIFIED_WITH_FIXES	B×A:AGREE_API	C:REPRESENTED	VERIFIED_WITH_FIXES	finite or subpower source-owned partition	matrix theorem	Require literal native row/column marginals and a compatible partition.	No native regional instance is proved.	abstract conditional API			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The abstract theorem is valid but not conclusion-bearing alone.
