pr	head_resolution	exact_head_sha_if_resident	coverage_source	selected_claim_ids	final_lifecycle_disposition	controlling_review	canonical_extraction	notes
390	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
391	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		ADMINISTRATIVE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
392	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
393	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	ec118df8a133a1e4800f292641d42af1ba79f938	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.SAFE_LINE.HAUSDORFF_PICK	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
394	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	82ee32348b05512514462966bfeb4e2de4ae5ecf	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPEN.OPERATOR.RADIAL_CURVATURE	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
395	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	7106b3b2e06b8193861851890db12767a03b5df4	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.CATALAN_VK_SAFE_DISC	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
396	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	a7e140614a2544b320c274acc5c599e5176cea97	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.GREEN_REMOVAL_PORTS	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
397	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
398	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		REFUTED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
399	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
400	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING|API.SUZUKI.FOCK_FIRST_CHAOS|OPEN.OPERATOR.SUZUKI_FIRST_CHAOS_DOMINATION	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
401	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
402	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
403	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
404	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
405	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
406	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
407	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
408	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	ea3948ea21d90b9c9824874c5051dcc76e216a5b	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.PRIME_JULIA_ABSORPTION	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
409	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
410	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
411	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
412	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
413	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
414	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
415	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
416	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
417	NO_REMOTE_PR_OBJECT_SEQUENCE_GAP		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		ADMINISTRATIVE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	GitHub sequence gap: Reviewer C found no remote PR object; no scientific claim is omitted.
418	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
419	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
420	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
421	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
422	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
423	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
424	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
425	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
426	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
427	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
428	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
429	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
430	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
431	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	78a622e32ef36e587099bb95cb791461b75d26bf	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
432	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
