semantic_id	reviewer_a_original_verdict	reviewer_b_cross_verdict	disposition	exact_source_pr	exact_source_sha	exact_source_path	evidence	local_or_nonminor	required_fix	downstream_effect	integration_recommendation	notes
ARITH.SHARP.POWER_M_GE_2	VERIFIED	AGREE_VERIFIED	ACCEPT	663	fa081e81044a81e76f48cb9878a659d749e98427	claims/lemmas/L-99613-every-sharp-boundary-power-at-least-two-is-globally-positive.md	Global positivity holds for every real m>=2.	local	State that proof is not uniform as m approaches 1.	Strong standalone theorem only.	PROMOTE_STANDALONE	
ARITH.SHARP.CRITICAL_DESCENT_IDENTITIES	VERIFIED	AGREE_VERIFIED	ACCEPT_IDENTITY_ONLY	668	15719b975115ecad1b23264c6a6303899b4c99dc	claims/lemmas/L-99940-distributional-critical-power-descent.md	Distributional descent and weighted downward-variation formulas are exact.	local	Do not confuse identities with bounds; ordinary BV is insufficient.	Critical estimate remains entirely open.	PROMOTE_STRUCTURAL_IDENTITY	Also covers L-99942.
ARITH.CV.CRITICAL_VARIATION	OPEN_RH_EQUIVALENT	AGREE_OPEN_RH_EQUIVALENT	ACCEPT_CLASSIFICATION	668	15719b975115ecad1b23264c6a6303899b4c99dc	claims/lemmas/L-99944-critical-variation-is-rh-equivalent.md	Forward Landau implication and RH converse via Littlewood/Mertens.	non-minor	Advertise as equivalence, not progress.	Never a proved premise.	REGISTER_OPEN_EQUIVALENCE	
ARITH.WAVELET.MINIMAL_RATIO8_FRAME	VERIFIED	AGREE_VERIFIED_WITH_FIXES	ACCEPT	674	9962f7f712adc6b4ad72672ecfeace028ba79bdb	standalone/2026-08-20-minimal-mobius-wavelet/PROOF.md	Minimal annihilator, ratio-eight support, factor-67 antisymmetry and Abel-Mertens frame survive.	local	Create path-unique claim locators and state endpoint conventions.	Structural mathematics survives.	PROMOTE_AFTER_PROVENANCE_FIX	Abel-Mertens source is PR #689.
ARITH.WAVELET.SPECTRAL_ABSCISSA	VERIFIED_WITH_FIXES	WEAKEN_TO_VERIFIED_WITH_FIXES	REQUIRE_STRONGER_ANALYTIC_FIXES	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/lemmas/L-100131-wavelet-energy-abscissa-equals-rightmost-zero.md	Needs boundary-infimum, multiplicity, a.e.-phase, vertical reciprocal-zeta and nonattainment handling.	integration-blocking local	Add complete Mellin-Plancherel lemma; never claim boundary convergence.	Classification survives; critical energy is RH-equivalent.	PROMOTE_AFTER_ANALYTIC_REWRITE	
ARITH.WAVELET.DETECTOR_FIREWALLS	VERIFIED	AGREE_REFUTED	RETAIN_REFUTATIONS	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/refutations/R-100130-positive-floor-kernel-cancels-the-zeta-detector.md	Floor kernel cancels reciprocal zeta; positive inverse desmoothing costs critical sqrt(X) mass.	non-minor	Keep both detector firewalls canonical.	Blocks two recurring shortcuts.	PROMOTE_CANONICAL_REFUTATION	Critical inverse source is PR #689.
ARITH.HASSE.WAVELET_REALIZATION	VERIFIED	AGREE_VERIFIED_WITH_FIXES	ACCEPT_ALIAS_WITH_TYPING	692	50c4862c801b6388a30363c336d275270025eff4	claims/lemmas/L-101002-phase-hasse-is-a-wavelet-realization-not-an-independent-detector.md	At native 1/p activity signed phase-Hasse divergence is the wavelet detector.	non-minor	Positive variation is not the alias.	Contracts one apparent route into XD.	PROMOTE_ALIAS_AFTER_TYPING_FIX	
ARITH.XD.K0_K1_AND_SAME_K1	FALSE / VERIFIED	AGREE_REFUTED	RETAIN_FALSE_AND_ACCEPT_REPLACEMENT	705	027ea8bd5c879a190e9e22620c245a81f7b93b73	claims/refutations/R-103200-k0-k1-hybrid-equivalence-is-mistyped.md	Old K0/K1 equivalence is false; same-K1 terminals differ by L1(dX/X).	non-minor	Keep historical false edge and define corrected component nodes or use combined claim.	No stale live implication remains.	PROMOTE_PR705_CONTROL	Replacement is L-103201.
ARITH.DICKMAN.STIELTJES_TRANSFER	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT	607	a28f8e5b8c90e3aef30e97053ed42e9ddde9c665	claims/lemmas/L-98040-exact-stieltjes-transfer-of-the-complete-p61-base.md	Exact source-faithful Stieltjes transfer.	local	State endpoint conventions.	Critical range remains open.	PROMOTE_STANDALONE	
ARITH.DICKMAN.CORRIDOR_AND_BELLMAN	CONDITIONAL_EXACT	STRENGTHEN_TO_VERIFIED	ACCEPT_WITH_CITATION_LOCK	608	f362acf56bbbbd183976b6377fbe883193886e1a	claims/theorems/T-98050-hereditary-mesoscopic-bellman-corridor.md	Corridor and hereditary Bellman margin use standard VK/de Bruijn input, not an open conjecture.	local	Pin exact classical statements, ranges and p^-1 normalization.	Promotable unconditional corridor; deep root open.	PROMOTE_AFTER_CITATION_LOCK	Includes T-98040 from PR #607.
ARITH.DICKMAN.FIXED_EXPONENT_INTERVALS	VERIFIED_WITH_FIXES	WEAKEN_TO_CONDITIONAL	UNIFORMITY_LEMMA_REQUIRED	700	18737409b6fa1c0a20096e5939a60cfc933d251c	claims/lemmas/L-101220-truncated-dickman-limit-for-prime-interval-prefixes.md	Written subsequence proof needs joint uniformity in endpoint ratio, moving u, continuity points and tails.	non-minor	Prove uniform compactness/continuity and margin; then propagate to L-101221.	Hold both all-fixed-exponent theorems conditional.	HOLD_FOR_RECONCILIATION	No counterexample found.
ARITH.OWNER.DOUBLE_OWNER_AND_COBBOUNDARY	VERIFIED	AGREE_VERIFIED	ACCEPT	695	5b549abb560e87718f1977d72bf6d3a18165af90	claims/lemmas/L-100700-double-owner-mixed-coboundary-and-rectangle-telescope.md	Unique least/greatest owners and exact mixed-coboundary telescope survive.	local	Use unrestricted shifts and corrected homotopy scope.	Boundary estimates remain open.	PROMOTE_STANDALONE	Double-owner source is PR #691.
ARITH.VAUGHAN.HALF_DIVISOR_REDUCTION	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_REDUCTION	696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/lemmas/L-102010-half-divisor-symmetric-one-field-reduction.md	Corrected large-divisor signs, squarefree/gcd constraints, ratio-four factorization, eta*eta=1 and Hardy norm 3 survive.	local	Use product AB and truncate finite field before full-line Hardy.	HHFE remains open.	PROMOTE_REDUCTION	Includes L-102001 and L-102009.
ARITH.VAUGHAN.NEAR_COLLISION	OPEN_SUFFICIENT_FOR_RH	AGREE_OPEN_SUFFICIENT	ACCEPT_OPEN_FRONTIER	702	89f995450977c3590aada0c1447a7e6af7fcd9ac	claims/lemmas/L-103102-fractional-nyman-and-near-collision-equivalence.md	Haar Gram and subpower diagonal leave signed one-sided off-diagonal O_+, not absolute correlation.	non-minor	Keep source constraints and physical orientation.	First open half-divisor arrow.	REGISTER_OPEN_SUFFICIENT	
ARITH.HYPERGRAPH.REGISTRY	VERIFIED_WITH_FIXES	WEAKEN_TO_GAP	GRAPH_NOT_FAIL_CLOSED	692	50c4862c801b6388a30363c336d275270025eff4	claims/theorems/T-101000-implication-hypergraph-and-minimal-cutsets.md	Table uses semicolon premises while replay splits ampersand; 20 nodes are undeclared.	non-minor	Use JSON arrays, arity, explicit hypothesis nodes and strict provenance.	Current validator cannot certify cuts/reachability.	BLOCK_CANONICAL_GRAPH_INTEGRATION	
ARITH.CVXD.CARRIER_AND_BRIDGE	VERIFIED	AGREE_VERIFIED	ACCEPT_IDENTITY_AND_FIREWALL	699	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/lemmas/L-101101-carrier-preserving-short-long-projection.md	Power carriers cancel only in physical sum; SHARP-wavelet derivative bridge is exact.	non-minor	Project before norms; do not bound through signed critical inverse.	Identifies common source but closes neither CV nor XD.	PROMOTE_CANONICAL_FIREWALL	Bridge is L-101102.
ARITH.PERRON.JOINT_MATRIX	CONDITIONAL_EXACT	WEAKEN_TO_CONDITIONAL	RETYPE_AS_OPEN_HYPEREDGE	697	e878c3717cd8124564e5400b2ec5db035e3a4088	claims/theorems/T-101100-joint-quadratic-wavelet-closure-matrix.md	Abstract Perron absorption is exact only if both native rows exist on one fixed detector.	non-minor	Add explicit open row nodes and common-source identity.	No route until simultaneous premises hold.	REGISTER_OPEN_CONDITIONAL_HYPEREDGE	
ARITH.CONJUNCTIVE.SPARSITY_ENERGY	VERIFIED	WEAKEN_TO_VERIFIED_WITH_FIXES	INEQUALITY_VALID_GATE_TOO_STRONG	698	a10d6a40105142de2708632589c458d7534f556a	claims/lemmas/L-101103-bad-set-sparsity-times-derivative-energy.md	Poincare inequality is correct, but bad-set log length <=log Y is automatically subpower.	non-minor interpretation	Require power-saving/deep-excursion occupancy for genuine AND status.	Removes one purported independent key.	PROMOTE_INEQUALITY_NOT_AND_CLASSIFICATION	PR #700 R-101211 controls interpretation.
ARITH.CONJUNCTIVE.SCHUR_TRANSFER_ROOT	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_ABSTRACT_APIS	704	66f755df4321a03874e0da3f61b033300173e364	claims/lemmas/L-101500-matched-transfer-negative-part.md	Regional Schur, matched transfer and root/excess absorption are exact abstract inequalities.	non-minor source boundary	Require source-owned partition/common transfer/strict root-free separation.	No native arithmetic instance is proved.	PROMOTE_CONDITIONAL_APIS	Regional source PR #698; root source PR #706.
ARITH.STAIRCASE.CFBB	OPEN_SUFFICIENT_FOR_RH	AGREE_OPEN_SUFFICIENT	ACCEPT_OPEN_FRONTIER	703	0a46dba5c74e573945e3612937606f6ca735a1d3	claims/theorems/T-102100-carrier-free-staircase-perron-frontier.md	Common filter and vector Vaughan reduction survive; source-faithful subcritical matrix remains open.	non-minor	Use identical cutoff/source and explicit matrix node.	No proved route.	REGISTER_OPEN_SUFFICIENT	
ARITH.OCCUPANCY.BPOE	OPEN_SUFFICIENT_FOR_RH	AGREE_OPEN_SUFFICIENT	ACCEPT_HIGHEST_PRIORITY_OPEN_INTERFACE	707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	claims/theorems/T-103300-balanced-phase-amplitude-and-physical-occupancy-frontier.md	Cubic Gram and half-divisor source square root close amplitude, not physical occupancy.	non-minor	Keep same-occurrence cutoff and integer-product collapse.	BPOE is first unsupported arrow.	REGISTER_OPEN_SUFFICIENT	
REVIEW_A.GRAPH_VALIDATOR	LIGHT_EXACT_REPLAY	WEAKEN_TO_GAP	STRUCTURAL_PASS_TOO_NARROW	709	55fe0b6f23d9163e2b602608da84194ba243d7c4	review/2026-08-21/arithmetic/replay/verify_review.py	Splits ampersand while packet uses semicolon; does not check dangling nodes, paths or claim IDs.	non-minor	Adopt fail-closed parser in GRAPH_DEFECTS.tsv.	PASS cannot support graph integration claims.	BLOCK_UNTIL_REPAIRED	
