review_id	family	source_ids	source_sha	source_path	source_claim	verdict	proof_reason	required_action	proof_reference	extraction_destination
D4-U011	wavelet_xd	S08	1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100500-exact-abel-mertens-wavelet-frame.md	Compact Abel-Mertens frame	ACCEPT_COMPONENT	Continuous compact weight has vanishing endpoints; Stieltjes integration retains the complete Mertens prefix.	Keep right-continuous prefix and piecewise-a.e. derivative conventions.	R30	research/integrated/wavelet_xd/ABEL_CARRIER_ADAPTER.md
D4-U012	wavelet_xd	S08;S09	1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100500-exact-abel-mertens-wavelet-frame.md;claims/lemmas/L-100501-critical-dyadic-inverse-and-frame-firewall.md	Growth dictionary and critical inverse cost	ACCEPT_WITH_PRIOR_REPAIRS	Pole exclusion and fixed inverse algebra survive; distinct Hardy energies require the earlier R4/R15 adapters.	Do not identify the two energies or replace signed inversion by a subpower bound.	R30;prior R4/R15	research/integrated/wavelet_xd/ABEL_CARRIER_ADAPTER.md
D4-U013	wavelet_xd	S10	50c4862c801b6388a30363c336d275270025eff4	claims/lemmas/L-101002-phase-hasse-is-a-wavelet-realization-not-an-independent-detector.md	Hasse divergence realizes the wavelet	CONDITIONAL_SOURCE_IDENTITY	The weighted finite cube evaluates to G_mu/sqrtX; existence of the specified flow remains a premise.	Do not count Hasse as independent detector or infer a flow producer from divergence algebra. PR688 phase producer not freshly reviewed.	R30	research/integrated/wavelet_xd/HASSE_SCOPE.md
D4-U014	owner_vaughan	S26	e6d923c1069f5a481abdf0769ca6d870a8b5ae4b	claims/lemmas/L-100710-short-sector-prime-asymptotic.md	Short-sector prime main and composite remainder	ACCEPT_WITH_CLASSICAL_INPUT	PNT partial summation gives kappa0; uniform k-window combinatorics gives O(X/log²X) composite count.	State sufficiently-large-X and quantitative PNT constants; no effective threshold supplied.	R30	research/integrated/vaughan_half_divisor/CARRIER_CANCELLATION.md
D4-U015	owner_vaughan	S27	e6d923c1069f5a481abdf0769ca6d870a8b5ae4b	claims/lemmas/L-100711-lrnm100704-eventual-positivity.md	Long-sector eventual positivity	ACCEPT_WITH_CLASSICAL_INPUT	Classical Mertens cancellation in the compact frame is smaller than the short-sector main.	Do not discard its cancellation partner before summing.	R30	research/integrated/vaughan_half_divisor/CARRIER_CANCELLATION.md
D4-U016	owner_vaughan	S11	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/lemmas/L-101101-carrier-preserving-short-long-projection.md	Sum-channel carrier projection	ACCEPT_COMPONENT	Exact rank-one projection annihilates(-P,+P) and retains the total scalar.	Keep the common source and cross-covariance; no regional unsigned closure.	R30	research/integrated/vaughan_half_divisor/CARRIER_CANCELLATION.md
D4-U017	owner_vaughan	S12	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/lemmas/L-101102-exact-sharp-to-minimal-wavelet-derivative-bridge.md	SHARP-to-wavelet derivative bridge	ACCEPT_WITH_DOMAIN_CONVENTION	Branchwise identity and causal67 inverse are exact.	State a.e./distributional interpretation and preserve signed dyadic coefficients.	R30	research/integrated/vaughan_half_divisor/CARRIER_CANCELLATION.md
D4-U018	carry_critical_hinge	S13	d5630815f68554649445cbe19989b562dc685bd3	claims/lemmas/L-90705-square-root-hinge-is-a-positive-mixture-of-signed-linear-hinge-responses.md	Positive hinge decomposition and signed inverse response	ACCEPT_COMPONENT	Two finite telescopes and invertible triangular carry matrix give the claimed identity.	Keep endpointT integer and final weight; no response sign inferred.	R29	research/integrated/carry_hinge/RESPONSE_REPLAY.md
D4-U019	carry_critical_hinge	S14	d5630815f68554649445cbe19989b562dc685bd3	claims/refutations/R-90701-naive-recursive-residual-monotonicity-fails.md	T894 decreasing-residual shortcut	REFUTATION_REPRODUCED	Complete839-row exact dual pullback gives a rigorously negative radical interval.	Retain refutation only for monotonicity, not for full inverse positivity.	R29	research/integrated/carry_hinge/RESPONSE_REPLAY.md
D4-U020	carry_critical_hinge	S15;S16	d5630815f68554649445cbe19989b562dc685bd3	claims/refutations/R-90704-average-carry-inverse-does-not-preserve-the-full-convex-cone.md;claims/refutations/R-90705-truncated-geometric-atoms-do-not-have-positive-average-carry-inverses.md	Convex and geometric atom positivity shortcuts	REFUTATIONS_REPRODUCED	All finite row equations reproduced at60 and126; negative coefficients match exact bounds.	Specific square-root weighted cancellation stays open.	R29	research/integrated/carry_hinge/RESPONSE_REPLAY.md
D4-U021	carry_critical_hinge	S20	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90217-factor64-compact-signed-pascal-reward.md	Primitive factor64 reward and signed prefix payment	ACCEPT_COMPONENT	Primitive polynomial and direct Pascal action give finite sign blocks and exact infinite tail.	Do not promote reward geometry to the critical occupation estimate.	R29	research/integrated/carry_hinge/RESPONSE_REPLAY.md
D4-U022	brownian_weil	S17	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/lemmas/L-90602-first-order-brownian-truncation-and-zero-displacement.md	Brownian normalization and fixed-compact expansion	ACCEPT_WITH_PROOF_DETAIL	Laplace product and Mellin computation fix normalization; independent-tail moment bounds justify the full Taylor remainder.	Explicit sufficiently-large-N for each compact; continuum integral initially Re z<1/2.	R27	research/integrated/operator_no_go/BROWNIAN_FIXED_COMPACT.md
D4-U023	brownian_weil	S17	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/lemmas/L-90602-first-order-brownian-truncation-and-zero-displacement.md	Fixed simple-zero displacement	ACCEPT_SCOPED	Rouché and derivative expansion at a fixed simple zero yield the1/N coefficient.	No moving-height uniformity, multiple-root displacement formula or finite-producer stability.	R27	research/integrated/operator_no_go/BROWNIAN_FIXED_COMPACT.md
D4-U024	suzuki_hardy	S18	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91410-nakamura-base-measure-gives-an-exact-full-carrier-completed-source-lock.md	Safe complex Nakamura tilt and derivative identity	ACCEPT_SAFE_IDENTITY	Gamma/trigamma and Euler logarithms reproduce the signed measure, drift, compensation and safe derivatives.	Restrict sigma>1 and keep the compensator; no critical positive continuation.	R26	research/integrated/suzuki_hardy/SAFE_SIGNED_SOURCE.md
D4-U025	suzuki_hardy	S19	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91405-full-carrier-prime-residual-has-an-explicit-safe-wick-green-factorization.md	Prime Wick-Green factorization	ACCEPT_SIGNED_IDENTITY	Finite safe moments give resident Hilbert vectors; polarization includes two negative endpoint Grams.	Retain both endpoint counterterms and the original metric.	R26	research/integrated/suzuki_hardy/SAFE_SIGNED_SOURCE.md
D4-U026	suzuki_hardy	S18;S19	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91410-nakamura-base-measure-gives-an-exact-full-carrier-completed-source-lock.md;claims/lemmas/L-91405-full-carrier-prime-residual-has-an-explicit-safe-wick-green-factorization.md	All indefiniteness lies only in negative measure and drift	REJECT_STRONGER_SIGN_INTERPRETATION	The actual prime2 elementary kernel at a=1,x=y=0 has negative diagonal.	Retain signed observation/endpoint terms; pointwise positive elementary factorization is impossible as stated.	D-F16;R26	research/integrated/suzuki_hardy/SAFE_SIGNED_SOURCE.md
D4-U027	suzuki_hardy	S18;S19	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91410-nakamura-base-measure-gives-an-exact-full-carrier-completed-source-lock.md;claims/lemmas/L-91405-full-carrier-prime-residual-has-an-explicit-safe-wick-green-factorization.md	Completed critical coefficient-one domination	KEEP_OPEN	Safe algebra and measure positivity do not prove a complete lower bound.	Do not create an accepted graph edge from safe source representation to RH.	R26	OPEN_CUTS.md
D4-U028	formal_metadata	S21;S22	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/FORMAL_V0_1.md;formal/registry/FORMAL_V0_1_THEOREMS.tsv	Formal release scope and generic helper labels	RETAIN_PRIOR_SCOPE_ONLY	Registry explicitly distinguishes exact helper algebra, conditional actual-Xi claims and unformalized native objects.	No fresh whole-release axiom or build guarantee from these readings.	R31	formal/FORMAL_V0_1.md
D4-U029	formal_metadata	S23;S24	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean;formal/RiemannFormal/Analysis/LandauConsumer.lean	Conditional Lean fixed-detector RH consumer	SOURCE_TYPE_AUDIT_SUPPORTED	Landau, negative-mass, shifted order and reflection proofs are explicit arguments; no unconditional RH instance is installed here.	Retain finite abscissa/nonzero-tail and analytic-extension assumptions; audit any future instantiation independently.	R31	formal/registry/FORMAL_V0_1_THEOREMS.tsv
D4-U030	formal_metadata	S25	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/scripts/run_formal_v0_1_release.sh	Fresh Lean/comparator/axiom replay	NOT_RUN_RETAIN_HISTORICAL_EVIDENCE	Release runner is fail-on-error but lake is unavailable in this runtime.	Require exact-final-tree release command output for a new formal acceptance; no mathematical downgrade merely from missing rerun.	R31	formal/FORMAL_V0_1.md
