source_id	source_pr	source_sha	source_path	source_blob	inspection_depth
S16	382	d5630815f68554649445cbe19989b562dc685bd3	claims/refutations/R-90705-truncated-geometric-atoms-do-not-have-positive-average-carry-inverses.md	525b08755b4004574cff6f890e896d365c66a2b0	FULL_SOURCE_READ
S17	376	0ed0e7de3aa1b81bb832df53d861dd6f27f2db8b	claims/lemmas/L-90602-first-order-brownian-truncation-and-zero-displacement.md	48ebd63fc686778b029780e99425d66ba5b5e970	FULL_SOURCE_READ
S18	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91410-nakamura-base-measure-gives-an-exact-full-carrier-completed-source-lock.md	c09973f81bbd5933664e19dea5abe0c2ce977e9d	FULL_SOURCE_READ
S19	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91405-full-carrier-prime-residual-has-an-explicit-safe-wick-green-factorization.md	fab9720d7e5f10050f8ea600add9002a13f0883a	FULL_SOURCE_READ
S20	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90217-factor64-compact-signed-pascal-reward.md	09720d03511423f92baa0f5f4687b01019ae7232	FULL_SOURCE_READ
S21	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/FORMAL_V0_1.md	f95f8fbb041302e779ba76e91a056205b1aa7d80	SOURCE_AND_SCOPE_READ;NO_LEAN_BUILD
S22	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/registry/FORMAL_V0_1_THEOREMS.tsv	ab64dc872856fec7bd3623a22dc62adb311b3748	SOURCE_AND_SCOPE_READ;NO_LEAN_BUILD
S23	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean	312e1e94cd29e1fce7a0b0b5f89064c338d5db68	SOURCE_AND_SCOPE_READ;NO_LEAN_BUILD
S24	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/LandauConsumer.lean	9c40d6b04303a717dd48f18d065483cf1673c122	SOURCE_AND_SCOPE_READ;NO_LEAN_BUILD
S25	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/scripts/run_formal_v0_1_release.sh	9334da5561ac5ffa6c35843f5e52a0554d63aef3	SOURCE_AND_SCOPE_READ;NO_LEAN_BUILD
S26	694	e6d923c1069f5a481abdf0769ca6d870a8b5ae4b	claims/lemmas/L-100710-short-sector-prime-asymptotic.md	a594675ad5f4fc8bf4fa6d9cd9a703fd54610672	FULL_SOURCE_READ
S27	694	e6d923c1069f5a481abdf0769ca6d870a8b5ae4b	claims/lemmas/L-100711-lrnm100704-eventual-positivity.md	958af2d3c0f17db85cfa82e164a969e774eeefc2	FULL_SOURCE_READ
S28	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	research/integrated/wavelet_xd/SOURCE_MANIFEST.tsv	e356b401f5990e1d55dfbf70edd22f946e917f8e	PROVENANCE_ONLY
S29	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	research/integrated/vaughan_half_divisor/SOURCE_MANIFEST.tsv	ca863321fffa4062fd33b163d9f789c8992a5de7	PROVENANCE_ONLY
