packet	source_key	commit	path	blob	read_scope	execution_scope	note
EPD	S811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-endpoint-prime-discrepancy/PROOF.md	ed7ed28f415f902270b38d22eafeaeb8e27b75ef	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
PDS	S811	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-prime-discrepancy/PROOF.md	ff50df2505be5cb91a767c06775a5e6ba1fffdd2	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Proof-level recommendation, not full package or dependency closure.
WP	S803	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/README.md	87472d0b0c25b4178b4fd680c472e8347cea87a0	FULL_ORIENTATION	NOT_EXECUTED	
WP	S803	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/intervals.py	22055a6404b36c208ea891728779bd6382be7722	FULL_CODE_AND_CONSUMED_PRIMITIVE_AUDIT	NORMAL_AND_OPTIMIZED_PINNED_SUBSET	192-bit core reused; no independent second special-function backend
WP	S803	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/verify.py	07f4e69a6c8216d01a6f80cf29bb9330b0bffa9a	FULL_CODE	NORMAL_AND_OPTIMIZED_RUN_FUNCTION	Original package test suite not executed
WP	S803	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/certificate.json	1f56c8940b492241be50fa7ab7aea067962b5ec5	FULL_INPUT	ALL_COEFFICIENT_AND_TAIL_CHECKS	Authenticated before and after replay
WP	S803	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity/result.json	a94e20c9cbdb16e29fc95d5a95d6be9e660de2e5	FULL_EXPECTED_OUTPUT	BYTE_IDENTICAL_RECONSTRUCTION	All 2049 finite coefficients and analytic all-index tail
IE	S819	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/README.md	ab1809dd6401e034c5b1b74a70b50cc9fcba6874	FULL_ORIENTATION	NOT_EXECUTED	
IE	S819	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/check.py	55d58592424b635dae3170de588e2772fd1ec02e	FULL_CODE_READING	NOT_EXECUTED	Only certificate.certify(core), not whole package CLI/tests, was run
IE	S819	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/certificate.py	02dcfed3b2539219bc07c56411510758932b8ccf	FULL_CODE	NORMAL_AND_OPTIMIZED_CERTIFY_FUNCTION	Complete 2047-cell and infinite-tail calculation
IE	S819	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/interval_core.py	92f484bc6bc7b12bf26313bd7d323c637cd834b9	FULL_FILE_READING_CONSUMED_PATH_AUDIT	NORMAL_AND_OPTIMIZED_PINNED_SUBSET	Reused 160-bit core; unused complex/matrix helper coverage not inferred
ADG	S825	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap/APPLICATION.md	debeac1969d146ea8c31ffc9a88b68713ecea8b6	FULL_MAIN_PROOF_RECONSTRUCTION	NOT_EXECUTED	Actual inverse reconstructed by separate code, not author package execution
ADG	S825	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap/result.json	29bf4696eecc4977834a71f325331ce8a0ed77f3	FULL_EXPECTED_OUTPUT	INDEPENDENT_N32_INVERSE_ONLY	Other reported groups are not newly replayed
LC-dependency	S803	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/PROOF.md	f7420d1ddf603a3765331649d3f5b9d04f23e8e7	LINES_1_TO_220_ONLY	NOT_EXECUTED	Normalization/source and operator-core dependency; other sections retain pass1 scope, not a new full read
HH5-dependency	S790	6b309554bf1e2f83a83325cd54038f5a0b9b0014	standalone/2026-09-05-astra-theta-count-closure/heat-hankel-pass5/PROOF.md	caf9753e5c3e3bb918289da0f4e92ae7c6441f6c	LINES_1_TO_180_ONLY	NOT_EXECUTED	Source invariant budget, trace-class operator and background-interpolation/index sections; finite-space sections from section4 onward not read
