review_id	packet	commit	proof_path	proof_blob	subject	recommendation	scope	proof_check	dependencies	remaining_hold_or_correction	canonical_acceptance_changed
R2-RC-04	RC	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-08-rational-residual-capture/PROOF.md	e7b0dfd9db3a114962ed610c9b19900df135b58b	Three advertised finite-support minima	HOLD_NUMERICAL_REPLAY	Y=2,3,4; N=4Y; balance-only constraints	Paper comparison validated; actual 4096-cell minimization producers not replayed	R2-RC-02; complete producer and result	Run source code, exact stationarity, feasibility and full bounds before accepting numbers	false
R2-ADG-01	ADG	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap/PROOF.md	d87d275f53b68472e29dce777de3f786566184fc	All-support anchored and centered graph bound	RECOMMEND_AT_STATED_SCOPE	Finite nonempty divisor-closed support; largest allowed prime P; arbitrary Hilbert values	Weighted least-prime full-power paths; Z(p)<16log p; alpha optimization	Exact complete prime-power energy	No sharp centered all-support constant or full Weil identification	false
R2-ADG-02	ADG	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap/PROOF.md	d87d275f53b68472e29dce777de3f786566184fc	Fixed-prime infinite reservoir and semigroup	RECOMMEND_AT_STATED_SCOPE	Countable divisor-closed support on one fixed finite prime alphabet	Monotone form closure; finite birth control; conserved harmonic measure	R2-ADG-01; stated form domain	Not the unrenormalized all-prime operator	false
R2-ADG-03	ADG	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap/PROOF.md	d87d275f53b68472e29dce777de3f786566184fc	Residual lower Schur certificate and prescribed solve	RECOMMEND_CONDITIONAL	Actual graph complement; bounded couplings; original metric	Residual identity keeps R*R; gamma^-1 loss; sparse Richardson contraction	R2-ADG-01 and APPLICATION.md	Actual retained critical-source block and coupling still missing; arithmetic operations not bit complexity	false
R2-ADG-04	ADG	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap/PROOF.md	d87d275f53b68472e29dce777de3f786566184fc	Actual N=32 inverse independently corroborated	REPLAY_SUPPORT_AT_STATED_SCOPE	31-dimensional harmonic-mean-zero metric; 65 edges and eleven prime bases	Independent directed logs and exact LDL inverse ordering; no author trial/core	APPLICATION.md section3; independent_checks.py	Correct PR description ten to eleven primes; narrower review interval is new evidence, not automatic canonical strengthening	false
R2-DPG-01	DPG	3a82b80da82edbcd65d4538418a3d51d6030f058	standalone/2026-09-08-astra-divisor-poincare/PROOF.md	3e598e27e6b258d2fbd1a77740543ae99e191c3f	24 max omega(n) gap and explicit decoder	RECOMMEND_AT_STATED_SCOPE	Divisor-closed finite supports; singleton separate; original harmonic weights	Least-prime full-power tree; harmonic descendant load; decoder path sum	Elementary Z(p)<24log p and source energy	Factorization/parent pointers supplied before O(|S|) arithmetic decoder	false
R2-DPG-02	DPG	3a82b80da82edbcd65d4538418a3d51d6030f058	standalone/2026-09-08-astra-divisor-poincare/PROOF.md	3e598e27e6b258d2fbd1a77740543ae99e191c3f	Exact one-prime and rectangular spectra	RECOMMEND_AT_STATED_SCOPE	One-prime exponents and genuine finite product boxes	Weighted step eigenvectors and tensor sums; reviewer exact checks	R2-DPG-01 definitions	Not a spectrum for conditioned n<=N cutoffs	false
R2-DPG-03	DPG	3a82b80da82edbcd65d4538418a3d51d6030f058	standalone/2026-09-08-astra-divisor-poincare/PROOF.md	3e598e27e6b258d2fbd1a77740543ae99e191c3f	Infinite fixed-prime spectral domain	RECOMMEND_AT_STATED_SCOPE	Fixed finite prime alphabet, all exponent depths	Complete orthogonal basis and number-operator domain with bounded perturbation	One-prime infinite eigenvectors; tensor construction	No all-prime divergent diagonal/ground mass	false
R2-DPG-04	DPG	3a82b80da82edbcd65d4538418a3d51d6030f058	standalone/2026-09-08-astra-divisor-poincare/PROOF.md	3e598e27e6b258d2fbd1a77740543ae99e191c3f	Additional noncoherent cusp reserve	RECOMMEND_CONDITIONAL	Same DC10 mean-zero windows and original primitive metric	Subtract complement penalty; retain all parent local/cross terms	DC10 source theorem and R2-DPG-01	Window means and complete capture are not supplied	false
R2-DC10-01	DC10	6b309554bf1e2f83a83325cd54038f5a0b9b0014	standalone/2026-09-05-astra-theta-count-closure/divisor-cusp-pass10/PROOF.md	2e7d67973881dc440868abd3e46bb65f379b2b31	Exact divisor-cusp square and logarithmic norm	RECOMMEND_AT_STATED_SCOPE	All N and Hilbert values; every prime power	Divisor log identity; dyadic Chebyshev/factorial bounds; harmonic Rayleigh test	Selected old source proof	Preintegration held dependency, not new postintegration result	false
R2-DC10-02	DC10	6b309554bf1e2f83a83325cd54038f5a0b9b0014	standalone/2026-09-05-astra-theta-count-closure/divisor-cusp-pass10/PROOF.md	2e7d67973881dc440868abd3e46bb65f379b2b31	All-N restricted window positivity	RECOMMEND_CONDITIONAL	Width 2^-20/N^2; one damped mean-zero constraint per window	Exact divisibility cusps; separate regular cross bound; diagonal primitive reserve	Explicit W from prior S792; selected HH5 invariant budget	No unrestricted mean sign; shrinking supports do not give cofinal capture	false
R2-FR-01	FR	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/PROOF.md	cd5d68c82169f32da6b41eb788b7313ed5d7e547	Fixed-rank floor and ordinary box realization	RECOMMEND_AT_STATED_SCOPE	Actual factorial source; finite coefficient/rank/truncation budget	Jump translation modulus and complete filtered tail; ordinary L2 input rather than impulse	Source g and standard Hardy/outer factorization	No all-rank inverse or cofinal output bound	false
R2-FR-02	FR	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/PROOF.md	cd5d68c82169f32da6b41eb788b7313ed5d7e547	Fixed-horizon ideal/compact error improvement	HOLD_NUMERICAL_REPLAY	T=log2; distinct ramp experiment, not IE exponential trial	Analytic transfer read; original finite/trial certificate not replayed	FR full cell, tail and compactification producer	Keep advertised <1/1200 and <1/1000 numerical conclusions pending complete replay here	false
R2-FC-01	FC	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-feedback-and-conditioning/PROOF.md	c4b257e73368b9a69044d29796960401d8cf3569	Schur-relative feedback implication	RECOMMEND_CONDITIONAL	R=1-F/H causal analytic Schur; exact initial agreement	Delayed powers and weak limit in closed source space	Source domain and nonvanishing target	The Schur premise is not established	false
R2-FC-02	FC	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-feedback-and-conditioning/PROOF.md	c4b257e73368b9a69044d29796960401d8cf3569	Fixed ideal feedback atom	RECOMMEND_AT_STATED_SCOPE	Specified rational ideal controller at second iteration	Nonzero atom -17689/100000000 independently checked	FC source normalization	Not a statement that every ordinary compact controller fails at second iterate	false
R2-FC-03	FC	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-feedback-and-conditioning/PROOF.md	c4b257e73368b9a69044d29796960401d8cf3569	Actual fixed ordinary-controller obstruction	RECOMMEND_AT_STATED_SCOPE	Stated compact piecewise-AC finite-jump inputs with v(0+)=1	Safe-line coefficient means and shift; divergent prime Bessel sum; powers on finite boundary intervals	Classical zeta continuation and elementary growth; original target	Does not prohibit controllers re-chosen with horizon or the first fixed correction	false
R2-FC-04	FC	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-feedback-and-conditioning/PROOF.md	c4b257e73368b9a69044d29796960401d8cf3569	Quasipolynomial actual finite-Gram floor	RECOMMEND_AT_STATED_SCOPE	Each finite rank; explicit large dyadic constants	Local Jensen/Harnack bad-set estimate and polynomial mass bound	Actual source; no assumed outerness	Zero-tolerant conditioning is not zero exclusion	false
R2-ST-01	ST	dc7babb830cb696810fb68bd74f6a33459f5f921	standalone/2026-09-07-astra-source-stability/PROOF.md	d407fcc6b2ecf7d92f9393c3fc474f445095ca31	Alternative quasipolynomial conditioning/cutoff	RECOMMEND_AT_STATED_SCOPE	Same actual source; rank-dependent constants	Independent local minimum-modulus route; safe growth disk and exceptional-set mass	Classical factorization/Euler-Maclaurin; source growth	Alternative constants, not an independent closing mechanism	false
R2-ST-02	ST	dc7babb830cb696810fb68bd74f6a33459f5f921	standalone/2026-09-07-astra-source-stability/PROOF.md	d407fcc6b2ecf7d92f9393c3fc474f445095ca31	Sharp boundary-zero inverse-input cost	RECOMMEND_AT_STATED_SCOPE	Zero order m>=1; nonvanishing target jet; small error epsilon	Laplace evaluation at r=8epsilon^2/h0^2; rational sharpness family	Actual critical-line zero existence for application	Input blow-up does not preclude closure of range or small output error	false
R2-OEC-01	OEC	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-logarithmic-domain-transfer/PROOF.md	f8e74b694038176a2d5bc426832158fcde12d094	Entropy-to-source bound with inward shift	RECOMMEND_AT_STATED_SCOPE	Fixed b,sigma>0; actual finite prime-base completion; all powers	Outer Poisson-Schwarz, cubic smoothing, literal causal log derivative	Classical Hardy uniqueness/factorization and actual d_alpha	No sigma=0 substitution; constants not uniform in shift	false
R2-OEC-02	OEC	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-logarithmic-domain-transfer/PROOF.md	f8e74b694038176a2d5bc426832158fcde12d094	Multiplicity-aware power obstruction and criterion	RECOMMEND_CONDITIONAL	Every hypothetical beta>b; all X; critical subpower/subsequence criteria	Delayed jets and normalized Laguerre top coefficient	R2-OEC-01; RH-to-PNT for converse	No unconditional critical upper estimate; ABEL_AND_ATTEMPT.md not fully reviewed	false
R2-EPD-01	EPD	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-endpoint-prime-discrepancy/PROOF.md	ed7ed28f415f902270b38d22eafeaeb8e27b75ef	Critical endpoint norm without inward shift	RECOMMEND_AT_STATED_SCOPE	First-prime band [log2,logX]; higher powers separately estimated	One-sided C1 multiplier and exact polynomial L2 budget; weighted convolution	Actual prime-base source; Fourier/Paley-Wiener	No bandlimit for the full logarithm	false
R2-EPD-02	EPD	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-endpoint-prime-discrepancy/PROOF.md	ed7ed28f415f902270b38d22eafeaeb8e27b75ef	Full-depth conditional zero lower bound	RECOMMEND_CONDITIONAL	Hypothetical zero depth delta and every multiplicity; every X	Laguerre jet cancellation with complete tail; exact polylog loss	R2-EPD-01 and actual source matching before logX	Arithmetic upper bound remains open	false
R2-EPD-03	EPD	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-endpoint-prime-discrepancy/PROOF.md	ed7ed28f415f902270b38d22eafeaeb8e27b75ef	Complete suffix physical square	RECOMMEND_AT_STATED_SCOPE	Entire real signed prime/continuum measure; prime2 endpoint retained	Cauchy cosine kernel factors into suffix Gram	Finite total variation at each X	No independent-prime or diagonal-only substitution	false
R2-PDS-01	PDS	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-prime-discrepancy/PROOF.md	ff50df2505be5cb91a767c06775a5e6ba1fffdd2	Uniform full higher-prime-power L2 bound	RECOMMEND_AT_STATED_SCOPE	Prime-base cutoff; all k>=2 and full Cauchy frequency line	Square harmonics with Chebyshev offdiagonal bound; k>=3 absolute tail	Elementary prime bound; optional sharp asymptotic separately imports PNT	Pointwise divergence at y=0 is not contradiction; no author code replay	false
R2-PDS-02	PDS	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-prime-discrepancy/PROOF.md	ff50df2505be5cb91a767c06775a5e6ba1fffdd2	Uniform additive entropy linearization	RECOMMEND_AT_STATED_SCOPE	|2E-||Re C_X||_1|<32 for all X>=2	Signed logarithmic mean plus uniform L2 background/tail	R2-PDS-01; fixed Cauchy normalization	Not a bound on the remaining first-prime discrepancy	false
R2-PDS-03	PDS	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-prime-discrepancy/PROOF.md	ff50df2505be5cb91a767c06775a5e6ba1fffdd2	One-state energy and EPD alias	RECOMMEND_AT_STATED_SCOPE	Q=I+c_X^2/2 exactly in same physical metric	Forward filtered-state and suffix Cauchy identities; endpoint future retained	R2-EPD-03; source signed measure	Reconciliation not a new independent route; no alias to divisor or floor-residual metrics	false
R2-PDS-04	PDS	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-prime-discrepancy/PROOF.md	ff50df2505be5cb91a767c06775a5e6ba1fffdd2	Conditional estimates and independent all-X ending	RECOMMEND_CONDITIONAL	All-X or subsequence subpower premise; RH-conditional logarithmic upper bounds	Construct analytic logarithm from assumed energy, not across unknown zeros a priori	PNT/RH-to-prime-error as labeled; OEC for subsequence reverse implication	The critical cumulative upper estimate is unproved	false
R2-OPEN-01	IE	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy/PROOF.md	afb721d6eddae8eb4fe861091f9747394bd7c708	Vanishing intrinsic defect	OPEN_NOT_DISCHARGED	Literal infinite arithmetic source	Finite trial, conditioning and capture-to-floor do not evaluate J	All source coordinates kept distinct	No J=0 or RH completion	false
