path	role	bytes
integration/2026-08-22/RELEASE_MANIFEST.json	frozen integration release	828
integration/2026-08-22/REVIEWER_D_OPEN_CUTS.md	frozen integration release	2965
integration/2026-08-22/REVIEW_SOURCES.tsv	frozen integration release	805
integration/2026-08-22/SHA256SUMS	frozen integration release	2021
integration/2026-08-22/VERIFICATION_REPORT.md	frozen integration release	1491
integration/2026-08-22/review-locks/README.md	frozen integration release	1180
integration/2026-08-22/validate_integration.py	frozen integration release	9688
integration/2026-08-22/validation.json	frozen integration release	643
research/integrated/2026-08-22/FAMILY_INDEX.tsv	reviewed family packet	7270
research/integrated/2026-08-22/README.md	reviewed family packet	4185
research/integrated/c4mbi/CLAIMS.tsv	reviewed family packet	1008
research/integrated/c4mbi/README.md	reviewed family packet	1258
research/integrated/c4mbi/SOURCE_MANIFEST.tsv	reviewed family packet	249
research/integrated/carry_hinge/CLAIMS.tsv	reviewed family packet	2891
research/integrated/carry_hinge/README.md	reviewed family packet	2381
research/integrated/carry_hinge/SOURCE_MANIFEST.tsv	reviewed family packet	1072
research/integrated/conjunctive/CLAIMS.tsv	reviewed family packet	10317
research/integrated/conjunctive/README.md	reviewed family packet	6451
research/integrated/conjunctive/SOURCE_MANIFEST.tsv	reviewed family packet	3540
research/integrated/dickman_bellman/CLAIMS.tsv	reviewed family packet	2520
research/integrated/dickman_bellman/MESOSCOPIC_CORRIDOR.md	reviewed family packet	652
research/integrated/dickman_bellman/README.md	reviewed family packet	2260
research/integrated/dickman_bellman/SOURCE_MANIFEST.tsv	reviewed family packet	989
research/integrated/direct_main/cauchy_jordan/CLAIMS.tsv	reviewed family packet	3076
research/integrated/direct_main/cauchy_jordan/README.md	reviewed family packet	2459
research/integrated/direct_main/cauchy_jordan/SOURCE_MANIFEST.tsv	reviewed family packet	1076
research/integrated/direct_main/mellin/CLAIMS.tsv	reviewed family packet	3418
research/integrated/direct_main/mellin/README.md	reviewed family packet	2425
research/integrated/direct_main/mellin/SOURCE_MANIFEST.tsv	reviewed family packet	1035
research/integrated/direct_main/p79/CLAIMS.tsv	reviewed family packet	4976
research/integrated/direct_main/p79/README.md	reviewed family packet	3201
research/integrated/direct_main/p79/SOURCE_MANIFEST.tsv	reviewed family packet	1526
research/integrated/direct_main/taylor/CLAIMS.tsv	reviewed family packet	4824
research/integrated/direct_main/taylor/EULER_TAYLOR_LADDER.md	reviewed family packet	657
research/integrated/direct_main/taylor/README.md	reviewed family packet	3070
research/integrated/direct_main/taylor/SOURCE_MANIFEST.tsv	reviewed family packet	1408
research/integrated/factor67_lorenz/CLAIMS.tsv	reviewed family packet	1036
research/integrated/factor67_lorenz/README.md	reviewed family packet	1285
research/integrated/factor67_lorenz/SOURCE_MANIFEST.tsv	reviewed family packet	251
research/integrated/finite_certificates/CLAIMS.tsv	reviewed family packet	1689
research/integrated/finite_certificates/README.md	reviewed family packet	1648
research/integrated/finite_certificates/SOURCE_MANIFEST.tsv	reviewed family packet	611
research/integrated/heat_hermite/CLAIMS.tsv	reviewed family packet	4747
research/integrated/heat_hermite/FIRST_HERMITE_REGIONS.md	reviewed family packet	634
research/integrated/heat_hermite/README.md	reviewed family packet	3336
research/integrated/heat_hermite/SOURCE_MANIFEST.tsv	reviewed family packet	1605
research/integrated/mellin_landau/CLAIMS.tsv	reviewed family packet	7818
research/integrated/mellin_landau/README.md	reviewed family packet	5073
research/integrated/mellin_landau/SOURCE_MANIFEST.tsv	reviewed family packet	2735
research/integrated/native_assets/CLAIMS.tsv	reviewed family packet	6397
research/integrated/native_assets/README.md	reviewed family packet	3937
research/integrated/native_assets/SOURCE_MANIFEST.tsv	reviewed family packet	2096
research/integrated/native_endpoint/CLAIMS.tsv	reviewed family packet	1016
research/integrated/native_endpoint/README.md	reviewed family packet	1294
research/integrated/native_endpoint/SOURCE_MANIFEST.tsv	reviewed family packet	260
research/integrated/operator_no_go/CLAIMS.tsv	reviewed family packet	3926
research/integrated/operator_no_go/README.md	reviewed family packet	2921
research/integrated/operator_no_go/SOURCE_MANIFEST.tsv	reviewed family packet	1276
research/integrated/q4/ANNULAR_AND_FILTER_BOUNDARY.md	reviewed family packet	650
research/integrated/q4/CLAIMS.tsv	reviewed family packet	7986
research/integrated/q4/README.md	reviewed family packet	5404
research/integrated/q4/SOURCE_MANIFEST.tsv	reviewed family packet	3145
research/integrated/safe_line/CLAIMS.tsv	reviewed family packet	3961
research/integrated/safe_line/README.md	reviewed family packet	3316
research/integrated/safe_line/SOURCE_MANIFEST.tsv	reviewed family packet	1891
research/integrated/sharp_native/CLAIMS.tsv	reviewed family packet	5744
research/integrated/sharp_native/POWER_M_GE_2.md	reviewed family packet	699
research/integrated/sharp_native/README.md	reviewed family packet	3862
research/integrated/sharp_native/SOURCE_MANIFEST.tsv	reviewed family packet	1865
research/integrated/suzuki_hardy/CLAIMS.tsv	reviewed family packet	3238
research/integrated/suzuki_hardy/README.md	reviewed family packet	2724
research/integrated/suzuki_hardy/SOURCE_MANIFEST.tsv	reviewed family packet	1169
research/integrated/vaughan_half_divisor/CLAIMS.tsv	reviewed family packet	4072
research/integrated/vaughan_half_divisor/HALF_DIVISOR_REDUCTION.md	reviewed family packet	664
research/integrated/vaughan_half_divisor/README.md	reviewed family packet	3135
research/integrated/vaughan_half_divisor/SOURCE_MANIFEST.tsv	reviewed family packet	1432
research/integrated/wavelet_xd/CLAIMS.tsv	reviewed family packet	5693
research/integrated/wavelet_xd/MINIMAL_WAVELET.md	reviewed family packet	667
research/integrated/wavelet_xd/README.md	reviewed family packet	3975
research/integrated/wavelet_xd/SOURCE_MANIFEST.tsv	reviewed family packet	1940
research/integrated/xi_pick/CLAIMS.tsv	reviewed family packet	9780
research/integrated/xi_pick/ORDER_THREE_CANONICAL.md	reviewed family packet	1157
research/integrated/xi_pick/README.md	reviewed family packet	6145
research/integrated/xi_pick/SOURCE_MANIFEST.tsv	reviewed family packet	3671
verification/2026-08-22/README.md	release verification	243
verification/2026-08-22/results.json	release verification	1168
verification/2026-08-22/run_all.py	release verification	1775
