semantic_id	source_pr	source_head_sha	source_path	false_statement	counterexample_or_no_go	controlling_review	what_survives	current_replacement	verdict	evidence_tier	notes
REFUTATION.FISHER.NORMALIZED_RAW_CORE	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/refutations/R-91324-normalized-fisher-hankel-feature-has-trivial-natural-l2-core.md	The raw normalized Fisher-Hankel multiplier has a dense natural Hardy L2 core.	Two-sided exponential decay plus Paley-Wiener support forces every such boundary function to vanish.	PR #429 supersession map	Finite-carrier covariance and bounded renormalization.	Bounded feature plus explicit unbounded ambient leg.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Use C-91333 as normative map.
REFUTATION.OPERATOR.FIXED_COLLIGATION	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/refutations/R-91330-no-fixed-contraction-can-send-the-completed-fisher-curve-to-all-safe-suzuki-phases.md;claims/refutations/R-91331-fixed-contraction-between-isometric-curves-is-cross-gram-rigid.md	One fixed Hilbert contraction maps all completed Fisher scales to all Suzuki scales.	Speed obstruction and cross-Gram rigidity contradict the scale curves.	PR #429	Fixed-scale local colligations.	Direct fixed-scale positive form theorem.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	All-scale reserve is impossible.
REFUTATION.HEAT.WEYL_PARITY_AND_HEAT	613,618,623	6809d8509f031f7f783ef20e2250ff2735e32924,2dfa73325a6402418fc64b9e554c1b13dd2b9bf1,712412e286cc309bbe9960ee839df158316df9e5	claims/refutations/R-98900-l98703-uniform-heat-rate-is-false.md;claims/refutations/R-98911-weyl-translation-does-not-preserve-parity.md	Weyl centering preserves parity and leaves logarithmic heat unchanged.	W(f)^*Pi W(f)=W(-2f)Pi and Weyl conjugation shifts dGamma(log q).	PR #622 synthesis	Compensated parity and conjugated heat.	Fixed-center phase-sensitive signed heat.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Two separate false identities.
REFUTATION.HEAT.UNIFORM_CENTER	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/refutations/R-98710-uniform-center-fractional-heat-bound-fails.md	A phase-blind common fractional heat Gram has tunable exponential rate O(theta).	The all-minus Bohr twist has localized energy exponential type exactly 1/2.	PR #618/#622	Sibuya source, exact difference-kernel Gram, fixed-center frontier.	PLFHE with center-dependent phase-sensitive constants.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Uniform-center mechanism is dead.
REFUTATION.HEAT.TAO_PHASE_PORT	619	0f91f43908493866c9fd5130d2a7bd4645b4a51f	claims/lemmas/L-98901-phased-tao-port-identity-and-separator.md	The unphased Tao port diagonal automatically pays logarithmic phase rotation.	At P={3}, x=3, tau=pi/log 3 the 2x2 determinant is -80/81.	Reviewer B light replay	Unphased atom decomposition.	Phase-dependent diagonal or a cross-scale covariance theorem.	REFUTED_MECHANISM	LIGHT_EXACT_REPLAY	Small exact fixture.
REFUTATION.HEAT.POSITIVE_COMPLETION	617,623	c3d12f4d236e2c9ff8f5a0f204bd6eb04946c521,712412e286cc309bbe9960ee839df158316df9e5	claims/refutations/R-98912-positive-spectral-completion-has-a-theta-independent-heat-rate-floor.md;claims/refutations/R-99003-positive-pole-centering-cannot-create-the-needed-cancellation.md	A positive spectral/pole completion creates the signed cancellation needed for tunable heat.	Its positive diagonal retains an exponential rate independent of theta.	PR #622 synthesis	Positive carrier algebra.	Pole-centered mixed signed source.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Positive completion cannot substitute for signed cancellation.
REFUTATION.HEAT.HERMITE.PHASE_BLIND_ABOVE4	385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	research/external/anthropic-zeta23/proofs/GROWING_RESOLUTION_FIRST_HERMITE_WEDGE.md	Absolute phase-blind prime bounds cross the constant-four log-log frontier.	The phase-blind adverse ratio grows for q=(4+epsilon)loglog|x|.	Reviewer B	Every (4-epsilon) wedge.	Signed prime-power cancellation near n~(log|x|)^4.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Method firewall, not a counterexample to desired sign.
REFUTATION.Q4.SOURCE_BLIND	580,606	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05,327c0967c67e7efa08fcb62937ca1730f8c24069	claims/refutations/R-95400-source-blind-focc-shortcuts-fail.md;claims/refutations/R-95600-finite-moments-do-not-prove-uosacf.md	PSD completion, fixed-window large sieve, finite moments, or source-blind square functions prove the Q4 sign.	Each operation loses the signed source correlation or leaves the RH-equivalent reciprocal-zeta-square resonance.	Reviewer B	Exact annular and Type-I/II reductions.	Balanced coprime Type-II / nonlocal compact-current estimate.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Finite-filter exhaustion is canonical.
REFUTATION.BROWNIAN.COFINAL_STABILITY	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	Raw finite Brownian approximants are stable for all large N or any unbounded cofinal sequence.	Selected-prime Steinhaus/polygon/Kronecker vertical limits force zeros.	Merged PR #388	Finite gamma/Dirichlet/Hermite and compact-height convergence.	A height-dependent producer or direct infinite canonical system.	REFUTED_MECHANISM	ARTIFACT_AND_METHOD_AUDIT	Heavy scans not needed for analytic no-go.
REFUTATION.BROWNIAN.CURRENT_MIXTURES	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	Current logarithmic Nörlund or central-binomial Green mixtures restore finite stability.	The reviewed positive-mixture/vertical-limit theorem covers the declared current weights.	Merged PR #388	One-fibre formula and finite structure.	Producer outside the reviewed Bohr class.	REFUTED_MECHANISM	ARTIFACT_AND_METHOD_AUDIT	Do not generalize beyond the stated mixture class.
REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	372	9b9c2536d89b65cb999ec08e20fce3386383803a	reports/integration-wave/20260811-independent-routes-review.md	A positive complement Schur correction can rescue an existing negative kernel direction.	B-Z* C^{-1} Z <= B.	August 11 integration review	Exact finite Schur classifier.	Prove the fully corrected low block is nonnegative before elimination.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Binding firewall for all descendants.
REFUTATION.WEIL.POSITIVE_POLE_BLOCK	368	023434958a4c115c4d1f7d93ea310716f8bd81ae	claims/refutations/R-90501-pole-contribution-is-hyperbolic-not-two-positive-squares.md	The explicit-formula pole term is two positive diagonal squares.	The true pole block is [[0,1],[1,0]]; vector (1,-1) is negative.	August correction plus Reviewer B	Corrected hyperbolic index, Darboux and rank-one completions.	Corrected pole convention.	REFUTED_MECHANISM	SMALL_INDEPENDENT_FIXTURE	Load-bearing normalization correction.
REFUTATION.FREDHOLM.FIXED_DEGREE	387	388ba7feb9927025d46a70963389ec45c9ead2ac	PR #387 fixed-degree high-carrier firewall	A fixed exterior or Hankel degree becomes an RH detector at high carrier.	Every fixed degree is eventually positive from the growing positive leading operator whether or not RH holds.	Reviewer B	Fixed-carrier all-order criterion and growing-degree possibility.	All-order, growing-order, or isolated-pair theorem.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Standalone no-go theorem.
REFUTATION.FINITE_TO_GLOBAL	372	9b9c2536d89b65cb999ec08e20fce3386383803a	integration/2026-08-11 finite criteria records	A finite Robin/Pick/Loewner exclusion implies the global RH criterion.	Finite results exclude only their frozen finite ranges or boxes.	August integration plus Reviewer B	Finite theorems and certificates.	Cofinal theorem or authenticated global criterion.	REFUTED_MECHANISM	ARTIFACT_AND_METHOD_AUDIT	Catalogue, do not advertise as global evidence.
