semantic_id	source_pr	source_head_sha	source_path	source_claim_id	statement_short	dependencies	quantifier_scope	proof_kind	mathematical_verdict	evidence_tier	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	duplicate_of	computation_status	canonicalization_recommendation	notes
CRITERION.OWNER.HTOC	671	2889071e9ebdc412b94cf2cfe74f1fd5142b2857	PR_BODY	HTOC99810	The Hardy-tail owner condition is RH-equivalent on the canonical packet.		canonical growing-moment packet	analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION			RH_equivalent_not_independent_progress				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
CRITERION.OWNER.DGOC	671	2889071e9ebdc412b94cf2cfe74f1fd5142b2857	PR_BODY	DGOC99810	The divisor-GCD owner condition is RH-equivalent on the canonical packet.		canonical growing-moment packet	analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION			RH_equivalent_not_independent_progress				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
REFUTATION.OWNER.ROOT_TERM_EXCESS	671	2889071e9ebdc412b94cf2cfe74f1fd5142b2857	PR_BODY	R-99960	Positive Hardy/divisor squares contain the unknown root scalar plus positive excess; excess-only control cannot close.			exact no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			blocks_excess_only_closure				NOT_APPLICABLE	CANONICAL_REFUTATION	
OPERATOR.BIRMAN_SCHWINGER.NORMAL_FORM	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91900-birman-schwinger-loop-detects-every-bound-state-and-negative-direction.md	L-91900	H=A-G*G has negative index equal to Birman-Schwinger gains above one.		A>=cI; closed bounded coupling	operator	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_operator_theorem				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.SAFE_CAUCHY_RETURN	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91901-safe-real-xi-pick-matrices-are-explicit-birman-schwinger-small-gain-tests.md	L-91901	Finite safe-real Xi Cauchy defects are exactly Birman-Schwinger small-gain tests.		finite positive rational packet	analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			exact_reformulation				NOT_APPLICABLE	EXTRACT_STANDALONE	
CRITERION.XI.PICK_ALL_PACKET	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91904-the-infinitesimal-safe-pick-kernel-is-a-countable-rh-criterion.md	L-91904	Positivity of every finite rational infinitesimal Xi Pick packet is a countable RH criterion.		all finite positive rational packets	analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION	State continuation and pole-exclusion hypotheses.		RH_equivalent				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
OPERATOR.XI.PICK_ORDER2	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91905-every-two-node-infinitesimal-safe-xi-pick-matrix-is-unconditionally-positive.md	L-91905	Every actual-Xi infinitesimal packet of size at most two is positive.		all safe real nodes	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State grouped-zero convergence and differentiation.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.XI.ORDER2_BOOTSTRAP	438	bb7327d21c47410820cda2671f45dbe709a72eea	PR_BODY	R-91902	A planted off-line orbit passes order two and has a negative three-node determinant.			exact counterexample	REFUTED_MECHANISM	SMALL_INDEPENDENT_FIXTURE			blocks_abstract_bootstrap				NOT_APPLICABLE	CANONICAL_REFUTATION	
OPERATOR.XI.PICK_ORDER3.DETERMINANT	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92000-three-node-caratheodory-determinant-factors-into-two-scalar-curvatures.md	L-92000	The 3x3 Caratheodory determinant factors into two scalar divided-difference curvatures.		three positive safe nodes	exact algebra	VERIFIED	LIGHT_EXACT_REPLAY			independent_exact_factorization				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92001-the-tp-curvature-of-the-actual-xi-logarithmic-derivative-is-unconditionally-negative.md	L-92001	The companion t p curvature has the required order-three sign orbitwise.		t>1/4; grouped actual Xi zeros	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State orbitwise convergence and multiplicity summation.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92100-reciprocal-concavity-is-closed-under-positive-sums.md	L-92100	Positive reciprocal-concave functions are closed under finite and locally C2 positive sums.			differential inequality	VERIFIED	LIGHT_EXACT_REPLAY			independent_unconditional				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92101-one-high-off-line-orbit-is-absorbed-by-a-small-critical-reserve-fraction.md	L-92101	A high off-line orbit is absorbed by an explicit O(m/b^2) share of one critical orbit.		t>1/4; |b|>=H	analytic	VERIFIED	LIGHT_EXACT_REPLAY			conditional_on_verified_height				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
OPERATOR.XI.RECIPROCAL_CONCAVITY.BUDGET	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92102-the-complete-hypothetical-off-line-curvature-budget-uses-less-than-one-critical-orbit.md	L-92102	The total hypothetical off-line reserve budget is less than one critical orbit.		all off-line zeros above H*=3000175332800	analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Correct DOI; cite/prove reciprocal-square zero-tail bound.		unconditional_given_external_input				EXTERNAL_HEAVY_CAMPAIGN_NOT_RE-RUN	EXTRACT_STANDALONE	
OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92103-the-actual-xi-reciprocal-clark-coordinate-is-concave-through-order-three.md	L-92103	The actual Xi reciprocal Clark coordinate is concave through order three.	L-92100..L-92102	all t>1/4	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Spell out locally C2 convergence, orbit grouping and strictness.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.PICK_ORDER3	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/theorems/T-92100-all-three-node-infinitesimal-safe-xi-pick-matrices-are-unconditionally-positive.md	T-92100	Every actual-Xi infinitesimal safe Pick matrix of size at most three is PSD.	order-three determinant, companion curvature, reserve allocation	all packets of size <=3	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Replace corrupt verifier and add source-lock/tail/infinite-sum repairs.		strong_unconditional_but_not_RH				SOURCE_REPLAY_CORRUPT; CLEAN_LIGHT_REPLAY_PASS; HEAVY_EXTERNAL_NOT_RERUN	EXTRACT_STANDALONE	P0 result; first unclosed interpolation order is four.
OPERATOR.XI.CURVATURE.PAIRWISE	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/lemmas/L-92200-reciprocal-xi-curvature-is-a-pairwise-squared-pole-dispersion.md	L-92200	Reciprocal and Schwarzian curvatures have exact pairwise squared-pole dispersion identities.			exact algebra	VERIFIED	LIGHT_EXACT_REPLAY			independent_unconditional				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
OPERATOR.XI.CURVATURE.ANCHOR_DOMINATION	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/lemmas/L-92201-verified-critical-reserve-dominates-every-possible-off-line-third-order-curvature.md	L-92201	One verified critical anchor dominates every possible high off-line third-order defect.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Pin exact verified-height/local-count theorem and ranges.		independent_unconditional				EXTERNAL_HEAVY_CAMPAIGN_NOT_RE-RUN	EXTRACT_STANDALONE	
OPERATOR.XI.SCHWARZIAN_ORDER2	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/lemmas/L-92202-verified-critical-reserve-closes-the-schwarzian-xi-impedance-curvature.md	L-92202/T-92201	The Xi impedance is matrix monotone of order two.		safe real axis	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State precise local matrix-monotonicity theorem hypotheses.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.HANKEL.ADJACENT_TOWER	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/lemmas/L-92203-the-verified-critical-reserve-closes-an-enormous-adjacent-hankel-tower.md	L-92203	A long explicit tower of adjacent 2x2 Stieltjes-Hankel minors is positive.		m<=floor(H/20)-3	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State endpoint and source-lock conventions.		finite_order_unconditional_not_RH				NOT_APPLICABLE	EXTRACT_RESULT	
OPERATOR.XI.LOOWNER_HANKEL.CONGRUENCE	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/lemmas/L-92204-reciprocal-loewner-hankel-matrices-are-exactly-congruent.md	L-92204	Confluent reciprocal Loewner matrices are exactly congruent to Stieltjes-Hankel matrices.			exact algebra	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.LOOWNER_ORDER3.TAIL	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/lemmas/L-92205-the-order-three-xi-loewner-hankel-is-positive-above-five-million.md	L-92205/T-92202	A projected-zero frame is claimed to prove order-three Loewner positivity on the high-axis tail.		sqrt(t)>=5,000,000	analytic	CONDITIONAL_EXACT	ARTIFACT_AND_METHOD_AUDIT	Requires complete interval/zero-frame proof rather than diagnostics.	Compact determinant remains open.	finite_order_claim_not_RH				NOT_APPLICABLE	QUARANTINE_PENDING_PROOF	
OPERATOR.XI.HANKEL.LOG_CONVEXITY	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/lemmas/L-92206-adjacent-log-convexity-controls-every-two-by-two-principal-hankel-minor.md	L-92206	Adjacent log-convexity controls every 2x2 principal Hankel minor.			matrix lemma	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.XI.LOW_SHADOWS_COMPLETE_BERNSTEIN	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/refutations/R-92200-strict-concavity-does-not-imply-complete-bernstein-passivity.md	R-92200	Low scalar curvature shadows do not imply all-order Loewner positivity.			exact counterexample	REFUTED_MECHANISM	SMALL_INDEPENDENT_FIXTURE			blocks_low_order_bootstrap				NOT_APPLICABLE	CANONICAL_REFUTATION	
OPERATOR.XI.FRACTIONAL_STRING.SCALING	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/lemmas/L-92300-the-safe-xi-impedance-has-a-universal-fractional-string-scaling-limit.md	L-92300	The high safe-axis Xi impedance has a universal sectorial fractional-string scaling limit.		compact sectors away from the cut	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State sector, derivative order and uniform error constants.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.FRACTIONAL_STRING.BETA_HANKEL	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/lemmas/L-92301-the-fractional-string-limit-has-an-explicit-beta-hankel-law.md	L-92301	The limiting moments obey an explicit beta-Hankel law; det C_n(1/2)=2^{-n(2n-1)}.		each fixed finite order	exact moment identity	VERIFIED	LIGHT_EXACT_REPLAY			independent_unconditional				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
OPERATOR.XI.FRACTIONAL_STRING.GROWING_ORDER	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/lemmas/L-92302-the-xi-impedance-is-eventually-matrix-monotone-to-a-growing-order.md	L-92302	The Xi impedance is claimed positive through n<=c sqrt(log x/loglog x).		growing order with x	analytic	GAP_BLOCKED	LINE_BY_LINE_RECONSTRUCTION	Supply quantified moving-band zero counts, Vandermonde/frame constants and perturbation comparison.	Uniform lower frame bound is not established.	unconditional_claim_not_verified				NOT_APPLICABLE	QUARANTINE_PENDING_NEW_THEOREM	
REFUTATION.XI.FINITE_ORDER_DELAYED_FAILURE	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/refutations/R-92300-arbitrarily-many-positive-hankel-orders-can-hide-one-off-line-pole-pair.md	R-92300	For every N a weak conjugate pair can pass through N+1 and fail at N+2.			exact counterfamily	VERIFIED	SMALL_INDEPENDENT_FIXTURE			blocks_finite_order_inference				NOT_APPLICABLE	CANONICAL_REFUTATION	
CRITERION.XI.NEAR_CUT_STRING	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/theorems/T-92300-fractional-string-renormalization-reduces-the-all-order-rh-gate-to-a-near-cut-boundary-layer.md	T-92300	A positive Krein-string completion to O(1/x) of the cut would supply the all-order RH gate.		all high axes and near-cut boundary layer	analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION			RH_equivalent				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
CRITERION.OPERATOR.SAFE_PICK	398	043180519da90af2ea242a5055cbdad9ca40bc62	claims/theorems/T-91006-safe-real-pick-matrix-rh-criterion.md	T-91006	Universal safe-real Pick positivity is an RH criterion.		all finite safe-real packets	analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION			RH_equivalent				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
OPERATOR.PICK.LOCAL_GLOBAL_CONTINUATION	398	043180519da90af2ea242a5055cbdad9ca40bc62	claims/lemmas/L-91014-local-pick-positivity-forces-global-schur-continuation.md	L-91014	Local Pick positivity plus bounded-type compactness yields global Schur continuation.		all local finite Pick matrices	analytic	CONDITIONAL_EXACT	LINE_BY_LINE_RECONSTRUCTION			analytic_bridge				NOT_APPLICABLE	EXTRACT_CONDITIONAL	
REFUTATION.OPERATOR.ONE_GREEN_PICK	398	043180519da90af2ea242a5055cbdad9ca40bc62	claims/refutations/R-91005-safe-jordan-one-green-does-not-imply-pick-continuation.md	R-91005	One safe Green scalar does not imply the full target Pick kernel.			exact counterexample	REFUTED_MECHANISM	SMALL_INDEPENDENT_FIXTURE			blocks_scalar_shortcut				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.SUZUKI.SCALAR_FORM_CORE	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/refutations/R-91008-scalar-causal-mother-has-hidden-jump-defect.md	R-91008	A positive-time mother zero creates a hidden weighted step outside the scalar carrier core.			directed interval counterexample	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			blocks_scalar_form_core				NOT_APPLICABLE	CANONICAL_REFUTATION	
OPERATOR.SUZUKI.DELAY_FIBRE	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91034-delay-fibre-repairs-the-fixed-scale-hardy-form-core.md	L-91034	A delay-fibre isometry repairs the fixed-scale Hardy form core and removes common physical zeros.		positive delay density	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Separate exact isometry from the still-proposed global density theorem.		independent_operator_geometry				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91035-suzuki-hankel-is-the-explicit-completed-jordan-scattering-isometry.md	L-91035	Suzuki’s generalized-Jordan Hankel operator is the completed amplitude-level Hardy scattering isometry.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Distinguish the imported theorem from local extrapolations.		independent_imported_operator_theorem				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.SUZUKI.FOCK_FIRST_CHAOS	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91036-any-source-linear-poisson-colligation-reduces-to-first-chaos.md	L-91036	Any source-linear positive Poisson/Fock output reduces to compensated first chaos.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State coefficientwise positivity and convergence used to eliminate higher orders.		independent_operator_reduction				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.SUZUKI.JORDAN_CURVATURE_GRAM	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91037-normalized-jordan-radial-curvature-is-a-positive-first-chaos.md	L-91037	Normalized Jordan radial curvature is an explicit positive one-particle Gram.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.SUZUKI.AMPLITUDE_TO_CURVATURE	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/refutations/R-91009-unitary-scattering-amplitude-does-not-sign-the-radial-delay-curvature.md	R-91009	Amplitude unitarity alone does not sign radial curvature.			exact counterexample	REFUTED_MECHANISM	SMALL_INDEPENDENT_FIXTURE			blocks_amplitude_shortcut				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.SUZUKI.SCALAR_COMMUTATOR	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/refutations/R-91010-wigner-smith-commutator-is-only-the-scalar-diagonal.md	R-91010	A scalar Wigner-Smith commutator does not reproduce the full delayed cross-carrier Gram.			structural no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			blocks_scalarization				NOT_APPLICABLE	CANONICAL_REFUTATION	
OPERATOR.SUZUKI.MODEL_TANGENT_RESERVE	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91301-suzuki-model-space-shape-operator-is-the-canonical-first-chaos-reserve.md	L-91301	Projection calculus gives an exact positive model-space tangent leakage J_a*J_a.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
CRITERION.SUZUKI.FIRST_CHAOS_DOMINATION	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/theorems/T-91008-corrected-delayed-first-chaos-tangent-intertwiner.md	T-91008	Full delayed source-first-chaos domination would prove RH.		all carriers, delays, orientations and bridge terms	analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		No coefficient-one source-faithful domination is constructed.	RH_equivalent				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
OPERATOR.BROWNIAN.CAYLEY_ANTICOMMUTATOR	401	82fe81e52d8c221c8649376d759aa8d0ee64c0c7	PR_BODY	PR-401-I	The safe Pick defect is exactly congruent to a Cayley anticommutator kernel.			exact matrix algebra	VERIFIED	LIGHT_EXACT_REPLAY			independent_unconditional				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
OPERATOR.BROWNIAN.TWO_COPY_REFLECTION	401	82fe81e52d8c221c8649376d759aa8d0ee64c0c7	PR_BODY	PR-401-II	The Brownian two-copy log-sum/log-difference form gives an exact reflection quadratic.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Pin probability-law normalization and integrability.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.BROWNIAN.GAMMA_BETA_RESERVOIR	401	82fe81e52d8c221c8649376d759aa8d0ee64c0c7	PR_BODY	PR-401-III	Paired Gamma modes give an exact Gamma(4)-Beta(2,2) reservoir and positive Jacobi energy.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Separate finite-mode identity from infinite-product passage.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.THETA.SUPERSYMMETRIC_BULK	401	82fe81e52d8c221c8649376d759aa8d0ee64c0c7	PR_BODY	PR-401-IV	The theta Gibbs bulk factors through a positive supersymmetric operator and supplies the Xi port ratio.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Pin imported theta identities and domains.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
CRITERION.THETA.DTN_IDENTIFICATION	401	82fe81e52d8c221c8649376d759aa8d0ee64c0c7	PR_BODY	Theta-DtN identification	Identifying Xi impedance as the DtN response of the positive theta/Brownian bulk would yield Pick positivity and RH.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		Boundary/source identification is unproved.	RH_equivalent				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
OPERATOR.TRIUNE.COMMON_KERNEL	403	885716b9cf97c7c4deea3b4590b99e5faf13bc1f	PR_BODY	PR-403-I	Schur, positive-real and de Branges kernels are related by explicit diagonal congruences.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.SUZUKI.FIXED_P2_REGULARIZER	403	885716b9cf97c7c4deea3b4590b99e5faf13bc1f	PR_BODY	R-91303	The fixed p=2 packet does not regularize Suzuki’s hard-range integer singularities.			exact coefficient lower bound	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.BROWNIAN.ONE_COPY_LOGODDS	403	885716b9cf97c7c4deea3b4590b99e5faf13bc1f	PR_BODY	R-91304	The Brownian log-odds cell is intrinsically a coupled two-copy channel, not one-copy.			exact coordinate identity	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
OPERATOR.SUZUKI.JORDAN_DECONVOLUTION	403	885716b9cf97c7c4deea3b4590b99e5faf13bc1f	PR_BODY	PR-403-III	Suzuki’s integer singularities are one generalized-Jordan convolution with an exact signed Dirichlet inverse.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State convergence/interpretation of the signed inverse.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
