refutation_id	target_pr	target_claim	first_broken_arrow	evidence_pr	evidence_head	evidence_claim	verdict	surviving_local_result	current_descendant	notes
DELTA.R.TARGET_LORENZ_ENCLOSURE	497/508	directed 51,118,080-event certificate	long-double/Boost singleton intervals are not rigorous directed enclosures	504/516		method review	DELTA_FALSE	schema and selected exact terminal fixtures	550/561/591	Campaign is reconnaissance only.
DELTA.R.COMMON_PARENT_X2	499/500	live common-parent compiler	x=2 target/score obstruction and absent live marginal	501		target/score review	DELTA_FALSE	abstract compiler theorem	511/514	Do not import abstract feasibility into live source.
DELTA.R.NATIVE_PARITY_CHILD	505/507	oriented native child lift	oriented child is negative / source type is mismatched	512		native-source review	DELTA_FALSE	finite native identities	561/652	Preserve parity and positivity types.
DELTA.R.LIVE_COUPLING_SIBLINGS	510/522	live coupling	neither sibling produces the claimed live child marginal	527		sibling review	DELTA_GAP	formal coupling identities	511/514	Mark as duplicate/recovery lineage.
DELTA.R.ACTIVATION_KNOT	518	whole-cell endpoint inequality	activation-knot boundary cell violates the theorem	525		activation-knot counterexample	DELTA_FALSE	endpoint and Landau consumers	526/652	First broken arrow of the historical full proposal.
DELTA.R.Q4_TAIL	519/520	uniform Q4-Hermite tail/leading constant	tail envelope and positive leading constant require corrections not supplied globally	528		Q4 review	DELTA_GAP	fixed/sublinear-order positivity	595/606	Keep finite/fixed-order theorem.
DELTA.R.LIVE_TARGET_LORENZ	521	JNTLC	joint native Target–Lorenz common parent is absent	525		live-marginal review	DELTA_GAP	q=2 fixture	561/591	Do not use campaign totals as a marginal proof.
DELTA.R.Y4_NORMALIZATION	530/533/534/535/536	endpoint deficit composition	J-H=F+<Y4,...>; omitted Y4 term invalidates composition	541		normalization firewall	DELTA_FALSE	finite compilers/local row algebra	470/541/652	Canonical endpoint-normalization genealogy.
DELTA.R.ROUGH_STORE	537/543/548/549	fixed-product/rough-store transport	transport fails on the live native source	544/552		two-row frontier review	DELTA_FALSE	direct consumer transforms	547/552/652	Archive global-shadow wrappers.
DELTA.R.PARITY_BLIND_GLUE	550/555/556/559/560	leafwise gluing	exact odd-history leaf reverses terminal sign	561	db9bdc63c855c6ddf664b763d748f8155a6a2c67	R-96500	DELTA_FALSE	finite Lorenz/row identities	591/601/652	Binding parity-covariant review.
DELTA.R.PICR	562	PICR separator	bottom-contact/root-port separator is false	572		PICR review	DELTA_FALSE	carry identity	root-port positivity gate	Retain exact separator failure.
DELTA.R.P61_BIAS	565/566	1/40 P61 bias and source interface	1/40 is false; repaired constant 1/42; signed finite comparison is not positive current	576/586	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	P61 bias/source firewall	DELTA_FALSE	finite Lorenz comparison and repaired 1/42 theorem	591/601/652	Archive complete wrappers.
DELTA.R.CHECKERBOARD_HALL	567	atomwise Cauchy-Binet to global Hall	atomwise/checkerboard positivity does not imply global Hall	571/574	804a00a71b7a1972296ae49da24bfb6b5c1a7603	retraction	DELTA_FALSE	atomwise parity correction	569/652	Intentional retraction should remain prominent.
DELTA.R.LAPBR	578	large-prime residual Bellman claim	exact residual histories violate LAPBR; subcritical count/depth variants also fail	589/590/593/594/598		Bellman no-go chain	DELTA_FALSE	small-prime adaptive cube and source ledgers	591/601/652	Canonical first broken arrow for this lineage.
DELTA.R.FRACTIONAL_HEAT_UNIFORM	613	uniform-center fractional heat closure	uniform center has type 1/2 and Weyl centering changes parity/heat	617-623	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	R-98710/R-98912 and siblings	DELTA_FALSE	positive chaos, first variation, pole-centered signed detector	fixed-center phase-locked heat	Do not revive uniform-center wrapper.
DELTA.R.DIRECT_INTEGRAL_HALL	620	historical full score-free/direct-integral Hall composition	L-99022.3/L-99024.1 identify the literal score of the finite near-native row with 4sqrt(X), contrary to the ordinary-response score lock	635/652	b8d4772b5cab0655b3edf68864df6d925c76b5ba;24ab64551225f2dba9aa53a533eb9b0285c6e363	R-99161;native-source controlling reviews	CONTROLLED_BY_LATER_REVIEW	compact Hall identities and conditional positive direct-integration/cubature API	SCDR99160 / FCHD67	Archive the full wrapper. Preserve the linear realization theorem only after separating continuum benchmark, literal row score and primitive calibration defect.
DELTA.R.MOVING_ROW	641	one-row Mellin conclusion	row chosen after hypothetical zero; detector is not fixed	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	L-99602	DELTA_GAP	fixed-row holomorphic-defect lemma	fixed rows 2 and 3	Logical quantifier failure, not a minor edit.
DELTA.R.ALPHA_NATIVE	652	alpha-child hazard promotion	contracted alpha children produce r versus 2r^2/net-zero, not native Euler coefficients	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	R-99600	DELTA_FALSE	RN child and sequential first-owner decomposition	FCHD67	Controlling native-source firewall.
DELTA.R.PHALF_SOURCE	664	p^-1/2 auxiliary source promotion	normalized native prime activity is p^-1, not p^-1/2	665/667	7c044d232198265974dd8f4a530b98c6653dba55	R-99900	DELTA_FALSE	ordinary/radix-four separators	literal p^-1 estimate	Canonical source-normalization defect.
DELTA.R.UPBF	669	UPBF source promotion	auxiliary owner bound does not control conclusion-facing native source	673	e932753906968a9e3037b44b95c5a2a711af1c41	UPBF review	DELTA_GAP	local owner identities	literal owner/current estimate	Archive wrapper.
DELTA.R.OWNER_EXCESS	671	positive-square excess closure	positive squares contain unknown root scalar plus positive excess	671	2889071e9ebdc412b94cf2cfe74f1fd5142b2857	R-99960	DELTA_FALSE	HTOC/DGOC exact equivalences	HTOC/DGOC themselves	Equivalent criterion only.
DELTA.R.FLOOR_KERNEL	675	positive floor-kernel shortcut	kernel zeta factor cancels reciprocal-zeta detector	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	R-100130	DELTA_FALSE	wavelet spectral-abscissa theorem	critical energy	Canonical analytic firewall.
DELTA.R.FINITE_EULER_NORMALIZATION	677/684/685	finite certificate to global native theorem	normalization/direct-certificate promotion is inconsistent or unsupported	686/687	e9c84904fabf16fd93d16e7aa75d0254ec2bcbf7	finite-Euler reviews	DELTA_GAP	finite interval theorems	uniform infinite estimate	Retain finite evidence only.
DELTA.R.ABSOLUTE_OWNER_ENERGY	691	absolute Schur/owner energy	positive prime tail defeats the claimed absolute energy	695	5b549abb560e87718f1977d72bf6d3a18165af90	double-owner review	DELTA_FALSE	balanced Vaughan rewrite	signed cancellation estimate	Absolute-value closure cannot see Möbius cancellation.
DELTA.R.K0_K1_ALIAS	692	K0/K1 identification	cross-K identification is false; same-K1 equivalence survives	705	027ea8bd5c879a190e9e22620c245a81f7b93b73	alias review	DELTA_FALSE	same-K1 phase-Hasse/minimal-wavelet alias	signed wavelet estimate	Canonicalize identifiers before integration.
DELTA.R.SCME_LRNM	693	SCME/LRNM implication	required native estimate is absent	694	e6d923c1069f5a481abdf0769ca6d870a8b5ae4b	controlling review	DELTA_GAP	local matrix identities	literal source theorem	Archive wrapper.
DELTA.R.RATIO_FOUR_OCCUPANCY	696-707	terminal ratio-four closure	signed near-collision/physical occupancy estimate is not proved	702/707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	end-state route	DELTA_GAP	Vaughan/half-divisor/Gram reductions	physical occupancy/cancellation	Keep live as open route, not proof.
DELTA.R.Q4_ANTIDERIVATIVE_L2	386	source-blind ell2/Parseval closure of the Q4 compact innovation	unweighted increment energy -> polylogarithmic reflected cumulative-row energy	386	66e60006bedbababefae22ad8f88f06753139a2b	R-90703	DELTA_FALSE	exact Fourier-antiderivative and weighted Goldbach normal forms	580/595/606	The sine-mode norm ratio is sqrt(3)cot(pi/n)~n. This is an operator-class no-go, not a counterexample to the actual von-Mangoldt block source.
DELTA.R.Q4_SOURCE_FREE_RECIPROCAL	540	source-free causal linear transfer from a logarithmic derivative to its reciprocal state	the log-derivative source has coefficient zero at one, while the reciprocal state has coefficient one	540	d2984600a848aca04f27b46bda86bd92229a4a0b	R-95050	DELTA_FALSE	positive coefficient-one multiplicative divisor compiler with explicit unit boundary	563/573/580/606	Any legitimate bridge must retain an external unit/boundary channel or use a nonlinear/quadratic passive state.
DELTA.R.Q4_FILTER_SAFE_ZERO	600	finite polylog-stably invertible dyadic filter adds another safe-line zero at z=1/2	a zero at w=2^{-1/2} lies inside the unit disk and forces inverse coefficients of power size X^{1/2}	600	193ca24d4ebecabb2c51efb62fa16c37947ad90c	R-95520	DELTA_FALSE	arbitrary boundary zero-moment tower at Re(z)=0 with polylog inverse cost	606	The intrinsic J0/J1 centering is maximal among finite polylog-stable dyadic filters.
DELTA.R.SAME_ROW_SCORE_LOCK	620	L-99022.3/L-99024.1 assign literal score 4sqrt(X) to the same near-native physical row	literal score is fixed by the ordinary response and equals P_Lambda minus the exact response defect, not an independently assignable continuum benchmark	635	b8d4772b5cab0655b3edf68864df6d925c76b5ba	R-99161	DELTA_FALSE	positive direct integration/cubature as a conditional linear realization API	SCDR99160 / PR #652 native first-owner frontier	Overthinning cannot repair a same-row normalization contradiction. A primitive calibration-defect row must be constructed.
