pr	title	family	head_status	current_disposition	reason_for_pass2	priority	recommended_work	heavy_policy	notes
389	[UNPINNED TITLE] PR #389 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
391	[UNPINNED TITLE] PR #391 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	ADMINISTRATIVE_TEST	EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
397	[UNPINNED TITLE] PR #397 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
398	[DESCRIPTIVE] safe-Jordan-to-Pick continuation review/refutation	operator_pick_q4_heat	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
417	[NO REMOTE PR OBJECT] sequence number #417	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	NO_NEW_MATHEMATICS	NO_REMOTE_PR_OBJECT_ALREADY_DISPOSED	NONE	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Current repository PR metadata contains no pull request #417. Treat as a census placeholder, not an unresolved research PR. Pass-one disposition is genealogical/breadth review; exact theorem-level adjudication remains with A/B or a named controlling review.
500	[UNPINNED TITLE] PR #500 — native row hall target lorenz	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
501	[DESCRIPTIVE] target/score and common-parent controlling review	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
502	[DESCRIPTIVE] one-shot/two-ledger comparison review	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
503	[DESCRIPTIVE] Volterra common-parent exact negative generator review	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
504	[DESCRIPTIVE] Target–Lorenz method review	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
505	[UNPINNED TITLE] PR #505 — native row hall target lorenz	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
506	[UNPINNED TITLE] PR #506 — native row hall target lorenz	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
507	[UNPINNED TITLE] PR #507 — native row hall target lorenz	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
509	[UNPINNED TITLE] PR #509 — native row hall target lorenz	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
510	[UNPINNED TITLE] PR #510 — native row hall target lorenz	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
511	[DESCRIPTIVE] source-to-row compiler and two-channel repair	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
512	[DESCRIPTIVE] native-parity/source-firewall controlling review	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
513	[UNPINNED TITLE] PR #513 — native row hall target lorenz	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
514	[UNPINNED TITLE] PR #514 — native row hall target lorenz	native_row_hall_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
515	[DESCRIPTIVE] centered Q4 cubic review	controlling_reviews_q4_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
516	[DESCRIPTIVE] Target–Lorenz enclosure-contract review	controlling_reviews_q4_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
517	[UNPINNED TITLE] PR #517 — controlling reviews q4 target lorenz	controlling_reviews_q4_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
525	[DESCRIPTIVE] activation-knot and live-marginal controlling review	controlling_reviews_q4_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
526	[UNPINNED TITLE] PR #526 — controlling reviews q4 target lorenz	controlling_reviews_q4_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
527	[DESCRIPTIVE] live-coupling sibling controlling review	controlling_reviews_q4_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
528	[DESCRIPTIVE] Q4/cubic/zero-safe successor review	controlling_reviews_q4_target_lorenz	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
529	[UNPINNED TITLE] PR #529 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
531	[UNPINNED TITLE] PR #531 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
532	[UNPINNED TITLE] PR #532 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
533	[UNPINNED TITLE] PR #533 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
534	[UNPINNED TITLE] PR #534 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
536	[UNPINNED TITLE] PR #536 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
538	[DESCRIPTIVE] signed carry span and positive subcone theorem	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
539	[UNPINNED TITLE] PR #539 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
541	[DESCRIPTIVE] native-gap endpoint-normalization firewall	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
543	[UNPINNED TITLE] PR #543 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
544	[UNPINNED TITLE] PR #544 — native compilers q4 normalization	native_compilers_q4_normalization	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
545	[DESCRIPTIVE] direct annular two-row Mellin–Landau	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
