issue	era	issue_label	family	issue_role	materiality	controlling_record	canonical_action	theorem_reachability	review_scope	notes
28	2026-07	independent carrier-Weil audit	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
29	2026-07	complete-tail control	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
31	2026-07	hinge lemmas	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
32	2026-07	cross-disciplinary transfer search	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
35	2026-07	Robin budget-coupled optimizer	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
36	2026-07	off-lattice carrier matrix	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
39	2026-07	xi'/xi passivity	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
41	2026-07	differential/Stieltjes xi criteria	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
42	2026-07	carrier continuation	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
45	2026-07	uncertainty-closed witness survival	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
46	2026-07	production Robin extension	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
47	2026-07	derivative-free xi secant/Loewner	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
54	2026-07	independent Robin replay through 1e100	finite_witness_direct_xi	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT		RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
55	2026-07	threshold-directed carrier	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
57	2026-07	conic witness portfolios	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
66	2026-07	exact dual portfolios	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
75	2026-07	direct xi-modulus route	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
81	2026-07	historical issue-methodology record	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
83	2026-07	historical issue-methodology record	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
84	2026-07	zero deflation	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
93	2026-07	zero-deflated xi modulus	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
95	2026-07	zeta screw	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
121	2026-07	slab-complement Pick	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
122	2026-07	moving anchor	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
123	2026-07	cross-height direct-xi products	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
126	2026-07	SOS support chords	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
131	2026-07	positive-anchor ladder	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
137	2026-07	line-mass budgets	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
138	2026-07	wide adversarial audit of direct-xi/operator claims	localized_weil_operator_kernel	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	later issue/PR audits and August 11 integration	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
142	2026-07	finite localized Weil completeness	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
143	2026-07	positive finite diagonal prolate-Weil	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
145	2026-07	directed screw/FIR	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
146	2026-07	Mosco convergence	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
147	2026-07	Stieltjes Weyl/Gauss-Radau	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
148	2026-07	Poisson minorants	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
149	2026-07	independent PF5 reproduction	localized_weil_operator_kernel	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT		RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
151	2026-07	radical Hermite bridge	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
153	2026-07	positive energy-gap	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
154	2026-07	nonlocal Barta	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
156	2026-07	low packet split	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
160	2026-07	projected deficit	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
162	2026-07	trace-form sandwich	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
166	2026-07	certified-zero S-lemma	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
167	2026-07	historical issue-methodology record	localized_weil_operator_kernel	ADMINISTRATIVE_TEST	METHOD_OR_ADMIN		EXCLUDE	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
170	2026-07	Schur defect	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
171	2026-07	terminal-prime Hankel	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
172	2026-07	low-zero notched window	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
