pr	status	prior_head	reconciled_head	reconciled_title	source	notes
389	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	2eaebcd84e8e6bdbf5a1c85d6d4c8a28639a88fd	breakthrough: Bessel–Hausdorff and Jordan–Loewner closure of the remaining fronts	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
391	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	8cc59dd49354523070cc19127446aa279e2c891f	integration: synchronize canonical Brownian status after PR #388	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
397	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	7061072f5a5fd4d6fc741cba9e5035e29b0a0e31	breakthrough: full Hankel cone reaches the sharp Chebyshev edge and gains a rational accelerator	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
398	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	043180519da90af2ea242a5055cbdad9ca40bc62	refutation: safe Jordan and one-Green positivity do not imply Pick continuation	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
417	NO_REMOTE_PR_OBJECT	UNRESOLVED_OR_NOT_APPLICABLE		[NO REMOTE PR OBJECT] sequence number #417	GitHub current PR metadata read-back	GitHub current-state query returned no PR object for #417. This is the sole intentionally blank exact_head_sha in the final census.
500	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	d73c1e7a1a482cac31581211a84db43cc34c824e	research: source-owned physical coupling compiler (T-91850)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
501	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	ab5bd0ffc7a8092d62e879431dbd9f295f79f072	review: compare PR #499 and #500 native-source repairs	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
502	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	db45b778d8c26e03ef1ad6b6f48959638be28b7c	review: exact-head comparison of PR #494 and PR #496	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
503	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	db77e5792966edf080604fd4b69fb00f07739681	review: PR #495 Volterra frozen-head reconstruction	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
504	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	fe1a3c94379c3d159efa05ea216d12643e63be16	review: PR #497 Target-Lorenz frozen-head reconstruction	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
505	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	1113fe6d55e955a8d9de7b43ceb24f5792870550	successor: native-parity q=2 compiler for the physical coupling route	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
506	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	3d44cf10f8b5f36fd06a57a745550a25142e3658	proposal: two-sorted Hall-row successor after T-91821 hostile reconstruction	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
507	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	dfaa70cd2eefcabbf6717e3da060792904c7f357	successor: native-source q2 firewall and actual-child factor-67 closures (T-92930)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
509	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	e01daee9cdfea35d2a7d2591f1df6c8080084119	successor: native-Mobius physical-coupling compiler	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
510	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	b596b1abae9213366aab4cf3f2c911ff8cfab725	successor: live native arithmetic coupling (T-91880)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
511	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	6ece82279cb03474ebc79914db572f6ff095d238	successor: live native source-to-physical-row certificate compiler	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
512	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	625a9273696a1f017f32d37bf9052423ee8590c7	review: exact-head comparison of PR #505 and PR #507	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
513	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	4275fe97aa5ba885210abb6296c7048386e5909d	repair: review-503-safe anchored/Volterra direct row	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
514	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	944dabba065271f08f3cade0215292dcfbab590f	proposal: joint paired-native cancellation gate after PR #505/#507 review	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
515	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	6728689d1dbae1891793aabbc393b25e0a7bbaba	review: PR #498 centered-Q4 cubic exact-head reconstruction	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
516	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	2492bd48f8e2bafacfc04fc9237c06219b8c9bf8	review: PR #508 directed tail and typed-leaf exact-head reconstruction	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
517	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	f097193037352253cc37e13bca41252233e805fd	proposal: centered-Q4 heat-resolvent prime-coherence bridge	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
525	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	18888e91786e438eac9bbcdc1a65b16a7e0479fa	review: exact-head PR #518 and PR #521 reconstruction	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
526	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	1257867fd9667b7470dd5a5bf591b04437dd44ec	proposal: activation-aware whole-cell gate after PR #518 review	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
527	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	687587b98071879e7f8034f66b5d95b3b76b016a	review: compare PR #510 and #522 live arithmetic couplings	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
528	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	f39f5f506dae475f8ed857f69d3469bf36ba7786	review: PR #519/#523 wavelet lineage and PR #520 phase-lock frontier	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
529	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	ada020d303468f592ad1c18221c2d227ae2364ec	proposal: explicit native two-sorted factor-67 coupling (T-91880)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
531	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	e1b3b03d97d47c5046aa84f31e51c925d92baabd	advance: hostile cubic audit, positive potential, and Möbius dispersion	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
532	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	0d8e480a7f005b9db292d0eb477e6ddec0c8931e	paper: arXiv-ready proposal v1 — native factor-67 compiler	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
533	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	624db1e68f0197a002a542ffa37375dc7b26e197	research reset: standalone affine-Volterra RH candidate (T-94000 reconstruction)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
534	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	ef18bdda5a65334695008e4c1f5986833160d84f	research reset: projective native-Lorenz full RH candidate	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
536	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	b0ccb4decf5329e041a3a516f4b990a55a73c50e	proposal: unconditional four-adic endpoint-packing proof candidate (T-94200)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
538	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	b7ed54922cee0bb6a62fd189f0f83edd3ff7441a	research reset: signed interior carry span and positive two-leaf cone	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
539	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	9c124705600603914ee9fe2678360b759780a1e0	advance: positive Peano factor-64 bank and First-Hermite scale-innovation bridge	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
541	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	e381f444191e214cc992208b16d30a8d5fd461ac	research reset: native-gap normalization firewall and arithmetic producer frontier	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
543	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	90017face8bab139e25924ac0f31647e327c2e3d	proposal: global frontier-shadow hardening of the prime-sieved RH route	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
544	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	d4dcd1256dc9c8e110c860cff87b3f89aee842a5	hardening: affine–Volterra normalization, MPFR tails, and closure firewall	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
545	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	88bd3547c6277b5788e52eedd9ada1c594f4f866	hardening: two-row annular Mellin–Landau successor and producer firewall	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
548	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	7c7677e3dda318f8f8ccb813c4ca38f14448a538	packet mirror: global frontier-shadow hardening	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
549	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	4ef69785b84b3801627956c3f0c9cf0ce56299aa	recovery: two-row global-shadow Mellin–Landau RH candidate	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
551	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	c8702aef34a25c614f91dea1ecc6e787478e8170	T96300: radical two-front assault on annulus and reciprocal row	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
555	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	341697b4694ba7f44f2ba2be73cb3fc982939412	proposal: finite source-complete factor-67 two-row Mellin–Landau candidate	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
556	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	a4feca0457d310c72054f274040f93b0503f658b	proposal: source-complete annular factor-67 RH candidate	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
558	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	b1b8d5548365216a5f9a642d3005835f5a1f3dd2	paper: finite factor-67 two-row Mellin-Landau RH proposal	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
559	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	88d97adef8a42c5baf2f52c2c259a4ef536bdfdd	recovery: single-scalar factor-67 Mellin–Landau RH candidate	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
560	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	96b86c8f432fc7d4f38e038b7c1cb53f5d7e99e3	proposal: projective stopping-line two-row Mellin–Landau candidate	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
569	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	739ab0d9ab4975829dbed780670b1a4a56ca672e	paper: adaptive parity-Hall scalar/Julia reduction	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
572	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	7059d335312eb3416308d3896263c0cd8d97c3aa	correction: PICR separator and exact carry root-port repair	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
577	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	ae85922195c12a29944e624337bae2167091929b	paper: parity-completed scalar Lorenz reconstruction and exact RH frontier	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
583	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	ecaf57df108d5b3fccc4519dee7a0356c5eea143	ops: regenerate deterministic T97400 download artifact	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
585	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	41cd1eda7408cd5997fea5284601aee4c0dbbc56	review archive: PR #565 hostile-reconstruction work product	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
586	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	70e74f38c1137bd987d1a706f7a9aa907f284e9a	review: hostile reconstruction of PRs #565/#566 and repaired factor-67 frontier (T97610)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
588	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	689f7c0d46c990b45b3b81a1e31b5a00b6d71aaf	archive: reconstructed cutoff-239 annular candidate digest	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
589	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	ff5156cf6aa469bb7a2155ff4aa7c094bd75b9b6	advance: refute LAPBR67 and derive exact future-prime Lorenz Bellman frontier (T97700)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
590	EXACT_CURRENT_HEAD_RECOVERED	MALFORMED_OR_PLACEHOLDER	4f1283c67f0d4a4b504badd4c4113ba227521162	hardening: LAPBR67 no-go and balanced large-prime Type-II frontier	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
593	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	ef5ef2d57540c43afb3749861a1dc96ff7e55b13	paper: threshold-flexible causal decision and critical-saddle frontier	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
598	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	e20128ef4a59607446451f93f3f8daeebe665517	hardening: source-faithful parity tree and adaptive-depth sign no-go (T-97680)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
601	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	2095206c4759deac7edffbc0ecc9e30fcc453908	advance: ordered Lorenz profile and eventual zero-marginal collapse (T98000)	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
602	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	470b5ba529e76f79983e29ed9eebc80454088f0d	paper: Dickman power-sector localization and subpower critical core	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
