pr	head_before	exact_head_after	title_after	family_after	disposition_before	pass1_disposition	controlling_later_pr	strongest_surviving_result	first_broken_arrow	current_open_gate	lifecycle_recommendation	review_depth	pass2_needed
409		709a20509cbff9fb19dc094c9bbf05f13d74c628	harden Brownian route: Stein current aligns with Beta–Jacobi; endpoint port has sharp (2,2) completion	brownian_theta_pick	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
410		5e0c23dcbd68f2decf79da43642dc3c077a48bb4	harden quasi-Lévy route: root-lock is unique and cannot propagate pointwise down the dyadic recurrence	quasi_levy_hardy	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
411		cc097bbe1a0ce6d13bd97ee3951d13762cb632d2	advance: gamma-ladder and compensated Green completion isolate the CPPD gate	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
412		f848f3cd2fb7ca6e46dbab5a053a8e51fc97729a	advance: Hadamard parity rotation turns CPPD into one domain-wall Cayley transfer	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
413		3ba7021d4ed2aa0f42e42917114be06510919bac	advance: one fixed Cauchy node turns crossed zeros into a dyadic annular exhaustion problem	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
414		0fe80e32781e109aee1882f2a069dbb2e3787f7e	advance: eta pairing localizes the global pole bridge to one dyadic zero	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
415		9bac15fed27af5730da9fb6bd27538a65032f639	hostile hardening: exact target/score cone firewall for the factor-54 source typing	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	405/431/436/443/450	exact target/score cone firewall and two-ray coordinate description	one common positive kernel measure cannot in general be exact in target and score simultaneously	score-exact/target-subordinate source typing with all-generation capacity	CANONICAL_REFUTATION	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
416		23aa9adc48a6c3176b799944dfbac11e665407ef	advance factor-54 route: target-exact survival–hazard telescope and positive one-prime row recurrence	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REFUTATION	439	one-prime channel identities and target/score parameter corridors, after removing false global target conservation	advertised positive survival-plus-hazard map overdraws target	measure-valued source splitting and literal packet typing	ARCHIVE_FALSE_RETURN; KEEP_LOCAL_IDENTITIES	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
417			[NO REMOTE PR OBJECT] sequence number #417	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	NO_NEW_MATHEMATICS	405/431/436/443/450	none: no pull-request object exists at this sequence number	not applicable	not applicable	REMOVE_PLACEHOLDER_FROM_RESEARCH_CENSUS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
418		de0329a0004dc6954c8de4cb12179197d25533b9	advance: safe prime parity is an explicit Clark–Redheffer impedance	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
419		1bba24ab1cadc7ca4529d6e345ed2be1afd71b07	advance: logarithmic Green mass linearizes the one-node annular telescope	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
420		c978fc2c0f52f67800a0542a962e49c6110a5b8f	advance: the global dyadic zero and gamma pole form one compact covariant bridge	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
421		0f34ba29bc9ac5ce5f1127aaaeba370c4455ebdc	advance: logarithmic Clark entropy linearizes the safe prime Redheffer cascade	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
422		4619269090043f0baef2aa13f5cc1184eed85ee2	advance: annular crossed-zero mass is exact Clark entropy with quantitative moats	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
423		03a057c7bc18080bf89afaa436abf839d6d1c17f	advance: paired eta tail has a full-carrier weighted Julia completion	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
424		2bd4625bb2e3cf41318be5b22f6f8e8d0827fef1	factor-54 hardening: entropy dual, one-use parent closure, and direct detail repair	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	433/436/439/443	nested same-index detail replacement, finite terminal debt, and exact native one-step identities	affine child composition and later positive binary return do not preserve the literal native packet	LRPT/SFFEP atomwise source-labelled root allocation	ARCHIVE_CANDIDATE_WRAPPER; KEEP_REPAIRS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
425		d2b2c3eb336f9d9da6d35c34079b803968b52bf8	advance: the safe prime Clark source is an exact dyadic martingale	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
426		64bd5070bd7b948f7c925ec48b739b9cb86c99ac	advance: moving Cauchy nodes sharpen every crossed-zero entropy moat to 1/Y	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
427	e4cba612839efb7296c1664f173e924f9e252bbf	e4cba612839efb7296c1664f173e924f9e252bbf	advance: eta, compact bridge, and gamma form one completed arithmetic Julia cascade	suzuki_hardy_source_to_model	CONTROLLED_BY_LATER_REFUTATION	CONTROLLED_BY_LATER_REFUTATION	405/431/436/443/450	independent endpoint, capacity, operator and finite-algebra lemmas identified in claim registry	complete factor-54 wrappers fail at native-root/source/capacity or endpoint-composition arrows	source-faithful native producer with one-use endpoint accounting	archive historical wrappers; retain controlling descendants	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
428		76d849e3210fac73af2f6bf2eded91b29659a313	synthesis: the final source-to-model map is one positive kernel lock with an o(1/Y^2) diagonal target	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
429	56294bfcd2bdbce4c40b08f67cb996a39868f563	56294bfcd2bdbce4c40b08f67cb996a39868f563	advance: close delayed Hardy geometry, correct the Fisher/colligation routes, and isolate the critical Pick kernel	suzuki_hardy_source_to_model	CONTROLLED_BY_LATER_REFUTATION	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
430	cedf2f5b43c99d6e6f9a760236432b123dd91770	cedf2f5b43c99d6e6f9a760236432b123dd91770	radical reset: diffuse radial source cannot feed atomic off-line zero depths	suzuki_hardy_source_to_model	CONTROLLED_BY_LATER_REFUTATION	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
431		78a622e32ef36e587099bb95cb791461b75d26bf	review: PR #399 direct-Euler factor-54 proof reconstruction	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	431/436	review-level exact counterexamples, scope repairs, and frozen-head provenance	L-91350.2 drops parent support cutoff; hidden hazard child and signed-loss normalization remain untyped	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
432		0e9f9b54ed2bccbdd1d0957095a61ec2e7e32c56	close P61 inherited-row gate for every rough prime	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	405/431/436/443/450	strict inherited P61 component-row positivity for every p>=67 and terminal y<67	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	simultaneous positive source/target/score/full-row realization	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
433		0aab3a209c5368f93d409f3a1842304098550387	repair factor-54 closure: actual entropy and same-index child lift	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	405/431/436/443/450	exact affine-joint counterexample, same-index capacity repair, and actual entropy dictionary	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	one-use live producer and provenance assembly	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
434		d69386dbfefe143e5ca478e591089a2c75847acd	repair: Jordan source is a radial carrier-anticommutator mixture	suzuki_hardy_source_to_model	TARGETED_REVIEW_STILL_REQUIRED	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
435	42a6929df3b637a151a2612b977fcabd2e774599	42a6929df3b637a151a2612b977fcabd2e774599	advance radial endgame: exact Xi depth cocycle and local Kolmogorov gluing reduce RLSL to RKMD	suzuki_hardy_source_to_model	CONTROLLED_BY_LATER_REFUTATION	DELTA_CONDITIONAL	405/431/436/443/450	exact local source, Hardy/Clark, annular, delay, entropy, bridge, or spectral-type reductions retained at their stated finite/conditional scope	positive source-side or safe-side structure is not identified with the complete critical/stable model output	source-ordered completed source-to-model domination/exhaustion, generally RH-equivalent	KEEP_LOCAL_THEOREMS; ARCHIVE_ANY_COMPLETE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
436		9aeccd55779689d3ee105d16a0caf6f600ff1ea2	review: direct-Euler score audit, causal Hall repair, and non-affine packet assembly	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	436	review-level exact counterexamples, scope repairs, and frozen-head provenance	false scalar score surplus and noncausal Hall formula; repaired signs still do not export one source-labelled row flow	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
437		77fd0e1333bfe8a7cd90c833e12ba55a45475bb6	breakthrough: P61 one-prime Euler row has uniform literal entropy surplus	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	405/431/436/443/450	uniform literal P61 entropy surplus over declared score	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	complete current-row positivity and one-use radix-four realization	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
438	bb7327d21c47410820cda2671f45dbe709a72eea	bb7327d21c47410820cda2671f45dbe709a72eea	correction + advance: Birman–Schwinger feedback and unconditional two-node infinitesimal Xi positivity	xi_pick_impedance	CONTROLLED_BY_LATER_REFUTATION	CONTROLLED_BY_LATER_REFUTATION	405/431/436/443/450	independent endpoint, capacity, operator and finite-algebra lemmas identified in claim registry	complete factor-54 wrappers fail at native-root/source/capacity or endpoint-composition arrows	source-faithful native producer with one-use endpoint accounting	archive historical wrappers; retain controlling descendants	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
