handoff_pr	handoff_head	candidate_id	source_pr	source_head	source_claim	prior_packet_status	followup_disposition	canonical_record	notes
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.SACF.CRITICAL_RESONANCE	597	5478ead5fc82e1730cb1fe53965663d608a851b3	L-95500/L-95501/L-95502/L-95504	generic row lacked exact head and full classification	EXACTIFIED	DELTA.Q4.SACF_RESONANCE	External classical input remains imported, not replayed.
710	e91d6aa25d2e8576e82d26170127941eec430f75	Q4.ZERO_MOMENT_FILTER_BARRIER	600	193ca24d4ebecabb2c51efb62fa16c37947ad90c	L-95520/L-95521/R-95520	generic row lacked exact head/path split	EXACTIFIED	DELTA.Q4.FILTER_BARRIER;DELTA.R.Q4_FILTER_SAFE_ZERO	Finite-filter exhaustion now path-pinned.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-620-DIRECT-HALL	620	493e12fcba3f9b98dda7c3595bff73b256e00ca4	T-99020/L-99022/L-99024	historical wrapper present; first arrow generic	EXACTIFIED	DELTA.ARITH.DIRECT_INTEGRAL_COMMON_ROW;DELTA.R.SAME_ROW_SCORE_LOCK;HISTORICAL_PROPOSALS#620	The exact failure is the same-row literal-score=4sqrt(X) assignment.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-635-SAME-ROW	635	b8d4772b5cab0655b3edf68864df6d925c76b5ba	R-99161	PR-level represented only	NEWLY_EXTRACTED	DELTA.R.SAME_ROW_SCORE_LOCK;PR_CENSUS#635	Binding calibration firewall extracted.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-638-VOLTERRA	638	73ee57ccc684f4062769a6d1c0456b3ef6318db2	L-99230	PR-level represented only	NEWLY_EXTRACTED	DELTA.ARITH.VOLTERRA_GREEN	Boundary modes and activation atoms made explicit.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-439-CAUSAL	439	706445c01d4a5c9f852a4faf1329bd9858dc727a	L-91355	PR-level generic and handoff path stale	NEWLY_EXTRACTED	DELTA.ARITH.CAUSAL_PACKET_BUDGET;PROV.439.CROSS_REVIEW_STALE_PATH	Actual path pinned; mass theorem separated from packet typing.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-470-Y4-CONE	470	89af3206ea1894884613e1188b5ab9a6a4cd74f0	L-91687	substantive row existed but exact head/path missing	EXACTIFIED	DELTA.ARITH.Y4_REPAIR_CONE	Response-space theorem retained; source-owned producer remains open.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-454-FARKAS	454	a0409d54250bc211d62718a1aedb6fa020d7f091	L-91671	conditional row existed but exact head/path missing	EXACTIFIED	DELTA.ARITH.FINITE_FARKAS	Exact abstract sufficiency; live feasibility not inferred.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-508-TL-HEAVY	508	4ae97dffd1f76ed3244b8f3028560ffa80663caf	L-93781/X-93780	generic heavy row lacked exact paths/hashes	EXACTIFIED	COMP.TARGET_LORENZ.51M;HISTORICAL_PROPOSALS#508	Method invalidation by PR #516 controls proof use.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-521-LIVE-MARGINAL	521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	L-94023	controlling review present; exact finite reduction omitted	NEWLY_EXTRACTED	DELTA.ARITH.LIVE_MARGINAL_FARKAS	Feasibility remains open.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-472-RADIAL	472	bb364396e09717237351d4aed9aadf6c570cb7fc	L-19881	census-only generic row	NEWLY_EXTRACTED	DELTA.ARITH.Y4_RADIAL_NULL_GAUGE	Cross-family null gauge extracted.
711	27784928fbcecff975bc947e13c3a30d3b630ce0	M-630-2E9	630	bec6ec52ff94e0439fa6a4615c4641f7714d1d54	T-99100/X-99100	heavy theorem present but canonical paths/hashes absent	EXACTIFIED	COMP.HARNACK.2E9;DELTA.ARITH.HARNACK_2E9	Finite theorem retained; no scan rerun and no global promotion.
