computation_id	source_pr	exact_head_sha	checker_path	result_path	artifact_hashes	claimed_coverage	mathematical_theorem_depending_on_it	method_inspection_status	source_result_consistency	independently_replayed	heavy_campaign_not_re_run	canonical_relevance	verdict	notes
COMP.FRACTIONAL.STRING	461	ea633d416609565b3926f37c9302c93e1b818e2d	experiments/X-92300-fractional-string-renormalization/	retained verification JSON	UNRESOLVED_CANONICAL_HASH	fixed-order beta-Hankel determinants through n=6 and delayed failure	fixed-order fractional-string theorem	light fixture reconstructed by Reviewer B	consistent at fixed order	yes, light only	HEAVY_CAMPAIGN_NOT_RE_RUN	retain fixed-order evidence	DELTA_VERIFIED_WITH_FIXES	No growing-order conclusion.
COMP.TARGET_LORENZ.51M	497/508	UNRESOLVED;UNRESOLVED	historical Target–Lorenz scanner/checker	retained 51,118,080-event output	stale/insufficient lock; see PR #516	51,118,080 event campaign	historical native coupling claim	method inspected by PR #504/#516	source/result enclosure contract invalid	selected exact terminal cells only	HEAVY_CAMPAIGN_NOT_RE_RUN	reconnaissance only	CONTROLLED_BY_LATER_REVIEW	Long-double/Boost singleton interval issue is fatal to proof use.
COMP.TARGET_LORENZ.MPFR_REPLACEMENT	550	20646a78c3e8843001cb49ea0c9741f6d0d446f7	UNRESOLVED_MPFR_CHECKER	UNRESOLVED_MPFR_RESULT	UNRESOLVED_MPFR_HASH	replacement directed campaign claimed on projective full-row branch	later Target–Lorenz/Lorenz reductions	metadata only; no broad MPFR replay	canonical bytes/path not pinned	small parity fixture only	HEAVY_CAMPAIGN_NOT_RE_RUN	targeted provenance audit required	TARGETED_REVIEW_STILL_REQUIRED	Do not infer repair merely from a replacement claim.
COMP.P61.BIAS	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	experiments/X-97400-p61-bias/	retained directed endpoint result	retained SHA256SUMS at frozen head	repaired 1/42 bias and 1/40 counterexample	P61 local comparison/source firewall	endpoint contracts inspected by Reviewer A	retained source/result consistency	x=184 sign checks only	HEAVY_CAMPAIGN_NOT_RE_RUN	canonical finite theorem	DELTA_VERIFIED_WITH_FIXES	Global native source remains open.
COMP.Q4.ANNULAR_KERNELS	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	experiments/X-95400-q4-focc-annular/certificates/exact_kernels.json	same exact-kernel certificate	UNRESOLVED_CANONICAL_HASH	exact Q(sqrt(2)) filter/support/inverse l1 mass 64/21	Q4 annularization and Type I/II	method audited by Reviewer B	representative identities consistent	yes, light only	HEAVY_CAMPAIGN_NOT_RE_RUN	canonical finite Q4 kernel record	DELTA_VERIFIED_WITH_FIXES	Broad endpoint scan not rerun.
COMP.ANNULAR.BIAS	587	8a0f074c5b96600b461fdd6e23b47ee2162c4a70	missing raw generator/build script/src header	retained certificate files	retained certificate hashes only	annular bias/source-completeness finite claims	annular no-go/certificate theorem	retained cert inspected; generator unavailable	incomplete source/result lock	no	HEAVY_CAMPAIGN_NOT_RE_RUN	retain only after generator recovery	TARGETED_REVIEW_STILL_REQUIRED	Explicit provenance defect.
COMP.Q4.FIVE_MILLION_RECON	606		claims/observations/O-95600-filtered-cross-sign-reconnaissance.md	retained observation	not a proof certificate	floating reconnaissance through five million endpoints	none; empirical guidance only	not reviewed as proof	nonprobative	no	HEAVY_CAMPAIGN_NOT_RE_RUN	historical observation	NO_NEW_MATHEMATICS	Must not enter a theorem edge.
COMP.C4MBI.1E9	624	0fa032faedc0fa9a47a87c41a69c0db141b1dea2	experiments/X-99000-c4mbi67-primitive-prefix-billion/	same tree results/	retained artifact hash verified by Reviewer A	primitive-prefix positivity below 10^9+1	finite C4MBI theorem	outward-dyadic scanner and coverage contract inspected	source/result consistency retained	small coefficient identities only	HEAVY_CAMPAIGN_NOT_RE_RUN	canonical finite certificate	RETAINED_HEAVY_CERTIFICATE	No global tail conclusion.
COMP.HARNACK.2E9	630	bec6ec52ff94e0439fa6a4615c4641f7714d1d54	UNRESOLVED_CANONICAL_CHECKER	UNRESOLVED_CANONICAL_RESULT	UNRESOLVED_CANONICAL_HASH	factor-67/Harnack finite scan through 2×10^9	finite Harnack theorem	inventory only	requires canonical source/result lock	no	HEAVY_CAMPAIGN_NOT_RE_RUN	potentially canonical after targeted audit	TARGETED_REVIEW_STILL_REQUIRED	Do not merge until exact path/hash/method contract is pinned.
COMP.SHARP.H67.1E8	647	306d1c66fe4e848efda0bd78b5475aeeed3d5563	experiments/X-99250-sharp-harnack/	same tree results/	retained artifact hash verified by Reviewer A	H67 SHARP positivity through 10^8	finite SHARP theorem	directed interval/minimum logic inspected	source/result consistency retained	compact Hall/local identities only	HEAVY_CAMPAIGN_NOT_RE_RUN	canonical finite certificate	RETAINED_HEAVY_CERTIFICATE	Global descent/tail open.
COMP.SHARP.H67.1E8.INDEPENDENT	653	e928fd615d753882706bb88c51b717bd8d4a86ba	experiments/*T99270* retained transcripts	compressed/raw transcript and proof object	as frozen in PR #653	independent 10^8 finite positivity campaign	finite SHARP theorem	artifact and method audit by Reviewer B	hashes retained	no	HEAVY_CAMPAIGN_NOT_RE_RUN	second independent provenance chain	RETAINED_HEAVY_CERTIFICATE	Keep distinct from #647.
COMP.P67.CURRENT.1E6	615	eb129ebea953def33a92fb5e7355d4e79cb53171	UNRESOLVED_CURRENT_CHECKER	UNRESOLVED_CURRENT_RESULT	UNRESOLVED_CURRENT_HASH	current p=67 positivity through 10^6	finite diagnostic theorem	inventory only	current campaign separated from legacy	no	HEAVY_CAMPAIGN_NOT_RE_RUN	retain current campaign only	TARGETED_REVIEW_STILL_REQUIRED	Legacy 10^8 artifact is quarantined as incompatible.
COMP.FUTURE_PROFILE.SELECTED_1E8	614	d5b94d7dd8e341dca73c2b5ff899a9adf2d1585f	UNRESOLVED_SELECTED_CHECKER	UNRESOLVED_SELECTED_RESULT	UNRESOLVED_SELECTED_HASH	selected N=10^8 future-profile diagnostic	QMP67 reconnaissance	inventory only	diagnostic, not exhaustive	no	HEAVY_CAMPAIGN_NOT_RE_RUN	observation only	PARTIALLY_REPRESENTED	No theorem upgrade.
COMP.FINITE_EULER.INTERVALS	677/684/686	d00c47155ca7440c3c07ff56b361d6aa3533da41;4669183704a8f51b7d0377200a46f90ed023fe2c;a0c3c834c671fe64bfdfee6c8473d2c3702bfeec	UNRESOLVED_FAMILY_CHECKERS	UNRESOLVED_FAMILY_RESULTS	UNRESOLVED_FAMILY_HASHES	finite-Euler interval certificates	finite direct-row theorems	review genealogy inspected	global normalization/coverage inconsistent or open	representative schema only	HEAVY_CAMPAIGN_NOT_RE_RUN	retain finite certificates after per-head split	TARGETED_REVIEW_STILL_REQUIRED	Create one canonical computation row per actual checker before integration.
COMP.FREDHOLM.NYSTROM	373/387	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794;UNRESOLVED	experiments/X-zeta23-fredholm-pontryagin/;experiments/X-90705-high-carrier-fixed-degree-firewall/	retained JSONs	UNRESOLVED_CANONICAL_HASHES	finite spectral/exterior fixtures and Nyström searches	local Fredholm/operator identities	method audited by Reviewer B	illustrative local algebra only	light fixed-degree identities	HEAVY_CAMPAIGN_NOT_RE_RUN	retain as local evidence	DELTA_VERIFIED_WITH_FIXES	All-order sign open.
COMP.FINITE.ROBIN	372	9b9c2536d89b65cb999ec08e20fce3386383803a	integration/2026-08-11 finite Robin records	canonical retained certificate	retained at frozen head	finite exact barrier through 5583	finite Robin theorem	imported review inspected	retained	no	HEAVY_CAMPAIGN_NOT_RE_RUN	canonical finite theorem	RETAINED_HEAVY_CERTIFICATE	No global implication.
COMP.FINITE.PICK.BOXES	372	9b9c2536d89b65cb999ec08e20fce3386383803a	integration/2026-08-11 finite Pick records	two directed complex 8x8 boxes	retained at frozen head	two finite directed Pick exclusions	finite Pick theorem	imported review inspected	retained	no	HEAVY_CAMPAIGN_NOT_RE_RUN	canonical finite theorem	RETAINED_HEAVY_CERTIFICATE	No strict negative Riemann-data witness.
COMP.FORMAL.LEAN.BUILDS	multiple	UNRESOLVED	UNRESOLVED_LARGE_FORMAL_BUILD_PATHS	UNRESOLVED_RESULTS	UNRESOLVED_DEPENDENCY_LOCKS	large formal/Lean builds still cited by live claims	only theorem-specific imported formal claims	not run; inventory incomplete	dependency locks incomplete	no	HEAVY_CAMPAIGN_NOT_RE_RUN	must be split and pinned before integration	TARGETED_REVIEW_STILL_REQUIRED	Full Lean builds prohibited and not rerun.
