pr	previous_head	reconciled_head	title	status	evidence_scope	mathematical_effect
434		d69386dbfefe143e5ca478e591089a2c75847acd	repair: Jordan source is a radial carrier-anticommutator mixture	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
435	42a6929df3b637a151a2612b977fcabd2e774599	42a6929df3b637a151a2612b977fcabd2e774599	advance radial endgame: exact Xi depth cocycle and local Kolmogorov gluing reduce RLSL to RKMD	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
436		9aeccd55779689d3ee105d16a0caf6f600ff1ea2	review: direct-Euler score audit, causal Hall repair, and non-affine packet assembly	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
437		77fd0e1333bfe8a7cd90c833e12ba55a45475bb6	breakthrough: P61 one-prime Euler row has uniform literal entropy surplus	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
438	bb7327d21c47410820cda2671f45dbe709a72eea	bb7327d21c47410820cda2671f45dbe709a72eea	correction + advance: Birman–Schwinger feedback and unconditional two-node infinitesimal Xi positivity	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
439	706445c01d4a5c9f852a4faf1329bd9858dc727a	706445c01d4a5c9f852a4faf1329bd9858dc727a	research: causal packet budget, binary-return refutation, and two-ledger rigidity	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
440		b971121babe6236a1c20cb34cb76215f4521f7bb	three-front continuation: localized Green transport and infinite Beta coercivity	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
441		3e562d060cee100e25b2400326a3b72002a5ead5	reduce actual-Xi order three to scalar reciprocal concavity	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
442		e2c97d5902bcc5c94d0b6f2f7de0756b84ce6cad	P61 finite-Euler row certificate	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
443		da4bb5a8f8cd001a8a648d8606dc22e2bb8adc88	review: provenance-causal packet and corrected T-91652 ledger	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
444		6a1dcdf14bb48d4df9cce16e5941087ac05e7934	review packet: three independent CFFP endgames and exact falsifiers	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
445	c079c2ef21022be951027de1316aecf1168422c1	c079c2ef21022be951027de1316aecf1168422c1	advance: the first open Xi interpolation level is one scalar reciprocal curvature	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	880d14cb4bcbf542ec199137d60c58d9a8fd723d	breakthrough: one verified critical orbit closes the proposed Xi order-three curvature gate	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
447		d44c45b3ececa878296914a49e49279b10a1f637	propose corrected provenance-causal factor54 closure with one-sided endpoint criterion	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
448		6e95cd3e05b3eb94121084e9c5eedf8a9e4d1bda	generalization: all safe Xi determinants factor into two interlacing alternants	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
449		e67f20803c8bbaa4b33aae366870269e5f560731	generalization: complete-Bernstein Xi impedance	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
450		734040fba4d299256feb13aaeb45e60468ef6d1f	review: independent assessment of PR #447	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
451	f41797c91497dc462f549a127d8494bbe4ccde2f	f41797c91497dc462f549a127d8494bbe4ccde2f	direct native-row response to PR #450: exact capacity replacement and factor-67 reset packet	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
452		0de0709a03771f77ccf1c272535b79f86675184f	root-entry blocker attack: exact post-Hall ledger and single literal-row gate	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
453		a9cecbd3228bc26d4d0c3375c9694ee1e836f66a	advance: projective passive-string endgame and exact finite moment-cone dual	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
454	a0409d54250bc211d62718a1aedb6fa020d7f091	a0409d54250bc211d62718a1aedb6fa020d7f091	advance: fail-closed native root provenance ledger certificate	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
455	1b502acbe511776178da3dc916e3cd3464cd5e77	1b502acbe511776178da3dc916e3cd3464cd5e77	final proposal: single-SHARP direct native-row factor-67 closure	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
456		a72c1a0505b3bd79f99ad5ec207c39dd052c45a6	independent review of PR #451: stopped-leaf Hall prefix counterexample	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
457		e136fcf42fbab1195fc193e64ce4039d1a1d416c	review: PR #455 direct native-row factor-67 proposal	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
458		c8cd1e53e7ad96d3c43f213813e0ae0688341015	post-Hall successor: recover hardening work and reduce the stopped-leaf producer to one exact joint cone	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
459		57ddff8e164030323e93892180c6559f3da951b2	review packet: single-SHARP normalization repair and remaining root bridge	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
460	db9a767e312d9928f5ef827762dcb4ef95494af0	db9a767e312d9928f5ef827762dcb4ef95494af0	advance: verified critical reserve closes low Xi impedance orders and an enormous Hankel tower	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
461	ea633d416609565b3926f37c9302c93e1b818e2d	ea633d416609565b3926f37c9302c93e1b818e2d	generalization: Xi impedance renormalizes to a fractional string and finite-order failures live near the cut	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
462		8642e062b6c6f5a4c7d443a1ee5a6e9ecf3e4706	post-Hall advance: exact proportional producer and arithmetic causal tail	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
463		9e138832258d19c252fe60597e36d02bfb95fe39	review: PR #455 single-SHARP stopped-leaf Hall obstruction	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
464		2eb70463f3d0ae791a9f140694d2ace7032ae864	closure proposal: root score-Hall plus subcritical causal envelope	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
465		595ba063a3147faefa3c358db32bbc5937bceb76	Test GitHub connector write path	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
466		1fdac6bdc81edbc288d3a29503d53f1d0cffc76b	post-Hall closure: literal P61 entropy absorbs proportional score debt	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
467		d5e03a3a63bd05b43abf4b5e37905f86e9ec59d6	post-Hall advance: complete causal profiles, compact score debt, and target-Lorenz frontier	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
468		9e2ae6d26a7920055e1f11327dc0ddeb7b855c61	Native-root normalization and Euler-shell recovery	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
469		3cf685181bd367b92cdcfeef9249e0b9b542a09e	advance: terminal Hall-free P61 generator and native-reservoir firewall	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
470	89af3206ea1894884613e1188b5ab9a6a4cd74f0	89af3206ea1894884613e1188b5ab9a6a4cd74f0	advance: native-root compiler, exact capacity separator, and score-free Y4 repairs	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
471		4ac821701177edb67a77fe43e89cc2a7a53af68a	synthesis: three exact closure advances after the native-capacity separator	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
472	bb364396e09717237351d4aed9aadf6c570cb7fc	bb364396e09717237351d4aed9aadf6c570cb7fc	advance: exact native-to-radial Laplace dictionary and Y4 null gauge	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
473		71d6a859ea741fe035de709e8d10ed37301b778e	proposal: factor-67 SONTR with explicit compact-reserve closure	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
474		da557977e6d496cdc395c823e0c8c2aa830ee3e1	advance: exact OPB root separator and positive scale-four Q4 transfer	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
475		6cba90ea10163abd62b051c83c8bfd8cc2f901da	three-route attack: rough ownership, exact P61 causal Hall, and endpoint hardening	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
476		9f16ce483954d4233b68ee09cb6bec47400aa3cc	proposal: factor67 SONTR, strict root reserve, and all safe-Xi Hankel positivity	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
477		5acd9007b4f4bb1792466f5013c39bf4eac33f9e	attack: corrected factor-67 native-slack closure plus two independent endgames	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
478		9d19a7a6ff132fa5a39347392cbeadf09c14a261	review: PR #473 factor-67 SONTR compact reserve reconstruction	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
479		518b6a5ec2b49b7decbd4c2e349d0ee5b26bfc9b	repair: factor67 all-column and activation-knot native reserves	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
480		d6d9c051abb20a47f3ce7adb45de33bfc2b933b9	review: PR #476 factor-67 triple-closure reconstruction	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
481		005ae49723898d8661d407a0433a6d69cb6d6efc	repair: audited factor-67 all-column native-slack packet	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
482		b8428601ad0f046442558b677e5b3ed3139e7527	review: PR #481 corrected native-slack reconstruction	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
483		87bd7ad2127f98b6141b4c03355556f2b95f6404	advance: prime-block coherence for First-Hermite heat and Q4	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
484		aadf3541f9959e27a5e0eea890a13a8eb0467b01	review: live PR #481 intended-chain reconstruction and native-slack audit	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
485		116d0ffb42602d5711abdba15aeb3ba9de076984	closure/audit: bounded CPNR67, SIDA corollary, and PSSI spectral-type refutation	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
486		0d8badeda73626598a74dc3ef009b67a74af3b81	proposal: canonical one-shot factor-67 native-slack closure after PR #481 reviews	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
487		39d2cbc7cabf31ac1f8013f2f6d1785c86a4fdeb	hardening: exact Hall integration and bounded one-shot SONTR/NRCT slack	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
488		9acd381fa168db02a03646ab16851daebbf4d0fd	recovery: exact PR #484 root composition packet on PR #487	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
489		0bb487c8a0782f601be0a3041743b357ad93726a	research: full standalone Gate A/B native-interface packet (T-92880)	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
490		6f46c2cf4e84d51c744263f7e92a0e1743de5148	review: PR #489 standalone Gates A/B reconstruction	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
491		f5fb88c80f56e0b4e221c90f6362cf20413db02f	review: exact-head comparison of PR #488 and PR #489	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
492		9be030febf71135efbbb8a997f6cee2335ed719a	review: PR #488 one-shot root composition reconstruction	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
493		37f14be7c8bd16b3096baf08f6ba2cbc550797ac	falsification/repair: two-ledger factor-67 root with terminal children	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
494		1468ff62c7377f3f6cc1744ef6eafc3df3172d5c	repair: actual-response one-shot closure after PR #489 reviews	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
495		50f45b46cbe3c471d6e702c41c7ef178b530e1ab	advance: exact Volterra/Mobius common-parent source for the two-ledger factor-67 route	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
496		96f8a6b3cc3d474217633e16d4caa490a0aae518	successor: two-ledger root firewall and terminal-child factor-67 packet	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
497		bd2a3c32ab50d8a8cec39c4b51ccd63349b23a74	proposal: complete Target-Lorenz tail and native two-ledger closure	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
498	UNRESOLVED_EXACT_HEAD	6cc0da2fa5711017e260ebdcea4ba8c22e453288	advance: centered Q4 cubic closure and mean-free prime major arc	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
499		99d3983b57f82941131caa8d9c36e4947f1179a0	proposal: positive native common-parent response-complement closure (T-91821)	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
