pr	source_sha	pin_kind	audit_depth	disposition
765	359849086f0a62cc1cabd99b5029cdc4a44917d1	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	A analytic/source aspect recorded; B aspect pending integrator reconciliation
767	cdad9e88097db4925c3bbbf731f7d1ae1a9e6c57	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
772	960ff900975d36277c177ffd008125bd8bdc4f9d	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
773	8d28e706de724c8a6a66fa1980bf4ef879871ae2	HISTORICAL_ISSUE_OR_DEPENDENCY_PIN_NOT_REFRESHED	Genealogy/interface inventory; direct proof audit omitted	See claim ledger; no blanket branch acceptance
777	399410ba3b38e135ad6961a850bdaa02fa9cbba2	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
784	d6d326b21d9526d9c91b18017bf550003f8f4f9b	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	self-audit pending non-author review
785	9a965c26fd3e0310736829689db1734bcb5c3ec4	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	self-audit pending non-author review
786	fc550cb0531e7abbc438a9b6eefa5ca11f90abc7	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
787	cbfc36f0514c84897ffb102c9e2865b5eba9f5b5	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	PR-body/interface audit only	A aspect recorded; C reconciliation pending integrator reconciliation
788	a9c7b44f908c90f63d2f49a5fde58face5921e42	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	A aspect recorded; C reconciliation pending integrator reconciliation
789	dba7d5aa2555ea1a921c28720dc045976fd7195d	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	A aspect recorded; C reconciliation pending integrator reconciliation
790	6b309554bf1e2f83a83325cd54038f5a0b9b0014	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
792	465cb28ed8cbfa1bb071d9a85eeda9890decfe6b	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	Source-file mathematical audit	See claim ledger; no blanket branch acceptance
793	cdf2f15965decbd35afbbd09a16c89cb3e215737	DIRECT_PR_HEAD_OBSERVED_PREVIOUS_PASS	PR-body/interface audit only	self-audit pending non-author review
